ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	G1	G2	G3	G4	G5	G6	GNPSGROUP:Clematis	GNPSGROUP:Clematis a	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis b	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:Euonymus	GNPSGROUP:Euonymus alatus	GNPSGROUP:Euonymus europaeus	GNPSGROUP:Euonymus fortunei	GNPSGROUP:Lonicera	GNPSGROUP:Lonicera alpigena	GNPSGROUP:Lonicera caerulea	GNPSGROUP:Lonicera caprifolium	GNPSGROUP:Lonicera caucasica	GNPSGROUP:Lonicera etrusca	GNPSGROUP:Lonicera implexa	GNPSGROUP:Lonicera japonica	GNPSGROUP:Lonicera kamtschatica	GNPSGROUP:Lonicera nigra	GNPSGROUP:Lonicera periclymenum	GNPSGROUP:Lonicera tatarica	GNPSGROUP:Lonicera xylosteum	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"879.0","main.cluster index_upperinput":"879.0"}	This Node is a Singleton	N/A	N/A	N/A	11.0401	11.0401	0	N/A	N/A	24717926.056847844	45	879	-1	45	-605.4213	-1	607.4213	24717926.056847844
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"42.0","main.cluster index_upperinput":"42.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=204&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	0.6774	0.6774	0	N/A	N/A	10122813046.219362	45	42	204	45	-473.1319	-1	475.1319	10122813046.219362
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3935.0","main.cluster index_upperinput":"3935.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=409&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	3.4697	3.4697	0	N/A	N/A	34846640.62620012	12	3935	409	12	-717.3520	-1	719.3520	34846640.62620012
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3621.0","main.cluster index_upperinput":"3621.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1219&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	3.7037	3.7037	0	N/A	N/A	87971444.7952417	14	3621	1219	14	-720.2158	-1	722.2158	87971444.7952417
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"880.0","main.cluster index_upperinput":"880.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=127&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	1.3412	1.3412	0	N/A	N/A	264071930.26767683	44	880	127	44	-727.2311	-1	729.2311	264071930.26767683
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4060.0","main.cluster index_upperinput":"4060.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=565&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	2.9733	2.9733	0	N/A	N/A	264670235.16430324	29	4060	565	29	-159.0801	-1	161.0801	264670235.16430324
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"607.0","main.cluster index_upperinput":"607.0"}	This Node is a Singleton	N/A	N/A	N/A	3.9843	3.9843	0	N/A	N/A	34745556.11594381	44	607	-1	44	-509.2402	-1	511.2402	34745556.11594381
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"439.0","main.cluster index_upperinput":"439.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=112&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	0.6166	0.6166	0	N/A	N/A	148886571.36555237	43	439	112	43	-811.1941	-1	813.1941	148886571.36555237
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4165.0","main.cluster index_upperinput":"4165.0"}	This Node is a Singleton	N/A	N/A	N/A	2.9843	2.9843	0	N/A	N/A	5426022.17058182	7	4165	-1	7	-901.2244	-1	903.2244	5426022.17058182
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3558.0","main.cluster index_upperinput":"3558.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=575&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	1.8678	1.8678	0	N/A	N/A	6620505.228295816	10	3558	575	10	-463.0681	-1	465.0681	6620505.228295816
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2888.0","main.cluster index_upperinput":"2888.0"}	This Node is a Singleton	N/A	N/A	N/A	1.6831	1.6831	0	N/A	N/A	8521048.573114198	9	2888	-1	9	-294.0781	-1	296.0781	8521048.573114198
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4500.0","main.cluster index_upperinput":"4500.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=260&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	2.0491	2.0491	0	N/A	N/A	16766496.33457806	6	4500	260	6	-449.1261	-1	451.1261	16766496.33457806
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3118.0","main.cluster index_upperinput":"3118.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=97&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	5.1367	5.1367	0	N/A	N/A	8056473.43095743	18	3118	97	18	-600.0937	-1	602.0937	8056473.43095743
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=cc18fce73f9c4067aa9b752eaace9333&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"209.0","main.cluster index_upperinput":"209.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=cc18fce73f9c4067aa9b752eaace9333&show=true	N/A	N/A	N/A	3.6945	3.6945	0	N/A	N/A	14328762.378205251	39	209	27	39	-385.1655	-1	387.1655	14328762.378205251
