CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3874	5027	2	1.0	-0.000
1545	3874	2	1.0	0.000
1545	5027	2	1.0	0.000
3065	3947	3	0.8194	-162.029
370	4834	3	0.8433	294.075
3965	4834	3	0.832	0.153
234	370	3	0.8594	-354.095
2354	3965	3	0.8907	-0.001
266	332	3	0.8235	-354.093
270	332	3	0.8566	-192.062
266	4181	3	0.8315	-162.030
370	3947	3	0.9346	15.974
332	4834	3	0.8426	278.100
370	530	3	0.8209	192.042
266	3947	3	0.8235	-354.093
332	370	3	0.9346	-15.975
401	4834	3	0.8604	162.034
3947	4834	3	0.8426	278.101
270	4181	3	1.0	0.001
332	4181	3	0.8566	192.062
3947	4181	3	0.8566	192.063
332	3947	3	1.0	-0.001
270	3947	3	0.8566	-192.062
266	270	3	0.8315	-162.031
234	266	3	0.8907	15.973
401	861	3	0.8086	-19.959
332	3065	3	0.8194	162.029
299	432	4	0.9732	252.044
4567	5317	4	0.9625	-23.996
3812	4630	4	0.9575	-0.000
362	3459	4	0.936	-24.079
2246	3812	4	0.8599	112.053
1405	3812	4	0.9575	0.001
4817	5015	4	0.9812	10.018
770	3081	4	0.7973	-29.917
2208	4655	4	0.9756	172.295
560	876	4	0.9582	160.112
299	1374	4	0.9774	156.045
1046	2208	4	0.9817	-142.284
3664	5015	4	0.9756	0.032
432	2208	4	0.9749	-408.342
1046	3669	4	0.9828	55.991
186	1374	4	0.9846	98.041
3664	4655	4	0.9792	32.025
432	560	4	0.9697	-194.133
2099	2961	4	0.9806	15.994
186	5015	4	0.9785	-73.999
2961	4567	4	0.9683	21.987
186	299	4	0.9777	-58.004
1374	4817	4	0.9842	-182.059
770	2607	4	0.7769	232.098
3669	5015	4	0.9843	-57.972
2607	3812	4	0.8227	-120.044
2099	5015	4	0.9757	-146.061
186	3669	4	0.9798	-16.027
2607	4630	4	0.8187	-120.044
1374	2582	4	0.9775	-210.238
4655	4817	4	0.9799	-42.011
