row ID,row m/z,row retention time,1685365277_ALC_dbgi_001139_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001140_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001141_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001142_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001143_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001144_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001145_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001146_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001147_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001148_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001149_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001150_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001151_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001152_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001153_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001156_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001157_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001158_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001159_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001160_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001161_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001162_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001163_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001166_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001169_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001173_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001174_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001175_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001176_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001177_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001178_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001182_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001183_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001184_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001185_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001186_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001187_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001188_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_BK00_neg.mzML Peak area,1685365277_ALC_dbgi_QC00_neg.mzML Peak area,1685365277_ALC_dbgi_QC01_neg.mzML Peak area,1685365277_ALC_dbgi_QC02_neg.mzML Peak area,1685365277_ALC_dbgi_QC03_neg_20230530152214.mzML Peak area,1685365277_ALC_dbgi_QC04_neg.mzML Peak area,1685365277_ALC_dbgi_QC05_neg.mzML Peak area,1685365277_ALC_dbgi_QC06_neg.mzML Peak area,
879,607.4213231245232,11.040095333333333,1168087.0611424204,388474.3477700143,792212.9462831308,787734.1913365438,1428513.8535914863,357440.72012165247,801342.949380063,359567.40160755103,14235.706996918612,205726.58679117137,1033858.5837805042,440464.88362301094,276984.9470697364,310431.4014829079,454538.86135184055,228418.5238313631,82653.84030814277,394204.3458110431,613701.3300713687,170943.78107203124,284009.46142581734,700111.2935354325,925642.6918774145,134807.5598578682,2834930.175972288,292318.54661958956,645562.4541013349,574489.6423318468,1239061.5754351146,106277.91041116643,129981.16460542791,198868.64911066607,45248.302168550494,29536.053902476175,207680.3368398627,450812.73148824467,795967.5701800705,571389.0001956976,0,754492.0665463513,889316.9061027032,657223.0392458206,454535.89697156724,506847.2167825224,504781.7984731346,474497.7492439728,
42,475.131880823109,0.6773594895555557,3.5339319580499476E8,2.0063235538629308E8,1.7788704521768653E8,3.3114603431672275E8,3.452648739650563E8,1.3288257839280754E8,1.8499273086443365E8,5.619546341637328E8,1.76040506958296E8,6.526808559312298E7,4.717446964562465E8,5.621498187818373E8,3.1480343912478673E8,2.1694528782010305E8,7.442175893080417E8,3.861548505764441E7,1.0179121127605777E7,8.747527576647238E7,1.7482980120009005E8,7.856619831976311E7,1.2765294203969118E8,2.435351787591131E8,2.0764660424037173E8,1.8347671659399378E8,1.2020880649738073E8,4.6410694095004994E8,1.1104035468684652E8,1.002928301015596E8,2.1963639115272415E8,5.013263233168606E8,1.6479676811301884E8,3.783242181973445E7,2.2418169310776377E8,1.9936626795419464E8,9.46263373800014E7,7.561126027852592E7,1.3921493711121118E8,2.5957889595125598E8,0,2.092104707460079E8,2.0770253642196307E8,2.135757582709277E8,1.9049517192686382E8,1.9882122610479292E8,2.009053151886845E8,1.9898214388008872E8,
3935,719.3519994523671,3.469734883333333,0,0,0,0,0,0,5775688.70498511,0,1.087154147277554E7,0,0,0,0,0,0,0,0,0,6687524.73891307,0,0,0,0,0,0,0,0,0,0,0,0,0,806576.4844366494,0,0,0,9370183.172582434,0,0,177009.55781526212,188467.70378976665,222448.1248438126,64568.890746701174,226130.71065698547,266583.8725829084,189917.19207188048,
3621,722.2158057520229,3.703745992857143,0,0,0,13907.455636935081,0,0,2.31474635434905E7,0,0,0,0,0,0,0,0,0,0,0,3.0697257467070926E7,0,0,0,0,0,10450.253456100598,0,0,0,0,0,0,0,0,20920.977408333758,21703.38971193657,0,2.4828267878990024E7,0,0,1432421.68047089,1231952.6767519007,1557061.8422120921,914964.825559017,1378135.7109177606,1266902.9000104242,1450034.1935548456,
880,729.2310551825894,1.3412338181818184,5000169.892389656,1.1126254775862353E7,3488721.1272332575,610046.3799525237,2.001994136930062E7,838551.0924624421,1.3252685263350843E7,5332595.346633962,5472918.096489024,78861.70031187873,4.2107786966943204E7,5530983.328242998,4081784.2822054117,5789160.361010131,6404702.609532027,1357734.2283158435,0,4503077.753209033,4329448.911670088,3806608.814032217,1069582.9544606986,7180659.2580966335,1.0023453352349456E7,5252063.10415556,1402234.3016608877,9062570.27154019,2817276.6947219777,1522988.3740355978,5843837.076884743,4399763.674732137,431214.28393729683,997050.2836591759,8212141.49286033,1.8016227749543626E7,2058747.1351908843,1475696.2712582527,9419995.130616564,3542790.7872426105,0,4407873.424288742,4263165.740513566,4224787.895629302,3275749.622527381,4067963.0914032883,4522673.052533028,3449392.944687402,
4060,161.08006670484872,2.9733301137931023,0,24085.459066862975,0,169811.49657748188,0,0,0,77241.48749217979,0,8.884007605822347E7,0,9068647.110401606,430960.95460449136,8867.606254734383,3.145077533029398E7,50094.8030744135,1.5283780731129667E7,621483.4146697262,0,99634.83951137349,0,420308.4843879484,0,369423.5834275314,3700477.4401154798,1078539.3025700448,0,3839.1438625311944,0,2.032470037774119E7,6.715324082461451E7,2876342.794090765,0,0,152126.48598684312,0,0,427899.61784949957,0,3122288.3478468885,3152703.366999734,2756774.4095008066,3276508.382637834,3355219.981622668,3142968.084180908,3231415.2455680943,
607,511.24020206254505,3.984336893181819,1443951.2713064237,244409.75643691723,276425.1144631387,409988.74279222434,772704.4899995574,815778.2954966726,697615.873624623,435793.59011626913,3581219.0197673365,77541.2707836356,415138.7484283202,0,1582062.0572599873,379379.6145224712,4548.4897071064,371076.6364762005,32726.997874701785,49303.06631721692,1630050.8391596286,685687.4972798862,330289.5226361246,1153482.640390569,743648.9865478609,1098597.209122944,70368.95315536542,551733.3227813317,166944.11576364987,1010526.1725858041,2667112.713385385,1823281.9095637444,266517.45193681447,972745.0189104162,3652389.210604759,928019.8705862964,13833.067183618645,258711.01684597973,599243.2175833192,642910.057159952,0,616960.4989139512,656111.1541547325,655460.6382569929,466201.82774630474,505674.01638167235,515451.2280103809,473940.92392352433,
439,813.1941469625737,0.6165804888372093,2614472.8493870674,1.6801922984110802E7,2112950.171941179,127336.5814065169,4171860.5106974244,30771.586068091565,3785751.692538569,2188945.3304994954,2147209.512704237,0,9326358.013001934,4667193.409032085,217068.2201940262,7554565.789449266,6477536.393780137,320836.42990807124,0,7125475.019638343,2321602.6681541535,3612279.6347207082,3284080.902831377,7192589.791046937,4268421.58691396,3399153.8242213265,1578481.1839000564,7638159.845696445,1162934.3373178514,714549.3028272482,2581890.979877244,1496430.8670745108,282314.2015150994,965775.1003367682,2072434.2340482196,6579841.282032752,3569422.9554261374,3105165.5171376704,3605727.5285695293,7158087.588224676,0,1211258.6354240198,1493552.9170794755,1438757.1125419224,3728116.32600405,2042275.2506524476,1410261.390283242,1302751.9073372663,
4165,903.2243736169625,2.984317057142857,0,0,0,0,0,0,0,0,0,2479551.7182868524,0,0,0,0,0,26677.910441469656,0,71840.3482199526,0,0,0,86811.37324722557,0,0,0,0,0,0,0,0,2576854.6492072064,0,0,0,0,0,0,108346.2419172539,0,0,0,0,75939.92926186018,0,0,0,
3558,465.068115120618,1.8678352400000002,0,0,0,0,0,492984.6142323278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761498.7237547645,0,0,0,0,0,0,0,0,0,0,0,0,0,1333819.850960512,3291809.941545803,0,0,0,144091.6420662061,121447.8572017622,169248.28903527476,0,89374.93759943511,118476.84314111761,97752.52875861358,
