row ID,row m/z,row retention time,1685365277_ALC_dbgi_001139_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001140_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001141_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001142_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001143_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001144_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001145_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001146_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001147_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001148_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001149_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001150_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001151_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001152_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001153_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001156_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001157_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001158_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001159_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001160_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001161_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001162_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001163_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001166_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001169_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001173_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001174_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001175_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001176_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001177_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001178_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001182_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001183_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001184_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001185_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001186_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001187_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001188_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_BK00_neg.mzML Peak area,1685365277_ALC_dbgi_QC00_neg.mzML Peak area,1685365277_ALC_dbgi_QC01_neg.mzML Peak area,1685365277_ALC_dbgi_QC02_neg.mzML Peak area,1685365277_ALC_dbgi_QC03_neg_20230530152214.mzML Peak area,1685365277_ALC_dbgi_QC04_neg.mzML Peak area,1685365277_ALC_dbgi_QC05_neg.mzML Peak area,1685365277_ALC_dbgi_QC06_neg.mzML Peak area,Unnamed: 49
879,607.4213231245233,11.040095333333333,1168087.0611424204,388474.3477700143,792212.9462831308,787734.1913365438,1428513.8535914863,357440.7201216525,801342.949380063,359567.40160755103,14235.70699691861,205726.58679117137,1033858.5837805042,440464.88362301094,276984.94706973643,310431.4014829079,454538.8613518406,228418.5238313631,82653.84030814277,394204.3458110431,613701.3300713687,170943.78107203124,284009.4614258173,700111.2935354325,925642.6918774144,134807.5598578682,2834930.175972288,292318.5466195896,645562.4541013349,574489.6423318468,1239061.5754351146,106277.91041116645,129981.16460542793,198868.6491106661,45248.3021685505,29536.05390247617,207680.3368398627,450812.73148824467,795967.5701800705,571389.0001956975,0.0,754492.0665463513,889316.9061027031,657223.0392458206,454535.8969715672,506847.21678252245,504781.79847313464,474497.7492439728,
42,475.131880823109,0.6773594895555557,353393195.8049948,200632355.38629308,177887045.21768653,331146034.31672275,345264873.9650563,132882578.39280754,184992730.86443365,561954634.1637328,176040506.958296,65268085.59312298,471744696.4562465,562149818.7818373,314803439.12478673,216945287.82010305,744217589.3080418,38615485.05764441,10179121.127605775,87475275.76647238,174829801.20009005,78566198.31976311,127652942.03969118,243535178.75911307,207646604.24037173,183476716.59399375,120208806.49738072,464106940.95004994,111040354.68684652,100292830.1015596,219636391.15272412,501326323.3168606,164796768.11301884,37832421.81973445,224181693.10776377,199366267.95419464,94626337.38000141,75611260.27852592,139214937.11121118,259578895.951256,0.0,209210470.74600792,207702536.42196307,213575758.2709277,190495171.92686385,198821226.1047929,200905315.1886845,198982143.88008872,
3935,719.3519994523671,3.469734883333333,0.0,0.0,0.0,0.0,0.0,0.0,5775688.70498511,0.0,10871541.47277554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6687524.73891307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806576.4844366494,0.0,0.0,0.0,9370183.172582434,0.0,0.0,177009.55781526212,188467.70378976665,222448.1248438126,64568.890746701174,226130.7106569855,266583.87258290837,189917.19207188048,
3621,722.2158057520229,3.7037459928571432,0.0,0.0,0.0,13907.455636935081,0.0,0.0,23147463.5434905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30697257.46707093,0.0,0.0,0.0,0.0,0.0,10450.253456100598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20920.97740833376,21703.38971193657,0.0,24828267.878990024,0.0,0.0,1432421.68047089,1231952.6767519007,1557061.842212092,914964.825559017,1378135.7109177606,1266902.9000104242,1450034.1935548456,
880,729.2310551825894,1.3412338181818184,5000169.892389656,11126254.775862353,3488721.1272332575,610046.3799525236,20019941.36930062,838551.092462442,13252685.263350844,5332595.346633961,5472918.096489023,78861.70031187873,42107786.9669432,5530983.328242999,4081784.2822054117,5789160.361010131,6404702.6095320275,1357734.2283158435,0.0,4503077.753209033,4329448.911670088,3806608.814032217,1069582.9544606986,7180659.2580966335,10023453.352349456,5252063.10415556,1402234.3016608877,9062570.27154019,2817276.6947219777,1522988.3740355978,5843837.076884743,4399763.674732137,431214.2839372968,997050.283659176,8212141.49286033,18016227.749543626,2058747.1351908843,1475696.271258253,9419995.130616564,3542790.7872426105,0.0,4407873.424288742,4263165.740513566,4224787.895629302,3275749.6225273814,4067963.0914032883,4522673.052533028,3449392.944687402,
4060,161.08006670484872,2.9733301137931023,0.0,24085.459066862975,0.0,169811.49657748188,0.0,0.0,0.0,77241.48749217979,0.0,88840076.05822347,0.0,9068647.110401606,430960.9546044913,8867.606254734383,31450775.33029398,50094.803074413496,15283780.731129667,621483.4146697262,0.0,99634.83951137347,0.0,420308.4843879484,0.0,369423.5834275314,3700477.44011548,1078539.3025700448,0.0,3839.1438625311935,0.0,20324700.37774119,67153240.82461451,2876342.794090765,0.0,0.0,152126.48598684312,0.0,0.0,427899.6178494996,0.0,3122288.347846888,3152703.3669997337,2756774.409500806,3276508.3826378337,3355219.981622668,3142968.0841809083,3231415.2455680943,
607,511.2402020625451,3.9843368931818186,1443951.2713064237,244409.75643691726,276425.1144631387,409988.7427922243,772704.4899995574,815778.2954966726,697615.8736246229,435793.5901162691,3581219.019767336,77541.2707836356,415138.7484283202,0.0,1582062.057259987,379379.61452247115,4548.4897071064,371076.6364762005,32726.99787470178,49303.066317216915,1630050.8391596288,685687.4972798862,330289.52263612463,1153482.640390569,743648.9865478609,1098597.2091229442,70368.95315536542,551733.3227813317,166944.11576364987,1010526.172585804,2667112.713385385,1823281.9095637444,266517.45193681447,972745.0189104163,3652389.210604759,928019.8705862964,13833.067183618645,258711.0168459797,599243.2175833192,642910.057159952,0.0,616960.4989139512,656111.1541547325,655460.6382569929,466201.82774630474,505674.0163816724,515451.22801038093,473940.9239235243,
439,813.1941469625737,0.6165804888372093,2614472.8493870674,16801922.984110802,2112950.171941179,127336.5814065169,4171860.510697424,30771.58606809156,3785751.6925385688,2188945.330499496,2147209.512704237,0.0,9326358.013001934,4667193.409032085,217068.22019402622,7554565.789449266,6477536.393780137,320836.42990807124,0.0,7125475.019638343,2321602.668154153,3612279.6347207082,3284080.902831377,7192589.791046938,4268421.58691396,3399153.824221326,1578481.1839000562,7638159.845696445,1162934.3373178514,714549.3028272481,2581890.979877244,1496430.867074511,282314.20151509944,965775.1003367681,2072434.23404822,6579841.282032752,3569422.9554261374,3105165.5171376704,3605727.528569529,7158087.588224676,0.0,1211258.6354240198,1493552.9170794757,1438757.1125419226,3728116.32600405,2042275.250652448,1410261.3902832419,1302751.9073372665,
4165,903.2243736169625,2.9843170571428566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2479551.7182868524,0.0,0.0,0.0,0.0,0.0,26677.91044146966,0.0,71840.3482199526,0.0,0.0,0.0,86811.37324722558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2576854.6492072064,0.0,0.0,0.0,0.0,0.0,0.0,108346.24191725391,0.0,0.0,0.0,0.0,75939.92926186018,0.0,0.0,0.0,
3558,465.06811512061796,1.86783524,0.0,0.0,0.0,0.0,0.0,492984.6142323278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761498.7237547645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333819.850960512,3291809.941545803,0.0,0.0,0.0,144091.64206620608,121447.8572017622,169248.28903527473,0.0,89374.93759943511,118476.8431411176,97752.52875861357,
