CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4357	4448	1	0.7004	48.020
1173	1909	2	0.8812	0.000
2289	4613	2	0.9584	242.079
114	2519	2	0.9243	18.011
64	114	2	0.9656	17.027
116	1909	2	0.9129	0.000
64	2519	2	0.8907	35.038
64	2289	2	0.9527	-404.132
67	116	2	0.9539	18.011
67	114	2	0.9063	-162.052
114	2289	2	0.9088	-421.159
114	4613	2	0.962	-179.080
67	1909	2	0.8953	18.011
64	4613	2	0.9774	-162.053
1173	2954	2	0.8866	0.023
5620	5656	3	0.8272	35.038
5610	5620	3	0.8453	10.021
3130	5620	3	0.828	-15.994
2919	3130	3	0.8679	-2.018
2919	5620	3	0.843	-18.011
2919	5610	3	0.8523	-28.032
2919	5656	3	0.847	17.026
3960	4273	4	0.8681	-162.053
4273	4279	4	0.9555	17.026
4279	4283	4	0.9463	162.054
3692	4356	4	0.8049	132.048
4279	4375	4	0.9583	-179.080
3960	4375	4	0.867	-324.107
4273	4375	4	0.9613	-162.054
3960	4279	4	0.8721	-145.027
4273	4356	4	0.816	-14.017
4283	4375	4	0.9186	-341.133
3859	4356	4	0.8999	-17.026
4273	4283	4	0.9161	179.079
3960	4283	4	0.8699	17.026
4273	4326	4	0.9332	30.010
4345	4375	4	0.963	390.131
617	1060	5	0.7029	-104.048
617	740	5	0.8536	-44.026
455	740	5	0.7208	-132.079
617	884	5	0.7155	-60.023
650	735	5	0.8382	-44.026
617	1665	5	0.7703	345.325
455	476	5	0.8189	44.026
884	1665	5	0.8212	405.348
617	735	5	0.7013	-15.995
1665	1955	5	0.798	-433.377
506	1867	5	0.7198	-14.016
1665	4167	5	0.7791	-193.132
360	408	5	0.8146	44.026
617	1955	5	0.8396	-88.052
617	650	5	0.8959	28.032
735	740	5	0.8353	-28.031
735	1060	5	0.7927	-88.053
650	1060	5	0.8472	-132.079
650	1955	5	0.7176	-116.084
884	1060	5	0.862	-44.025
650	1665	5	0.7934	317.293
740	4167	5	0.8551	196.219
1060	4167	5	0.7037	256.240
1060	1665	5	0.8087	449.372
1096	4167	5	0.7804	44.026
506	1665	5	0.8492	-27.000
1096	1955	5	0.7497	-196.219
729	1665	5	0.7295	1.032
740	1665	5	0.8	389.351
735	1665	5	0.7923	361.320
351	360	5	0.8525	44.026
1060	1955	5	0.7324	15.995
650	4661	5	0.715	212.268
554	4661	5	0.7025	196.273
740	1955	5	0.8403	-44.026
506	729	5	0.9166	-28.031
554	617	5	0.7052	-44.027
650	740	5	0.7208	-72.058
735	1955	5	0.7052	-72.057
735	4167	5	0.8177	168.187
884	4167	5	0.7208	212.216
351	408	5	0.813	88.053
554	740	5	0.7061	-88.053
506	4167	5	0.8732	-220.132
884	1955	5	0.8545	-28.029
455	617	5	0.7193	-88.053
735	884	5	0.8274	-44.028
351	455	5	0.8956	-14.016
650	884	5	0.8751	-88.055
360	476	5	0.8185	-14.016
740	1060	5	0.7208	-60.021
740	884	5	0.7312	-15.997
4893	4956	6	0.858	11.964
4901	5009	6	0.8492	-13.979
4992	5009	6	0.8795	66.120
4939	5039	6	0.8849	-43.990
4901	4956	6	0.8422	-108.130
4992	5039	6	0.8748	26.089
4725	4956	6	0.9484	-4.031
4725	4827	6	0.9577	-2.016
1439	4438	6	0.8584	-56.063
4827	4901	6	0.8347	106.114
4725	4893	6	0.8796	-15.995
2208	4438	6	0.7795	-62.109
4725	5000	6	0.9113	21.984
4901	4939	6	0.8602	-10.020
4901	4992	6	0.8479	-80.099
4893	5000	6	0.8747	37.979
4725	4903	6	0.8811	-405.371
1439	1652	6	0.8866	28.032
4893	5039	6	0.8579	66.083
2672	6217	6	0.9045	15.995
4827	4893	6	0.8782	-13.979
4725	4992	6	0.8798	24.000
4939	5009	6	0.8964	-3.959
5299	6161	6	0.8998	30.015
4889	5000	6	0.8084	-191.261
5009	5039	6	0.8948	-40.031
1652	4438	6	0.8892	-84.094
4956	5000	6	0.9198	26.016
4725	4939	6	0.8755	94.078
4939	4956	6	0.8839	-98.110
1652	2208	6	0.8601	-21.985
6160	6161	6	0.8631	-15.990
4901	5039	6	0.8395	-54.010
1652	5039	6	0.7556	-28.954
4827	4992	6	0.8806	26.015
4939	5000	6	0.9244	-72.094
4725	5009	6	0.8659	90.120
4893	4901	6	0.8087	120.094
2672	5009	6	0.7766	-65.120
4893	4992	6	0.8516	39.995
5000	5039	6	0.9018	28.104
4889	4939	6	0.7756	-119.167
2672	4992	6	0.7691	-131.240
1652	4893	6	0.752	-95.037
4725	5002	6	0.8519	-0.984
1652	4827	6	0.792	-81.058
4992	5000	6	0.9241	-2.016
4893	5009	6	0.8614	106.115
4956	4992	6	0.8921	28.031
4827	5039	6	0.8733	52.104
4827	4939	6	0.8858	96.094
4827	4956	6	0.9459	-2.016
410	6160	6	0.9339	30.003
6160	6217	6	0.7706	42.022
4725	5039	6	0.8681	50.088
4939	4992	6	0.8864	-70.079
4827	5009	6	0.8728	92.135
4956	5039	6	0.8758	54.120
1652	4956	6	0.793	-83.074
4893	4939	6	0.8375	110.073
5000	5009	6	0.922	68.135
4901	5000	6	0.8811	-82.115
4956	5009	6	0.8839	94.151
4827	5000	6	0.9115	24.000
1439	2208	6	0.8139	6.047
2672	6161	6	0.7946	-42.017
410	6161	6	0.9477	14.013
538	671	7	0.8088	192.152
4854	6278	7	0.8326	-0.120
538	6278	7	0.8511	0.000
402	538	7	0.8319	-0.000
402	6278	7	0.833	0.000
