	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
175811	6276	79	Fatty acids	0.5454545454545454	Sphingolipids	0.5151515151515151	Neutral glycosphingolipids	0.2727272727272727	3.0	0.4295133	ISDB	http://www.wikidata.org/entity/Q105180375	NJXYDZDDOCQODQ-FCAPPQLESA-N	InChI=1S/C40H77NO9/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-33(43)32(31-49-40-38(47)37(46)36(45)35(30-42)50-40)41-39(48)34(44)29-27-25-23-21-18-16-14-12-10-8-6-4-2/h19-20,32-38,40,42-47H,3-18,21-31H2,1-2H3,(H,41,48)/b20-19-/t32-,33+,34+,35+,36+,37-,38+,40+/m0/s1	CCCCCCCCC/C=C\CCCC[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](O)CCCCCCCCCCCCCC	C40H77NO9		715.559833044	J89Ngx3trn	NJXYDZDDOCQODQ	Fatty acids	Sphingolipids	Neutral glycosphingolipids	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.218053221702576	1
175699	6273	920	Alkaloids	0.6666666666666666	Tyrosine alkaloids	0.6666666666666666	Indolizidine alkaloids	0.6666666666666666	2.0	0.725701	ISDB	http://www.wikidata.org/entity/Q104375973	HBCNXWUNPXIERK-GUYCJALGSA-N	InChI=1S/C17H19NO3/c1-21-16-8-11-4-6-18-7-5-12-2-3-13(19)10-17(12,18)14(11)9-15(16)20/h2-3,5,8-9,13,19-20H,4,6-7,10H2,1H3/t13-,17-/m0/s1	COc1cc2c(cc1O)[C@]13C[C@@H](O)C=CC1=CCN3CC2	C17H19NO3		285.136493468	Erysoline	HBCNXWUNPXIERK	Alkaloids	Lysine alkaloids	Indolizidine alkaloids	http://www.wikidata.org/entity/Q10274197	Erythrina folkersii	3921471.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Erythrina']	['Erythrina folkersii']											0	3	4.402803897857666	1
175684	6271	-1							1.0	0.48104602	ISDB	http://www.wikidata.org/entity/Q105292216	VSHVGAUGDJWOFM-VQHVLOKHSA-N	InChI=1S/C26H28O6/c1-16(2)6-5-12-26(3)13-11-19-24(30)20(15-23(31-4)25(19)32-26)22(29)9-7-17-14-18(27)8-10-21(17)28/h6-11,13-15,27-28,30H,5,12H2,1-4H3/b9-7+	COc1cc(C(=O)/C=C/c2cc(O)ccc2O)c(O)c2c1OC(C)(CCC=C(C)C)C=C2	C26H28O6		436.1885886159999	(E)-1-[2-Methyl-2-(4-methyl-3-pentenyl)-5-hydroxy-8-methoxy-2H-1-benzopyran-6-yl]-3-(2,5-dihydroxyphenyl)-2-propene-1-one	VSHVGAUGDJWOFM	Shikimates and Phenylpropanoids	Flavonoids	Chalcones	http://www.wikidata.org/entity/Q15528836	Leptodesmia congesta	3929870.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Desmodieae']	['Leptodesmia']	['Leptodesmia congesta']											0	0	1.9241840839385986	1
175630	6267	-1							1.0	0.6239671	ISDB	http://www.wikidata.org/entity/Q105220767	QGYGWYUQPCKNKZ-VMPITWQZSA-N	InChI=1S/C19H21NO5/c1-24-17-7-4-13(11-16(17)22)5-8-19(23)20-10-9-14-3-6-15(21)18(12-14)25-2/h3-8,11-12,21-22H,9-10H2,1-2H3,(H,20,23)/b8-5+	COc1ccc(/C=C/C(=O)NCCc2ccc(O)c(OC)c2)cc1O	C19H21NO5		343.141972772	N-[2-(3-Methoxy-4-hydroxyphenyl)ethyl]-3-(3-hydroxy-4-methoxyphenyl)propenamide	QGYGWYUQPCKNKZ	Amino acids and Peptides	Phenylpropanoids (C6-C3)	Cinnamic acid amides	http://www.wikidata.org/entity/Q158610	Chenopodium album	892395.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Caryophyllales']	['Chenopodiaceae']	['Atripliceae']	['Chenopodium']	['Chenopodium album']											0	0	2.495868444442749	1
175626	6266	47	Terpenoids	0.4375	Monoterpenoids	0.3125	Secoiridoid monoterpenoids	0.1875	3.0	0.0	MS1_match	http://www.wikidata.org/entity/Q2699676	VWFJDQUYCIWHTN-YFVJMOTDSA-N	InChI=1S/C15H28O7P2/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-21-24(19,20)22-23(16,17)18/h7,9,11H,5-6,8,10,12H2,1-4H3,(H,19,20)(H2,16,17,18)/b14-9+,15-11+	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O	C15H28O7P2	pos_1_1sodium1acetonitrile	382.131026496	Farnesyl diphosphate	VWFJDQUYCIWHTN	Terpenoids	Sesquiterpenoids	Farnesane sesquiterpenoids	http://www.wikidata.org/entity/Q157819	Valeriana officinalis	393341.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Valeriana']	['Valeriana officinalis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	1	6.5	1
175617	6265	530	Alkaloids	0.22727272727272727	Steroids	0.09090909090909091	Stigmastane steroids	0.09090909090909091	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27136880	VWDLOXMZIGUBKM-AUGXRQBFSA-N	InChI=1S/C35H58O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h8-10,20-22,24-33,36-39H,7,11-19H2,1-6H3/b9-8+/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	C35H58O6	pos_2_2sodium	574.423339576	Stigmasterol glucoside	VWDLOXMZIGUBKM	Terpenoids	Steroids	Stigmastane steroids	http://www.wikidata.org/entity/Q89116411	Eriocapitella tomentosa	5737682.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Anemone']	['Anemone tomentosa']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']			7	3	8.5	1
175612	6264	974	Terpenoids	0.5	Phenylpropanoids (C6-C3)	1.0	Indolizidine alkaloids	0.5	1.0	0.47042754	ISDB	http://www.wikidata.org/entity/Q105035769	HZOHTLMLLIVQEA-ODYMNIRHSA-N	InChI=1S/C19H21NO5/c1-23-12-5-4-11-6-18(22)20-10-15(21)13-7-16(24-2)17(25-3)8-14(13)19(11,20)9-12/h4-8,12,15,21H,9-10H2,1-3H3/t12-,15-,19-/m0/s1	COc1cc2c(cc1OC)[C@]13C[C@@H](OC)C=CC1=CC(=O)N3C[C@@H]2O	C19H21NO5		343.141972772	(+)-11beta-Hydroxyerysotramidine	HZOHTLMLLIVQEA	Alkaloids	Lysine alkaloids	Indolizidine alkaloids	http://www.wikidata.org/entity/Q3644036	Erythrina lysistemon	284184.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Erythrina']	['Erythrina lysistemon']											0	3	3.381710171699524	1
175576	6263	920	Alkaloids	0.6666666666666666	Tyrosine alkaloids	0.6666666666666666	Indolizidine alkaloids	0.6666666666666666	5.0	0.71425176	ISDB	http://www.wikidata.org/entity/Q27106066	TZJUAPRPYXCUDU-GLZXHMCRSA-N	InChI=1S/C17H21NO4/c1-22-14-5-10-7-18-3-2-9-4-11(8-19)17(21)15(16(9)18)12(10)6-13(14)20/h4-6,11,15-17,19-21H,2-3,7-8H2,1H3/t11-,15+,16-,17-/m1/s1	COc1cc2c(cc1O)[C@@H]1[C@H](O)[C@@H](CO)C=C3CCN(C2)[C@H]31	C17H21NO4		303.147058152	Carinatine	TZJUAPRPYXCUDU	Alkaloids	Lysine alkaloids	Indolizidine alkaloids	http://www.wikidata.org/entity/Q7934862	Virola pavonis	6028651.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Myristicaceae']	['Unknown']	['Virola']	['Virola pavonis']											0	3	4.357007026672363	1
175566	6261	308	Terpenoids	0.3157894736842105	Sesquiterpenoids	0.21052631578947367	Agarofuran sesquiterpenoids	0.21052631578947367	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27134261	FCQBGPOADKWYEG-MNRUEBDGSA-N	InChI=1S/C38H40O10/c1-23-20-29(40)32(45-24(2)39)37(22-44-33(41)25-14-8-5-9-15-25)30(46-34(42)26-16-10-6-11-17-26)21-28-31(38(23,37)48-36(28,3)4)47-35(43)27-18-12-7-13-19-27/h5-19,23,28-32,40H,20-22H2,1-4H3/t23-,28-,29+,30+,31-,32+,37-,38-/m1/s1	CC(=O)O[C@H]1[C@@H](O)C[C@@H](C)[C@]23OC(C)(C)[C@H](C[C@H](OC(=O)c4ccccc4)[C@]12COC(=O)c1ccccc1)[C@H]3OC(=O)c1ccccc1	C38H40O10	pos_2_1magnesium	656.26214748	1alpha-Acetoxy-2alpha-hydroxy-6beta,9beta,15-tribenzoyloxy-beta-dihydroagarofuran	FCQBGPOADKWYEG	Terpenoids	Sesquiterpenoids	Agarofuran sesquiterpenoids	http://www.wikidata.org/entity/Q15225936	Microtropis fokienensis	1015845.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']	['Unknown']	['Microtropis']	['Microtropis fokienensis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']				6	3	7.5	1
175567	6261	308	Terpenoids	0.3157894736842105	Sesquiterpenoids	0.21052631578947367	Agarofuran sesquiterpenoids	0.21052631578947367	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27134262	ZKSJYLLIQBNONM-MYQHGJAJSA-N	InChI=1S/C38H40O10/c1-23-20-29(45-24(2)39)31(40)37(22-44-33(41)25-14-8-5-9-15-25)30(46-34(42)26-16-10-6-11-17-26)21-28-32(38(23,37)48-36(28,3)4)47-35(43)27-18-12-7-13-19-27/h5-19,23,28-32,40H,20-22H2,1-4H3/t23-,28-,29+,30+,31+,32-,37-,38-/m1/s1	CC(=O)O[C@H]1C[C@@H](C)[C@]23OC(C)(C)[C@H](C[C@H](OC(=O)c4ccccc4)[C@]2(COC(=O)c2ccccc2)[C@H]1O)[C@H]3OC(=O)c1ccccc1	C38H40O10	pos_2_1magnesium	656.26214748	2alpha-Acetoxy-1alpha-hydroxy-6beta,9beta,15-tribenzoyloxy-beta-dihydroagarofuran	ZKSJYLLIQBNONM	Terpenoids	Sesquiterpenoids	Agarofuran sesquiterpenoids	http://www.wikidata.org/entity/Q15225936	Microtropis fokienensis	1015845.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']	['Unknown']	['Microtropis']	['Microtropis fokienensis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']				6	3	7.5	1
