row ID,row m/z,row retention time,1685365277_ALC_01_neg.mzML Peak area,1685365277_ALC_02_neg.mzML Peak area,1685365277_ALC_dbgi_001139_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001140_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001141_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001142_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001143_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001144_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001145_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001146_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001147_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001148_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001149_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001150_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001152_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001153_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001156_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001157_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001158_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001159_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001160_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001161_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001162_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001163_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001166_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001169_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001173_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001174_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001175_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001176_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001177_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001178_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001182_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001183_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001184_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001185_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001186_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001187_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001188_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_BK00_neg.mzML Peak area,1685365277_ALC_dbgi_QC00_neg.mzML Peak area,1685365277_ALC_dbgi_QC01_neg.mzML Peak area,1685365277_ALC_dbgi_QC02_neg.mzML Peak area,1685365277_ALC_dbgi_QC03_neg_20230530152214.mzML Peak area,1685365277_ALC_dbgi_QC04_neg.mzML Peak area,1685365277_ALC_dbgi_QC05_neg.mzML Peak area,1685365277_ALC_dbgi_QC06_neg.mzML Peak area,1687161692_PMA_ALC_11_neg.mzML Peak area,1687161692_PMA_ALC_12_neg.mzML Peak area,1687161692_PMA_ALC_13_neg.mzML Peak area,1687161692_PMA_ALC_14_neg.mzML Peak area,1687161692_PMA_BK_ALC_01_neg.mzML Peak area,
100,187.09635323675636,3.616960305769231,1.9660107376811966E7,3.625020390007595E7,3473672.2795151626,3481262.928392813,2820771.2677270323,1.1119870584149802E7,7323252.073201892,5427096.3513256805,4890434.718092458,3526766.0742667983,4230218.211413653,3053633.126447696,3278872.0912076836,4636400.70253811,3855056.2920432244,2913380.483364169,3636853.8537379135,3344945.7550911256,4081920.0294735283,4870016.556413111,6825797.787673871,4309686.9684536485,3262139.8379711094,3508479.7797591276,1.1995483256572967E7,5173049.120030238,2665854.6438068054,3411608.54400452,4813867.418005614,3287658.6842230274,5063504.103043791,2543305.838846591,7185691.010032445,4798866.850443256,4291907.615995901,4022771.7873802343,2958479.291506498,3694562.9522296744,4616535.076956318,4090421.798687565,4558631.412087236,4723353.55131902,4879111.912816521,6600659.25099069,4600343.476359325,4092516.8281346466,4716915.488190678,1.4167323622733371E7,3277599.924906341,3416349.098700883,6415232.589687545,4188417.197080495,
736,178.94752552179875,0.5188389947058825,1124799.325168,2400194.684098801,2815856.2567931726,1721600.5772225056,1266401.8456147641,2621054.104792624,1366882.6978862407,2915737.7489164495,1762416.3991538987,3892454.992533647,2116524.863824245,2193082.187772222,1605304.0587620533,1696492.9020720255,1452962.7179164197,1514047.9779582242,534359.279992166,1009531.9745885722,265499.18358537566,777007.3375232257,1310314.1278521083,1153725.8045559153,1571766.2764498265,995538.7306950508,2297769.542078848,535306.5304577595,2101899.38529581,1079874.3696826068,353562.08628505556,848834.9838694294,1721608.7607371057,2609617.8739167843,421285.6025845062,2646765.0249098893,1980286.5241305344,2024468.6776703424,2432480.0690083504,1652043.5936191806,1066374.5927737083,28328.05933185933,1673507.3583928745,1783289.513079328,1943274.695042326,1777679.1962006243,1891215.3445620772,2076764.2028317703,1498549.8004106032,3580504.2965697763,2001331.6774329809,1733601.5069957564,1084714.1465865653,0,
3658,425.3057741382002,10.395989576923077,36904.85197593613,20722.745723042983,126251.56831693242,135408.64616083223,205490.7876227471,184654.36203724676,249603.02575036781,314716.7736346822,561945.3707491523,300128.42963975825,53640.52771640625,410220.80512734526,423814.2506540069,832398.127312636,333905.5077587177,684023.9693887575,141949.59955330077,126042.78468141053,78590.26388486012,121658.91304201391,179415.37716808685,277670.1066870667,255601.63538624864,98621.3241679712,94845.81938034453,456899.6482081619,503995.5740325603,247344.32031316884,136677.4517020323,417673.19330109574,16737.10658794822,85966.02129058802,961231.8206439773,122059.39595220816,228605.99303975535,213120.34374791218,393310.3119660306,457664.4876004736,209866.29777438813,103009.88332892489,343152.5624256976,354759.4378748508,409145.04250160203,345585.7845192249,400321.7953666512,391542.31409295776,410361.3490866802,32704.120049178728,48375.0422849268,36562.9274394421,22944.0897816506,12522.738582729413,
418,513.0854380265592,0.7298544120408162,8125049.39203361,1.5282177011248527E7,1.469820895790575E7,9534154.758696506,5747004.368476716,8610338.394382983,6190712.528165459,1182681.6294610435,2539254.337544837,1.9767559728311595E7,3887907.6128686527,2750330.000763628,6118091.903983701,1.9523817406163044E7,1.1718398134911159E7,2.55794002659968E7,9633397.792561334,62301.90153161729,5795400.308596635,5960942.790806925,1.5321481856827114E7,6100301.622838475,6082484.414257511,8466234.186906721,2656109.222023429,5993617.083100195,1.4566827210709792E7,4651621.544393673,4166377.5181343476,9142864.614359248,1.0554427061000735E7,5603053.170446005,8641635.5591944,5042694.762673178,7654266.175049471,5594757.5643716855,3044325.4632652276,4561986.531276214,1.0228056407193588E7,0,8722025.532365667,9017681.337345483,9693397.584019793,9616327.673407046,1.0155037305837113E7,1.0319383188580293E7,9410355.412183627,1597703.496369467,1175544.2361712418,358409.11577776866,0,0,
4552,300.1929121204833,3.111403466666667,26620.79464754937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443059.5054718573,0,0,0,0,0,0,0,23843.30074348807,0,0,0,0,0,118359.06565762535,0,1882287.1683999088,0,0,0,0,0,0,0,0,30226.875478488488,0,23008.037855801213,26347.494901875798,19270.73949674346,0,0,9796.825046056432,66367.95791088222,42083.68275706972,0,
3518,483.15240933127353,2.8863386,0,19856.31351215698,0,0,80418.02560323106,0,2072977.7394457536,0,184217.68638318952,23990.001996367246,0,0,157124.5089254605,0,0,0,0,1253901.5391980265,0,69485.26126574904,0,8663.664099111202,0,518877.411071246,0,0,0,0,0,0,0,0,5726.432398658217,0,0,0,23998.24287878311,0,0,0,43804.767608263035,49700.61299296858,67133.86803829989,62127.977560945066,41615.41957038292,43433.84788050027,108924.56317084005,0,0,0,179563.1728764161,0,
3439,518.155246684945,3.019942026666666,102147.35003221908,193260.68210003912,0,715437.1357732483,0,232211.7348258264,0,0,0,1087493.385068635,0,0,0,1095044.1361928638,609498.0301473631,747613.5803130447,359193.8435904713,0,0,0,614275.6534834462,218306.78361431306,346508.98256402713,0,0,0,1560057.4103818822,413368.87012712355,1159325.9146101424,0,13359.893464007457,0,622520.3354373911,241986.61898006027,0,0,207797.7958776555,0,185057.9748494011,0,119635.23794859748,345457.03262353333,289895.6453113614,0,449841.40156978474,266290.93970531214,309236.2294386574,23401.875200684077,1499261.8298347944,1560636.5595021618,16502.115961945332,0,
4691,731.2409643388539,2.369650839130435,0,536705.720702594,152251.24482008244,0,62387.32889482129,0,159292.2398769977,0,176996.34493830305,0,427354.3872578446,0,179217.97015987537,0,0,0,0,0,6014851.986638723,126728.91656589782,0,0,0,463936.68511959,342361.25237924996,493001.2540426188,0,0,0,115011.13242492243,0,0,0,197983.00766021264,520489.21791264776,0,0,207411.95390304548,0,0,244652.16670257115,395121.99746380944,405580.84013214806,0,227971.16582307415,287965.2959462076,262907.0273748038,196299.2010499306,0,0,0,0,
3499,599.0704586547611,2.2262223599999995,0,386735.9944911336,0,0,326227.92580303183,0,4925820.048664514,33723.843825938144,4983429.758873983,0,170825.030913493,0,2864241.655834605,0,0,0,0,0,0,3672650.6927490784,0,0,0,3496353.443056486,2824265.8216533912,0,0,186622.45841300415,0,857518.8248298794,0,0,0,1265599.3678868848,306462.8300255609,0,119737.23123724211,1877359.3766770351,0,0,373466.1893517419,325775.67576806067,325162.017818162,50406.47841796756,415373.54212977935,365270.6458679092,275029.99763064104,176466.7887148845,28169.90321841772,0,0,0,
4950,739.3033231828929,3.0815048999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255410.42003512225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606077.4608745854,0,0,0,
