CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2008	6275	1	0.7828	-17.054
2171	6724	1	0.9495	17.026
197	6275	1	0.8154	17.976
197	1510	1	0.9101	17.974
1510	5319	1	0.779	-46.006
6275	6724	1	0.7828	17.062
197	5319	1	0.7736	-28.031
197	2008	1	0.9211	35.030
5280	5655	1	0.7605	50.036
1233	2173	1	0.7814	17.953
1510	2171	1	0.8893	0.037
2008	6816	1	0.8593	162.061
197	2171	1	0.9344	18.011
2719	5237	1	0.7936	-0.077
1510	6284	1	0.8225	-0.110
2719	5280	1	1.0	-0.042
839	2173	1	0.8455	-35.096
6724	6816	1	0.8593	162.053
2008	2171	1	0.9495	-17.018
2171	6816	1	0.8246	179.079
197	337	1	0.7679	197.090
2534	3780	1	0.7732	35.036
197	6724	1	0.9211	35.038
2008	6724	1	1.0	0.008
992	5655	1	0.9081	15.995
2171	6284	1	0.7876	-0.147
197	5280	1	0.818	13.980
5237	5280	1	0.7977	0.036
2534	5540	1	0.8922	-162.054
197	6816	1	0.7637	197.090
2719	4497	1	0.8695	-28.071
3780	5655	1	0.785	161.037
337	2008	1	0.8568	-162.061
337	2171	1	0.8247	-179.079
2171	6275	1	0.8604	-0.036
2173	4110	1	0.7712	197.147
337	6724	1	0.8568	-162.052
1233	2534	1	0.8286	-0.000
4497	5280	1	0.8783	28.029
1510	2008	1	0.8655	17.055
197	6284	1	0.8107	17.864
3780	5540	1	0.8495	-197.089
1510	6724	1	0.8655	17.064
337	6816	1	0.933	0.000
1332	7166	4	0.7991	-1.003
491	493	4	0.8579	30.047
1187	1262	4	0.8683	-18.011
1603	1780	4	0.8722	44.026
2199	3659	4	0.7864	-14.016
1187	3659	4	0.9014	-46.042
2301	2346	4	0.862	-172.082
2222	4016	4	0.8301	-140.157
3326	5797	4	0.7934	2.015
973	1615	4	0.8259	179.079
4056	4443	4	0.8233	9.984
237	493	4	0.7836	-26.016
1950	6970	4	0.8601	-17.973
3659	5071	4	0.8122	46.042
3361	4675	4	0.8131	-2.015
