CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2004	3179	1	0.9545	242.079
1962	3354	1	0.959	-0.068
3099	5261	1	0.9339	-0.126
3522	4255	1	0.9024	-148.945
2019	4307	1	0.9059	77.028
4023	6819	1	0.9468	0.000
2209	2880	1	0.8666	-388.141
248	2209	1	0.924	162.050
1765	2209	1	0.8666	388.189
3099	4255	1	0.9296	-149.070
3256	4307	1	0.9088	-162.110
1993	2260	1	0.9179	180.063
2080	6819	1	0.874	18.046
4255	5261	1	0.8977	148.944
322	3112	1	0.9528	-14.015
2006	5217	1	0.9015	-0.003
2202	3354	1	0.9151	-0.033
2880	4310	1	0.9049	-127.016
2298	4254	1	0.9117	-434.179
8	5118	1	0.9129	0.036
3522	5162	1	0.8761	162.178
2006	3099	1	0.92	405.163
3179	5746	1	0.8849	131.970
2949	4253	1	0.9304	208.074
2796	4068	1	0.9311	0.036
2019	4254	1	0.9469	-406.148
3369	7306	1	0.8765	-312.048
3256	6690	1	0.9086	32.026
248	282	1	0.9203	14.013
1953	3354	1	0.8854	-162.121
8	4068	1	0.9244	-0.036
2004	5746	1	0.9025	374.048
3112	7044	1	0.871	0.000
616	4997	1	0.9654	-0.073
4557	6132	1	0.9027	25.979
1962	2004	1	0.9135	-391.146
5141	7306	1	0.8667	238.124
1957	4068	1	0.913	-0.073
248	1765	1	0.9337	-226.139
8	2080	1	0.9018	14.016
3094	3112	1	0.8678	0.000
1765	2880	1	1.0	0.048
3106	3804	1	0.9881	0.000
1962	2260	1	0.9013	-194.057
2004	2202	1	0.8856	391.111
1953	2080	1	0.9685	-0.036
2004	2260	1	0.8861	197.089
2298	4307	1	0.865	48.997
1976	2260	1	0.8832	-177.031
2255	2260	1	0.9159	162.053
2949	4231	1	0.8888	-98.020
1953	5162	1	0.8749	-14.016
776	2122	1	0.87	32.027
1953	1957	1	0.9065	-14.016
2019	2298	1	0.9309	28.031
960	3904	1	0.8639	46.041
2026	3522	1	0.8706	16.902
322	616	1	0.8814	-14.015
4307	4310	1	0.909	-356.060
2320	7306	1	0.9015	-67.933
2069	2277	1	0.907	-356.112
3112	4997	1	0.9394	-0.073
4253	5578	1	0.8673	-28.031
2051	2260	1	0.9283	162.052
1458	3106	1	0.8781	-25.979
5118	5144	1	0.9136	0.000
2069	2122	1	0.8869	-14.014
776	6860	1	0.9058	32.014
3106	6132	1	0.9006	25.979
2122	4307	1	0.8657	-32.084
1404	5162	1	0.9129	0.036
248	4231	1	0.9256	-162.055
2796	5144	1	0.8911	0.109
2255	2277	1	0.9026	18.009
248	2859	1	0.8906	-192.283
2080	2202	1	0.8676	-162.053
2880	2949	1	0.9046	162.057
2260	3179	1	0.8831	44.990
1404	2796	1	0.902	-0.073
152	3256	1	0.916	-31.953
248	4253	1	0.9324	144.039
1953	1962	1	0.8837	-162.054
2859	2949	1	0.8805	128.248
322	4557	1	0.8731	18.011
1957	5118	1	0.9129	0.000
2051	6980	1	0.8788	-31.044
1976	5746	1	0.9258	-0.072
1458	3804	1	0.8848	-25.979
4255	7306	1	0.8823	-342.037
2880	4622	1	0.9072	35.038
1404	2080	1	0.8797	14.016
1404	4068	1	0.909	-0.037
3106	4557	1	0.9616	0.000
322	960	1	0.9635	-28.030
5105	5126	1	0.9376	-77.082
5144	5162	1	0.9101	-0.000
3804	4557	1	0.9616	0.000
2880	4637	1	0.8729	-28.029
8	5162	1	0.9181	0.036
2080	3146	1	0.8844	0.036
1765	4231	1	0.8867	64.084
3354	5746	1	0.9131	-17.030
1976	3354	1	0.9235	16.958
1993	2004	1	0.9689	-17.026
2202	5746	1	0.9213	-17.063
2122	5261	1	0.8738	-18.138
1993	3354	1	0.9436	374.052
616	4307	1	0.8713	-194.135
282	4353	1	0.8642	-180.060
3522	7222	1	0.8706	-16.901
248	2366	1	0.8901	70.004
616	3112	1	0.9427	-0.000
2255	2348	1	0.8981	-17.029
2859	4623	1	0.8707	0.053
2949	3006	1	0.8716	0.000
322	3804	1	0.8892	18.011
960	3804	1	0.8736	46.041
1962	2202	1	0.9078	-0.035
2320	4255	1	0.9475	274.103
3283	3369	1	0.9582	-17.031
2320	3099	1	0.9012	423.173
776	3256	1	0.911	162.053
1993	2202	1	0.9137	374.085
248	4622	1	0.919	-191.053
4253	4383	1	0.8723	-242.204
2949	4622	1	0.913	-127.019
4377	5093	1	0.913	-17.027
248	2880	1	0.9349	-226.092
2209	2585	1	0.8644	-339.086
1962	3099	1	0.9101	-14.015
2122	3099	1	0.8894	-18.012
152	7044	1	0.9036	0.073
1458	4937	1	0.9255	-0.000
8	2796	1	0.934	-0.073
2006	4255	1	0.9549	256.093
2880	4253	1	0.8848	370.131
2796	5261	1	0.8776	-162.070
616	7044	1	0.9152	0.000
