	feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
0	1	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q4027534	CZMRCDWAGMRECN-UGDNZRGBSA-N	InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	C12H22O11	pos_1_1potassium	342.116211524	Sucrose	CZMRCDWAGMRECN	Carbohydrates	Saccharides	Disaccharides	http://www.wikidata.org/entity/Q12841179	Dipsacus asper	365911.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Dipsacus']	['Dipsacus asper']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	nan	nan	nan	6	3	7.5	1	842	Carbohydrates	0.5	Saccharides	0.5	Disaccharides	0.5
1	100	1.0	0.4380654	ISDB	http://www.wikidata.org/entity/Q105170057	MQJPOSCYXGJLPQ-IUOWXXPRSA-N	InChI=1S/C18H28O3/c1-5-16(19)20-13-14(2)7-6-10-18(4)15-8-11-17(3,21-18)12-9-15/h7-8,11,15H,5-6,9-10,12-13H2,1-4H3/b14-7+/t15-,17+,18-/m0/s1	CCC(=O)OC/C(C)=C/CC[C@]1(C)O[C@]2(C)C=C[C@H]1CC2	C18H28O3	nan	292.203844756	[(E)-5-[(1S,3S,4R)-1,3-dimethyl-2-oxabicyclo[2.2.2]oct-5-en-3-yl]-2-methylpent-2-enyl] propanoate	MQJPOSCYXGJLPQ	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids	http://www.wikidata.org/entity/Q28934733	Artemisia sieberi	324847.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Artemisia']	['Artemisia sieberi']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	1	6.252261638641357	1	109	Terpenoids	0.9285714285714286	Diterpenoids	0.7857142857142857	Estrane steroids	0.5
2	1002	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105132062	JNPXCTROEJQHKD-KAZAEUKGSA-N	InChI=1S/C21H30O13/c1-2-9-10-3-4-29-17(27)11(10)5-30-18(9)34-19-15(25)14(24)13(23)12(33-19)6-31-20-16(26)21(28,7-22)8-32-20/h2,5,9-10,12-16,18-20,22-26,28H,1,3-4,6-8H2/t9-,10-,12+,13+,14-,15+,16-,18-,19-,20+,21+/m0/s1	C=C[C@@H]1[C@H](O[C@@H]2O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@H]21	C21H30O13	pos_1_1proton1ammonium	490.16864102	(3S,4S,4aS)-3-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-4-ethenyl-4,4a,5,6-tetrahydro-3H-pyrano[3,4-c]pyran-8-one	JNPXCTROEJQHKD	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids	http://www.wikidata.org/entity/Q17435107	Lonicera quinquelocularis	118025.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Lonicera']	['Lonicera quinquelocularis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	nan	['Lonicera']	nan	7	2	8.0	1	138	Terpenoids	0.16666666666666666	Monoterpenoids	0.08333333333333333	Terpenoid alkaloids	0.08333333333333333
3	1003	1.0|1.0|1.0	0.0|0.0|0.0	MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q27105318|http://www.wikidata.org/entity/Q105192048|http://www.wikidata.org/entity/Q105135982	WQSDYZZEIBAPIN-VBQORRLJSA-N|OHEYCHKLBCPRLZ-VHCZEJTMSA-N|JVVFTHAOTNXPOZ-SSLCBRODSA-N	InChI=1S/C15H18O9/c16-6-10-12(20)13(21)14(22)15(23-10)24-11(19)4-2-7-1-3-8(17)9(18)5-7/h1-5,10,12-18,20-22H,6H2/b4-2+/t10-,12-,13+,14-,15+/m1/s1|InChI=1S/C15H18O9/c16-6-10-12(20)13(21)14(22)15(24-10)23-9-3-1-7(5-8(9)17)2-4-11(18)19/h1-5,10,12-17,20-22H,6H2,(H,18,19)/b4-2+/t10-,12-,13+,14-,15-/m1/s1|InChI=1S/C15H18O9/c16-8-3-1-7(5-9(8)17)2-4-11(18)23-6-10-12(19)13(20)14(21)15(22)24-10/h1-5,10,12-17,19-22H,6H2/b4-2+/t10-,12-,13+,14-,15?/m1/s1	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O|O=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1|O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	C15H18O9|C15H18O9|C15H18O9	pos_2MHNH3|pos_2MHNH3|pos_2MHNH3	342.0950821559999|342.09508215599993|342.0950821559999	1-Caffeoyl-beta-D-glucose|Linocaffein|6-O-(E)-Caffeoylglucopyranose	WQSDYZZEIBAPIN|OHEYCHKLBCPRLZ|JVVFTHAOTNXPOZ	Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)|Phenylpropanoids (C6-C3)|Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives|Cinnamic acids and derivatives|Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q15239177|http://www.wikidata.org/entity/Q15239177|http://www.wikidata.org/entity/Q15239177	Clematis tashiroi|Clematis tashiroi|Clematis tashiroi	21287.0|21287.0|21287.0	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Ranunculales']|['Ranunculales']|['Ranunculales']	['Ranunculaceae']|['Ranunculaceae']|['Ranunculaceae']	['Anemoneae']|['Anemoneae']|['Anemoneae']	['Clematis']|['Clematis']|['Clematis']	['Clematis tashiroi']|['Clematis tashiroi']|['Clematis tashiroi']	nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Ranunculales']|['Ranunculales']|['Ranunculales']	['Ranunculaceae']|['Ranunculaceae']|['Ranunculaceae']	['Anemoneae']|['Anemoneae']|['Anemoneae']	['Clematis']|['Clematis']|['Clematis']	nan|nan|nan	8|8|8	3|3|3	9.5|9.5|9.5	1|1|1	1518	Shikimates and Phenylpropanoids	1.0	Phenylpropanoids (C6-C3)	0.5	Cinnamic acids and derivatives	0.5
4	1008	1.0	0.24056879	ISDB	http://www.wikidata.org/entity/Q105150241	LDJGFVIFCPBTNK-ZLSCPPGSSA-N	InChI=1S/C25H31NO3/c1-20(2)8-7-16-25(3,28)17-19-29-23-13-11-21(12-14-23)15-18-26-24(27)22-9-5-4-6-10-22/h4-14,16,28H,15,17-19H2,1-3H3,(H,26,27)/b16-7+/t25-/m1/s1	CC(C)=C/C=C/[C@@](C)(O)CCOc1ccc(CCNC(=O)c2ccccc2)cc1	C25H31NO3	nan	393.230393852	N-[2-[4-[(3S,4E)-3-hydroxy-3,7-dimethylocta-4,6-dienoxy]phenyl]ethyl]benzamide	LDJGFVIFCPBTNK	nan	nan	nan	http://www.wikidata.org/entity/Q15389241	Casimiroa pubescens	6125401.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Casimiroa']	['Casimiroa pubescens']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	0	4.962275147438049	1	-1	nan	nan	nan	nan	nan	nan
5	1016	1.0	0.22965382	ISDB	http://www.wikidata.org/entity/Q104169262	IYMQKDCNKPOJCA-UHFFFAOYSA-N	InChI=1S/C16H21NO6/c1-8-15(21-2)13(19)14(20)16(22-8)23-10-5-3-4-9-6-7-11(18)17-12(9)10/h3-5,8,13-16,19-20H,6-7H2,1-2H3,(H,17,18)	COC1C(C)OC(Oc2cccc3c2NC(=O)CC3)C(O)C1O	C16H21NO6	nan	323.136887392	8-(4'-O-methyl-alpha-rhamnopyranosyloxy)-3,4-dihydroquinolin-2(1H)-one	IYMQKDCNKPOJCA	nan	nan	nan	http://www.wikidata.org/entity/Q16825153	Actinomadura	305623.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptosporangiales']	['Thermomonosporaceae']	['Unknown']	['Actinomadura']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.9186152815818787	1	955	Shikimates and Phenylpropanoids	0.5	Phenolic acids (C6-C1)	0.5	Simple phenolic acids	0.5
6	1017	1.0	0.75550836	ISDB	http://www.wikidata.org/entity/Q27135719	LTUMRKDLVGQMJU-IUBLYSDUSA-N	InChI=1S/C18H30O/c1-15(2)9-6-10-16(3)11-7-12-17(4)13-8-14-18(5)19/h9,11,13H,6-8,10,12,14H2,1-5H3/b16-11+,17-13+	CC(=O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C	C18H30O	nan	262.22966558	Farnesylacetone	LTUMRKDLVGQMJU	Fatty acids	Fatty acyls	Fatty aldehydes	http://www.wikidata.org/entity/Q50837010	Chamomilla recutita	145582.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Matricaria']	['Matricaria chamomilla']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	8.522033452987671	1	727	Fatty acids	0.75	Fatty acyls	0.75	Fatty aldehydes	0.5
7	1018	7.0	0.60357153	ISDB	http://www.wikidata.org/entity/Q105364491	YURWZDJEVHQYGV-DOJUMQAQSA-N	InChI=1S/C19H36O3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(20)19(21)22-2/h10-11,18,20H,3-9,12-17H2,1-2H3/b11-10+/t18-/m1/s1	CCCCCCCC/C=C/CCCCCC[C@@H](O)C(=O)OC	C19H36O3	nan	312.266445012	(2R,9E)-2-Hydroxy-9-octadecenoic acid methyl ester	YURWZDJEVHQYGV	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	http://www.wikidata.org/entity/Q769865	Salvia nilotica	861976.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Mentheae']	['Salvia']	['Salvia nilotica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	7.914286136627197	1	89	Fatty acids	0.5609756097560976	Fatty Acids and Conjugates	0.3170731707317073	Hydroxy fatty acids	0.1951219512195122
8	1019	1.0	0.21407393	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	ZDQKGEKGLGASGB	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.8562957048416138	1	394	Fatty acids	0.2857142857142857	Fatty amides	0.14285714285714285	Wax monoesters	0.14285714285714285
9	102	2.0	0.25785267	ISDB	http://www.wikidata.org/entity/Q105252466	SGNVKVVRCUBSSV-SNVBAGLBSA-N	InChI=1S/C11H9NO2/c13-11-9-5-7-3-1-2-4-8(7)6-10(9)12-14-11/h1-5,10,12H,6H2/t10-/m1/s1	O=C1ON[C@@H]2Cc3ccccc3C=C12	C11H9NO2	nan	187.063328528	(9aR)-9,9a-dihydro-1H-benzo[f][2,1]benzoxazol-3-one	SGNVKVVRCUBSSV	Shikimates and Phenylpropanoids	nan	nan	http://www.wikidata.org/entity/Q15548072	Glehnia littoralis	622365.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Apiales']	['Apiaceae']	['Selineae']	['Glehnia']	['Glehnia littoralis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	1	5.5314106941223145	1	439	Shikimates and Phenylpropanoids	0.4	Phenolic acids (C6-C1)	0.2	Agarofuran sesquiterpenoids	0.2
