	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
0	7423	464	Terpenoids	0.8571428571428571	Sesquiterpenoids	0.8571428571428571	Drimane sesquiterpenoids	0.2857142857142857	22.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104996450	FKARAOWYAAUAFW-MGRBCSRPSA-N	InChI=1S/C28H40O4/c1-15-13-21-26(4,24(32)22(15)30)10-12-27(5)20-8-7-17-16(2)23(31)19(29)14-18(17)25(20,3)9-11-28(21,27)6/h14-15,20-21,24,29,31-32H,7-13H2,1-6H3/t15-,20+,21-,24-,25+,26-,27-,28+/m1/s1	Cc1c(O)c(O)cc2c1CC[C@H]1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@H](C)C(=O)[C@@H](O)[C@]3(C)CC[C@]12C	C28H40O4	pos_2_2proton	440.29265976	Regeol A	FKARAOWYAAUAFW	Terpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids	http://www.wikidata.org/entity/Q1424919	Tripterygium wilfordii	300831.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']	['Unknown']	['Tripterygium']	['Tripterygium wilfordii']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']				6	1	6.5	1
2	7422	1041	Terpenoids	1.0	Sesquiterpenoids	1.0	Bicyclogermacrane sesquiterpenoids	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105170136	MQNYOYOQPDJLJV-PEXFBTPGSA-N	InChI=1S/C17H24O3/c1-12(18)20-11-13-5-4-6-14(19)8-10-16-15(9-7-13)17(16,2)3/h5,8,10,15-16H,4,6-7,9,11H2,1-3H3/b10-8-,13-5+/t15-,16+/m1/s1	CC(=O)OC/C1=C/CCC(=O)/C=C\[C@H]2[C@@H](CC1)C2(C)C	C17H24O3	pos_1_1proton1methanol	276.172544628	[(1R,4E,9Z,11S)-12,12-dimethyl-8-oxo-4-bicyclo[9.1.0]dodeca-4,9-dienyl]methyl acetate	MQNYOYOQPDJLJV	Terpenoids	Sesquiterpenoids	Bicyclogermacrane sesquiterpenoids	http://www.wikidata.org/entity/Q157819	Valeriana officinalis	393341.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Valeriana']	['Valeriana officinalis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	3	7.5	1
4	7422	1041	Terpenoids	1.0	Sesquiterpenoids	1.0	Bicyclogermacrane sesquiterpenoids	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104933531	BESWSXOVDJDSKQ-HUJQHWLQSA-N	InChI=1S/C17H24O3/c1-11-6-5-7-13(19)8-9-14-16(17(14,3)4)15(10-11)20-12(2)18/h6,8-9,14-16H,5,7,10H2,1-4H3/b9-8-,11-6-/t14-,15+,16-/m0/s1	CC(=O)O[C@@H]1C/C(C)=C\CCC(=O)/C=C\[C@H]2[C@@H]1C2(C)C	C17H24O3	pos_1_1proton1methanol	276.172544628	(1alpha,2Z,7Z,10R,11alpha)-8,12,12-Trimethyl-10beta-acetoxybicyclo[9.1.0]dodeca-2,7-diene-4-one	BESWSXOVDJDSKQ	Terpenoids	Sesquiterpenoids	Bicyclogermacrane sesquiterpenoids	http://www.wikidata.org/entity/Q157819	Valeriana officinalis	393341.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Valeriana']	['Valeriana officinalis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	3	7.5	1
6	7422	1041	Terpenoids	1.0	Sesquiterpenoids	1.0	Bicyclogermacrane sesquiterpenoids	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q110192177	VGOHBZXHAWVRBT-UHFFFAOYSA-N	InChI=1S/C17H24O3/c1-12(19)20-11-13-5-4-6-14(10-18)9-16-15(8-7-13)17(16,2)3/h5,9-10,15-16H,4,6-8,11H2,1-3H3	CC(=O)OCC1=CCCC(C=O)=CC2C(CC1)C2(C)C	C17H24O3	pos_1_1proton1methanol	276.172544628	(8-Formyl-11,11-dimethyl-4-bicyclo[8.1.0]undeca-4,8-dienyl)methyl acetate	VGOHBZXHAWVRBT	Terpenoids	Sesquiterpenoids	Bicyclogermacrane sesquiterpenoids	http://www.wikidata.org/entity/Q85194805	Valeriana dageletiana	7625130.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Valeriana']	['Valeriana dageletiana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	3	7.5	1
8	7421	-1							1.0	0.4102572	ISDB	http://www.wikidata.org/entity/Q105185177	NSOQQZAUFCNZHQ-GWGOZDFZSA-N	InChI=1S/C23H45NO3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(27)22(20-25)24-21(2)26/h18-19,22-23,25,27H,3-17,20H2,1-2H3,(H,24,26)/b19-18+/t22-,23+/m1/s1	CCCCCCCCCCCCCCCC/C=C/[C@H](O)[C@@H](CO)NC(C)=O	C23H45NO3		383.3399443	Tanacetamide B	NSOQQZAUFCNZHQ	Fatty acids	Sphingolipids	Ceramides	http://www.wikidata.org/entity/Q15557042	Tanacetum sinaicum	7050869.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Tanacetum']	['Tanacetum sinaicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.6410287618637085	1
10	7420	106	Terpenoids	0.5555555555555556	Sesquiterpenoids	0.4	Eudesmane sesquiterpenoids	0.3111111111111111	97.0	0.53851944	ISDB	http://www.wikidata.org/entity/Q105190789	OFAYIAUICPXDBC-QPSCCSFWSA-N	InChI=1S/C15H24O/c1-10(2)12-5-6-15(4)9-13(16)7-11(3)14(15)8-12/h12-14,16H,1,3,5-9H2,2,4H3/t12-,13+,14+,15+/m1/s1	C=C(C)[C@@H]1CC[C@@]2(C)C[C@@H](O)CC(=C)[C@@H]2C1	C15H24O		220.182715388	Jatamol A	OFAYIAUICPXDBC	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q24853263	Nardostachys jatamansi	24101.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Nardostachys']	['Nardostachys jatamansi']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	3	9.654077768325806	1
11	7418	1370	Alkaloids	0.5	Pseudoalkaloids	0.5	Terpenoid alkaloids	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104399200	QFEWDYKEKVVRHZ-QVKHUSFCSA-N	InChI=1S/C35H48N2O10/c1-7-37-16-32(17-46-30(40)20-10-8-9-11-23(20)36-18(2)38)13-12-25(44-5)34-22-14-21-24(43-4)15-33(41,26(22)27(21)47-19(3)39)35(42,31(34)37)29(45-6)28(32)34/h8-11,21-22,24-29,31,41-42H,7,12-17H2,1-6H3,(H,36,38)/t21-,22-,24+,25+,26-,27+,28-,29+,31+,32+,33-,34+,35-/m1/s1	CCN1C[C@]2(COC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34[C@@H]5C[C@H]6[C@H](OC(C)=O)[C@@H]5[C@](O)(C[C@@H]6OC)[C@@](O)([C@@H](OC)[C@H]23)[C@@H]14	C35H48N2O10	pos_2_2sodium	656.330895736	[(1S,2R,3R,4S,5R,6S,8R,9S,10S,13S,16S,17R,18S)-4-acetyloxy-11-ethyl-8,9-dihydroxy-6,16,18-trimethoxy-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-13-yl]methyl 2-acetamidobenzoate	QFEWDYKEKVVRHZ	Alkaloids	Pseudoalkaloids	Terpenoid alkaloids	http://www.wikidata.org/entity/Q21873730	Delphinium ajacis	756488.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Delphinieae']	['Consolida']	['Consolida ajacis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']				6	3	7.5	1
17	7409	741	Terpenoids	0.4	Tryptophan alkaloids	0.2	Quinoline alkaloids	0.2	2.0	0.24727815	ISDB	http://www.wikidata.org/entity/Q110090874	IJGDGRMCHJUXEN-UHFFFAOYSA-N	InChI=1S/C20H29NO3/c1-5-6-7-8-9-10-11-15-12-13-16(23-3)18-17(15)19(22)20(24-4)14(2)21-18/h12-13H,5-11H2,1-4H3,(H,21,22)	CCCCCCCCc1ccc(OC)c2[nH]c(C)c(OC)c(=O)c12	C20H29NO3		331.214743788	3,8-dimethoxy-2-methyl-5-octyl-1H-quinolin-4-one	IJGDGRMCHJUXEN	Alkaloids	Tryptophan alkaloids	Quinoline alkaloids	http://www.wikidata.org/entity/Q7966688	Waltheria indica	1039214.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malvales']	['Malvaceae']	['Unknown']	['Waltheria']	['Waltheria indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	6.489112615585327	1
18	7408	691	Terpenoids	0.631578947368421	Glycerolipids	0.5789473684210527	Monoacylglycerols	0.42105263157894735	2.0	0.7919946	ISDB	http://www.wikidata.org/entity/Q27145340	ZCCLDKGWJIREQF-PDBXOOCHSA-N	InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-20(18-22)19-23/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3/b4-3-,7-6-,10-9-	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC(CO)CO	C21H36O4		352.261359632	2-Monolinolenin	ZCCLDKGWJIREQF	Fatty acids	Glycerolipids	Monoacylglycerols	http://www.wikidata.org/entity/Q10660730	Halimodendron halodendron	761641.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Caraganeae']	['Halimodendron']	['Halimodendron halodendron']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	8.667978286743164	1
19	7407	582	Shikimates and Phenylpropanoids	0.26666666666666666	Phenylpropanoids (C6-C3)	0.26666666666666666	Cinnamic acids and derivatives	0.26666666666666666	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105036017	IACGCNCKRUFSAK-BKJBWSIDSA-N	InChI=1S/C22H30O13/c1-9-15(25)17(27)19(29)21(33-9)32-8-13-16(26)18(28)20(30)22(34-13)35-14(24)6-4-10-3-5-11(23)12(7-10)31-2/h3-7,9,13,15-23,25-30H,8H2,1-2H3/b6-4+/t9-,13+,15-,16+,17+,18-,19+,20+,21+,22-/m0/s1	COc1cc(/C=C/C(=O)O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)ccc1O	C22H30O13	pos_1_1proton1acetonitrile	502.16864102	Clemomandshuricoside B	IACGCNCKRUFSAK	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q11103113	Clematis terniflora var. mandshurica	446556.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']	['Clematis terniflora']	Clematis terniflora var. mandshurica	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']		8	3	9.5	1
