id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
145_cdhrc_dbgi_alc_pos_sirius_4004	C22H34O8	[M + Na]+	Terpenoids	0.4332251250743866	Sesquiterpenoids	0.2696208357810974	Germacrane sesquiterpenoids	0.39960670471191406	Terpene glycosides	0.6175536513328552			Terpene glycosides	0.6175536513328552	Prenol lipids	0.5965015888214111	Lipids and lipid-like molecules	0.7174335718154907	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
97_cdhrc_dbgi_alc_pos_sirius_4817	C16H29NO4	[M + H]+	Amino acids and Peptides	0.25082457065582275	Linear polyketides	0.44373539090156555	Open-chain polyketides	0.32801005244255066	Alpha amino acids and derivatives	0.7354399561882019	Amino acids and derivatives	0.9561456441879272	Amino acids, peptides, and analogues	0.9548848271369934	Carboxylic acids and derivatives	0.9883622527122498	Organic acids and derivatives	0.9757451415061951	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
241_cdhrc_dbgi_alc_pos_sirius_3512	C46H79NO7	[M + K]+	Fatty acids	0.9993240833282471	Glycerophospholipids	0.8549920320510864	Glycerophosphocholines	0.16899365186691284	Glycerophosphocholines	0.6723008751869202			Glycerophosphocholines	0.6723008751869202	Glycerophospholipids	0.34555530548095703	Lipids and lipid-like molecules	0.9989084005355835	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Phosphocholines; Carbonyl compounds; Glycerophosphocholines; Amines; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
673_cdhrc_dbgi_alc_pos_sirius_5462	C36H49N5O8	[M + H]+	Amino acids and Peptides	0.9716923236846924	Oligopeptides	0.6686227917671204	Tripeptides	0.40181833505630493	Oligopeptides	0.9743846654891968	Peptides	0.983875572681427	Amino acids, peptides, and analogues	0.999911904335022	Carboxylic acids and derivatives	0.9998985528945923	Organic acids and derivatives	0.9999655485153198	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Lactams; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Oligopeptides; Chemical entities
193_cdhrc_dbgi_alc_pos_sirius_3193	C45H72O11	[M + Na]+	Fatty acids	0.9127629995346069	Glycerolipids	0.9839878678321838	Glycosyldiacylglycerols	0.9250485897064209	Glycosyldiradylglycerols	0.6740805506706238	Glycosyldiradylglycerols	0.6740805506706238	Glycosylglycerols	0.9652747511863708	Glycerolipids	0.8665047287940979	Lipids and lipid-like molecules	0.9992741942405701	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Lineolic acids and derivatives; Glycosylglycerols; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Glycosyldiradylglycerols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1153_cdhrc_dbgi_alc_pos_sirius_6920	C23H35NO9	[M + H]+	Terpenoids	0.9821872711181641	Apocarotenoids	0.6713849902153015	Tetracyclic diterpenoids	0.03481170907616615	Abscisic acids and derivatives	0.8597683906555176	Abscisic acids and derivatives	0.8597683906555176	Sesquiterpenoids	0.644729495048523	Prenol lipids	0.9454970955848694	Lipids and lipid-like molecules	0.9390223622322083	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Ketones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Hexoses; Sesquiterpenoids; Acetals; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; O-glycosyl compounds; Abscisic acids and derivatives; Polyols; Amines; Primary amines; Cyclic ketones; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2_cdhrc_dbgi_alc_pos_sirius_3683	C19H34BN5O4	[M + H]+	Amino acids and Peptides	0.6873408555984497	Small peptides	0.8218160271644592	Pinane monoterpenoids	0.3424917757511139	N-acyl-alpha amino acids and derivatives	0.953889012336731	Amino acids and derivatives	0.6222032308578491	Amino acids, peptides, and analogues	0.6411510705947876	Carboxylic acids and derivatives	0.9708839058876038	Organic acids and derivatives	0.9990430474281311	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Boronic acids; Organometallic compounds; Carboxylic acid amides; Boronic acid derivatives; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Boronic acid esters; Organometalloid compounds; Secondary carboxylic acid amides; Carbonyl compounds; Dioxaborolanes; Alpha amino acid amides; Organoboron compounds; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Fatty Acyls; Organic oxides; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1201_cdhrc_dbgi_alc_pos_sirius_4659	C11H18FNO7	[M + H]+	Alkaloids	0.7268434762954712	Mycosporine derivatives	0.26819610595703125	Pyrimidine nucleos(t)ides	0.561800479888916	Amino acids and derivatives	0.7961103916168213	Amino acids and derivatives	0.7961103916168213	Amino acids, peptides, and analogues	0.7904530763626099	Carboxylic acids and derivatives	0.9883365035057068	Organic acids and derivatives	0.9982650876045227	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Organofluorides; Secondary alcohols; Carbonyl compounds; Polyols; Amines; 1,2-diols; Alkyl halides; Methyl esters; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
529_cdhrc_dbgi_alc_pos_sirius_5373	C10H13NO2	[M + H]+	Alkaloids	0.9999979734420776	Tyrosine alkaloids	0.998421311378479	Isoquinoline alkaloids	0.9481993913650513	Tetrahydroisoquinolines	0.9811885952949524					Tetrahydroisoquinolines	0.9811885952949524	Organoheterocyclic compounds	0.9999997615814209	Organic compounds; Organoheterocyclic compounds; Phenols; Organonitrogen compounds; Organooxygen compounds; Dialkylamines; Benzenoids; Amines; Secondary amines; Tetrahydroisoquinolines; Aralkylamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities
577_cdhrc_dbgi_alc_pos_sirius_4243	C16H21NO5	[M + H]+	Alkaloids	0.897758424282074	Cyclic polyketides	0.38947802782058716	Quinoline alkaloids	0.2615487575531006	Hydropyridines	0.8529539704322815			Hydropyridines	0.8529539704322815	Pyridines and derivatives	0.8407697081565857	Organoheterocyclic compounds	0.9629034399986267	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Lactams; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Hydropyridines; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
