id	molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus
4004	C22H34O8	[M + Na]+	Terpenoids	Sesquiterpenoids	Germacrane sesquiterpenoids
4817	C16H29NO4	[M + H]+	Amino acids and Peptides	Linear polyketides	Open-chain polyketides
3512	C46H79NO7	[M + K]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
5462	C36H49N5O8	[M + H]+	Amino acids and Peptides	Oligopeptides	Tripeptides
3193	C45H72O11	[M + Na]+	Fatty acids	Glycerolipids	Glycosyldiacylglycerols
6920	C23H35NO9	[M + H]+	Terpenoids	Apocarotenoids	Tetracyclic diterpenoids
3683	C19H34BN5O4	[M + H]+	Amino acids and Peptides	Small peptides	Pinane monoterpenoids
4659	C11H18FNO7	[M + H]+	Alkaloids	Mycosporine derivatives	Pyrimidine nucleos(t)ides
5373	C10H13NO2	[M + H]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids
4243	C16H21NO5	[M + H]+	Alkaloids	Cyclic polyketides	Quinoline alkaloids
4701	C11H18N2O4	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
3598	C29H50O15	[M + Na]+	Terpenoids	Linear polyketides	Polyesters
7271	C42H80NO8P	[M + Na]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
2844	C22H38FNO3	[M + H]+	Terpenoids	Fatty amides	Phenylalanine-derived alkaloids
4962	C26H44N3O9P	[M + Na]+	Alkaloids	Ornithine alkaloids	Polyamines
3616	C34H65N5O7	[M + Na]+	Terpenoids	Steroids	Cholestane steroids
6796	C13H17N3O8	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
4334	C6H8N4O7	[M + K]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
4901	C41H70N6O11	[M + H]+	Amino acids and Peptides	Oligopeptides	Lipopeptides
2945	C26H45NO5	[M + H]+	Fatty acids	Steroids	Cholane steroids
5247	C26H38O12	[M + H]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
4488	C16H21NO5S	[M + Na]+	Amino acids and Peptides	Linear polyketides	Open-chain polyketides
6760	C28H44N4O4	[M + H]+	Alkaloids	Pseudoalkaloids	Cyclic peptides
3995	C26H45N5O8	[M + H]+	Alkaloids	Sphingolipids	Simple amide alkaloids
3053	C17H28O5	[M + H]+	Polyketides	Linear polyketides	Prostaglandins
3517	C41H75NO10	[M + H]+	Fatty acids	Sphingolipids	Neutral glycosphingolipids
6195	C11H23NO9	[M + H]+	Carbohydrates	Saccharides	Disaccharides
6196	C24H34F4N6O5	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
4441	C15H29NO7	[M + H]+	Alkaloids	Cyclic polyketides	Wax monoesters
3862	C34H67NO5	[M + H]+	Fatty acids	Sphingolipids	Ceramides
5396	C24H24O12	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
3555	C12H20O5	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids
5134	C19H25NO8	[M + H]+	Alkaloids	Ornithine alkaloids	Pyrrolizidine alkaloids
2807	C32H44N3O10P	[M + H]+	Alkaloids	Ornithine alkaloids	Isoquinoline alkaloids
3065	C22H40F2N4O4	[M + H]+	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids
3596	C29H52N6O3	[M + H]+	Terpenoids	Pseudoalkaloids	Pregnane steroids
6149	C10H14O4	[M + H]+	Polyketides	Monoterpenoids	Macrolide lactones
4953	C33H65N7O7	[M + H]+	Amino acids and Peptides	Oligopeptides	Lipopeptides
3860	C11H18N2O5	[M + H]+	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids
3562	C25H38FN3O3	[M + H]+	Alkaloids	Small peptides	Pyridine alkaloids
4128	C21H28N8O3S3	[M + H]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
5499	C23H15N5O9	[M + H]+	Alkaloids	Anthranilic acid alkaloids	Simple amide alkaloids
6762	C35H60O10	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
4721	C38H59N5O4	[M + H]+	Alkaloids	Pseudoalkaloids	Lipopeptides
6780	C30H51F3N4O4	[M + K]+	Alkaloids	Ornithine alkaloids	Tropane alkaloids
4035	C10H19NO7	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
3491	C43H68O10	[M + H]+	Fatty acids	Glycerolipids	Glycosyldiacylglycerols
6003	C22H23N5O9	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
2147	C15H16O9	[M + H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
2820	C35H55NO11	[M + H]+	Polyketides	Macrolides	Isocoumarins
