rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	7	0.9930153973079687	-103.27928552825156	N/A	15.397907691284512	C42H76NO10P	[M + H]+	SXAGHEPEFYTWSZ	InChI=1S/C42H76NO10P/c1-6-8-10-12-14-15-16-17-18-19-20-22-24-30-34-42(45)52-40(38-51-54(47,48)50-36-35-43(3,4)5)37-49-41(44)33-29-26-25-28-32-39(53-46)31-27-23-21-13-11-9-7-2/h14-15,17-18,21,23,27,31,39-40H,6-13,16,19-20,22,24-26,28-30,32-38H2,1-5H3,(H-,46,47,48)/p+1	null	CCCCCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCC(C=CC=CCCCCC)OO)COP(=O)(O)OCC[N+](C)(C)C	10.1999998	101632055	PubChem:(101632055)	2	786.5308227539062	603.36144	4906_cdhrc_dbgi_alc_pos_sirius_1337
2	1	1	4	0.9909110171717425	-239.56009078337516	N/A	117.13090384897703	C33H67N2O3P	[M + K]+	OGRHIPFIAHURLA	InChI=1S/C33H68N2O3P/c1-5-7-9-11-13-15-17-19-21-23-25-27-31-37-39(36,33-35(3,4)30-29-34)38-32-28-26-24-22-20-18-16-14-12-10-8-6-2/h5-28,30-33H2,1-4H3/q+1	null	CCCCCCCCCCCCCCOP(=O)(C[N+](C)(C)CC#N)OCCCCCCCCCCCCCC	12.6999998	10604742	PubChem:(10604742)	2	609.4528176772494	576.741078	744_cdhrc_dbgi_alc_pos_sirius_4131
3	1	1	1	0.9858388933875732	-0.3502980942531611	N/A	95.31438092729528	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.09723855244388	122.13540599999999	4474_cdhrc_dbgi_alc_pos_sirius_71
4	4	1	2	0.9663691401727427	-397.39267630554104	N/A	9.272152598789532	C17H24N10O3	[M + H]+	UTUSSRLIPLRJOY	InChI=1S/C17H24N10O3/c1-2-27-24-14(23-25-27)12-10(28)11(29)16(30-12)26-7-19-9-13(18)21-17(22-15(9)26)20-8-5-3-4-6-8/h7-8,10-12,16,28-29H,2-6H2,1H3,(H3,18,20,21,22)	null	CCN1N=C(N=N1)C2C(C(C(O2)N3C=NC4=C(N=C(N=C43)NC5CCCC5)N)O)O	-0.200000003	56615146	PubChem:(56615146)	2	417.2097431093668	189.232026	957_cdhrc_dbgi_alc_pos_sirius_4018
5	2	1	2	0.96185873192871	-272.34990444078977	N/A	40.27597917343436	C20H35BF2O3	[M + H]+	FRJSVIOTPWWYLI	InChI=1S/C20H35BF2O3/c1-14-6-12-17(13-7-14)24-20(22,23)15-8-10-16(11-9-15)21-25-18(2,3)19(4,5)26-21/h14-17H,6-13H2,1-5H3	null	B1(OC(C(O1)(C)C)(C)C)C2CCC(CC2)C(OC3CCC(CC3)C)(F)F	5.97036505	89850265	PubChem:(89850265)	2	372.27482396229897	406.35759	5632_cdhrc_dbgi_alc_pos_sirius_1370
6	2	1	5	0.9526101195063083	-486.78918508647837	N/A	206.17392517503026	C45H87NO10S	[M + H]+	VTPOOOUAKHXBCF	InChI=1S/C45H87NO10S/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(48)46-37(36-57(54,55)45-42(51)40(49)41(50)43(56-45)44(52)53)38(47)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h37-38,40-43,45,47,49-51H,3-36H2,1-2H3,(H,46,48)(H,52,53)	null	CCCCCCCCCCCCCCCCCCC(=O)NC(CS(=O)(=O)C1C(C(C(C(O1)C(=O)O)O)O)O)C(CCCCCCCCCCCCCCCCC)O	14.8000002	102281882;102281884	PubChem:(102281882 102281884)	2	834.6147844805164	537.0586619999999	7121_cdhrc_dbgi_alc_pos_sirius_1760
7	1	1	2	0.9524693095162572	-0.4137814750980768	N/A	32.26178319986613	C14H20N2O3	[M + H]+	GJNDXQBALKCYSZ	InChI=1S/C14H20N2O3/c1-9(2)12(15)13(17)16-11(14(18)19)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)	valylphenylalanine	CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N	1.10774088	144746;6993119;6993120;14212831;36689042;36689043;36689044;36689045;36689046;44369299;61157144;61172246;79012900;103869001	COCONUT:(CNP0087132);HMDB:(29134);PubChem:(144746 6993119 6993120 14212831 36689042 36689043 36689044 36689045 36689046 44369299 61157144 61172246 79012900 103869001);SuperNatural:(SN00036122 SN00036119 SN00036120 SN00036121);CHEBI:(75016);ZINC bio:(ZINC01605725 ZINC01605726 ZINC01605727 ZINC01605728);additional;Training Set;PubMed	3694698	265.1546429324011	150.594846	5337_cdhrc_dbgi_alc_pos_sirius_468
8	1	1	11	0.9514280343847272	-141.68675263613073	N/A	59.6642646172511	C21H35NO16	[M + H]+	JNNRJNOSERLBIJ	InChI=1S/C21H35NO16/c22-2-1-3-33-5-9-11(25)14(28)16(30)19(35-9)34-6-10-12(26)15(29)17(31)20(36-10)38-21(7-24)18(32)13(27)8(4-23)37-21/h8-20,23-32H,1,3-7H2	null	C(COCC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)C#N	-5.61894941	67784503	PubChem:(67784503)	2	558.2040443906169	92.75300399999999	6352_cdhrc_dbgi_alc_pos_sirius_6276
9	7	1	7	0.949924970872143	-182.97790741744174	N/A	5.1417187207404975	C18H23N8O10P	[M + H]+	GIQOUKRBWYPPAM	InChI=1S/C18H23N8O10P/c19-17-23-15-14(16(29)24-17)22-7-25(15)12-1-8(28)11(35-12)4-33-37(31,32)36-9-2-13(34-10(9)3-27)26-6-20-5-21-18(26)30/h5-13,27-28H,1-4H2,(H,31,32)(H3,19,23,24,29)	null	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OC4CC(OC4CO)N5C=NC=NC5=O)O	-4.0	138566735	PubChem:(138566735)	2	543.1324409023973	36.2989032	3395_cdhrc_dbgi_alc_pos_sirius_172
10	2	1	2	0.9126899904346688	-188.20564079163415	N/A	57.169058237502696	C11H23NO3P	[M + H]+	FNEZDHBOGHOYAY	InChI=1S/C11H24NO3P/c1-8-15-16(14)9(10(2,3)4)12(13)11(5,6)7/h9H,8H2,1-7H3/q+1	null	CCO[P+](=O)C(C(C)(C)C)N(C(C)(C)C)[O]	2.29999995	132514227	PubChem:(132514227)	2	249.1484580114538	291.891432	7099_cdhrc_dbgi_alc_pos_sirius_1850
