ConfidenceScore_sirius	CSI:FingerIDScore_sirius	ZodiacScore_sirius	SiriusScore_sirius	molecularFormula_sirius	adduct_sirius	InChIkey2D_sirius	InChI_sirius	name_sirius	smiles_sirius	xlogp_sirius	ionMass_sirius	id
0.9930153973079688	-103.27928552825156		15.397907691284512	C42H76NO10P	[M + H]+	SXAGHEPEFYTWSZ	InChI=1S/C42H76NO10P/c1-6-8-10-12-14-15-16-17-18-19-20-22-24-30-34-42(45)52-40(38-51-54(47,48)50-36-35-43(3,4)5)37-49-41(44)33-29-26-25-28-32-39(53-46)31-27-23-21-13-11-9-7-2/h14-15,17-18,21,23,27,31,39-40H,6-13,16,19-20,22,24-26,28-30,32-38H2,1-5H3,(H-,46,47,48)/p+1		CCCCCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCC(C=CC=CCCCCC)OO)COP(=O)(O)OCC[N+](C)(C)C	10.1999998	786.5308227539062	1337
0.9909110171717423	-239.5600907833752		117.13090384897704	C33H67N2O3P	[M + K]+	OGRHIPFIAHURLA	InChI=1S/C33H68N2O3P/c1-5-7-9-11-13-15-17-19-21-23-25-27-31-37-39(36,33-35(3,4)30-29-34)38-32-28-26-24-22-20-18-16-14-12-10-8-6-2/h5-28,30-33H2,1-4H3/q+1		CCCCCCCCCCCCCCOP(=O)(C[N+](C)(C)CC#N)OCCCCCCCCCCCCCC	12.6999998	609.4528176772494	4131
0.9858388933875732	-0.3502980942531611		95.31438092729528	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	205.09723855244388	71
0.9663691401727428	-397.392676305541		9.272152598789532	C17H24N10O3	[M + H]+	UTUSSRLIPLRJOY	InChI=1S/C17H24N10O3/c1-2-27-24-14(23-25-27)12-10(28)11(29)16(30-12)26-7-19-9-13(18)21-17(22-15(9)26)20-8-5-3-4-6-8/h7-8,10-12,16,28-29H,2-6H2,1H3,(H3,18,20,21,22)		CCN1N=C(N=N1)C2C(C(C(O2)N3C=NC4=C(N=C(N=C43)NC5CCCC5)N)O)O	-0.200000003	417.2097431093668	4018
0.96185873192871	-272.34990444078977		40.27597917343436	C20H35BF2O3	[M + H]+	FRJSVIOTPWWYLI	InChI=1S/C20H35BF2O3/c1-14-6-12-17(13-7-14)24-20(22,23)15-8-10-16(11-9-15)21-25-18(2,3)19(4,5)26-21/h14-17H,6-13H2,1-5H3		B1(OC(C(O1)(C)C)(C)C)C2CCC(CC2)C(OC3CCC(CC3)C)(F)F	5.97036505	372.27482396229897	1370
0.9526101195063084	-486.7891850864784		206.17392517503023	C45H87NO10S	[M + H]+	VTPOOOUAKHXBCF	InChI=1S/C45H87NO10S/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(48)46-37(36-57(54,55)45-42(51)40(49)41(50)43(56-45)44(52)53)38(47)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h37-38,40-43,45,47,49-51H,3-36H2,1-2H3,(H,46,48)(H,52,53)		CCCCCCCCCCCCCCCCCCC(=O)NC(CS(=O)(=O)C1C(C(C(C(O1)C(=O)O)O)O)O)C(CCCCCCCCCCCCCCCCC)O	14.8000002	834.6147844805164	1760
0.9524693095162572	-0.4137814750980768		32.26178319986613	C14H20N2O3	[M + H]+	GJNDXQBALKCYSZ	InChI=1S/C14H20N2O3/c1-9(2)12(15)13(17)16-11(14(18)19)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)	valylphenylalanine	CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N	1.10774088	265.1546429324011	468
0.9514280343847272	-141.68675263613073		59.6642646172511	C21H35NO16	[M + H]+	JNNRJNOSERLBIJ	InChI=1S/C21H35NO16/c22-2-1-3-33-5-9-11(25)14(28)16(30)19(35-9)34-6-10-12(26)15(29)17(31)20(36-10)38-21(7-24)18(32)13(27)8(4-23)37-21/h8-20,23-32H,1,3-7H2		C(COCC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)C#N	-5.61894941	558.2040443906169	6276
0.949924970872143	-182.9779074174417		5.1417187207404975	C18H23N8O10P	[M + H]+	GIQOUKRBWYPPAM	InChI=1S/C18H23N8O10P/c19-17-23-15-14(16(29)24-17)22-7-25(15)12-1-8(28)11(35-12)4-33-37(31,32)36-9-2-13(34-10(9)3-27)26-6-20-5-21-18(26)30/h5-13,27-28H,1-4H2,(H,31,32)(H3,19,23,24,29)		C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OC4CC(OC4CO)N5C=NC=NC5=O)O	-4.0	543.1324409023973	172
0.9126899904346688	-188.20564079163412		57.169058237502696	C11H23NO3P	[M + H]+	FNEZDHBOGHOYAY	InChI=1S/C11H24NO3P/c1-8-15-16(14)9(10(2,3)4)12(13)11(5,6)7/h9H,8H2,1-7H3/q+1		CCO[P+](=O)C(C(C)(C)C)N(C(C)(C)C)[O]	2.29999995	249.1484580114538	1850
0.9112121510610174	-151.2957216782337		88.05104225607782	C18H39N5O11	[M + K]+	YRRNOMYLKVACGP	InChI=1S/C18H39N5O11/c19-1-5(25)11(26)6(2-20)31-4-32-16-9(22)13(28)10(23)17(15(16)30)34-18-14(29)8(21)12(27)7(3-24)33-18/h5-18,24-30H,1-4,19-23H2		C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)OCOC(CN)C(C(CN)O)O)N)O)N)O)N)O)O	-8.60000038	540.2288079713545	3229
0.9080085639404366	-329.3373372967777		34.09227901839328	C32H55N5O6S	[M + K]+	LQDIDNLPMMOOSB	InChI=1S/C32H55N5O6S/c1-18(2)13-21(28(39)32(7)17-43-32)34-30(41)23(15-20(5)6)35-29(40)22(14-19(3)4)33-26(38)12-10-8-9-11-25-27-24(16-44-25)36-31(42)37-27/h18-25,27H,8-17H2,1-7H3,(H,33,38)(H,34,41)(H,35,40)(H2,36,37,42)		CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)CCCCCC2C3C(CS2)NC(=O)N3	4.0999999	676.3518355606458	5695
0.9007674240058736	-94.55273316668948		77.78113245313634	C29H48O9	[M + K]+	JJBWLYWIMGBGEQ	InChI=1S/C29H48O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(32)37-23(20-30)22-36-29-28(35)27(34)26(33)24(21-31)38-29/h6-7,9-10,12-13,15-16,23-24,26-31,33-35H,2-5,8,11,14,17-22H2,1H3		CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COC1C(C(C(C(O1)CO)O)O)O	3.70000005	579.2927992944228	5165
0.8987598916562104	-65.77574557801242		172.37602512288524	C17H26O9	[M + H]+	KMHXLGLJTQHEIM	InChI=1S/C17H26O9/c1-7-3-4-8-9(15(22)23-2)6-24-16(11(7)8)26-17-14(21)13(20)12(19)10(5-18)25-17/h6-8,10-14,16-21H,3-5H2,1-2H3	Deoxyloganin	CC1CCC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O	0.0	375.164737062182	2202
0.8855519784683972	-250.4931920477661		25.39087038848931	C26H45N9O5	[M + H]+	VPKMUFOZLBHZGL	InChI=1S/C26H45N9O5/c27-14-21(36)34-12-2-6-20(34)24(39)33-18(4-1-11-31-26(29)30)25(40)35-13-3-5-19(35)23(38)32-15-16-7-9-17(10-8-16)22(28)37/h16-20H,1-15,27H2,(H2,28,37)(H,32,38)(H,33,39)(H4,29,30,31)		C1CC(N(C1)C(=O)CN)C(=O)NC(CCCN=C(N)N)C(=O)N2CCCC2C(=O)NCC3CCC(CC3)C(=O)N	-2.4000001	564.3588640408168	442
0.8836657136514309	-215.8934308235028		49.821150513272926	C20H36N7O10P	[M + Na]+	QHPCKBYWVGXOHS	InChI=1S/C20H36N7O10P/c21-3-1-5-32-7-9-34-10-8-33-6-2-4-26-37-38(30,31)35-11-14-16(28)17(29)20(36-14)27-13-25-15-18(22)23-12-24-19(15)27/h12-14,16-17,20,26,28-29H,1-11,21H2,(H,30,31)(H2,22,23,24)		C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)ONCCCOCCOCCOCCCN)O)O)N	-2.78388572	588.2135846408097	36
0.8758201762475052	-147.3525991645673		120.17634964015993	C29H37NO12	[M + H]+	RPUCXGXPWYXBOD	InChI=1S/C29H37NO12/c1-15(31)37-14-28-22(41-25(35)19-9-8-10-30-13-19)11-20-23(39-17(3)33)29(28,42-26(20,5)6)27(7,36)12-21(38-16(2)32)24(28)40-18(4)34/h8-10,13,20-24,36H,11-12,14H2,1-7H3		CC(=O)OCC12C(CC3C(C1(C(CC(C2OC(=O)C)OC(=O)C)(C)O)OC3(C)C)OC(=O)C)OC(=O)C4=CN=CC=C4	0.899999976	592.2390670911702	5331
0.8747517763154029	-334.9976765089121		172.0012850139464	C33H59NO14	[M + H]+	LLWPPSFFAIEVLP	InChI=1S/C33H59NO14/c1-21(16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-24(37)34-18-25(38)44-2)45-33-31(29(42)27(40)23(20-36)47-33)48-32-30(43)28(41)26(39)22(19-35)46-32/h3-4,21-23,26-33,35-36,39-43H,5-20H2,1-2H3,(H,34,37)	Glycine-N-{17-L-[(2''-O-.beta.-D-glucopyranosyl-.beta.-D-glucopyranosyl)oxy]-cis-9-octadecenamide} methyl ester	CC(CCCCCCC=CCCCCCCCC(=O)NCC(=O)OC)OC1C(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)CO)O)O)O	2.0999999	694.4002550279183	109
0.8713314367013314	-28.84903396449992		78.29973025060457	C18H24O12	[M + H]+	WCVUIHQUPRXYKT	InChI=1S/C18H24O12/c1-8-16(9(19)3-4-27-8)30-17-15(25)14(24)13(23)10(29-17)7-28-12(22)6-18(2,26)5-11(20)21/h3-4,10,13-15,17,23-26H,5-7H2,1-2H3,(H,20,21)	Licoagroside B	CC1=C(C(=O)C=CO1)OC2C(C(C(C(O2)COC(=O)CC(C)(CC(=O)O)O)O)O)O	-2.4000001	433.1346041112223	3499
0.8625560734352438	-29.69887806657984		223.1575590457707	C14H24O6	[M + H]+	FIDISSFBBFUTOK	InChI=1S/C14H24O6/c1-9(11(15)7-13(17)18)5-3-4-6-10(2)12(16)8-14(19)20/h3-4,9-12,15-16H,5-8H2,1-2H3,(H,17,18)(H,19,20)		CC(CC=CCC(C)C(CC(=O)O)O)C(CC(=O)O)O	0.800000012	289.1647313048336	5606
0.8597167432376556	-383.378173603051		40.46792104094431	C25H28N6O7	[M + Na]+	YUEYAATWKGMMFW	InChI=1S/C25H28N6O7/c26-17(9-13-5-7-15(32)8-6-13)22-30-31-23(38-22)19(11-21(33)34)28-25(37)29-20(24(35)36)10-14-12-27-18-4-2-1-3-16(14)18/h1-8,12,17,19-21,27,32-34H,9-11,26H2,(H,35,36)(H2,28,29,37)		C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)NC(CC(O)O)C3=NN=C(O3)C(CC4=CC=C(C=C4)O)N	0.904527366	547.1913519452429	3745
0.8566564666648057	-89.6711429259061		7.238643903707592	C38H68NO10P	[M + Na]+	PKYOWWJUKYEIFE	InChI=1S/C38H68NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-20-23-28-37(42)46-33-36(34-48-50(44,45)47-32-30-39(2,3)4)49-38(43)29-24-21-18-19-22-26-35(41)27-25-31-40/h12-13,25,27,31,36H,5-11,14-24,26,28-30,32-34H2,1-4H3/p+1		CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(=O)C=CC=O	8.0	752.4466164107762	3371
0.8559502510138165	-137.0848726488556		47.755914571868935	C31H34O13	[M + H]+	XJYKKSWBSUUWAV	InChI=1S/C31H34O13/c1-31(2,40)16-7-3-15(4-8-16)29(39)41-13-21-23(35)25(37)26(38)30(43-21)44-28-24(36)22-19(34)11-18(33)12-20(22)42-27(28)14-5-9-17(32)10-6-14/h3,5-6,9-12,16,21,23,25-26,30,32-35,37-38,40H,4,7-8,13H2,1-2H3		CC(C)(C1CCC(=CC1)C(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O	2.0999999	615.2073029681648	6730
0.8483185509844218	-4.252004448081238		63.3972275360963	C15H22N4O3	[M + H]+	UBMDAKWARMURDL	InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)	feruloylagmatine	COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O	0.971612275	307.17665036211724	471
0.8471499155098801	-414.5556126393351		5.315973268788142	C17H32N6O8	[M + K]+	NXABBVMFHXAINE	InChI=1S/C17H32N6O8/c24-10-1-13(27)18-4-6-21-16(30)23(9-8-20-15(29)3-12-26)17(31)22-7-5-19-14(28)2-11-25/h24-26H,1-12H2,(H,18,27)(H,19,28)(H,20,29)(H,21,30)(H,22,31)		C(CO)C(=O)NCCNC(=O)N(CCNC(=O)CCO)C(=O)NCCNC(=O)CCO	-4.0	487.1928470937704	2499
