molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus	ConfidenceScore_sirius	CSI:FingerIDScore_sirius	ZodiacScore_sirius	SiriusScore_sirius	molecularFormula_sirius	adduct_sirius	InChIkey2D_sirius	InChI_sirius	name_sirius	smiles_sirius	xlogp_sirius	ionMass_sirius	Unnamed: 0_metAnnot	rank_spec_metAnnot	msms_score_metAnnot	libname_metAnnot	structure_wikidata_metAnnot	structure_inchikey_metAnnot	structure_inchi_metAnnot	structure_smiles_metAnnot	structure_molecular_formula_metAnnot	adduct_metAnnot	structure_exact_mass_metAnnot	structure_nameTraditional_metAnnot	short_inchikey_metAnnot	structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_metAnnot	organism_wikidata_metAnnot	organism_name_metAnnot	organism_taxonomy_ottid_metAnnot	organism_taxonomy_01domain_metAnnot	organism_taxonomy_02kingdom_metAnnot	organism_taxonomy_03phylum_metAnnot	organism_taxonomy_04class_metAnnot	organism_taxonomy_05order_metAnnot	organism_taxonomy_06family_metAnnot	organism_taxonomy_07tribe_metAnnot	organism_taxonomy_08genus_metAnnot	organism_taxonomy_09species_metAnnot	organism_taxonomy_10varietas_metAnnot	matched_domain_metAnnot	matched_kingdom_metAnnot	matched_phylum_metAnnot	matched_class_metAnnot	matched_order_metAnnot	matched_family_metAnnot	matched_tribe_metAnnot	matched_genus_metAnnot	matched_species_metAnnot	score_taxo_metAnnot	score_max_consistency_metAnnot	final_score_metAnnot	rank_final_metAnnot	component_id_metAnnot	structure_taxonomy_npclassifier_01pathway_consensus_metAnnot	freq_structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_consensus_metAnnot	freq_structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_consensus_metAnnot	freq_structure_taxonomy_npclassifier_03class_metAnnot	shared_id
C22H34O8	[M + Na]+	Terpenoids	Sesquiterpenoids	Germacrane sesquiterpenoids	0.1003419268722944	-185.5306298718505		11.165608101675437	C22H34O8	[M + Na]+	VEBDTNPUFCLNRE	InChI=1S/C22H34O8/c1-2-3-4-5-6-7-8-9-18(24)28-15-10-12-16(13-11-15)29-22-21(27)20(26)19(25)17(14-23)30-22/h10-13,17,19-23,25-27H,2-9,14H2,1H3		CCCCCCCCCC(=O)OC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O	3.29559255	449.2147702208417																																																		4004
C16H29NO4	[M + H]+	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.0964292257981111	-164.30208083381305		88.01096565372701	C16H29NO4	[M + H]+	JAOSABCOLIQQRB	InChI=1S/C16H29NO4/c1-3-5-6-7-8-9-10-14(16(20)21)17(12-4-2)13-11-15(18)19/h4,14H,2-3,5-13H2,1H3,(H,18,19)(H,20,21)		CCCCCCCCC(C(=O)O)N(CCC(=O)O)CC=C	1.70000005	300.2168914469353																																																		4817
C46H79NO7	[M + K]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.1674818425350397	-53.3227765004689		2.3218131559693806	C42H80NO9P	[M + Na]+	BTUXUYMJKAVCGX	InChI=1S/C42H80NO9P/c1-6-8-10-11-12-13-14-15-16-19-22-25-29-33-41(45)49-37-40(38-51-53(47,48)50-36-35-43(3,4)5)52-42(46)34-30-26-23-20-17-18-21-24-28-32-39(44)31-27-9-7-2/h21,24,31,40H,6-20,22-23,25-30,32-38H2,1-5H3,(H-,44,47,48)/p+1		CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCC(=CCCCC)O	12.1999998	796.5474853515625																																																		3512
C36H49N5O8	[M + H]+	Amino acids and Peptides	Oligopeptides	Tripeptides	0.2047676062087205	-226.4774054825345		68.07460321529832	C36H49N5O8	[M + H]+	BMGDFANKVDTHSQ	InChI=1S/C36H49N5O8/c1-22(2)19-29(32(44)41-28(34(47)48)10-8-7-9-27(33(45)46)39-31(43)21-36(4,5)6)40-30(42)20-24-13-17-26(18-14-24)38-35(49)37-25-15-11-23(3)12-16-25/h7-8,11-18,22,27-29H,9-10,19-21H2,1-6H3,(H,39,43)(H,40,42)(H,41,44)(H,45,46)(H,47,48)(H2,37,38,49)	(E)-2-(3,3-dimethylbutanoylamino)-7-[[4-methyl-2-[[2-[4-[(4-methylphenyl)carbamoylamino]phenyl]acetyl]amino]pentanoyl]amino]oct-4-enedioic acid	CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)CC(=O)NC(CC(C)C)C(=O)NC(CC=CCC(C(=O)O)NC(=O)CC(C)(C)C)C(=O)O	4.5999999	680.3655317177281	1607.0	1.0|1.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q104939116|http://www.wikidata.org/entity/Q105260732	BNZPSEZCTSCFIK-ACOAUPBPSA-N|SUAGNMVLYLCPLQ-HZTMVZLDSA-N	InChI=1S/C36H43NO9/c1-7-16(2)32(41)46-26-30(40)34(6)15-37-21-14-35-13-17(3)22-24(45-33(42)20-11-9-8-10-12-20)23(35)29(37)36(27(21)34,31(26)44-19(5)39)28(35)25(22)43-18(4)38/h8-12,16,21-31,40H,3,7,13-15H2,1-2,4-6H3/t16-,21-,22-,23+,24+,25-,26+,27+,28+,29+,30+,31+,34-,35-,36+/m1/s1|InChI=1S/C36H43NO9/c1-7-16(2)32(41)46-30-24(40)31(44-19(5)39)36-27-21-14-35-13-17(3)22(26(28(35)36)43-18(4)38)25(45-33(42)20-11-9-8-10-12-20)23(35)29(36)37(21)15-34(27,30)6/h8-12,16,21-31,40H,3,7,13-15H2,1-2,4-6H3/t16-,21+,22+,23-,24-,25-,26+,27-,28-,29-,30+,31+,34+,35+,36-/m0/s1	C=C1C[C@@]23C[C@@H]4[C@H]5[C@@]6(C)CN4[C@H]4[C@@H]2[C@@H](OC(=O)c2ccccc2)[C@@H]1[C@@H](OC(C)=O)[C@@H]3[C@]45[C@@H](OC(C)=O)[C@@H](OC(=O)[C@H](C)CC)[C@@H]6O|C=C1C[C@@]23C[C@@H]4[C@H]5[C@@]6(C)CN4[C@H]4[C@@H]2[C@@H](OC(=O)c2ccccc2)[C@@H]1[C@@H](OC(C)=O)[C@@H]3[C@]45[C@H](OC(C)=O)[C@@H](O)[C@H]6OC(=O)[C@@H](C)CC	C36H43NO9|C36H43NO9	pos_1_1proton1ethylamine|pos_1_1proton1ethylamine	633.293781956|633.293781956	[(1S,2R,3S,4R,5S,8S,9R,10R,11S,14S,16R,17S,18S,19S)-2,19-diacetyloxy-4-hydroxy-5-methyl-3-[(2R)-2-methylbutanoyl]oxy-12-methylidene-7-azaheptacyclo[9.6.2.01,8.05,17.07,16.09,14.014,18]nonadecan-10-yl] benzoate|[(1S,2S,3S,4S,5S,8S,9R,10R,11S,14S,16R,17S,18S,19S)-2,19-diacetyloxy-3-hydroxy-5-methyl-4-[(2S)-2-methylbutanoyl]oxy-12-methylidene-7-azaheptacyclo[9.6.2.01,8.05,17.07,16.09,14.014,18]nonadecan-10-yl] benzoate	BNZPSEZCTSCFIK|SUAGNMVLYLCPLQ	Alkaloids|Alkaloids	Pseudoalkaloids|Pseudoalkaloids	Terpenoid alkaloids|Terpenoid alkaloids	http://www.wikidata.org/entity/Q15373848|http://www.wikidata.org/entity/Q15373848	Delphinium verdunense|Delphinium verdunense	142827.0|142827.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Ranunculales']|['Ranunculales']	['Ranunculaceae']|['Ranunculaceae']	['Delphinieae']|['Delphinieae']	['Delphinium']|['Delphinium']	['Delphinium verdunense']|['Delphinium verdunense']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Ranunculales']|['Ranunculales']	['Ranunculaceae']|['Ranunculaceae']	nan|nan	nan|nan	nan|nan	6|6	3|3	7.5|7.5	1|1	463.0	Alkaloids	0.6	Pseudoalkaloids	0.6	Terpenoid alkaloids	0.6	5462
C45H72O11	[M + Na]+	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	0.1672428824541978	-185.4568912747268		179.4393564791846	C45H72O11	[M + Na]+	HJMOOVDMBBFAGL	InChI=1S/C45H72O11/c1-3-5-7-9-10-11-12-13-14-15-16-18-21-24-27-31-40(47)53-36-38(37-54-45-44(51)43(50)42(49)39(35-46)56-45)55-41(48)32-28-25-22-19-17-20-23-26-30-34-52-33-29-8-6-4-2/h5-8,10-11,13-14,23,26,29-30,33-34,38-39,42-46,49-51H,3-4,9,12,15-22,24-25,27-28,31-32,35-37H2,1-2H3		CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COC1C(C(C(C(O1)CO)O)O)O)OC(=O)CCCCCCCC=CC=COC=CC=CCC	9.5	811.4952392578125																																																		3193
C23H35NO9	[M + H]+	Terpenoids	Apocarotenoids	Tetracyclic diterpenoids	0.4560043708880232	-220.06719670331364		101.3649087060188	C23H35NO9	[M + H]+	QBLAQMNWBDXURQ	InChI=1S/C23H35NO9/c1-8-20(5)11-14(27)23(30)21(6)13(26)9-10-19(3,4)16(21)15(28)17(22(23,7)33-20)31-18(29)24-32-12(2)25/h8,13,15-17,26,28,30H,1,9-11H2,2-7H3,(H,24,29)	[[(3R,4aR,5S,6S,6aS,10S,10aR,10bS)-3-ethenyl-6,10,10b-trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-5,6,6a,8,9,10-hexahydro-2H-benzo[f]chromen-5-yl]oxycarbonylamino] acetate	CC(=O)ONC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O	0.899999976	470.2386398007028																																																		6920
C19H34BN5O4	[M + H]+	Amino acids and Peptides	Small peptides	Pinane monoterpenoids		-545.7735655878722		31.111904748814005	C19H34BN5O4	[M + H]+	GRGBWRGWNYTHSX	InChI=1S/C19H34BN5O4/c1-17(2,3)27-16(26)23-11-9-10-22-15-24-12-13(14(21-8)25-15)20-28-18(4,5)19(6,7)29-20/h12H,9-11H2,1-8H3,(H,23,26)(H2,21,22,24,25)		B1(OC(C(O1)(C)C)(C)C)C2=CN=C(N=C2NC)NCCCNC(=O)OC(C)(C)C	2.91540217	407.28094405264017	1006.0	1.0	0.3905668	ISDB	http://www.wikidata.org/entity/Q105190343	OEKUSRBIIZNLHZ-QHLUWSNTSA-N	InChI=1S/C24H38O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-14,16-20,22,26-27H,4-12H2,1-3H3,(H,28,29)/t13-,14?,16?,17?,18?,19-,20+,22?,23+,24-/m1/s1	C[C@H](CCC(=O)O)C1CCC2C3C(C[C@H](O)[C@@]21C)[C@@]1(C)CCC(=O)CC1C[C@H]3O	C24H38O5		406.271924316	7 alpha,12alpha-Dihydroxy-3-ketocholanic acid	OEKUSRBIIZNLHZ	Terpenoids	Steroids	Cholane steroids	http://www.wikidata.org/entity/Q2116089	Psychrobacter	1082389.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Moraxellaceae']	['Unknown']	['Psychrobacter']	['Unknown']											0	0	1.5622671842575073	1	-1.0							3683
C11H18FNO7	[M + H]+	Alkaloids	Mycosporine derivatives	Pyrimidine nucleos(t)ides	0.4626559896343161	-146.66886991817532		46.47670862827557	C11H20N3O3P	[M + Na]+	NTESSEJGIJGDQG	InChI=1S/C11H20N3O3P/c12-2-1-7-17-18(13-3-8-15-9-4-13)14-5-10-16-11-6-14/h1,3-11H2		C1COCCN1P(N2CCOCC2)OCCC#N	-0.600000024	296.11292840194096																																																		4659
C10H13NO2	[M + H]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.3824391772337439	-34.592797885588254		55.23732592355959	C10H13NO2	[M + H]+	IBRKLUSXDYATLG	InChI=1S/C10H13NO2/c1-6-8-5-10(13)9(12)4-7(8)2-3-11-6/h4-6,11-13H,2-3H2,1H3	Salsolinol	CC1C2=CC(=C(C=C2CCN1)O)O	1.0	180.1018524169922																																																		5373
C16H21NO5	[M + H]+	Alkaloids	Cyclic polyketides	Quinoline alkaloids	0.0516703330167687	-222.10487179644824		54.255325286178	C16H21NO5	[M + H]+	QLYZQZANZYFEBZ	InChI=1S/C16H21NO5/c1-11-6-12(16(19)20)9-17(8-11)15(18)10-22-14-5-3-4-13(7-14)21-2/h3-5,7,11-12H,6,8-10H2,1-2H3,(H,19,20)		CC1CC(CN(C1)C(=O)COC2=CC=CC(=C2)OC)C(=O)O	1.79999995	308.14917955600816	1187.0	1.0	0.2255192	ISDB	http://www.wikidata.org/entity/Q77495002	LANWWIQLMZOPKM-FPYGCLRLSA-N	InChI=1S/C16H21NO5/c1-11(19)3-8-15(20)14(9-16(21)22-2)17-13-6-4-12(10-18)5-7-13/h3-8,10-11,14-15,17,19-20H,9H2,1-2H3/b8-3+	COC(=O)CC(Nc1ccc(C=O)cc1)C(O)/C=C/C(C)O	C16H21NO5		307.141972772	(E)-3-(4-Formylanilino)-4,7-dihydroxy-5-octenoic acid methyl ester	LANWWIQLMZOPKM				http://www.wikidata.org/entity/Q7623399	Streptomyces viridochromogenes	676476.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces viridochromogenes']											0	0	0.902076780796051	1	49.0	Alkaloids	0.2564102564102564	Tyrosine alkaloids	0.0769230769230769	Isoquinoline alkaloids	0.0769230769230769	4243
