SpectrumID	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	UpdateWorkflowName	LibraryQualityString	#Scan#	SpectrumFile	LibraryName	MQScore	Organism	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	LibMZ	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	tags	MoleculeExplorerDatasets	MoleculeExplorerFiles	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway
CCMSLIB00006679186	PHENYLALANINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037363	M+H	166.086	0.0	1	N/A	N/A	C1=CC=C(C=C1)C[C@@H](C(=O)O)N	"""InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	330	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.988392	MONA	31120000.0	95.11200000000001	1.19435	7	0.00019836400000000003	166.086	166.08599999999998	1	spectra_filtered/specs_ms.mgf330	1		0	0	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids
CCMSLIB00006679518	TRYPTOPHAN	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037105	M+H	205.097	0.0	1	N/A	N/A	C1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N	"""InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	760	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.9864879999999999	MONA	2907700.0	122.006	0.967173	16	0.00019836400000000003	205.097	205.097	1	spectra_filtered/specs_ms.mgf760	1		0	0	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids
CCMSLIB00003139936	Spectral Match to Dopamine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by amelnik	M+H	154.09	153.079	1	51616	N/A	C1=CC(=C(C=C1CCN)O)O	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	450	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.986146	GNPS-NIST14-MATCHES	238150000.0	48.925	23.9641	6	0.00369263	154.09	154.086	1	spectra_filtered/specs_ms.mgf450	1		0	0	VYFYYTLLBUKUHU-UHFFFAOYSA-N	VYFYYTLLBUKUHU	Benzenoids	Phenols	Benzenediols	Tyrosine alkaloids	Phenylethylamines	Alkaloids
CCMSLIB00006679518	TRYPTOPHAN	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037105	M+H	205.097	0.0	1	N/A	N/A	C1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N	"""InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	3066	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.985931	MONA	3880900.0	125.986	48.7306	15	0.00999451	205.097	205.08700000000002	1	spectra_filtered/specs_ms.mgf3066	1		0	0	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids
CCMSLIB00005755234	Massbank: apigenin|5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	271.06	0.0	1	520-36-5	N/A	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	3156	spectra_filtered/specs_ms.mgf	lib-00048.mgf	0.983406	MASSBANK	12958500.0	270.199	0.337758	11	9.15527e-05	271.06	271.06	1	spectra_filtered/specs_ms.mgf3156	1		0	0	KZNIFHPLKGYRTM-UHFFFAOYSA-N	KZNIFHPLKGYRTM	Phenylpropanoids and polyketides	Flavonoids	Flavones	Flavonoids	Flavones	Shikimates and Phenylpropanoids
CCMSLIB00000212642	Massbank:EA294504 Propamocarb| N-[3-(dimethylamino)propyl]carbamic acid propyl ester	ESI	LC-ESI-ITFT	Isolated	Putative Massbank Match	Massbank	[M+H]+	189.16	0.0	1	24579-73-5	N/A	N(C(OCCC)=O)CCCN(C)C	1S/C9H20N2O2/c1-4-8-13-9(12)10-6-5-7-11(2)3/h4-8H2,1-3H3,(H,10,12)	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	6048	spectra_filtered/specs_ms.mgf	lib-00048.mgf	0.982351	MASSBANK	14546000.0	119.97200000000001	1.04866	9	0.00019836400000000003	189.16	189.16	1	spectra_filtered/specs_ms.mgf6048	1		0	0	WZZLDXDUQPOXNW-UHFFFAOYSA-N	WZZLDXDUQPOXNW	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Ornithine alkaloids	Polyamines	Alkaloids
CCMSLIB00006678863	TRANS-CAFFEIC ACID	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037703	M+H	181.05	0.0	1	N/A	N/A	C1=C(/C=C\C(=O)O)C=C(C(=C1)O)O	"""InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	7304	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.980143	MONA	7729900.0	136.389	2.7812200000000002	8	0.00050354	181.05	181.049	1	spectra_filtered/specs_ms.mgf7304	1		0	0	QAIPRVGONGVQAS-RQOWECAXSA-N	QAIPRVGONGVQAS	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids
CCMSLIB00003137706	Spectral Match to Adenosine from NIST14	ESI	QqQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	268.104	0.0	1	58617	N/A	N/A	N/A	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	3575	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.978786	GNPS-NIST14-MATCHES	10045000.0	64.697	0.341482	9	9.15527e-05	268.104	268.10400000000004	1	spectra_filtered/specs_ms.mgf3575	1		23	1092	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCMSLIB00004680136	Loliolide	LC-ESI	Orbitrap	Crude	Lihini Aluwihare	Daniel Petras	M+H	197.117	0.0	1	 	 	CC1(CC(CC2(C1=CC(=O)O2)C)O)C	 	 	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	469	spectra_filtered/specs_ms.mgf	lib-00044.mgf	0.9782930000000001	GNPS-LIBRARY	18943000.0	205.995	1.00633	31	0.00019836400000000003	197.117	197.11700000000002	1	spectra_filtered/specs_ms.mgf469	1		25	1085	XEVQXKKKAVVSMW-UHFFFAOYSA-N	XEVQXKKKAVVSMW	N/A	N/A	N/A	Apocarotenoids	Apocarotenoids (β-)	Terpenoids
CCMSLIB00003137060	Spectral Match to L-Tryptophan from NIST14	ESI	HCD	Isolated	Data from Pieter C Dorrestein	Data deposited by negarg	M+H-NH3	188.07	0.0	1	73223	N/A	N/A	N/A	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	809	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.9779180000000001	GNPS-NIST14-MATCHES	2813900.0	122.23700000000001	3.65101	13	0.0006866460000000001	188.07	188.071	1	spectra_filtered/specs_ms.mgf809	1		216	30170	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCMSLIB00004684181	Catechin	LC-ESI	Orbitrap	Commercial	Gleixner	Carsten Simon	M+H	291.086	291.086	1	154-23-4	9064	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1	 	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	889	spectra_filtered/specs_ms.mgf	lib-00044.mgf	0.977902	GNPS-LIBRARY	27971000.0	140.409	0.733883	38	0.000213623	291.086	291.086	1	spectra_filtered/specs_ms.mgf889	1		25	2254	PFTAWBLQPZVEMU-UHFFFAOYSA-N	PFTAWBLQPZVEMU	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavonoids	Flavan-3-ols	Shikimates and Phenylpropanoids
