	feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
0	1002	1.0	0.23467718	ISDB	http://www.wikidata.org/entity/Q105226967	QSGAITMJUHFIII-CEZLRWQGSA-N	InChI=1S/C17H24O7/c1-9(2)12-4-5-17(22)8-24-16(21)14(17)13(12)6-11(15(19)20)7-23-10(3)18/h6,9,12-14,22H,4-5,7-8H2,1-3H3,(H,19,20)/b11-6+/t12-,13-,14-,17-/m1/s1	CC(=O)OC/C(=C\[C@@H]1[C@@H](C(C)C)CC[C@@]2(O)COC(=O)[C@@H]12)C(=O)O	C17H24O7	nan	340.152203108	(1S,6S,7R,10S)-aspergilloid E	QSGAITMJUHFIII	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	http://www.wikidata.org/entity/Q137096	Aspergillus flavus	188996.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus flavus']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	3.4387087225914	1	1577	Terpenoids	0.5	Sesquiterpenoids	0.5	Cadinane sesquiterpenoids	0.5
1	1005	5.0	0.28740084	ISDB	http://www.wikidata.org/entity/Q63409191	JVHYYZMBYJJGJM-ZMDGZUOKSA-N	InChI=1S/C40H54O4/c1-29(17-13-19-31(3)21-22-35(42)38(9)26-33(41)25-36(38,5)6)15-11-12-16-30(2)18-14-20-32(4)23-24-40-37(7,8)27-34(44-40)28-39(40,10)43/h11-24,34,43H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,22-21+,24-23+,29-15+,30-16+,31-19+,32-20+/t34-,38-,39+,40+/m0/s1	CC(/C=C/C=C(C)/C=C/C(=O)[C@]1(C)CC(=O)CC1(C)C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@]12O[C@@H](CC1(C)C)C[C@@]2(C)O	C40H54O4	nan	598.402210208	Capsanthone-3,6-epoxide	JVHYYZMBYJJGJM	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-κ)	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	2	6.149603366851807	1	7	Terpenoids	0.6842105263157895	Carotenoids (C40)	0.2894736842105263	Carotenoids (C40, β-β)	0.2631578947368421
2	1008	39.0|39.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q255564|http://www.wikidata.org/entity/Q419495	RUVINXPYWBROJD-ONEGZZNKSA-N|ZFMSMUAANRJZFM-UHFFFAOYSA-N	InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+|InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3	C/C=C/c1ccc(OC)cc1|C=CCc1ccc(OC)cc1	C10H12O|C10H12O	pos_1_1proton1methanol|pos_1_1proton1methanol	148.088815004|148.088815004	Anethole|Estragole	RUVINXPYWBROJD|ZFMSMUAANRJZFM	Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)|Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives|Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q160575|http://www.wikidata.org/entity/Q160575	Nigella sativa|Nigella sativa	142360.0|142360.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Ranunculales']|['Ranunculales']	['Ranunculaceae']|['Ranunculaceae']	['Nigelleae']|['Nigelleae']	['Nigella']|['Nigella']	['Nigella sativa']|['Nigella sativa']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Ranunculales']|['Ranunculales']	['Ranunculaceae']|['Ranunculaceae']	nan|nan	nan|nan	nan|nan	6|6	3|3	7.5|7.5	1|1	158	Polyketides	1.0	Cyclic polyketides	0.6666666666666666	Cinnamic acids and derivatives	0.3333333333333333
3	1012	1.0	0.48785183	ISDB	http://www.wikidata.org/entity/Q105350441	YMBIFCWAAQZSSV-SCNAZFEJSA-N	InChI=1S/C21H38O8/c1-6-21(5,11-7-8-13(2)9-10-15(23)20(3,4)27)29-19-18(26)17(25)16(24)14(12-22)28-19/h6,8,14-19,22-27H,1,7,9-12H2,2-5H3/b13-8+/t14-,15+,16-,17+,18-,19+,21-/m1/s1	C=C[C@](C)(CC/C=C(\C)CC[C@H](O)C(C)(C)O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C21H38O8	nan	418.256668176	(2S,3R,4S,5S,6R)-2-[(3S,6E,10S)-10,11-dihydroxy-3,7,11-trimethyldodeca-1,6-dien-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	YMBIFCWAAQZSSV	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	http://www.wikidata.org/entity/Q2617435	Epimedium grandiflorum	655264.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Berberidaceae']	['Unknown']	['Epimedium']	['Epimedium grandiflorum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	nan	nan	nan	nan	5	1	7.451407313346863	1	67	Terpenoids	0.6	Sesquiterpenoids	0.47368421052631576	Cadinane sesquiterpenoids	0.29473684210526313
4	1015	1.0	0.806561	ISDB	http://www.wikidata.org/entity/Q188017	OUYCCCASQSFEME-QMMMGPOBSA-N	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N[C@@H](Cc1ccc(O)cc1)C(=O)O	C9H11NO3	nan	181.073893212	(2S)-2-ammonio-3-(4-hydroxyphenyl)propanoate	OUYCCCASQSFEME	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q11291736	Coptis japonica	387829.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Unknown']	['Coptis']	['Coptis japonica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	nan	nan	nan	6	0	9.22624397277832	1	-1	nan	nan	nan	nan	nan	nan
5	1016	8.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27149840	TYPSVDGIQAOBAD-DZGCQCFKSA-N	InChI=1S/C15H20O/c1-10-5-4-6-15(3)8-14-12(7-13(10)15)11(2)9-16-14/h9,13H,1,4-8H2,2-3H3/t13-,15+/m0/s1	C=C1CCC[C@]2(C)Cc3occ(C)c3C[C@@H]12	C15H20O	pos_2MH	216.15141526	Atractylon	TYPSVDGIQAOBAD	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q50828518	Cimicifuga simplex	512693.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Cimicifugeae']	['Actaea']	['Actaea simplex']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	nan	nan	nan	6	1	6.5	1	7	Terpenoids	0.6842105263157895	Carotenoids (C40)	0.2894736842105263	Carotenoids (C40, β-β)	0.2631578947368421
6	1018	83.0	0.6005394	ISDB	http://www.wikidata.org/entity/Q115947058	ZGRPWWDOSQIIIF-UHFFFAOYSA-N	InChI=1S/C15H26O2/c1-10-5-8-13(16)12-7-6-11(14(2,3)17)9-15(10,12)4/h10-12,17H,5-9H2,1-4H3	CC1CCC(=O)C2CCC(C(C)(C)O)CC12C	C15H26O2	nan	238.193280072	nan	ZGRPWWDOSQIIIF	Terpenoids	Sesquiterpenoids	Eremophilane sesquiterpenoids	http://www.wikidata.org/entity/Q157819	Valeriana officinalis	393341.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Valeriana']	['Valeriana officinalis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	nan	nan	nan	6	0	8.402157545089722	1	-1	nan	nan	nan	nan	nan	nan
7	1019	2.0	0.81696707	ISDB	http://www.wikidata.org/entity/Q105157409	LUGJNXFXIGAHTI-SPDAVFANSA-N	InChI=1S/C36H36O19/c37-12-25-34(55-27(44)6-2-14-1-4-17(38)19(40)7-14)31(47)33(49)35(53-25)50-13-26-29(45)30(46)32(48)36(54-26)51-16-9-21(42)28-22(43)11-23(52-24(28)10-16)15-3-5-18(39)20(41)8-15/h1-11,25-26,29-42,45-49H,12-13H2/b6-2+/t25-,26-,29-,30+,31-,32-,33-,34-,35-,36-/m1/s1	O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)[C@@H](O)[C@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)[C@H](O)[C@@H](O)[C@@H]2O)O[C@@H]1CO	C36H36O19	nan	772.185078932	Implexaflavone	LUGJNXFXIGAHTI	Shikimates and Phenylpropanoids	Flavonoids	Flavones	http://www.wikidata.org/entity/Q1537828	Lonicera implexa	692207.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Lonicera']	['Lonicera implexa']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	nan	['Lonicera']	['Lonicera implexa']	8	2	12.267868280410767	1	290	Shikimates and Phenylpropanoids	0.7	Flavonoids	0.7	Flavonols	0.6
8	1021	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q23058965	RTATXGUCZHCSNG-QHWHWDPRSA-N	InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3/t9-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	C27H30O15	pos_1_sodium	594.15847026	Nicotiflorin	RTATXGUCZHCSNG	Shikimates and Phenylpropanoids	Flavonoids	Flavonols	http://www.wikidata.org/entity/Q3281716	Clematis terniflora	21289.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']	['Clematis terniflora']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']	nan	8	3	9.5	1	411	Shikimates and Phenylpropanoids	0.6666666666666666	Flavonoids	0.6666666666666666	Flavonols	0.6666666666666666
9	1024	1.0	0.30171856	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	REPZVFPZZXRMMQ	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.2068742513656616	1	116	Alkaloids	0.34615384615384615	Ornithine alkaloids	0.19230769230769232	Polyamines	0.19230769230769232
10	1026	2.0	0.80811745	ISDB	http://www.wikidata.org/entity/Q27071327	IHNKQIMGVNPMTC-RUZDIDTESA-N	InChI=1S/C26H54NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h25,28H,5-24H2,1-4H3/t25-/m1/s1	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C	C26H54NO7P	nan	523.3637896979999	1-Octadecanoyl-sn-glycero-3-phosphocholine	IHNKQIMGVNPMTC	Fatty acids	Glycerophospholipids	Glycerophosphocholines	http://www.wikidata.org/entity/Q33244	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	5.732469797134399	1	82	Fatty acids	0.35714285714285715	Glycerophospholipids	0.35714285714285715	Glycerophosphocholines	0.35714285714285715
11	1027	1.0|1.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q105142498|http://www.wikidata.org/entity/Q105386027	KLBGJKBYPWKZDT-OBYWQNJGSA-N|ZYDOFCQFZCENDE-PFUPTIRUSA-N	InChI=1S/C33H38O11/c1-20(34)40-19-32-25(41-21(2)35)13-15-31(5,38)33(32)28(43-29(37)23-14-16-39-18-23)24(30(3,4)44-33)17-26(32)42-27(36)12-11-22-9-7-6-8-10-22/h6-12,14,16,18,24-26,28,38H,13,15,17,19H2,1-5H3/b12-11+/t24-,25+,26+,28-,31+,32+,33+/m1/s1|InChI=1S/C33H38O11/c1-20(34)40-19-32-25(43-29(37)23-14-16-39-18-23)13-15-31(5,38)33(32)28(41-21(2)35)24(30(3,4)44-33)17-26(32)42-27(36)12-11-22-9-7-6-8-10-22/h6-12,14,16,18,24-26,28,38H,13,15,17,19H2,1-5H3/b12-11+/t24-,25+,26-,28-,31+,32+,33+/m1/s1	CC(=O)OC[C@@]12[C@@H](OC(C)=O)CC[C@](C)(O)[C@]13OC(C)(C)[C@H](C[C@@H]2OC(=O)/C=C/c1ccccc1)[C@H]3OC(=O)c1ccoc1|CC(=O)OC[C@@]12[C@@H](OC(=O)c3ccoc3)CC[C@](C)(O)[C@]13OC(C)(C)[C@H](C[C@H]2OC(=O)/C=C/c1ccccc1)[C@H]3OC(C)=O	C33H38O11|C33H38O11	pos_1_1proton|pos_1_1proton	610.241412036|610.241412036	[(1S,2S,5S,6S,7S,9R,12R)-5-acetyloxy-6-(acetyloxymethyl)-2-hydroxy-2,10,10-trimethyl-7-[(E)-3-phenylprop-2-enoyl]oxy-11-oxatricyclo[7.2.1.01,6]dodecan-12-yl] furan-3-carboxylate|3-Furancarboxylic acid (3R,10R)-2,2,9-trimethyl-5beta-(cinnamoyloxy)-5abeta-(acetoxymethyl)-9alpha-hydroxy-10-acetoxy-3,4,5,5a,6,7,8,9-octahydro-2H-3beta,9abeta-methano-1-benzoxepin-6beta-yl ester	KLBGJKBYPWKZDT|ZYDOFCQFZCENDE	Terpenoids|Terpenoids	Sesquiterpenoids|Sesquiterpenoids	Agarofuran sesquiterpenoids|Agarofuran sesquiterpenoids	http://www.wikidata.org/entity/Q10957994|http://www.wikidata.org/entity/Q10957994	Euonymus nanoides|Euonymus nanoides	5513354.0|5513354.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Celastrales']|['Celastrales']	['Celastraceae']|['Celastraceae']	['Unknown']|['Unknown']	['Euonymus']|['Euonymus']	['Euonymus nanoides']|['Euonymus nanoides']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Celastrales']|['Celastrales']	['Celastraceae']|['Celastraceae']	nan|nan	['Euonymus']|['Euonymus']	nan|nan	7|7	1|1	7.5|7.5	1|1	80	Terpenoids	0.25	Tryptophan alkaloids	0.11538461538461539	Carbazole alkaloids	0.11538461538461539
12	1029	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105338848	XPMOQRHVZJDUKK-SWZHBTMOSA-N	InChI=1S/C16H24O8/c1-2-9-10-3-4-21-6-8(10)7-22-15(9)24-16-14(20)13(19)12(18)11(5-17)23-16/h2,7,9-20H,1,3-6H2/t9-,10-,11-,12-,13+,14-,15+,16+/m1/s1	C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2COCC[C@H]21	C16H24O8	pos_2_1proton1sodium	344.1471177279999	(2S,3R,4S,5S,6R)-2-[[(3S,4R,4aS)-4-ethenyl-3,4,4a,5,6,8-hexahydropyrano[3,4-c]pyran-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol	XPMOQRHVZJDUKK	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids	http://www.wikidata.org/entity/Q161083	Lonicera japonica	2125.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Lonicera']	['Lonicera japonica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	nan	['Lonicera']	nan	7	3	8.5	1	1023	Terpenoids	0.5	Monoterpenoids	0.5	Secoiridoid monoterpenoids	0.5
13	1032	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27145564	FOHXFLPXBUAOJM-MGMURXEASA-N	InChI=1S/C21H20O13/c22-5-12-15(28)17(30)18(31)21(33-12)34-20-16(29)13-8(24)3-7(23)4-11(13)32-19(20)6-1-9(25)14(27)10(26)2-6/h1-4,12,15,17-18,21-28,30-31H,5H2/t12-,15+,17+,18-,21+/m1/s1	O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12	C21H20O13	pos_1_1proton	480.0903907	Myricetin 3-galactoside	FOHXFLPXBUAOJM	Shikimates and Phenylpropanoids	Flavonoids	Flavonols	http://www.wikidata.org/entity/Q207642	Catha edulis	282743.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']	['Unknown']	['Catha']	['Catha edulis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']	nan	nan	nan	6	3	7.5	1	677	Shikimates and Phenylpropanoids	1.0	Flavonoids	1.0	Flavonols	1.0
