CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
108	114	1	0.8287	15.995
794	939	3	0.8605	18.012
908	942	3	0.9387	-0.001
938	939	3	0.7486	-1.006
908	939	3	0.7106	1.009
908	938	3	0.7683	2.014
939	942	3	0.7021	-1.010
942	951	3	0.7945	14.017
937	942	3	0.8373	1.979
938	942	3	0.7921	-2.016
908	937	3	0.867	-1.980
908	951	3	0.8124	14.016
794	910	3	0.8423	-2.016
937	951	3	0.7677	15.995
523	526	4	0.9163	154.191
140	293	4	0.9308	-70.079
140	526	4	0.9204	52.050
134	136	4	0.9272	15.974
95	134	4	0.9239	-130.005
45	95	4	0.8997	38.016
45	189	4	0.8973	88.961
293	526	4	0.9416	122.129
105	293	4	0.9152	-98.167
607	608	4	0.9077	2.016
134	526	4	0.9393	142.025
134	261	4	0.9113	17.917
95	105	4	0.8991	-11.942
134	293	4	0.9548	19.896
189	526	4	0.9086	-38.926
45	136	4	0.9062	-76.016
95	523	4	0.8991	-142.172
140	523	4	0.9038	-102.141
261	478	4	0.8868	15.959
140	189	4	0.8949	90.977
293	523	4	0.9306	-32.062
526	566	4	0.9135	15.995
105	261	4	0.9026	-100.146
95	140	4	0.9056	-40.031
105	478	4	0.9024	-84.187
105	526	4	0.9094	23.962
45	140	4	0.898	-2.015
134	523	4	0.9185	-12.166
105	134	4	0.9193	-118.063
566	655	4	0.8917	-266.244
136	526	4	0.9208	126.051
261	566	4	0.8939	140.103
136	140	4	0.9155	74.001
105	495	4	0.9047	57.875
45	293	4	0.9162	-72.094
95	189	4	0.9108	50.946
134	189	4	0.9138	180.951
136	293	4	0.9344	3.922
293	607	4	0.9135	210.998
95	293	4	0.9254	-110.109
45	526	4	0.9017	50.035
189	523	4	0.8915	-193.117
95	136	4	0.9178	-114.031
95	526	4	0.9118	12.019
140	261	4	0.8972	-72.058
189	293	4	0.925	-161.055
45	495	4	0.8875	83.948
495	523	4	0.8902	-188.104
136	523	4	0.9166	-28.140
478	495	4	0.9031	142.062
45	566	4	0.9052	66.030
136	261	4	0.9055	1.943
95	566	4	0.9117	28.014
134	140	4	0.9281	89.975
134	566	4	0.9112	158.020
189	566	4	0.8947	-22.932
136	566	4	0.9137	142.045
105	140	4	0.916	-28.088
105	523	4	0.9025	-130.229
105	136	4	0.9185	-102.089
310	318	5	0.8062	-142.025
130	161	5	0.8254	-294.095
66	173	5	0.8389	-12.000
52	93	5	0.9215	18.011
87	130	5	0.9543	-96.021
306	373	5	0.8168	278.136
452	471	5	0.8604	-30.011
4	7	5	0.8432	-46.032
171	176	5	0.8299	35.037
87	150	5	0.9258	-28.032
87	91	5	0.8228	180.064
130	150	5	0.9205	67.990
120	161	5	0.8627	-114.032
132	137	5	0.9033	18.011
377	402	5	0.8672	-86.001
60	66	5	0.8797	15.011
246	247	5	0.8901	-18.010
203	204	5	0.863	146.058
36	102	5	0.9373	-40.006
171	248	5	0.9083	-14.016
137	150	5	0.8522	-94.063
36	61	5	0.858	-11.004
55	377	5	0.8332	-204.066
143	171	5	0.8158	-25.980
66	360	5	0.8282	-190.025
66	73	5	0.8848	-15.019
60	360	5	0.8333	-175.015
201	452	5	0.8215	-160.016
91	217	5	0.8455	-50.016
208	212	5	0.856	-192.064
325	402	5	0.8444	162.053
263	318	5	0.8584	2.016
66	174	5	0.8287	-39.995
362	390	5	0.8921	-30.010
73	360	5	0.8258	-175.007
306	343	5	0.8548	-14.016
126	137	5	0.8834	180.063
402	452	5	0.9419	15.996
318	362	5	0.8828	15.995
167	208	5	0.939	18.011
212	346	5	0.8702	-137.011
306	350	5	0.9282	146.057
61	101	5	0.8692	-13.007
91	171	5	0.8559	-66.011
373	377	5	0.9118	13.980
217	248	5	0.8575	-30.011
67	146	5	0.8383	-0.984
66	146	5	0.8592	-30.010
3	4	5	0.9151	-18.011
4	208	5	0.8951	55.945
163	377	5	0.838	-167.006
174	212	5	0.8238	-192.064
176	377	5	0.8473	-140.011
93	170	5	0.8681	-66.011
120	132	5	0.8657	324.105
173	208	5	0.9025	-27.995
36	101	5	0.9256	-24.011
87	126	5	0.9457	-114.032
120	137	5	0.8436	342.116
130	137	5	0.9017	162.053
350	440	5	0.8748	31.991
84	91	5	0.9597	259.059
318	390	5	0.8695	-14.015
113	162	5	0.8712	-14.016
101	102	5	0.9138	-15.995
306	334	5	0.966	15.997
167	170	5	0.8399	-162.053
360	363	5	0.8824	10.020
132	150	5	0.8571	-76.053
66	310	5	0.8396	-206.020
440	450	5	0.9185	-30.011
70	99	5	0.8348	15.995
160	217	5	0.859	162.054
87	132	5	0.9082	48.021
334	343	5	0.8658	-30.013
120	130	5	0.8738	180.063
310	363	5	0.8986	26.015
60	73	5	0.9844	-0.008
61	102	5	0.8638	-29.002
70	173	5	0.8918	2.016
167	225	5	0.8404	17.953
117	137	5	0.8168	-82.006
132	161	5	0.8249	-438.137
167	174	5	0.9254	18.011
91	93	5	0.9594	17.027
84	93	5	0.928	276.085
4	174	5	0.8803	55.945
170	212	5	0.8274	-12.000
87	137	5	0.893	66.032
118	310	5	0.8297	18.010
87	120	5	0.8532	-276.084
263	390	5	0.8823	-11.999
91	139	5	0.8707	48.021
91	137	5	0.8297	-114.032
170	171	5	0.9237	-17.027
55	176	5	0.8491	-64.055
126	150	5	0.9029	86.000
310	360	5	0.9724	15.995
66	208	5	0.8433	-39.995
183	248	5	0.8564	162.053
137	139	5	0.818	162.053
350	373	5	0.8467	132.079
143	217	5	0.8601	-9.985
174	208	5	0.9778	0.000
70	208	5	0.8284	-25.979
4	173	5	0.8111	83.940
101	163	5	0.9218	-29.993
350	377	5	0.9044	146.058
130	132	5	0.882	144.042
306	377	5	0.8407	292.115
247	255	5	0.863	-30.011
91	117	5	0.8131	-32.026
126	130	5	0.9673	18.010
167	346	5	0.845	-311.064
263	362	5	0.897	18.012
171	217	5	0.9228	15.995
4	66	5	0.8556	95.940
4	113	5	0.8191	10.887
173	174	5	0.8955	-27.995
208	225	5	0.8824	-0.058
174	225	5	0.916	-0.058
126	132	5	0.9149	162.053
120	126	5	0.8678	162.053
363	377	5	0.8706	-162.053
363	373	5	0.8716	-176.033
204	350	5	0.812	15.995
167	247	5	0.9129	-14.015
208	246	5	0.8484	-14.016
203	306	5	0.8726	15.996
167	212	5	0.9361	-174.053
350	450	5	0.8344	1.980
350	402	5	0.8422	60.058
174	246	5	0.8363	-14.016
203	350	5	0.9025	162.053
402	471	5	0.8524	-14.015
126	161	5	0.8214	-276.084
53	416	6	0.885	-50.089
53	168	6	0.8932	0.021
410	502	6	0.9149	-70.077
426	539	6	0.8964	-28.031
502	528	6	0.8415	-104.085
168	213	6	0.825	-12.000
53	499	6	0.8656	-32.078
416	488	6	0.8427	4.033
488	502	6	0.8236	-44.062
317	410	6	0.8259	162.053
53	502	6	0.847	-90.118
416	502	6	0.9189	-40.030
168	374	6	0.833	-122.000
410	539	6	0.9378	-14.052
53	609	6	0.8705	-86.125
374	434	6	0.8108	15.995
168	539	6	0.8564	-34.114
410	416	6	0.9363	-30.047
53	539	6	0.9546	-34.093
53	374	6	0.821	-121.979
410	488	6	0.824	-26.015
410	528	6	0.8242	-174.161
416	539	6	0.9165	15.996
317	470	6	0.883	-28.031
488	528	6	0.8156	-148.147
416	528	6	0.8398	-144.114
502	539	6	0.8871	56.025
499	539	6	0.8822	-2.016
416	426	6	0.859	44.026
53	410	6	0.9014	-20.042
654	656	7	0.9262	179.080
852	853	7	0.897	179.079
656	916	7	0.8365	-262.230
858	922	7	0.807	21.985
645	883	7	0.8397	29.064
472	482	7	0.7488	-11.999
853	867	7	0.8143	-26.015
800	808	7	0.8622	-26.017
672	883	7	0.8139	-24.000
853	895	7	0.8641	-28.029
640	645	7	0.7954	-87.105
841	916	7	0.8981	-30.045
640	705	7	0.834	-2.016
239	298	7	0.8147	162.053
798	925	7	0.8657	-6.047
771	867	7	0.7886	-26.016
808	822	7	0.8102	-26.016
838	888	7	0.7559	-25.018
479	541	7	0.8624	162.053
872	894	7	0.9106	-52.031
839	864	7	0.8801	-52.031
873	914	7	0.76	-28.031
870	912	7	0.8655	162.052
322	569	7	0.813	29.974
239	314	7	0.75	30.011
863	900	7	0.7778	-2.014
894	918	7	0.8981	23.998
870	888	7	0.8704	-52.030
881	918	7	0.9177	-2.017
870	925	7	0.9001	-2.017
347	569	7	0.9287	-42.047
858	870	7	0.8134	50.017
537	541	7	0.8491	-179.079
634	925	7	0.7834	-238.231
839	872	7	0.9509	-0.008
211	292	7	0.777	18.011
740	771	7	0.81	359.142
536	538	7	0.8788	-198.074
837	858	7	0.8624	-24.009
850	918	7	0.9336	-2.023
228	602	7	0.8873	-70.078
810	836	7	0.9091	-2.017
322	602	7	0.7926	15.959
895	906	7	0.7684	50.015
858	925	7	0.8229	48.001
840	850	7	0.9076	-28.023
634	836	7	0.8429	-260.216
810	858	7	0.9295	-28.033
264	482	7	0.8058	-114.068
228	322	7	0.7911	-86.037
228	264	7	0.7843	-12.000
877	898	7	0.7457	0.008
841	853	7	0.8919	-26.015
624	800	7	0.7759	-232.183
798	841	7	0.8635	341.131
850	872	7	0.8986	26.009
913	944	7	0.8193	262.230
228	472	7	0.7659	-114.068
276	517	7	0.8528	-28.031
288	294	7	0.7541	-225.121
536	537	7	0.9038	-36.021
322	482	7	0.7455	-40.031
900	913	7	0.7491	-244.219
864	918	7	0.8771	23.991
841	885	7	0.9018	-28.029
863	883	7	0.7828	311.249
837	916	7	0.8514	341.125
880	914	7	0.9054	-0.010
279	298	7	0.8215	28.031
839	866	7	0.8558	-50.024
798	902	7	0.8685	-98.160
264	320	7	0.8201	17.027
228	347	7	0.9636	-14.015
228	569	7	0.9095	-56.062
288	290	7	0.8993	-18.010
810	837	7	0.8409	-4.024
569	602	7	0.9169	-14.016
872	881	7	0.892	-26.015
479	537	7	0.743	341.132
472	602	7	0.7989	43.990
836	881	7	0.9198	162.055
810	888	7	0.8637	-30.046
914	920	7	0.7829	-2.008
898	944	7	0.7873	190.075
837	888	7	0.9111	-26.022
852	866	7	0.9036	-26.014
517	536	7	0.7934	24.036
900	944	7	0.7906	18.011
852	894	7	0.9431	-28.029
840	872	7	0.9306	-2.014
872	918	7	0.9076	-28.032
769	771	7	0.8122	197.089
840	918	7	0.9143	-30.046
864	866	7	0.906	2.008
320	535	7	0.7732	55.990
288	291	7	0.8973	-180.063
472	533	7	0.7482	-86.073
866	894	7	0.9043	-2.015
867	895	7	0.8367	-2.014
863	877	7	0.7439	-174.085
656	906	7	0.8049	-236.214
798	810	7	0.9053	-26.015
841	902	7	0.8064	-439.291
881	885	7	0.9204	179.079
850	885	7	0.9145	179.073
922	925	7	0.9101	26.016
839	912	7	0.9136	-2.024
798	837	7	0.9181	-30.039
885	906	7	0.8568	23.999
866	872	7	0.8505	50.016
888	925	7	0.8401	50.014
292	389	7	0.7559	-19.990
275	535	7	0.7954	12.001
864	881	7	0.9032	26.008
839	918	7	0.9418	-28.040
634	888	7	0.7841	-288.245
347	602	7	0.9104	-56.063
672	674	7	0.7947	-172.014
291	292	7	0.9428	-17.027
624	654	7	0.8584	-28.031
836	858	7	0.9069	-26.016
838	928	7	0.7683	21.982
192	264	7	0.7455	18.010
850	864	7	0.9108	-26.015
853	916	7	0.8443	-4.030
798	858	7	0.9194	-54.048
289	292	7	0.7912	-35.037
740	853	7	0.8128	359.141
858	864	7	0.8814	162.062
