row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1687161692_PMA_ALC_13_20230619140041.mzML Peak area,
1,182.96266918768478,0.51116735,,,,,,,,,,,0,9546.087,0,
2,198.94038729981187,0.51116735,,,,,,,,,,,0,20105.975,0,
3,200.9734253762935,0.51116735,,,,,,,,,,,0,52980.914,0,
4,218.98411268282388,0.51116735,,,,,,,,,,,0,77700.57,0,
5,239.96699794151567,0.51116735,,,,,,,,,,,0,49655.887,0,
6,244.99867889416674,0.51116735,,,,,,,,,,,0,8020.312,0,
7,265.0157867591547,0.51116735,,,,,,,,,,,0,44187.89,0,
8,268.9482727334592,0.51116735,,,,,,,,,,,0,16398.28,0,
9,286.9588511110721,0.51116735,,,,,,,,,,,0,14021.984,0,
10,192.05563895163334,0.5457192,,,,,,,,,,,0,137573.2,0,
11,249.04649756138033,0.5457192,,,,,,,,,,,0,196378.31,0,
12,139.53123074026007,0.54666746,,,,,,,,,,,0,5100.2993,73717.98,
13,282.087284164509,0.56716484,,,,,,,,,,,0,182067.88,0,
14,130.52598063760828,0.5694219,,,,,,,,,,,0,0,79632.81,
15,280.8189433224638,0.56829333,,,,,,,,,,,0,3640.3423,17703.656,
16,314.84941632370754,0.5729874,,,,,,,,,,,68144.64,0,0,
17,174.8962292596069,0.57784194,,,,,,,,,,,0,120248.42,0,
18,221.1862665803145,0.589737,,,,,,,,,,,0,77880.75,697.2593,
19,184.037300051506,0.589737,,,,38,,,,,,,0,790290.6,39980.6,
20,268.9824552121311,0.589737,,,,,,,,,,,0,19232.246,63518.285,
21,445.0867712903105,0.59125924,,,,,,,,,,,0,0,92580.24,
22,203.05244134755924,0.5948122,,,,,,,,,,,24678.102,0,0,
23,219.02676834677374,0.59517235,,,,38,,,,,,,0,7910823.0,2517442.8,
24,273.08197011921504,0.5989584,,,,,,,,,,,0,220194.8,0,
25,517.0122241753465,0.5989584,,,,,,,,,,,0,200190.94,0,
26,200.0443007585771,0.60212994,,,,,,,,,,,0,0,124137.734,
27,290.07632908547185,0.60054415,,,,,,,,,,,0,7631.89,75041.586,
28,146.0935232649319,0.60967916,,,,,,,,,,,0,24681.654,0,
29,249.0364670443491,0.6113118,,,,,,,,,,,0,40294.043,93022.75,
30,455.0121456567948,0.6129445,,,,,,,,,,,0,0,93584.32,
31,231.0267526996219,0.6164451,,,,4,,,,,,,0,208591.72,125395.44,
32,293.06337077591155,0.6166847,,,,4,,,,,,,0,168439.1,300737.75,
33,162.11261693906874,0.61994576,,,,,,,,,,,0,799181.6,0,
34,146.0811730617237,0.6223077,,,,4,,,,,,,351.2506,1.6068365E7,960230.0,
35,381.07959322477114,0.621818,,,,4,,,,,,,0,1.2733042E7,3603065.2,
36,244.0928709228307,0.62369025,,,,,,,,,,,0,0,110328.87,
37,351.0687691682731,0.621818,,,,,,,,,,,0,28646.025,121456.84,
38,455.1164022863278,0.62369025,,,,,,,,,,,0,0,79588.57,
39,198.12374256001678,0.63027275,,,,,,,,,,,0,437545.94,0,
40,263.0165680908315,0.63027275,,,,,,,,,,,0,434383.8,0,
41,263.0529358687246,0.6324023,,,,,,,,,,,0,430192.06,18614.592,
42,490.17709261624634,0.63027275,,,,,,,,,,,0,349625.56,0,
43,130.0502736388846,0.63250345,,,,4,1,[M+H]+,,1,44,129.04281,126.336,507504.9,199443.44,
44,147.07644424796436,0.63250345,,,,4,1,[M+NH4]+,,2,43;44,129.04281,131.6993,297948.1,132666.89,
45,337.08972588783513,0.6324023,,,,,,,,,,,0,17152.516,168428.38,
