ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf	Clematis alpina	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	425.39652941176473	2410.5803333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1033.105857142857	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5032	0.5032	0	N/A	N/A	7231.741	1	1	-1	 	1	128.0193	1	128.0193	7231.741
Clematis	jbuf	Clematis alpina	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1082.666588235294	6135.1106666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2629.333142857143	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=417&task=e78fedabd7e442a5ab29e97450b8647a&show=true	N/A	N/A	N/A	 	0.5032	0.5032	0	N/A	N/A	18405.332	1	2	417	 	1	216.9504	1	216.9504	18405.332
Clematis	jbuf	Clematis alpina	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2363.0764705882357	13390.766666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5738.900000000001	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=126&task=e78fedabd7e442a5ab29e97450b8647a&show=true	N/A	N/A	N/A	 	0.5032	0.5032	0	N/A	N/A	40172.3	1	3	126	 	1	241.9993	1	241.9993	40172.3
Clematis	jbn	Clematis recta,Clematis chinensis	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2310.4581176470588	0.0	9204.324	0.0	0.0	0.0	6956.38	0.0	0.0	0.0	0.0	3927.7788	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=80&task=e78fedabd7e442a5ab29e97450b8647a&show=true	N/A	N/A	N/A	 	0.5060	0.5060	0	N/A	N/A	39277.788	2	4	80	 	2	344.8755	1	344.8755	39277.788
Clematis	jbuf	Clematis alpina,Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1717.5124705882351	3030.5789999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20105.975	0.0	4171.101714285714	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5072	0.5072	0	N/A	N/A	29197.712	2	5	-1	 	2	198.9401	1	198.9401	29197.712
Clematis	jbuf	Clematis alpina,Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3700.0147058823527	3306.445333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52980.914	0.0	8985.75	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=126&task=e78fedabd7e442a5ab29e97450b8647a&show=true	N/A	N/A	N/A	 	0.5072	0.5072	0	N/A	N/A	62900.25	2	6	126	 	2	200.9731	1	200.9731	62900.25
Clematis	jbuf	Clematis alpina,Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5578.887941176471	5713.508333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77700.57	0.0	13548.727857142858	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=126&task=e78fedabd7e442a5ab29e97450b8647a&show=true	N/A	N/A	N/A	 	0.5072	0.5072	0	N/A	N/A	94841.095	2	7	126	 	2	218.9838	1	218.9838	94841.095
Clematis	jbuf	Clematis alpina,Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4298.561000000001	7806.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49655.887	0.0	10439.362428571429	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=417&task=e78fedabd7e442a5ab29e97450b8647a&show=true	N/A	N/A	N/A	 	0.5072	0.5072	0	N/A	N/A	73075.53700000001	2	8	417	 	2	239.9666	1	239.9666	73075.53700000001
Clematis	jbn,jbuf	Clematis recta,Clematis alpina	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2852.7167647058823	2849.2083333333335	0.0	0.0	0.0	0.0	13316.186666666666	0.0	0.0	0.0	0.0	3994.8559999999998	1221.0892857142858	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=417&task=e78fedabd7e442a5ab29e97450b8647a&show=true	N/A	N/A	N/A	 	0.5083	0.5083	0	N/A	N/A	48496.185	2	9	417	 	2	257.9770	1	257.9770	48496.185
Clematis	jbn,jbuf	Clematis recta,Clematis chinensis,Clematis heracleifolia	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3534.6456470588237	0.0	8820.42	0.0	23916.652	0.0	6177.1613333333335	0.0	0.0	0.0	0.0	3617.2324	3416.664571428571	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e78fedabd7e442a5ab29e97450b8647a&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10","main.cluster index_upperinput":"10"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=80&task=e78fedabd7e442a5ab29e97450b8647a&show=true	N/A	N/A	N/A	 	0.5088	0.5088	0	N/A	N/A	60088.975999999995	3	10	80	 	3	458.8559	1	458.8559	60088.975999999995
