CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
422	534	1	0.9465	-14.015
1797	2041	1	0.9175	1.978
2125	2176	1	0.8574	-14.016
1008	1974	1	0.8274	13.978
1969	2176	1	0.8234	-151.001
1010	2038	1	0.8127	-99.161
497	894	1	0.8354	-1.978
1658	1832	1	0.8128	-86.073
353	534	1	0.9399	1.980
1866	1957	1	0.9306	-14.016
971	1866	1	0.8907	18.010
861	1957	1	0.8617	180.062
1008	1009	1	0.837	-1.003
2038	2042	1	0.8311	-21.982
423	728	1	0.8988	-144.043
1789	2264	1	0.8806	1.980
726	999	1	0.8091	-117.128
1439	1956	1	0.8704	0.022
769	2266	1	0.9026	1.979
1148	1957	1	0.8798	18.011
1162	2265	1	0.8109	2.017
1957	2266	1	0.8368	-18.010
1797	1959	1	0.807	-167.031
1790	1798	1	0.8837	39.958
861	1154	1	0.8181	-133.166
1323	1959	1	0.8752	13.980
838	1190	1	0.9713	1.978
2265	2266	1	0.8508	-14.016
1047	1969	1	0.907	29.973
1903	2264	1	0.8509	-26.016
535	1149	1	0.8586	18.009
517	971	1	0.8844	-16.031
1010	2264	1	0.8166	180.062
1974	2263	1	0.9319	0.000
769	894	1	0.8335	-15.994
726	2265	1	0.8161	162.053
861	2266	1	0.8917	162.051
497	2266	1	0.8212	15.995
1969	2041	1	0.9289	-14.017
1162	2263	1	0.8979	18.012
497	1190	1	0.8434	2.015
838	1045	1	0.936	15.995
422	517	1	0.8143	34.042
1184	1832	1	0.8285	-32.061
1789	2263	1	0.9291	15.995
770	1149	1	0.8065	2.980
497	861	1	0.8161	-146.057
1948	1959	1	0.9535	448.230
726	973	1	0.8184	-119.144
971	1148	1	0.9644	-14.018
971	2266	1	0.9061	-14.017
422	1162	1	0.8369	15.994
1323	1439	1	0.8117	-2.015
534	1148	1	0.8474	18.009
1439	1551	1	0.8529	0.000
726	971	1	0.9268	162.054
1974	1975	1	0.9156	-265.205
1969	2125	1	0.811	-136.985
1149	1189	1	0.8545	2.015
1832	2125	1	0.84	102.068
1323	1681	1	0.8151	46.042
423	1969	1	0.8713	34.005
293	510	1	0.9402	1.979
1959	2176	1	0.8833	32.026
546	838	1	0.87	162.053
1959	2125	1	0.8556	46.042
1162	1975	1	0.8695	-247.193
1009	1189	1	0.9293	-14.018
1903	2036	1	0.9073	-26.017
534	2266	1	0.8519	18.010
517	1162	1	0.8264	-18.048
394	510	1	0.9758	-14.015
769	2265	1	0.8523	15.995
769	1148	1	0.9569	1.978
1789	2036	1	0.9674	1.978
871	1975	1	0.8253	-85.143
1046	1189	1	0.9185	1.977
971	1162	1	0.8654	-2.018
517	660	1	0.812	-192.064
1009	1046	1	0.9602	-15.995
1903	1974	1	0.9162	-12.000
1831	1959	1	0.8605	30.011
888	2125	1	0.8155	34.006
353	422	1	0.9603	15.995
2036	2038	1	0.9078	-279.221
1008	2265	1	0.8279	-2.016
728	1047	1	0.878	148.075
660	1045	1	0.8934	162.054
1008	1162	1	0.8763	-4.033
353	365	1	0.8678	0.036
1789	1790	1	0.9185	-281.199
293	394	1	0.9424	15.995
1148	2265	1	0.8616	14.017
999	1011	1	0.8977	2.015
861	1148	1	0.9181	162.051
1008	1045	1	0.8573	-15.995
971	999	1	0.8612	-279.183
407	510	1	0.8581	58.006
710	1439	1	0.8113	18.011
728	1969	1	0.8448	178.048
1974	2036	1	0.9681	-14.017
971	973	1	0.8796	-281.198
422	1008	1	0.8444	20.027
972	1009	1	0.8729	2.015
971	1008	1	0.8859	2.015
726	1866	1	0.8848	180.064
517	1045	1	0.8383	-30.010
861	1010	1	0.8618	-2.015
1974	2264	1	0.9058	-14.015
546	660	1	0.9186	15.994
973	2265	1	0.8306	281.197
1789	1974	1	0.9783	15.995
422	2265	1	0.8084	18.010
1148	2266	1	0.9316	0.001
2036	2263	1	0.9331	14.017
2036	2264	1	0.8897	0.001
1045	1190	1	0.945	-14.017
726	861	1	0.9606	-14.014
660	726	1	0.8387	13.979
1797	1969	1	0.9389	15.995
769	772	1	0.9224	-297.194
972	1149	1	0.8724	-14.018
497	534	1	0.8423	-2.015
871	1162	1	0.9412	162.050
1162	1176	1	0.9113	14.016
871	2263	1	0.8474	180.062
2263	2264	1	0.8956	-14.016
1975	2263	1	0.8713	265.205
1147	1148	1	0.8592	-0.174
1148	1154	1	0.891	-295.216
353	769	1	0.8666	18.011
143	394	1	0.8126	-8.989
973	999	1	0.9318	2.015
1008	1011	1	0.878	-279.182
888	1832	1	0.8357	-68.063
353	894	1	0.8282	2.017
420	423	1	0.8831	15.974
1903	2263	1	0.8771	-12.000
497	1148	1	0.8792	15.994
1162	1974	1	0.9439	18.011
1975	1976	1	0.9392	-265.204
769	971	1	0.9763	15.996
1959	1969	1	0.8278	183.026
726	1008	1	0.8297	164.070
517	2265	1	0.8215	-16.032
534	861	1	0.8228	-144.041
871	1974	1	0.8785	180.061
1789	1903	1	0.9131	27.995
