CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
92	96	1	0.8614	-0.983
178	233	1	0.8599	0.959
92	95	1	0.8767	27.011
95	96	1	0.8737	-27.994
233	243	1	0.9255	12.001
92	178	1	0.9588	66.032
95	121	1	0.9143	-12.036
233	241	1	0.863	-66.031
233	319	1	0.8522	205.048
233	265	1	0.9543	-33.984
204	265	1	0.8533	15.994
178	265	1	0.8544	-33.026
95	118	1	0.9362	78.033
178	204	1	0.8415	-49.020
697	1088	2	0.877	-175.015
447	634	2	0.8516	15.997
987	1276	2	0.9265	162.058
697	943	2	0.8546	33.024
523	1232	2	0.8644	192.063
807	987	2	0.9516	-310.110
688	943	2	0.9355	15.997
542	987	2	0.9528	-76.030
591	688	2	0.989	15.994
523	688	2	0.9206	30.009
523	1005	2	0.8667	2.014
523	830	2	0.9267	15.995
535	965	2	0.9226	162.055
1103	1183	2	0.8558	280.022
697	1005	2	0.8437	-10.968
688	1005	2	0.8917	-27.995
542	1276	2	0.9128	86.027
542	807	2	0.9235	234.080
943	1232	2	0.9067	146.057
1088	1232	2	0.9004	354.096
874	965	2	0.9266	160.037
523	535	2	0.9411	-15.997
943	1005	2	0.8855	-43.992
447	535	2	0.8782	17.027
634	688	2	0.8726	47.035
535	591	2	0.9328	30.011
688	830	2	0.8566	-14.014
697	1232	2	0.8974	179.081
830	1005	2	0.908	-13.981
1103	1232	2	0.9655	15.995
523	667	2	0.9432	15.994
688	1232	2	0.9176	162.054
1005	1132	2	0.9134	160.039
523	697	2	0.9291	12.983
943	1088	2	0.8544	-208.039
965	1103	2	0.8861	30.010
661	667	2	0.8574	15.994
634	697	2	0.9173	30.009
523	634	2	0.8988	-17.026
591	965	2	0.9064	132.043
697	1132	2	0.8807	149.070
591	874	2	0.8652	-27.994
830	1132	2	0.8872	146.058
688	1088	2	0.9053	-192.042
634	1132	2	0.8688	179.079
447	987	2	0.8608	-145.005
987	1103	2	0.8779	354.097
535	874	2	0.8493	2.017
807	1276	2	0.9349	-148.052
1132	1232	2	0.8798	30.010
661	830	2	0.9825	15.995
542	1103	2	0.8689	278.066
688	1132	2	0.8776	132.044
591	1103	2	0.8993	162.054
943	1132	2	0.8571	116.046
591	661	2	0.8841	-14.015
523	1088	2	0.9123	-162.033
523	1132	2	0.8926	162.053
447	542	2	0.8914	-68.975
874	1103	2	0.8796	190.048
874	1005	2	0.9559	15.993
