row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,Unnamed: 25
1,128.0195315877371,0.5020477,,,,,,,,,,,0.0,0.0,0.0,0.0,10509.001,11244.143999999998,11377.693000000001,7986.4775,0.0,9614.51,0.0,7231.741,
2,216.9506738501324,0.5033214,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,77778.06,112815.89,0.0,0.0,0.0,18405.332,
3,241.99954896533532,0.50297976,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,78697.76,31190.764,0.0,56021.965,0.0,40172.3,
4,257.9771330087923,0.5037402,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,31592.232000000004,0.0,0.0,0.0,0.0,8547.625,
5,458.85566824000466,0.5045954,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,17640.84,9964.715,30364.986,0.0,23916.652000000002,0.0,958.4759,
6,198.94016162589242,0.50681514,,,,,,,,,,,0.0,0.0,0.0,64366.914000000004,20105.975,0.0,43629.445,0.0,0.0,0.0,0.0,9091.737,
7,200.97317404638412,0.50681514,,,,,,,,,,,0.0,0.0,0.0,28967.012000000002,52980.914000000004,0.0,24593.371,0.0,0.0,0.0,0.0,9919.336,
8,218.98379716485755,0.50681514,,,,,,,,,,,0.0,0.0,0.0,41674.734,77700.57,0.0,36105.29,0.0,0.0,0.0,0.0,17140.525,
9,239.9666988736403,0.50681514,,,,,,,,,,,0.0,0.0,0.0,168987.69,49655.887,0.0,106649.16,0.0,0.0,0.0,0.0,23419.65,
10,265.01558287426866,0.508971,,,,,,,,,,,14263.338,0.0,0.0,29214.945,44187.89,25778.487999999998,0.0,0.0,0.0,0.0,17554.738,9483.396,
11,398.90622761271857,0.5100429,,,,,,,,,,,0.0,17584.645,0.0,0.0,5747.5566,10575.313,0.0,0.0,0.0,0.0,0.0,0.0,
12,234.96148885539756,0.508971,,,,,,,,,,,11213.835,0.0,0.0,21453.707000000002,5508.683000000001,17504.17,0.0,0.0,0.0,0.0,12436.152,5219.387,
13,244.99866164694345,0.5106470999999999,,,,,,,,,,,0.0,0.0,0.0,0.0,8020.312,4272.0947,0.0,0.0,0.0,0.0,4161.2515,0.0,
14,286.9585337996673,0.50818604,,,,,,,,,,,0.0,0.0,0.0,2784.2927,14021.983999999999,0.0,0.0,0.0,0.0,0.0,5014.0947,4192.003,
15,312.9202358266172,0.51071113,,,,,,,,,,,0.0,0.0,13276.478000000001,0.0,5505.911999999999,0.0,0.0,0.0,0.0,9104.107,8197.655999999999,2461.7673,
16,369.9247159637989,0.51196283,,,,,,,,,,,8152.3335,0.0,32672.395,0.0,1159.9102,0.0,0.0,0.0,0.0,17999.701,5644.3516,1372.0201,
17,385.90204155181885,0.51372504,,,,,,,,,,,2765.6504,0.0,18105.736,0.0,0.0,0.0,0.0,23976.01,0.0,10211.1875,0.0,0.0,
18,474.8330330942732,0.5112734,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4120.1035,0.0,0.0,0.0,10474.326,875.1064,81.85132,
19,442.8785939483976,0.5154770000000001,,,,,,,,,,,0.0,20369.426,26647.167999999998,0.0,0.0,17609.535,0.0,0.0,0.0,0.0,0.0,0.0,
20,182.96264204822867,0.51409435,,,,,,,,,,,0.0,12928.868999999999,8925.177,0.0,9546.087,5404.875,0.0,0.0,0.0,3772.9692,0.0,0.0,
21,268.9481637458783,0.5149732,,,,,,,,,,,0.0,13510.198,4564.6123,0.0,16398.28,0.0,0.0,473.23082999999997,0.0,2100.9834,0.0,0.0,
22,328.8979278139197,0.5181695,,,,,,,,,,,0.0,23877.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0154,
23,214.9176951271146,0.52033174,,,,,,,,,,,42298.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4265.417,
24,232.92874564153362,0.52314645,,,,,,,,,,,16684.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,131.54252847678256,0.5495868,,,,,,,,,,,0.0,63818.707,0.0,0.0,0.0,0.0,3382.7209999999995,7487.5537,0.0,0.0,0.0,0.0,
26,265.02354494115195,0.55453223,,,,,,,,,,,0.0,178365.36,164577.38,39375.652,0.0,208381.33,0.0,376659.12,0.0,169976.3,110568.1,0.0,
27,139.53123762094256,0.55661756,,,,,,,,,,,65323.965,75272.65,0.0,12587.767,0.0,94941.83,5218.4854,167165.95,0.0,0.0,13325.476999999999,0.0,
28,192.05555884053345,0.55805886,,,,,,,,,,,101276.88,185967.86,0.0,0.0,137573.2,0.0,0.0,0.0,0.0,0.0,111544.9,66511.02,
29,130.5260388817587,0.55919427,,,,,,,,,,,0.0,9626.873,6009.879,0.0,3567.2270000000003,0.0,3378.115,91257.61,0.0,0.0,0.0,0.0,
30,249.04654071552542,0.5595146,,,,,,,,,,,0.0,257655.6,70235.98,0.0,196378.31,176760.02,0.0,25653.459,0.0,73975.31,161452.22,0.0,
31,290.84748877628033,0.5607483,,,,,,,,,,,72073.19,26129.332000000002,0.0,165979.66,0.0,0.0,148697.19,18554.098,0.0,61214.87,0.0,0.0,
32,282.0870029627198,0.56175256,,,,,,,,,,,0.0,14434.765,0.0,0.0,182067.88,0.0,0.0,0.0,0.0,0.0,0.0,262054.97,
33,236.07991908049868,0.56137043,,,,,,,,,,,0.0,13485.104,1412.6357,0.0,0.0,0.0,0.0,0.0,0.0,197128.2,372672.4,0.0,
34,542.7320725235528,0.5642024,,,,,,,,,,,0.0,725.5715299999999,0.0,39515.094,0.0,8652.263,26873.785,0.0,0.0,0.0,5938.3574,0.0,
35,314.8494163237076,0.5729873999999999,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68144.64,0.0,0.0,0.0,
36,213.07500976236096,0.5745998999999999,,,,,,,,,,,0.0,633.5741,74911.55,0.0,0.0,0.0,113972.32,0.0,0.0,0.0,0.0,0.0,
37,200.0444474260217,0.57669014,,,,,,,,,,,141051.58,164206.56,0.0,0.0,10146.360999999999,207986.86,0.0,363494.4,0.0,163201.05,100920.18,0.0,
38,174.89615197216142,0.5787554,,,,,,,,,,,0.0,0.0,0.0,0.0,120248.42,2129.5386,0.0,0.0,0.0,1912.1409,0.0,0.0,
39,208.97267202555057,0.5792653,,,,,,,,,,,0.0,0.0,0.0,117835.06,0.0,0.0,220128.78,0.0,0.0,37972.914,0.0,0.0,
40,214.0566439243216,0.5788618000000001,,,,,,,,,,,0.0,0.0,107353.375,0.0,1371.4589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,230.0336462895216,0.5798816,,,,,,,,,,,0.0,0.0,207328.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,223.87645703188286,0.58850837,,,,,,,,,,,0.0,0.0,1642.7329,38320.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,221.18620371762864,0.58838123,,,,,,,,,,,0.0,0.0,0.0,0.0,77880.75,3681.3309999999997,0.0,0.0,0.0,0.0,7763.7676,0.0,
44,191.039084659119,0.5910781999999999,,,,,,,,,,,0.0,16757.822,0.0,0.0,0.0,0.0,0.0,166708.17,0.0,0.0,7467.304,0.0,
45,371.1027503274357,0.590344,,,,,,,,,,,0.0,24601.683999999997,0.0,0.0,6808.368,33527.83,0.0,179809.38,0.0,9542.843,0.0,8000.255,
