row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1687161692_PMA_BK_ALC_01_20230619131304.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,
6,244.94690040040385,0.49536514,,,,,,,,,,,9083.865,11807.726,0,0,0,0,0,7961.523,0,9981.329,0,0,0,11423.378,0,0,10381.61,0,0,
7,272.9416551798171,0.49639308,,,,,,,,,,,9323.105,12119.019,0,0,0,0,0,0,0,10088.134,0,0,0,12706.023,0,0,10381.349,0,9198.704,
14,400.93934356780863,0.5002278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,12569.288,0,0,0,0,0,
34,398.90602705823574,0.5041296,,,,112,,,,,,,9567.412,0,0,10527.386,0,7711.7285,30742.867,18706.783,0,28744.11,0,0,0,10973.059,0,9168.072,16233.288,0,13498.321,
40,123.04071086174494,0.50606453,,,,112,,,,,,,0,8791.462,0,0,10827.707,0,27191.697,11525.182,0,20955.182,0,0,0,13140.458,8970.992,10724.545,11714.527,0,11126.962,
43,128.01951650924627,0.5064846,,,,112,,,,,,,21469.809,24161.143,21433.27,23223.209,30239.484,20233.58,65790.79,31018.012,18909.533,48278.508,0,0,22599.621,32787.473,24424.625,24610.613,30113.166,12575.101,30996.63,
44,286.95855693256283,0.50648415,,,,112,,,,,,,0,15710.307,0,0,8083.1396,0,7666.7803,0,0,17265.113,0,0,0,24935.541,7924.3096,0,10471.735,6941.381,10856.964,
47,353.947167067233,0.5069852,,,,112,,,,,,,14955.833,0,0,18848.922,24013.92,15326.663,47673.96,25806.078,12313.804,32432.93,0,0,15144.263,0,19465.318,17839.252,22238.5,6133.366,17813.818,
48,218.91061355826702,0.50731635,,,,112,,,,,,,0,0,24956.385,0,0,0,31861.238,8046.895,0,0,0,0,10431.153,0,0,8585.56,0,0,0,
49,271.9165153308308,0.507369,,,,15,,,,,,,0,0,0,6361.7964,0,7019.6934,6768.01,5744.2197,5940.198,0,63682.793,62991.22,6396.1953,0,0,6748.955,0,0,0,
