ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf,jbn	Clematis tangutica,Clematis terniflora,Clematis viticella,Clematis flammula,Clematis heracleifolia,Clematis alpina,Clematis vitalba,Clematis chinensis,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5393.262952941177	18404.515133333334	1009.83105	1877.2521	4300.758	0.0	1931.3714333333332	1208.2671	3327.1216	6191.1455000000005	2235.337	2065.96998	10146.538628571428	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	This Node is a Singleton	"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)"	PIPECOLATE	0.796683	 	0.5485	0.5485	0	OC(=O)C1CCCCN1	CCMSLIB00005464001	91685.47020000001	15	1	-1	 	15	130.0865	1	130.0865	91685.47020000001
Clematis	jbuf,jbn	Clematis tangutica,Clematis terniflora,Clematis viticella,Clematis flammula,Clematis heracleifolia,Clematis alpina,Clematis vitalba,Clematis chinensis,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10947.71771764706	38946.268266666666	2684.4011499999997	3246.7954	9427.861	0.0	6016.5192	5260.975	4199.34935	6688.001200000001	6143.7040000000015	3499.3186100000003	21588.287871428573	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=53&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	N/A	L-(+)-Lysine - 40.0 eV	0.882476	 	0.5478	0.5478	0	C(CCN)C[C@@H](C(=O)O)N	CCMSLIB00006120705	186111.20120000004	16	2	53	 	16	147.1129	1	147.1129	186111.20120000004
Clematis	jbuf,jbn	Clematis tangutica,Clematis terniflora,Clematis viticella,Clematis heracleifolia,Clematis chinensis,Clematis recta,Clematis koreana	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4368.1144	0.0	2809.39525	0.0	2966.4167	38703.695	2025.941	10259.193	3572.1875	0.0	3487.6516	6520.15081	1293.7766714285715	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=632&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	N/A	N/A	N/A	 	0.5811	0.5811	0	N/A	N/A	74257.9448	8	4	632	 	8	164.0742	1	164.0742	74257.9448
BK	nan	BK	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	287557.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	287557.56	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12.0","main.cluster index_upperinput":"12.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=243&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	N/A	N/A	N/A	 	0.5300	0.5300	0	N/A	N/A	287557.56	1	12	243	 	1	246.8619	1	246.8619	287557.56
BK	nan	BK	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	96448.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96448.47	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14.0","main.cluster index_upperinput":"14.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=243&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	N/A	N/A	N/A	 	0.5300	0.5300	0	N/A	N/A	96448.47	1	14	243	 	1	259.8938	1	259.8938	96448.47
BK	nan	BK	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	198795.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198795.92	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15.0","main.cluster index_upperinput":"15.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=243&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	N/A	N/A	N/A	 	0.5300	0.5300	0	N/A	N/A	198795.92	1	15	243	 	1	264.8726	1	264.8726	198795.92
BK,Clematis	jbuf,jbn,nan	BK,Clematis terniflora,Clematis flammula,Clematis chinensis,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	66654.06	318.84099000000003	0.0	1203.7625	390.70483	0.0	0.0	546.3984666666666	0.0	491.4358	0.0	0.0	378.110143	234.17077142857144	66654.06	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16.0","main.cluster index_upperinput":"16.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=243&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	N/A	N/A	N/A	 	0.5207	0.5207	0	N/A	N/A	72074.35682999999	5	16	243	 	5	271.9168	1	271.9168	72074.35682999999
BK	nan	BK	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	318434.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	318434.6	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17.0","main.cluster index_upperinput":"17.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=243&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	N/A	N/A	N/A	 	0.5300	0.5300	0	N/A	N/A	318434.6	1	17	243	 	1	285.8933	1	285.8933	318434.6
BK	nan	BK	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2583342.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2583342.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18.0","main.cluster index_upperinput":"18.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=243&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	N/A	N/A	N/A	 	0.5300	0.5300	0	N/A	N/A	2583342.5	1	18	243	 	1	287.8886	1	287.8886	2583342.5
Clematis	jbuf,jbn	Clematis tangutica,Clematis terniflora,Clematis viticella,Clematis flammula,Clematis heracleifolia,Clematis alpina,Clematis vitalba,Clematis chinensis,Clematis recta,Clematis koreana	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15202.09295882353	5643.3205333333335	15255.546	19460.178	44270.98	11251.725	5975.4669	3923.287	28920.1695	18532.456	19256.705	14710.87378	15903.834642857144	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=16e5aaa188af4a95a36fb8caa2d95c54&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21.0","main.cluster index_upperinput":"21.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=217&task=16e5aaa188af4a95a36fb8caa2d95c54&show=true	"InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/t8-/m0/s1"	"NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE"	0.722375	 	0.5763	0.5763	0	C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N	CCMSLIB00006679519	258435.5803	17	21	217	 	17	189.1599	1	189.1599	258435.5803
