CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1115	2052	1	0.7852	0.000
133	1115	1	0.9242	0.000
133	2052	1	0.868	0.000
4086	4548	2	0.8412	19.989
5146	5451	3	0.8639	-29.062
5249	5350	3	1.0	0.000
4941	5146	3	0.9066	130.063
5011	5350	3	0.8248	432.106
5248	5250	3	0.724	-320.053
4789	4984	3	0.8707	29.974
4827	5449	3	0.7165	308.110
4640	4826	3	0.9084	162.053
4827	5146	3	0.889	292.115
5303	5630	3	0.9706	-0.000
5319	5351	3	0.8162	-14.014
5011	5146	3	0.9066	130.063
5250	5451	3	0.8639	-29.062
5468	5487	3	1.0	-0.000
5250	5350	3	0.8349	302.043
5249	5446	3	0.9486	18.011
5248	5350	3	0.9486	-18.011
4827	5451	3	0.8625	263.053
5350	5446	3	0.9486	18.011
5011	5451	3	0.8771	101.001
5250	5447	3	0.8349	302.043
5319	5449	3	0.8162	-14.014
4629	5236	3	0.85	162.053
4629	4826	3	0.7054	15.995
5521	5630	3	0.9593	0.000
4621	4789	3	0.9821	15.996
5146	5249	3	0.8349	302.043
5468	5734	3	0.9312	-0.000
5011	5249	3	0.8248	432.106
4941	4984	3	0.8551	-324.084
5236	5319	3	0.8253	43.989
5146	5250	3	1.0	0.000
5146	5446	3	0.724	320.054
5303	5487	3	0.9316	-0.000
4941	5447	3	0.8248	432.106
5146	5447	3	0.8349	302.043
4621	4629	3	0.7538	324.085
5249	5250	3	0.8349	-302.043
5236	5449	3	0.7757	29.974
5146	5248	3	0.724	320.054
5468	5521	3	0.9725	-0.000
4827	5351	3	0.7165	308.111
5011	5446	3	0.7181	450.117
4827	4984	3	0.8768	-162.032
5011	5447	3	0.8248	432.106
4941	5250	3	0.9066	130.064
5487	5734	3	0.9312	0.000
5303	5521	3	0.9603	-0.000
4827	5250	3	0.889	292.115
4941	5451	3	0.8771	101.001
5249	5447	3	1.0	0.000
5487	5521	3	0.9725	0.000
5521	5734	3	0.9486	0.000
5630	5734	3	0.9489	0.000
5248	5446	3	1.0	0.000
4941	5350	3	0.8248	432.106
4984	5451	3	0.8071	425.085
5350	5521	3	0.7721	0.984
4941	5011	3	1.0	0.000
4984	5011	3	0.8551	324.084
4789	5236	3	0.7855	470.142
4826	5236	3	0.7241	146.058
5468	5630	3	0.9328	-0.000
5303	5468	3	0.9316	0.000
5248	5447	3	0.9486	-18.010
5236	5351	3	0.7757	29.975
4941	5248	3	0.7181	450.117
5249	5521	3	0.7721	0.984
5487	5630	3	0.9328	0.000
4984	5250	3	0.8242	454.148
5351	5449	3	1.0	-0.001
4984	5146	3	0.8242	454.147
5248	5249	3	0.9486	-18.011
5146	5350	3	0.8349	302.043
5011	5248	3	0.7181	450.117
4941	5446	3	0.7181	450.117
5446	5447	3	0.9486	-18.011
5447	5521	3	0.7721	0.984
5011	5250	3	0.9066	130.063
5303	5734	3	0.9133	-0.000
4827	5011	3	0.93	162.052
5350	5447	3	1.0	0.000
4941	5249	3	0.8248	432.106
5250	5446	3	0.724	320.053
4827	4941	3	0.93	162.052
568	1011	4	1.0	0.000
1248	2329	5	0.8257	293.111
3417	4247	5	0.7924	-134.950
3269	3652	5	1.0	0.000
3451	3652	5	1.0	0.000
3417	3451	5	0.827	30.055
4247	4434	5	0.9899	-0.001
3379	3718	5	1.0	0.000
3458	3546	5	1.0	0.000
2329	3652	5	0.8178	-48.000
3269	3417	5	0.827	-30.055
3417	3718	5	0.7406	-0.957
2329	3451	5	0.8178	-48.000
3269	3451	5	1.0	0.000
3379	3417	5	0.7406	0.957
3417	3652	5	0.827	30.056
3417	4434	5	0.7881	-134.951
3417	3458	5	0.8814	0.001
2329	3269	5	0.8178	-48.000
3417	3546	5	0.8814	0.001
5259	5859	6	0.7935	-70.078
1635	2458	6	0.9399	-33.984
2458	3354	6	0.9838	-0.000
3296	3683	6	0.8945	-14.016
5259	5831	6	0.9747	-56.062
5730	7387	6	0.8857	-94.115
5730	5971	6	0.879	46.042
5739	5865	6	0.7924	-86.073
1612	2991	6	0.9503	-29.993
3296	3953	6	0.8945	-14.016
5730	5849	6	0.9238	-42.047
3374	3565	6	0.9876	-0.000
1553	2388	6	0.9975	0.000
3073	3683	6	0.8945	-14.016
5739	5913	6	0.838	-100.089
5161	5730	6	0.9717	-28.031
2623	2962	6	1.0	-0.000
2962	3073	6	0.8515	1.979
7088	7619	6	0.8075	15.996
2287	3374	6	0.8514	-27.061
3683	3953	6	1.0	-0.000
1553	2453	6	0.8902	0.984
3768	3953	6	1.0	-0.000
1612	2647	6	0.9658	0.000
2610	2962	6	0.8922	-14.016
3683	3768	6	1.0	0.000
4600	4819	6	0.9369	15.996
3565	3953	6	0.8807	49.979
2968	2991	6	0.9927	0.000
2647	3579	6	0.9417	-0.000
2507	2962	6	0.8943	-14.016
5849	5854	6	0.8523	44.026
1612	3410	6	0.9541	-0.000
5849	7387	6	0.8501	-52.068
3296	3768	6	0.8945	-14.016
1635	2736	6	0.9397	-33.984
7591	7619	6	0.9724	-0.000
3296	4333	6	0.8808	-48.001
826	3953	6	0.9069	-113.084
1635	3953	6	0.9319	-113.084
5149	5214	6	0.8945	-2.016
3073	3768	6	0.8945	-14.016
826	3768	6	0.9069	-113.084
826	2451	6	0.9366	0.000
5913	7387	6	0.9033	-38.052
3374	3768	6	0.8865	49.979
872	1311	6	0.817	-14.016
872	1315	6	1.0	-0.000
5149	5150	6	0.8781	-1.003
2733	2983	6	0.956	15.996
2388	2754	6	0.8967	0.984
826	1635	6	0.9479	0.000
5747	5831	6	0.9719	-28.031
338	2287	6	0.9335	-24.011
5739	5971	6	0.7955	2.016
2287	3579	6	0.9435	-0.000
5730	5821	6	0.8496	15.995
5164	5739	6	0.8942	-28.031
1315	1611	6	0.8513	30.025
1318	1644	6	0.9319	14.016
1635	2451	6	0.961	0.000
3565	3683	6	0.8807	49.979
5821	5913	6	0.8554	-72.057
4223	4819	6	0.9331	15.995
3170	3545	6	0.9543	0.000
2623	3073	6	0.8515	1.979
590	826	6	0.9356	0.000
5161	5913	6	0.9823	-84.094
872	2223	6	0.779	-12.000
872	1611	6	0.8513	30.024
3374	3683	6	0.8865	49.979
2458	3545	6	0.9582	-0.000
1611	1612	6	0.8879	-132.042
826	1832	6	0.9119	-33.984
1635	3683	6	0.9319	-113.084
2287	2991	6	0.9516	-29.993
872	2141	6	0.8267	-14.016
2610	2756	6	0.8891	-14.015
5831	5859	6	0.8168	-14.016
5865	7387	6	0.8651	-52.068
5150	6389	6	0.8024	-15.028
626	977	6	0.9659	-0.005
2623	3296	6	0.8515	1.979
2736	3354	6	0.9815	-0.000
2756	3296	6	0.8536	1.979
2458	2736	6	0.9997	-0.000
2733	5149	6	0.8207	113.936
1644	2522	6	0.809	-35.981
3073	3953	6	0.8945	-14.016
1311	2141	6	0.9727	0.000
3073	3565	6	0.8644	-63.995
5849	5865	6	0.9791	0.000
5730	6389	6	0.8396	-10.021
626	2388	6	0.8217	17.993
2287	3410	6	0.9557	-0.000
4223	4600	6	0.99	-0.001
5831	5867	6	0.9443	-14.016
2736	3545	6	0.9561	-0.000
5865	5971	6	0.8615	88.089
3296	3374	6	0.8695	-63.995
5151	5214	6	1.0	-0.000
826	2736	6	0.9191	-33.984
1832	2736	6	0.9929	0.000
3374	4333	6	0.8531	15.995
977	2388	6	0.8268	17.999
2756	3073	6	0.8536	1.979
5149	7387	6	0.8124	-100.125
1612	4819	6	0.8757	-150.993
7246	7619	6	0.8075	15.996
2647	3410	6	0.9658	-0.000
1553	2754	6	0.8944	0.984
2451	2736	6	0.9385	-33.984
5150	5214	6	0.8412	-1.012
3073	3374	6	0.8695	-63.995
5259	5867	6	0.9252	-70.078
2623	2756	6	0.9921	-0.000
872	2754	6	0.8418	46.005
3410	3579	6	0.9742	-0.000
1315	2453	6	0.8421	46.005
5971	7387	6	0.9426	-140.156
2451	3768	6	0.9426	-113.084
5164	5971	6	0.8577	-26.016
