ID1,ID2,EdgeType,Score,Annotation
96,97,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
133,147,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
133,146,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
133,141,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9927
141,147,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
146,147,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0266
146,147,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
161,166,MS1 annotation,5.000,[M-2H2O+H]+ [2M+Na]+ dm/z=322.0869
161,170,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=286.0658
161,171,MS1 annotation,5.000,[M+NH4]+ [2M+Na]+ dm/z=269.0391
163,169,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0262
164,166,MS1 annotation,5.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0029
164,170,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9817
164,171,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
166,171,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0478
170,171,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0267
188,191,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
216,227,MS1 annotation,5.000,[M+NH4]+ [2M+H]+ dm/z=259.0583
217,221,MS1 annotation,5.000,[M+H]+ [2M+NH4]+ dm/z=293.1113
221,227,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0265
222,227,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0476
254,255,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
269,270,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9294
298,300,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9741
298,299,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9293
298,307,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9664
299,300,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
299,307,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
300,307,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9923
338,341,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
338,339,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9739
339,341,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9295
342,377,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9816
342,343,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9736
343,377,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9552
364,375,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9747
364,369,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9296
364,369,MS1 annotation,3.000,[M+H]+ [M-NH3+K]+ dm/z=20.9296
366,368,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9290
369,375,MS1 annotation,3.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9549
369,375,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9549
373,374,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
377,387,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0268
377,387,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0268
388,392,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
388,389,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9291
388,390,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
389,392,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9739
389,390,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9558
390,392,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
390,392,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
427,428,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
427,428,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
