ID1,ID2,EdgeType,Score,Annotation
64,65,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
64,65,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
164,169,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
164,169,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
248,251,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
407,427,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
544,545,MS1 annotation,2.000,[2M+HFA+2H]+2 [M+NH4]+ dm/z=5.9748
598,599,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
711,716,MS1 annotation,2.000,[2M+Na]+ [M-H2O+H]+ dm/z=248.1776
813,814,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0370
960,961,MS1 annotation,2.000,[M-H2O+2H]+2 [M+Na]+ dm/z=202.0602
1010,1017,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9920
1010,1017,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9920
1028,1031,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
1048,1053,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9528
1066,1069,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
1084,1086,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
1112,1114,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9553
1112,1114,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
