ID1,ID2,EdgeType,Score,Annotation
162,164,MS1 annotation,4.000,[M+Na]+ [M-H2O+K]+ dm/z=2.0385
187,189,MS1 annotation,2.000,[M-H2O+Na]+ [M+H]+ dm/z=3.9707
569,603,MS1 annotation,2.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0051
754,768,MS1 annotation,2.000,[M-3H2O+H]+ [M+NH4]+ dm/z=71.0581
758,805,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
758,819,MS1 annotation,5.000,[M-3H2O+H]+ [M+Na]+ dm/z=76.0138
758,806,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9819
785,805,MS1 annotation,5.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
805,819,MS1 annotation,5.000,[M-3H2O+H]+ [M+NH4]+ dm/z=71.0584
927,934,MS1 annotation,5.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0031
927,961,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0481
933,934,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9818
933,961,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0268
933,934,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
933,961,MS1 annotation,5.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0268
934,961,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
1145,1186,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
1214,1267,MS1 annotation,2.000,[M+NH4]+ [2M+Na]+ dm/z=281.0400
1478,1479,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0263
1733,1745,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
1824,1905,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1824,1853,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9815
1824,1905,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
1824,1853,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9815
1830,1853,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9743
2216,2250,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
2292,2308,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
2300,2314,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9293
2366,2370,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
2366,2369,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0269
2406,2407,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9549
2406,2408,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9293
2434,2440,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9661
2434,2439,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9740
2434,2437,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9293
2437,2448,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0262
2437,2440,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0369
2437,2439,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
2439,2448,MS1 annotation,5.000,[2M+2H]+2 [M+Na]+ dm/z=21.9815
2439,2440,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9922
2443,2458,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9738
2443,2469,MS1 annotation,5.000,[2M+2H]+2 [M+Na]+ dm/z=21.9817
2458,2469,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9556
2462,2464,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9738
2463,2469,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=310.0663
2565,2587,MS1 annotation,2.000,[M+K]+ [M+H]+ dm/z=37.9559
2603,2613,MS1 annotation,2.000,[M+H]+ [2M-H2O+Na]+ dm/z=159.0058
2642,2654,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9294
2642,2658,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9739
2654,2658,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
2655,2665,MS1 annotation,6.000,[M+Na]+ [M+K]+ dm/z=15.9740
