row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,
37,353.947167067233,0.5069852,,,,,,,,,,,14955.833,47673.96,0,18848.922,0,32432.93,15326.663,12313.804,22238.5,25806.078,0,24013.92,15144.263,0,19465.318,17839.252,6133.366,17813.818,
46,458.8559512935877,0.50813276,,,,197,23,[2M+K]+,,4,112;96;100;46,209.94095,10789.431,121698.2,67310.02,31394.844,0,15975.206,35619.58,29723.184,12498.336,36817.113,0,25744.133,43849.105,0,16455.04,39494.113,0,7723.8,
53,369.92484728128386,0.5085742,,,,197,6,[2M+NH4]+,,3,61;67;53,175.94913,12502.823,97268.02,39255.65,26865.166,0,18988.16,28586.06,0,16386.29,35071.31,0,24560.777,30964.045,0,15947.952,29190.93,0,9743.1875,
59,328.8979866870887,0.5094383,,,,197,,,,,,,21920.129,160399.4,68954.86,43870.742,0,37044.844,42564.78,38837.125,29732.713,58763.766,3913.524,42811.977,57662.848,0,30534.943,51287.254,0,17994.914,
67,239.9667040132797,0.5098249,,,,197,6,[M+ACN+Na]+,,2,67;53,175.94913,148949.66,1080858.9,362054.66,255232.53,0,314180.3,236067.12,202181.33,215062.56,352832.03,63084.523,284763.94,281760.0,76870.08,205299.8,292962.7,42373.46,160536.77,
70,280.99339454851133,0.5098498,,,,197,14,[2M+K]+,,3,92;69;70,121.01025,9651.368,66042.16,22946.943,16006.27,0,20216.504,16681.059,12880.956,13886.007,22603.424,0,16612.77,17040.33,0,10930.111,17196.193,0,9256.962,
71,442.878288955212,0.5098371,,,,197,,,,,,,14962.889,77709.46,18547.34,28623.281,0,30542.652,24634.137,18798.861,20561.043,36309.96,0,28269.865,25332.676,0,20704.297,27947.648,0,13820.49,
78,257.9772999539713,0.510617,,,,197,,,,,,,54008.06,272533.66,99259.52,78306.91,0,92998.53,76659.04,63540.76,69872.97,104922.36,0,84649.06,85234.83,0,65185.64,89905.15,0,53402.793,
81,234.9613776000828,0.511049,,,,197,13,[M+NH4]+,,2,81;57,216.92259,23919.453,118245.91,45999.715,35764.32,0,44570.84,34822.46,31277.363,31198.451,47470.86,10357.05,38414.445,39373.527,11549.059,29678.342,42230.24,0,25946.756,
82,344.87561662554276,0.51105,,,,197,,,,,,,0,160951.06,140384.66,32189.135,0,11061.474,39525.21,32964.277,10646.615,37673.96,0,21746.336,60824.086,0,12701.412,45599.492,0,6465.947,
91,255.94422217657439,0.51155156,,,,197,,,,,,,39194.734,445444.5,344084.88,100332.04,0,53377.33,116318.1,99175.55,46487.207,118721.59,0,76864.48,151210.52,0,52477.473,125891.34,0,27810.395,
93,588.8132586186923,0.5117013,,,,197,,,,,,,0,28732.97,19215.588,5731.4014,0,0,0,0,0,0,0,0,9962.02,0,0,6799.474,0,0,
96,214.91770781732822,0.5122634,,,,197,23,[M-H2O+Na]+,,2,96;46,209.94095,77838.32,863296.94,664100.2,190694.08,0,104538.086,204718.62,197449.52,93153.35,218079.25,8328.155,163769.97,306084.38,0,107503.086,262826.03,10626.794,58664.0,
162,246.86186255308968,0.5299523,,,,335,37,[2M-3H2O+Na]+,,2,144;162,138.95638,0,0,0,0,322114.75,0,0,0,0,0,0,0,0,0,0,0,0,0,
167,264.8726292914198,0.5299523,,,,335,37,[2M-2H2O+Na]+,,2,167;144,138.95638,0,0,0,0,224633.83,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,288.89064941009065,0.5299523,,,,335,43,[M-H2O+Na]+,,2,173;146,283.91069,0,0,0,0,258897.67,0,0,0,0,0,0,0,0,0,0,0,0,0,
182,318.79168722350556,0.5299523,,,,335,69,[M+K]+,,3,182;199;201,279.83129,0,0,0,0,203754.67,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,326.91975424958997,0.5299523,,,,335,,,,,,,0,0,0,0,64492.156,0,0,0,0,0,0,0,0,0,0,0,0,0,
186,336.80228830498015,0.5299523,,,,335,,,,,,,0,0,0,0,171815.67,0,0,0,0,0,0,0,0,0,0,0,0,0,
