ID1,ID2,EdgeType,Score,Annotation
100,163,MS1 annotation,2.000,[2M-3H2O+H]+ [M+NH4]+ dm/z=155.9063
164,340,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
164,340,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
184,187,MS1 annotation,4.000,[2M+H]+ [M+ACN+NH4]+ dm/z=63.8769
189,278,MS1 annotation,4.000,[M+NH4]+ [2M+ACN+H]+ dm/z=145.9300
519,544,MS1 annotation,2.000,[M+ACN+K]+ [2M+H]+ dm/z=60.0386
749,769,MS1 annotation,2.000,[M+H]+ [M-H2O+NH4]+ dm/z=0.9839
936,1041,MS1 annotation,7.000,[M+H]+ [M+Na]+ dm/z=21.9819
936,1053,MS1 annotation,7.000,[M-3H2O+H]+ [M+Na]+ dm/z=76.0138
936,997,MS1 annotation,7.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9926
936,1043,MS1 annotation,7.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
997,1043,MS1 annotation,7.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
998,1043,MS1 annotation,7.000,[M+NH4]+ [M-3H2O+2H]+2 dm/z=215.1005
1041,1043,MS1 annotation,7.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1043,1053,MS1 annotation,7.000,[M-3H2O+H]+ [M+NH4]+ dm/z=71.0584
1235,1281,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=286.0663
1235,1299,MS1 annotation,5.000,[M+NH4]+ [2M+Na]+ dm/z=269.0397
1235,1262,MS1 annotation,5.000,[M-2H2O+H]+ [2M+Na]+ dm/z=322.0875
1262,1299,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0479
1262,1278,MS1 annotation,5.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0031
1278,1281,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9819
1278,1299,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
1281,1299,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1282,1309,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
1373,1389,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9742
1413,1435,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0264
1508,1577,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
1620,1673,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9752
1649,1658,MS1 annotation,9.000,[M+K]+ [2M+Na]+ dm/z=260.1110
1649,1693,MS1 annotation,9.000,[M-2H2O+H]+ [2M+Na]+ dm/z=334.0878
1649,1692,MS1 annotation,9.000,[M+H]+ [2M+Na]+ dm/z=298.0667
1649,1707,MS1 annotation,9.000,[M+NH4]+ [2M+Na]+ dm/z=281.0402
1653,1693,MS1 annotation,9.000,[M-2H2O+H]+ [2M+K]+ dm/z=350.0615
1653,1669,MS1 annotation,9.000,[M+Na]+ [2M+K]+ dm/z=292.0585
1658,1669,MS1 annotation,9.000,[M+Na]+ [M+K]+ dm/z=15.9739
1658,1692,MS1 annotation,9.000,[M+H]+ [M+K]+ dm/z=37.9557
1658,1707,MS1 annotation,9.000,[M+NH4]+ [M+K]+ dm/z=20.9292
1660,1707,MS1 annotation,9.000,[M+NH4]+ [2M+H]+ dm/z=259.0584
1669,1692,MS1 annotation,9.000,[M+H]+ [M+Na]+ dm/z=21.9818
1669,1707,MS1 annotation,9.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1691,1693,MS1 annotation,9.000,[M-2H2O+H]+ [2M+NH4]+ dm/z=329.1324
1691,1692,MS1 annotation,9.000,[M+H]+ [2M+NH4]+ dm/z=293.1113
1692,1707,MS1 annotation,9.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1693,1707,MS1 annotation,9.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0476
1836,1872,MS1 annotation,4.000,[M+NH4]+ [M-3H2O+H]+ dm/z=71.0582
1870,1872,MS1 annotation,4.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0478
1872,1885,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0373
1881,1910,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9290
1952,1966,MS1 annotation,2.000,[M+Na]+ [2M+K]+ dm/z=227.9461
2029,2030,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0263
2351,2362,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9296
2424,2481,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9297
2424,2492,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9741
2481,2492,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
2582,2639,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9815
2582,2584,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9558
2582,2723,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0265
2582,2639,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9815
2582,2584,MS1 annotation,4.000,[M+K]+ [2M+2H]+2 dm/z=37.9558
2582,2723,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
2584,2639,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9743
2639,2723,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
2709,2734,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
2831,2836,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
2831,2838,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
2831,2842,MS1 annotation,4.000,[M-3H2O+H]+ [M+NH4]+ dm/z=71.0582
2836,2838,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
2836,2842,MS1 annotation,4.000,[M-3H2O+H]+ [M+Na]+ dm/z=76.0137
2843,2866,MS1 annotation,2.000,[M+H]+ [M+K]+ dm/z=37.9554
2931,3000,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0482
2931,3012,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0267
2949,3155,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
2949,3155,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
2987,3000,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0033
2999,3064,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9295
3206,3225,MS1 annotation,4.000,[M+NH4]+ [2M+H]+ dm/z=259.0585
3225,3230,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0265
3230,3231,MS1 annotation,4.000,[2M+NH4]+ [M+H]+ dm/z=293.1114
3329,3350,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
3443,3448,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
3443,3445,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0270
3523,3530,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9740
3523,3527,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9293
3523,3531,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9661
3523,3542,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9555
3527,3530,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
3527,3531,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0368
3527,3542,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0262
