ID1,ID2,EdgeType,Score,Annotation
43,44,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0262
43,44,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0262
53,58,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9925
53,56,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
53,59,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
56,58,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0372
56,59,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
91,93,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
143,144,MS1 annotation,2.000,[M-NH3+K]+ [M+H]+ dm/z=20.9299
143,144,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9299
168,169,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9738
169,170,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9557
169,171,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9292
170,171,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0265
212,213,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
302,303,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9550
302,303,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
315,316,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
315,317,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
315,316,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
315,317,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
316,317,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
374,377,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9815
384,385,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0376
384,385,MS1 annotation,2.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0376
415,416,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
620,622,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
620,621,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
620,622,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9553
621,622,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
621,622,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
624,627,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9554
624,627,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
634,635,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9550
634,635,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
654,655,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
701,702,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
701,702,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9821
726,727,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
790,791,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9821
798,799,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9551
798,799,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
810,811,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
817,819,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
843,844,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9744
852,854,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9550
852,854,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
887,891,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9745
894,897,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
894,897,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9550
902,904,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
902,904,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9551
907,912,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
907,912,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9551
917,918,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9552
917,918,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
949,950,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9525
