row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,
1,680.1973215981578,1.925838,,,,,,,,,,,0,27428.701,0,0,0,0,0,0,4799.8726,1485.2947,2267.191,
2,466.1551452067695,1.9288809,,,,,,,,,,,0,0,0,0,0,14207.544,0,0,0,0,0,
3,474.1730439893733,1.9287786,,,,,,,,,,,0,0,0,0,0,8629.52,747.9729,0,0,2427.2383,0,
4,436.1388975502516,1.9318798,,,,,,,,,,,0,17815.146,0,0,0,0,0,0,0,21459.49,0,
5,524.1974506784896,1.9367733,,,,,,,,,,,0,4319.057,827.0496,0,135.20612,0,0,0,27644.887,239.35953,4294.7007,
6,393.05818967524976,1.9375993,,,,,,,,,,,0,0,108504.18,0,0,0,0,0,0,0,0,
7,636.2157864990139,1.9416085,,,,,,,,,,,0,0,0,0,0,0,0,9968.4795,0,0,0,
8,219.02717970080357,1.9418112,,,,,,,,,,,0,0,0,0,24621.705,0,0,232.88388,0,0,0,
9,373.0776265734015,1.9447373,,,,40,1,[M+H]+,,1,10,372.07043,0,46737.406,0,0,0,0,0,127818.805,0,0,0,
10,390.1043298522312,1.9447373,,,,40,1,[M+NH4]+,,2,10;9,372.07043,0,58429.902,0,0,0,0,0,156807.38,0,0,0,
11,714.2252217903177,1.9469118,,,,,,,,,,,0,1221.4233,55484.758,88001.39,0,0,0,103238.336,0,0,0,
12,508.2029024567696,1.9484249,,,,,,,,,,,0,3379.42,2172.389,0,0,279.89215,0,0,14826.582,753.355,3866.3271,
13,449.141914733272,1.9480865,,,,,,,,,,,0,0,0,0,29767.03,0,0,0,0,0,0,
14,424.1447229928051,1.9489701,,,,,,,,,,,0,5392.908,23405.516,0,0,0,0,0,0,0,0,
15,188.03849719687827,1.9526271,,,,,,,,,,,0,0,0,0,0,0,0,12537.137,0,0,0,
16,522.1820758771157,1.955108,,,,,,,,,,,0,36013.85,0,186809.89,11542.786,0,4314.22,75724.25,0,0,66058.85,
17,286.1762314118152,1.9589899,,,,,,,,,,,0,0,0,0,0,0,0,0,127.49711,0,55355.734,
18,381.07962863739704,1.9599928,,,,,,,,,,,0,0,10290.238,0,141401.95,155589.83,3854.8657,5729.465,9689.545,0,0,
19,294.06072934980483,1.9672972,,,,,,,,,,,0,0,0,0,41331.977,3597.3447,26594.223,0,0,0,0,
20,506.1876821847527,1.9711335,,,,,,,,,,,0,28678.836,0,0,0,111.42456,681.62823,0,18737.523,0,3706.7495,
21,803.1874801808109,1.9686927,,,,,,,,,,,0,0,12127.156,0,4278.4824,0,0,0,0,0,0,
22,327.04784444038455,1.9777844,,,,,,,,,,,0,0,0,0,0,0,0,0,0,84315.58,0,
23,184.0371507172091,1.980672,,,,,,,,,,,0,0,0,0,66.48001,19756.955,1334.6372,0,0,0,0,
24,203.0527345028525,1.9843037,,,,,,,,,,,55.52791,2104.5212,1766.2148,0,26106.375,0,690.8133,0,0,0,0,
25,789.2092730727281,1.9843872,,,,,,,,,,,0,252130.69,124197.88,0,1545.0789,0,0,150997.56,0,0,78464.43,
26,550.1774811260104,1.9857292,,,,,,,,,,,0,0,0,0,0,10386.124,825.47,267.94495,0,0,0,
27,342.2123817438575,1.9869576,,,,,,,,,,,0,0,0,0,0,0,5183.051,0,0,0,0,
28,146.16515026983413,1.9922835,,,,,,,,,,,14.757636,0,0,0,88356.28,0,0,0,0,0,411.94574,
29,176.01092697285222,1.9918414,,,,,,,,,,,0,597.0855,515.2205,886.25867,17041.139,447.6847,0,0,0,830.17883,407.95963,
30,480.2068923553596,1.9947844,,,,,,,,,,,0,0,0,0,0,0,645.2822,0,0,0,14959.045,
31,591.132536738948,2.003946,,,,,,,,,,,0,0,8297.604,0,0,0,0,0,6859.2266,49532.723,0,
32,746.2350421600199,2.0136597,,,,,,,,,,,0,0,0,15454.743,6723.0986,9567.166,0,0,25071.883,0,0,
33,243.05293636851695,2.0145464,,,,,,,,,,,0,0,0,0,12977.748,0,0,0,0,0,0,
34,338.1724441166066,2.0145464,,,,,,,,,,,0,0,0,0,38783.473,0,0,0,0,0,0,
35,298.09703953365624,2.0205657,,,,,,,,,,,0,116763.98,157163.9,366280.75,123344.85,471897.03,220699.1,223198.58,0,179789.89,123955.67,
36,315.04763287706567,2.0263863,,,,,,,,,,,0,335281.03,0,0,0,0,0,0,1175889.1,0,6687.3877,
37,300.21690115267194,2.0253568,,,,,,,,,,,0,0,0,0,3378128.0,0,0,0,0,0,0,
38,322.1992754040033,2.026929,,,,,,,,,,,0,0,0,0,20888.383,0,0,0,0,220.52356,0,
39,541.1117357166529,2.02856,,,,,,,,,,,0,0,0,0,0,0,0,28112.615,0,0,0,
40,188.07073588340253,2.0340183,,,,52,3,[M+H]+,,1,41,187.06348,45.284355,0,246222.89,147234.27,481775.78,0,157748.02,123865.2,82804.95,244698.98,234311.36,
