ID1,ID2,EdgeType,Score,Annotation
17,22,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9739
17,21,MS1 annotation,5.000,[M+H]+ [M+K]+ dm/z=37.9558
19,22,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
19,21,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0265
20,21,MS1 annotation,5.000,[M+H]+ [2M+NH4]+ dm/z=359.1215
21,22,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9819
27,29,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9290
54,61,MS1 annotation,3.000,[M+H]+ [2M+NH4]+ dm/z=371.1227
61,67,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
100,101,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
103,106,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9817
103,104,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9739
104,106,MS1 annotation,3.000,[M+H]+ [M+K]+ dm/z=37.9555
127,129,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9824
127,128,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9559
127,150,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0264
128,129,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9736
128,150,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9295
129,150,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
130,132,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
186,187,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
186,187,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9553
195,199,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
195,197,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
195,199,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9551
197,199,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
197,199,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
228,229,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
230,231,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
230,231,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9557
283,284,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9547
308,309,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9815
327,330,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
337,342,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9812
350,352,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
354,357,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
388,389,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9551
388,389,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
408,411,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
410,419,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
410,419,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
443,444,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
443,444,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9559
449,450,MS1 annotation,2.000,[M+H]+ [2M+Na]+ dm/z=394.1971
454,469,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
461,462,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9549
492,494,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9829
527,529,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
527,531,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0030
527,532,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9926
548,550,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9925
548,550,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9925
560,562,MS1 annotation,3.000,[2M+Na]+ [M+NH4]+ dm/z=417.0903
560,561,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
567,568,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
567,569,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
567,568,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9821
567,569,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
568,569,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
578,582,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
610,615,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
611,612,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9541
611,612,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9541
614,616,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
623,624,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9549
687,688,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
689,692,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9738
691,693,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0267
691,692,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9820
691,693,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
691,692,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
692,693,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
697,699,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
697,698,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9290
698,699,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9736
709,710,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
709,710,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9552
732,733,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
732,738,MS1 annotation,4.000,[2M+Na]+ [M+NH4]+ dm/z=519.2689
732,734,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
733,738,MS1 annotation,4.000,[2M+Na]+ [M+H]+ dm/z=536.2956
733,734,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
733,734,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
735,736,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9924
735,737,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9821
751,752,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
765,766,MS1 annotation,2.000,[M+Na]+ [M-2H2O+2H]+2 dm/z=356.1958
793,794,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9800
793,794,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9800
799,802,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9815
799,801,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9557
801,802,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9742
810,812,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9818
