ID1,ID2,EdgeType,Score,Annotation
87,90,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
110,132,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
110,129,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
110,128,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9927
128,129,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
129,132,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
143,150,MS1 annotation,5.000,[M+NH4]+ [M+2H]+2 dm/z=149.0688
144,151,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0261
146,148,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9817
146,150,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
146,152,MS1 annotation,5.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0028
148,150,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0266
150,152,MS1 annotation,5.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
167,172,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
192,202,MS1 annotation,5.000,[M+H]+ [2M+NH4]+ dm/z=293.1115
193,206,MS1 annotation,5.000,[M+NH4]+ [2M+H]+ dm/z=259.0583
197,206,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0475
202,206,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0265
228,232,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
259,260,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9294
269,270,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9293
269,272,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9740
270,272,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
305,306,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9735
305,308,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
306,308,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9294
321,327,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9296
321,327,MS1 annotation,2.000,[M+H]+ [M-NH3+K]+ dm/z=20.9296
326,328,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9290
329,331,MS1 annotation,3.000,[2M+2H]+2 [M+K]+ dm/z=37.9564
330,331,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
345,346,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
