ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis viticella	GNPSGROUP:cdhrc	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4773.0435	4773.0435	0.0	9546.087	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	9546.087	1	1	-1	 	1	182.9627	1	182.9627	9546.087
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10052.9875	10052.9875	0.0	20105.975	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=66&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	20105.975	1	2	66	 	1	198.9404	1	198.9404	20105.975
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26490.457	26490.457	0.0	52980.914	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	52980.914	1	3	5	 	1	200.9734	1	200.9734	52980.914
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38850.285	38850.285	0.0	77700.57	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	77700.57	1	4	5	 	1	218.9841	1	218.9841	77700.57
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24827.9435	24827.9435	0.0	49655.887	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=66&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	49655.887	1	5	66	 	1	239.9670	1	239.9670	49655.887
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4010.156	4010.156	0.0	8020.312	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	8020.312	1	6	-1	 	1	244.9987	1	244.9987	8020.312
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22093.945	22093.945	0.0	44187.89	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	44187.89	1	7	5	 	1	265.0158	1	265.0158	44187.89
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8199.14	8199.14	0.0	16398.28	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=46&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	16398.28	1	8	46	 	1	268.9483	1	268.9483	16398.28
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7010.992	7010.992	0.0	14021.984	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=46&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5112	0.5112	0	N/A	N/A	14021.984	1	9	46	 	1	286.9589	1	286.9589	14021.984
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68786.6	68786.6	0.0	137573.2	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10","main.cluster index_upperinput":"10"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5457	0.5457	0	N/A	N/A	137573.2	1	10	40	 	1	383.1113	2	192.0556	137573.2
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98189.155	98189.155	0.0	196378.31	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11","main.cluster index_upperinput":"11"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=96&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5457	0.5457	0	N/A	N/A	196378.31	1	11	96	 	1	249.0465	1	249.0465	196378.31
Clematis	jbuf,cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39409.13965	39409.13965	73717.98	5100.2993	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12","main.cluster index_upperinput":"12"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5467	0.5467	0	N/A	N/A	78818.2793	2	12	-1	 	2	278.0625	2	139.5312	78818.2793
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91033.94	91033.94	0.0	182067.88	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13","main.cluster index_upperinput":"13"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=44b4c5a4382d4d03acc3bd9399e68106&show=true	N/A	N/A	N/A	 	0.5672	0.5672	0	N/A	N/A	182067.88	1	13	40	 	1	563.1746	2	282.0873	182067.88
Clematis	cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39816.405	39816.405	79632.81	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14","main.cluster index_upperinput":"14"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5694	0.5694	0	N/A	N/A	79632.81	1	14	-1	 	1	260.0520	2	130.5260	79632.81
Clematis	jbuf,cdhrc	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10671.999150000003	10671.999150000003	17703.656000000006	3640.3423	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15","main.cluster index_upperinput":"15"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5683	0.5683	0	N/A	N/A	21343.998300000007	2	15	-1	 	2	280.8189	1	280.8189	21343.998300000007
BK	nan	BK	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	68144.64	0.0	0.0	0.0	0.0	68144.64	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44b4c5a4382d4d03acc3bd9399e68106&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16","main.cluster index_upperinput":"16"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5730	0.5730	0	N/A	N/A	68144.64	1	16	-1	 	1	314.8494	1	314.8494	68144.64
