row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_BK00_neg.mzML Peak area,1685365277_ALC_dbgi_001185_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001152_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001162_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001161_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001175_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001153_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001182_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001146_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001142_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001144_01_01_neg.mzML Peak area,
1,339.09563410375233,1.9022971,,,,,,,,,,,0,0,62036.355,0,0,0,0,0,0,0,0,
2,619.0607275729437,1.911888,,,,,,,,,,,0,0,0,0,272702.4,0,0,0,0,0,0,
3,359.09928868598007,1.9128366,,,,,,,,,,,0,0,18980.094,0,0,0,0,0,0,0,0,
4,149.007634085986,1.921109,,,,,,,,,,,0,0,0,8764.623,3132371.2,0,0,888852.06,0,0,493109.5,
5,311.0414121394129,1.9228852,,,,,,,,,,,0,0,0,0,2.3171408E7,0,0,6325415.5,423017.97,0,3639490.0,
6,311.07902137292933,1.9237525,,,,,,,,,,,0,0,0,0,158442.72,0,0,0,2481.8447,0,0,
7,327.03637402554455,1.9213892,,,,,,,,,,,0,0,0,3281.1528,680297.25,0,0,0,0,0,165295.4,
8,495.0424242120722,1.922215,,,,,,,,,,,0,0,0,0,99559.79,0,0,0,0,0,0,
9,621.0786790712542,1.9220835,,,,,,,,,,,0,0,0,0,2984828.5,0,0,665470.7,0,0,567268.6,
10,623.0934361859413,1.9228852,,,,,,,,,,,0,0,0,0,7360267.5,0,0,2549718.2,4615.131,0,730995.4,
11,639.0858487746868,1.9212415,,,,,,,,,,,0,0,0,0,118719.89,0,0,22366.525,0,0,0,
12,645.0728641272209,1.9237576,,,,,,,,,,,0,0,0,0,186905.39,0,0,0,936.1507,0,33920.16,
13,661.0450373442252,1.9212415,,,,,,,,,,,0,0,0,0,401098.84,0,0,76974.414,0,0,0,
14,676.0013271826894,1.9220835,,,,,,,,,,,0,0,0,0,120772.484,0,0,27515.0,0,0,22914.758,
15,312.0441348221184,1.9220835,,,,,,,,,,,0,0,0,0,2761430.2,0,0,826590.1,0,0,1072978.2,
16,313.04522021985275,1.9220835,,,,,,,,,,,0,0,0,0,116369.73,0,0,115138.375,0,0,161896.67,
17,279.10789602523425,1.925164,,,,,,,,,,,0,0,257.65778,0,0,0,0,0,0,17277.547,0,
18,373.05487678492705,1.9317284,,,,,,,,,,,0,0,4082.5032,0,0,98656.914,0,0,0,0,0,
19,653.1578416948374,1.9312177,,,,,,,,,,,0,0,0,0,163366.75,7333.3247,0,0,0,0,0,
20,154.0129381603104,1.9345509,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,53736.98,
21,187.0234156190367,1.9334472,,,,,,,,,,,0,1617.7761,874.422,0,2748.7268,0,0,0,0,0,10710.391,
22,351.0745684674765,1.9348755,,,,,,,,,,,0,0,0,0,0,0,0,0,880705.6,0,0,
23,352.07842620208015,1.9348755,,,,,,,,,,,0,0,0,0,0,0,0,0,137786.14,0,0,
24,453.01361603382725,1.9348755,,,,,,,,,,,0,0,0,0,0,0,0,0,276300.94,0,0,
25,663.1227848968907,1.9348755,,,,,,,,,,,0,0,0,0,0,0,0,0,500450.53,0,0,
26,391.044002519327,1.9355974,,,,39,,,,,,,0,0,0,0,0,0,97444.76,0,182247.56,0,0,
