ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbn,jbuf	Clematis viticella,Clematis flammula,Clematis alpina,Clematis heracleifolia	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3598.10593	2267.1910000000007	0.0	27428.701	1485.2947	0.0	0.0	0.0	0.0	0.0	4799.8726	4571.4501666666665	2138.089575	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=317&task=e98ca7531e564db7aae5a0d66352900b&show=true	N/A	N/A	N/A	 	1.9258	1.9258	0	N/A	N/A	35981.0593	4	1	317	 	4	680.1973	1	680.1973	35981.0593
Clematis	jbn	Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1420.7544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14207.544	0.0	2367.924	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=13&task=e98ca7531e564db7aae5a0d66352900b&show=true	N/A	N/A	N/A	 	1.9289	1.9289	0	N/A	N/A	14207.544	1	2	13	 	1	466.1551	1	466.1551	14207.544
Clematis	jbn,jbuf	Clematis vitalba,Clematis terniflora,Clematis heracleifolia	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1180.47312	0.0	0.0	0.0	2427.2383	0.0	0.0	0.0	747.9729	8629.52	0.0	1562.9154833333334	606.809575	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=46&task=e98ca7531e564db7aae5a0d66352900b&show=true	N/A	N/A	N/A	 	1.9288	1.9288	0	N/A	N/A	11804.7312	3	3	46	 	3	474.1730	1	474.1730	11804.7312
Clematis	jbn,jbuf	Clematis flammula,Clematis heracleifolia	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3927.4636	0.0	0.0	17815.146	21459.49	0.0	0.0	0.0	0.0	0.0	0.0	2969.1910000000003	5364.8725	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=317&task=e98ca7531e564db7aae5a0d66352900b&show=true	N/A	N/A	N/A	 	1.9319	1.9319	0	N/A	N/A	39274.636	2	4	317	 	2	436.1389	1	436.1389	39274.636
Clematis	jbn,jbuf	Clematis viticella,Clematis koreana,Clematis tangutica,Clematis flammula,Clematis alpina,Clematis heracleifolia	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3746.025995	4294.7007	0.0	4319.057	239.35953	135.20612	0.0	827.0496	0.0	0.0	27644.887	880.2187866666667	8044.7368074999995	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=8&task=e98ca7531e564db7aae5a0d66352900b&show=true	InChI=1S/C21H30O14/c1-10(22)29-8-17(31-12(3)24)19(33-14(5)26)21(35-16(7)28)20(34-15(6)27)18(32-13(4)25)9-30-11(2)23/h17-21H,8-9H2,1-7H3	Perseitol Heptaacetate	0.743386	 	1.9368	1.9368	0	N/A	CCMSLIB00004719359	37460.25995	6	5	8	 	6	524.1975	1	524.1975	37460.25995
Clematis	jbn	Clematis tangutica	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10850.418	0.0	0.0	0.0	0.0	0.0	0.0	108504.18	0.0	0.0	0.0	18084.03	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9376	1.9376	0	N/A	N/A	108504.18	1	6	-1	 	1	393.0582	1	393.0582	108504.18
Clematis	jbuf	Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	996.84795	0.0	0.0	0.0	0.0	0.0	9968.4795	0.0	0.0	0.0	0.0	0.0	2492.119875	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9416	1.9416	0	N/A	N/A	9968.4795	1	7	-1	 	1	636.2158	1	636.2158	9968.4795
Clematis	jbn,jbuf	Clematis koreana,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2485.458888	0.0	0.0	0.0	0.0	24621.705	232.88388	0.0	0.0	0.0	0.0	4103.6175	58.22097	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9418	1.9418	0	N/A	N/A	24854.588880000003	2	8	-1	 	2	219.0272	1	219.0272	24854.588880000003
Clematis	jbn,jbuf	Clematis flammula,Clematis recta	1.0	[M+H]+	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17455.6211	0.0	0.0	46737.406	0.0	0.0	127818.805	0.0	0.0	0.0	0.0	7789.567666666667	31954.70125	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=e98ca7531e564db7aae5a0d66352900b&show=true	N/A	N/A	N/A	 	1.9447	1.9447	0	N/A	N/A	174556.211	2	9	15	372.07043	2	373.0776	1	373.0776	174556.211
Clematis	jbn,jbuf	Clematis flammula,Clematis recta	1.0	[M+NH4]+	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21523.7282	0.0	0.0	58429.902	0.0	0.0	156807.38	0.0	0.0	0.0	0.0	9738.317000000001	39201.845	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e98ca7531e564db7aae5a0d66352900b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10","main.cluster index_upperinput":"10"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9447	1.9447	0	N/A	N/A	215237.282	2	10	-1	372.07043	2	390.1043	1	390.1043	215237.282
