CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
232	532	2	0.7099	197.090
405	501	2	0.7714	-2.016
397	731	2	0.7284	-371.143
397	521	2	0.7529	-371.142
508	569	2	0.8305	-30.013
187	886	2	0.7971	18.012
402	464	2	0.7375	-2.015
232	464	2	0.8864	162.053
445	886	2	0.9772	162.053
521	766	2	0.8083	371.143
464	510	2	0.8712	-28.031
187	729	2	0.7563	18.011
728	729	2	0.8591	-35.038
187	449	2	0.7621	215.102
397	766	2	0.8732	0.000
731	766	2	0.7794	371.144
464	766	2	0.7242	227.101
508	867	2	0.9388	162.051
232	804	2	0.7137	359.142
867	886	2	0.8469	30.010
342	402	2	0.7418	-35.037
464	501	2	0.7387	51.020
510	521	2	0.7027	-116.011
731	804	2	0.7518	341.132
766	804	2	0.784	-30.012
187	445	2	0.778	-144.041
449	883	2	0.9376	0.000
191	402	2	0.868	162.053
402	729	2	0.7379	18.011
397	804	2	0.7319	-30.011
464	731	2	0.7563	-144.043
187	883	2	0.7649	215.102
191	342	2	0.8278	197.090
521	804	2	0.748	341.131
464	532	2	0.732	35.037
445	508	2	0.8482	-30.008
464	521	2	0.7831	-144.042
232	510	2	0.8559	134.022
569	867	2	0.7085	192.064
464	804	2	0.7772	197.089
521	731	2	0.9551	-0.001
175	486	3	0.8644	2.017
173	274	3	0.8939	-17.026
173	829	3	0.8644	192.063
100	602	3	0.8608	-145.004
648	829	3	0.8728	176.067
175	318	3	0.9837	15.996
318	456	3	0.9782	15.996
334	675	3	0.8706	-175.016
233	571	3	0.9048	132.044
334	829	3	0.8947	179.081
602	705	3	0.88	354.095
435	872	3	0.9349	-148.052
758	829	3	0.9016	160.074
233	705	3	0.899	162.054
648	758	3	0.932	15.993
274	322	3	0.8619	47.035
173	675	3	0.9123	-162.034
486	571	3	0.9373	160.038
334	648	3	0.8548	3.014
322	614	3	0.8749	-27.995
233	322	3	0.9861	15.994
100	175	3	0.8868	17.027
486	705	3	0.8628	190.048
614	829	3	0.8682	190.050
173	175	3	0.9481	-15.997
274	738	3	0.8653	179.078
675	829	3	0.9004	354.097
675	758	3	0.9054	194.022
602	872	3	0.9265	162.056
705	829	3	0.9694	15.995
614	738	3	0.917	160.039
614	758	3	0.8927	29.975
571	738	3	0.9525	15.994
100	192	3	0.8914	-68.975
173	614	3	0.8635	2.013
602	675	3	0.9726	15.993
175	233	3	0.9355	30.011
435	602	3	0.9516	-310.108
274	334	3	0.9137	30.008
456	738	3	0.8859	146.057
175	571	3	0.9222	162.055
318	486	3	0.9155	-13.978
486	614	3	0.9725	15.993
173	322	3	0.9175	30.009
233	602	3	0.8808	-192.041
334	738	3	0.8897	149.070
322	738	3	0.8749	132.044
614	648	3	0.8623	13.983
233	486	3	0.8659	-27.994
192	872	3	0.9128	86.027
322	648	3	0.8873	-14.013
192	705	3	0.8675	278.066
322	675	3	0.9073	-192.042
192	233	3	0.8511	116.013
322	334	3	0.939	-17.026
322	829	3	0.9203	162.054
334	614	3	0.8429	-10.969
675	872	3	0.8743	146.063
318	571	3	0.9175	146.060
192	435	3	0.9235	234.080
571	705	3	0.887	30.010
100	233	3	0.8572	47.038
435	705	3	0.8852	43.987
322	758	3	0.8901	1.980
173	456	3	0.925	15.995
100	274	3	0.8499	15.997
309	318	3	0.8537	-15.995
173	334	3	0.9225	12.982
173	309	3	0.9432	15.994
456	614	3	0.9003	-13.982
738	829	3	0.8798	30.011
648	675	3	0.8863	-178.030
192	602	3	0.9528	-76.029
173	738	3	0.8926	162.052
233	318	3	0.8747	-14.016
1005	1127	4	0.7285	162.052
424	1233	5	0.9186	-28.031
264	273	5	0.9125	-153.079
47	57	5	0.9775	342.095
194	865	5	0.9305	-28.031
262	469	5	0.8965	-202.026
865	1233	5	0.928	-94.078
823	826	5	0.8897	-45.058
359	428	5	0.9272	176.033
375	606	5	0.9054	-146.059
988	1233	5	0.9694	-30.047
469	1037	5	0.9103	42.010
148	152	5	0.9351	-45.058
216	385	5	0.8851	-32.026
267	779	5	0.907	162.053
359	401	5	0.9172	146.062
1020	1233	5	0.9713	-44.026
148	315	5	0.9261	43.990
57	865	5	0.9107	19.932
110	267	5	0.9313	15.996
347	779	5	0.9145	124.108
469	779	5	0.908	42.010
240	756	5	0.9214	162.052
223	469	5	0.8931	-42.009
262	315	5	0.9249	-204.063
153	241	5	0.8833	15.996
223	1588	5	0.8839	-250.248
241	550	5	0.8836	-13.978
401	691	5	0.8901	116.992
129	779	5	0.9355	15.998
933	988	5	0.9606	-15.995
162	238	5	0.9572	162.053
148	262	5	0.9226	248.054
223	262	5	0.8955	160.016
1545	1588	5	0.8877	162.052
375	756	5	0.9239	-0.001
153	697	5	0.8957	162.053
688	697	5	0.8845	-162.054
262	863	5	0.8905	-176.011
245	1233	5	0.9349	1.943
727	756	5	0.8938	-15.994
228	412	5	0.9264	-13.980
359	550	5	0.9443	162.055
25	153	5	0.9656	162.053
162	259	5	0.9448	-225.015
160	238	5	0.9803	116.995
753	988	5	0.9377	46.042
228	401	5	0.9176	-15.992
686	697	5	0.9339	13.979
428	550	5	0.9458	-13.977
129	863	5	0.9355	0.003
238	264	5	0.9601	45.058
148	160	5	0.9149	-220.094
228	467	5	0.9074	-146.057
240	606	5	0.9167	15.994
57	356	5	0.9637	-14.016
412	596	5	0.943	15.995
228	548	5	0.9797	15.995
25	166	5	0.9198	192.062
548	823	5	0.9221	146.058
162	273	5	0.9429	54.032
21	241	5	0.8885	192.027
223	267	5	0.892	-162.052
110	166	5	0.9037	-132.044
262	1037	5	0.908	-160.016
148	238	5	0.8968	-103.100
110	688	5	0.9414	162.054
395	548	5	0.9013	15.995
163	240	5	0.8867	-14.013
1521	1588	5	0.9167	-28.031
111	639	5	0.9037	29.973
166	227	5	0.9742	15.997
148	264	5	0.9513	-58.042
245	1521	5	0.8936	-68.099
227	267	5	0.8868	132.043
428	697	5	0.8986	146.058
162	264	5	0.9127	207.111
155	756	5	0.8944	178.049
639	859	5	0.8946	31.990
688	1037	5	0.9733	15.995
548	756	5	0.8884	13.979
467	823	5	0.9186	308.110
428	563	5	0.9529	15.995
111	401	5	0.9136	0.002
691	826	5	0.8952	15.995
152	238	5	0.9357	-58.042
223	688	5	0.9669	-15.995
155	163	5	0.9197	30.009
25	89	5	0.9108	30.008
606	756	5	0.9308	146.058
110	863	5	0.9418	162.053
227	395	5	0.8833	-43.989
467	548	5	0.9653	162.052
454	639	5	0.943	146.055
223	779	5	0.9762	0.000
89	153	5	0.892	132.044
216	383	5	0.8931	74.036
865	1545	5	0.8979	-354.203
267	412	5	0.9048	-190.013
469	863	5	0.8982	26.014
