CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
637	1079	1	0.8874	146.057
948	949	1	0.9601	-17.027
959	1250	1	0.8775	15.995
1250	1251	1	0.862	-179.080
948	959	1	0.8447	162.053
637	1152	1	0.856	-178.032
552	637	1	0.9284	15.997
949	1251	1	0.9212	15.994
552	1152	1	0.9596	-162.034
949	959	1	0.8589	179.080
959	1075	1	0.9321	18.011
552	1079	1	0.9577	162.054
959	1079	1	0.8231	-478.074
1079	1152	1	0.9335	-324.089
294	503	2	0.8097	-99.068
294	469	2	0.945	-14.016
294	692	2	0.8484	-48.001
469	692	2	0.8497	-33.985
397	469	2	0.8643	57.021
1294	1371	3	0.7863	-26.010
966	1143	3	0.8164	162.052
966	1366	3	0.9339	162.053
1143	1294	3	0.8152	-162.057
966	1212	3	0.7945	-24.001
967	1294	3	0.8469	-17.032
967	1143	3	0.7967	145.026
966	967	3	0.8447	17.026
1143	1366	3	0.8321	0.001
967	1366	3	0.8536	145.026
1294	1366	3	0.9174	162.058
1212	1371	3	0.798	-2.015
1212	1630	3	0.8535	162.054
966	1294	3	0.9235	-0.005
966	1371	3	0.828	-26.016
2423	2552	4	0.8959	-66.047
2332	2552	4	0.8856	-88.068
2424	2452	4	0.9087	-8.005
2207	2313	4	0.8118	-66.047
2498	2500	4	0.8832	18.011
2424	2693	4	0.8928	-184.162
2413	2636	4	0.8066	-190.130
2452	2453	4	0.9457	-18.010
2353	2468	4	0.8371	-174.141
2434	2466	4	0.7847	1.009
2453	2693	4	0.9021	-158.147
2496	2689	4	0.8666	-1.009
2452	2478	4	0.8484	-26.016
2310	2313	4	0.8664	18.011
2498	2690	4	0.8703	15.996
2413	2554	4	0.8224	-208.147
2423	2424	4	0.8828	-18.010
2496	2498	4	0.8108	1.006
2423	2452	4	0.8983	-26.016
2424	2690	4	0.8492	-200.156
2498	2689	4	0.8551	-2.015
2424	2552	4	0.9018	-48.037
2498	2612	4	0.8149	0.005
2324	2478	4	0.8562	18.010
2310	2333	4	0.8981	0.001
2689	2691	4	0.8461	17.002
2311	2313	4	0.9268	0.001
2353	2466	4	0.7871	-209.152
2454	2478	4	0.8652	-9.014
2310	2353	4	0.7942	-15.994
2336	2392	4	0.8375	216.151
2478	2693	4	0.8787	-150.141
2689	2690	4	0.9254	18.010
2291	2392	4	0.8606	-40.031
2356	2465	4	0.8163	19.018
2453	2454	4	0.9047	1.008
2413	2498	4	0.8123	-174.142
2336	2636	4	0.895	0.005
2413	2599	4	0.8242	-206.168
2311	2333	4	0.8213	-18.009
2455	2466	4	0.8591	-1.007
2452	2552	4	0.8825	-40.032
2478	2552	4	0.8809	-14.016
2500	2612	4	0.81	-18.005
2423	2693	4	0.877	-202.173
2496	2691	4	0.8388	15.993
2274	2500	4	0.7826	34.005
2310	2468	4	0.792	-190.136
2478	2479	4	0.8477	-17.003
2498	2640	4	0.8265	-18.010
2336	2641	4	0.7866	-3.020
2453	2689	4	0.8971	-192.151
2640	2641	4	0.8405	-1.004
2454	2690	4	0.8345	-175.149
2424	2478	4	0.8787	-34.021
2599	2636	4	0.7855	16.038
2455	2554	4	0.8213	-2.017
2468	2554	4	0.7894	-36.021
2434	2465	4	0.8201	18.009
2274	2336	4	0.7985	0.001
2454	2552	4	0.8751	-23.030
2518	2554	4	0.7958	-2.017
2413	2640	4	0.872	-192.152
2454	2496	4	0.8398	-192.150
2424	2689	4	0.8682	-218.167
2455	2518	4	0.909	0.000
2466	2518	4	0.8161	1.007
2454	2693	4	0.8528	-159.155
2478	2690	4	0.8364	-166.135
2453	2478	4	0.8533	-8.005
2336	2599	4	0.7966	-16.033
2636	2640	4	0.8195	-2.022
2452	2689	4	0.8832	-210.161
2554	2636	4	0.8052	18.017
2455	2465	4	0.8743	15.994
2392	2599	4	0.7827	-232.184
2455	2468	4	0.8534	34.004
