row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,
1,128.01931123209826,0.5032483,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7231.741,0,0,0,0,
2,216.95043200506734,0.5032483,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,18405.332,0,0,0,0,
3,241.9992977213173,0.5032483,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,40172.3,0,0,0,0,
4,344.87554230107537,0.5059995,,,,,,,,,,,0,0,0,0,0,0,18408.648,0,0,0,0,20869.14,0,0,0,0,0,0,
5,198.9401162806348,0.5072078,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,20105.975,9091.737,0,0,0,0,
6,200.9731249853581,0.5072078,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,52980.914,9919.336,0,0,0,0,
7,218.98378882949515,0.5072078,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,77700.57,17140.525,0,0,0,0,
8,239.96664527177327,0.5072078,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,49655.887,23419.65,0,0,0,0,
9,257.9769566843545,0.5082674,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,39948.56,0,8547.625,0,0,0,0,
10,458.85589322106426,0.5087664,,,,,,,,,,,0,0,0,0,17640.84,0,0,0,0,0,0,18531.484,0,0,23916.652,0,0,0,
11,265.01560772322694,0.5087974,,,,,,,,,,,0,0,0,0,25778.488,0,0,0,0,0,0,0,44187.89,9483.396,0,0,17554.738,0,
12,398.9062145945301,0.5094807,,,,,,,,,,,0,0,0,0,10575.313,0,0,0,0,0,17584.645,0,0,0,0,0,0,0,
13,234.96170312997825,0.5100236,,,,,,,,,,,0,0,0,0,0,11213.835,0,0,0,0,0,0,0,0,0,0,0,0,
14,244.99867889416674,0.51116735,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8020.312,0,0,0,0,0,
15,286.9588511110721,0.51116735,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,14021.984,0,0,0,0,0,
16,385.9019257735893,0.5126466,,,,,,,,,,,9567.681,0,0,0,0,0,0,0,0,0,0,8582.2295,0,0,10211.1875,0,0,0,
17,312.9200716565957,0.51287335,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9104.107,0,0,0,
18,369.9245125133018,0.5130799,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,14450.991,0,0,17999.701,0,0,0,
19,243.00072098054977,0.5132865,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,13775.128,0,0,0,0,0,0,
20,362.8857122390737,0.5132865,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,6975.233,0,0,0,0,0,0,
21,442.87856358762025,0.51438886,,,,,,,,,,,0,0,0,0,17609.535,0,0,0,0,0,20369.426,11251.262,0,0,0,0,0,0,
22,182.96273479214472,0.51499474,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,12928.869,0,9546.087,0,0,0,0,0,
23,268.9483537631671,0.51499474,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,13510.198,0,16398.28,0,0,0,0,0,
24,474.833144264728,0.5153403,,,,,,,,,,,9363.245,0,0,0,0,0,0,0,0,0,0,8188.911,0,0,10474.326,0,0,0,
25,328.8981349165175,0.5160543,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,23877.033,23675.582,0,0,0,0,0,0,
26,346.9088166432658,0.5198612,,,,,,,,,,,15006.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,214.91800508104146,0.52314645,,,,,,,,,,,0,0,0,0,0,42298.8,0,0,0,0,0,0,0,0,0,0,0,0,
28,232.92874564153365,0.52314645,,,,,,,,,,,0,0,0,0,0,16684.805,0,0,0,0,0,0,0,0,0,0,0,0,
29,350.8846664867749,0.52794,,,,,,,,,,,0,0,0,0,0,0,0,14925.839,0,0,0,0,0,0,0,0,0,0,
30,298.8791713177226,0.53075904,,,,,,,,,,,17439.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,131.5426524497702,0.5510574,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,63818.707,0,0,0,0,0,0,0,
32,265.02344649973,0.55208737,,,,,,,,,,,309577.97,0,164577.38,376659.12,208381.33,0,180583.72,0,197771.45,0,178365.36,285608.7,0,0,169976.3,0,110568.1,0,
33,139.53117869160826,0.5541386,,,,,,,,,,,133779.11,0,0,167165.95,94941.83,65323.965,0,0,0,0,75272.65,131428.12,0,0,0,0,0,0,
34,192.0554551109952,0.55688983,,,,,,,,,,,115589.15,0,0,0,0,101276.88,0,83784.54,0,0,185967.86,106638.23,137573.2,66511.02,0,0,111544.9,0,
35,236.07980364978232,0.55743575,,,,,,,,,,,127264.83,0,0,0,0,0,720752.44,0,0,0,0,0,0,0,197128.2,0,372672.4,0,
36,130.52587448722278,0.5586147,,,,,,,,,,,0,0,0,91257.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,249.0465547932602,0.55863434,,,,,,,,,,,141478.83,0,70235.98,0,176760.02,0,0,0,0,0,257655.6,0,196378.31,0,73975.31,0,161452.22,0,
38,542.7311619025066,0.5602126,,,,,,,,,,,0,39515.094,0,0,0,0,0,40475.06,0,0,0,0,0,0,0,0,0,0,
39,290.84759616977124,0.5621181,,,,,,,,,,,62170.105,0,0,0,0,72073.19,134263.42,0,0,0,26129.332,0,0,0,0,0,0,0,
40,282.08663510390244,0.5658815,,,,,,,,,,,72478.04,0,0,0,0,0,0,377999.44,0,0,0,0,182067.88,262054.97,0,0,0,0,
41,290.07587004108655,0.57085466,,,,,,,,,,,203221.31,0,0,0,0,0,0,0,0,0,0,140975.08,0,0,0,0,0,0,
42,200.04434868746148,0.57252085,,,,,,,,,,,335081.38,0,0,363494.4,207986.86,141051.58,170743.27,0,0,0,164206.56,283328.53,0,0,163201.05,0,100920.18,0,
43,314.84941632370754,0.5729874,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68144.64,
44,445.0868228620514,0.5736546,,,,,,,,,,,161483.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,213.07481854852463,0.57486826,,,,,,,,,,,0,0,74911.55,0,0,0,0,0,0,113972.32,0,0,0,0,0,214155.84,0,0,
46,174.8962292596069,0.57784194,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,120248.42,0,0,0,0,0,
47,208.9726842452141,0.5788209,,,,,,,,,,,0,117835.06,0,0,0,0,0,0,0,220128.78,0,0,0,0,0,0,0,0,
48,214.05619703229573,0.5798816,,,,,,,,,,,0,0,107353.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,230.03364628952158,0.5798816,,,,,,,,,,,0,0,207328.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,223.87605680327704,0.58643305,,,,,,,,,,,0,38320.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,221.1862237877975,0.58821476,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,77880.75,0,0,0,0,0,
52,465.04116843489317,0.59039223,,,,,,,,,,,126973.26,120167.7,0,0,0,0,182646.94,0,0,260370.92,0,0,0,0,144509.33,230816.45,120850.4,0,
53,191.03882801896438,0.5910187,,,,,,,,,,,0,0,0,166708.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,371.10258342168373,0.59181273,,,,163,,,,,,,229787.88,0,0,179809.38,0,0,0,0,0,0,0,165510.58,0,0,0,0,0,0,
55,219.02662254231544,0.5944008,,,,,,,,,,,7724487.0,7591323.0,440543.6,3559308.0,7128068.5,3171861.8,4301606.5,1.0155008E7,3568003.0,4262739.0,2330427.8,4710709.5,7910823.0,1.1054549E7,3337601.0,4186474.5,3108256.8,0,
56,273.08210653281657,0.5947339,,,,80,,,,,,,234562.27,0,0,0,276118.6,130529.24,0,0,0,0,314655.22,0,220194.8,0,0,0,188725.27,0,
57,203.05244134755924,0.5948122,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24678.102,
58,411.0989184004602,0.5964819,,,,80,,,,,,,0,0,0,0,0,0,0,0,0,0,203578.64,0,0,0,0,0,111733.48,0,
