ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbn,jbuf	Clematis chinensis,Clematis alpina,Clematis viticella,Clematis tangutica,Clematis vitalba,Clematis heracleifolia	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4145.372617647059	6579.836333333334	5622.071999999999	0.0	9614.51	0.0	0.0	7986.4775	0.0	5688.8465	10509.001	3060.8314499999997	5694.717142857143	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5023	0.5023	0	N/A	N/A	70471.3345	7	1	-1	 	7	128.0195	1	128.0195	70471.3345
Clematis	jbn,jbuf	Clematis alpina,Clematis tangutica,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13913.966705882352	15314.494666666666	0.0	0.0	0.0	0.0	0.0	112815.89	0.0	38889.03	0.0	19059.395	6563.354857142856	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=343&task=456464b06a5245e99c07f660d29106bc&show=true	N/A	N/A	N/A	 	0.5035	0.5035	0	N/A	N/A	236537.434	4	2	343	 	4	216.9506	1	216.9506	236537.434
Clematis	jbn,jbuf	Clematis alpina,Clematis tangutica,Clematis vitalba,Clematis heracleifolia	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17892.083176470587	46084.975	0.0	0.0	56021.965	0.0	0.0	31190.764	0.0	39348.88	0.0	10988.8524	27753.841428571428	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=456464b06a5245e99c07f660d29106bc&show=true	N/A	N/A	N/A	 	0.5032	0.5032	0	N/A	N/A	304165.414	5	3	186	 	5	241.9995	1	241.9995	304165.414
Clematis	jbn,jbuf	Clematis recta,Clematis chinensis,Clematis alpina,Clematis terniflora,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6154.5522294117645	2165.4746333333333	9204.324	0.0	0.0	0.0	6956.38	0.0	10228.417	19198.171000000002	0.0	7386.877	4394.088271428572	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=63&task=456464b06a5245e99c07f660d29106bc&show=true	N/A	N/A	N/A	 	0.5070	0.5070	0	N/A	N/A	104627.3879	7	4	63	 	7	344.8753	1	344.8753	104627.3879
Clematis	jbn,jbuf	Clematis chinensis,Clematis alpina,Clematis viticella,Clematis koreana,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17169.520294117647	19860.535	23441.422000000006	0.0	0.0	64366.914	0.0	0.0	0.0	50472.253500000006	20105.975	19599.989100000003	13697.422000000002	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5065	0.5065	0	N/A	N/A	291881.84500000003	8	5	-1	 	8	198.9401	1	198.9401	291881.84500000003
Clematis	jbn,jbuf	Clematis chinensis,Clematis alpina,Clematis viticella,Clematis koreana,Clematis terniflora,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12623.276058823529	19372.088	9442.83	0.0	0.0	28967.012	0.0	0.0	7076.714499999999	20746.207000000002	52980.914	11615.5314	14062.911285714285	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=456464b06a5245e99c07f660d29106bc&show=true	N/A	N/A	N/A	 	0.5066	0.5066	0	N/A	N/A	214595.693	9	6	186	 	9	200.9731	1	200.9731	214595.693
Clematis	jbn,jbuf	Clematis chinensis,Clematis alpina,Clematis viticella,Clematis koreana,Clematis terniflora,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18314.96029411765	29105.949666666667	13341.3855	0.0	0.0	41674.734	0.0	0.0	10515.8925	28473.308	77700.57	16669.5896	20665.48985714286	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=456464b06a5245e99c07f660d29106bc&show=true	N/A	N/A	N/A	 	0.5066	0.5066	0	N/A	N/A	311354.325	9	7	186	 	9	218.9837	1	218.9837	311354.325
Clematis	jbn,jbuf	Clematis chinensis,Clematis alpina,Clematis viticella,Clematis koreana,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42741.061588235294	48970.82666666667	60294.68	0.0	0.0	168987.69	0.0	0.0	0.0	120226.315	49655.887	49520.590000000004	33056.021	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=343&task=456464b06a5245e99c07f660d29106bc&show=true	N/A	N/A	N/A	 	0.5065	0.5065	0	N/A	N/A	726598.047	8	8	343	 	8	239.9666	1	239.9666	726598.047
Clematis	jbn,jbuf	Clematis recta,Clematis chinensis,Clematis alpina,Clematis koreana,Clematis terniflora,Clematis vitalba,Clematis flammula	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19306.095588235294	16229.116666666667	17765.203	25204.102000000006	0.0	47289.5	21914.094999999998	0.0	17865.21	35009.781	0.0	24696.222400000002	11605.914428571428	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=343&task=456464b06a5245e99c07f660d29106bc&show=true	N/A	N/A	N/A	 	0.5074	0.5074	0	N/A	N/A	328203.625	11	9	343	 	11	257.9772	1	257.9772	328203.625
Clematis	jbn,jbuf	Clematis recta,Clematis chinensis,Clematis alpina,Clematis koreana,Clematis terniflora,Clematis vitalba,Clematis heracleifolia,Clematis flammula	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8880.944976470588	365.0835333333334	17371.051	6868.491999999998	23916.652	19759.008	7681.415	0.0	9944.34	10830.8175	0.0	9978.9766	7312.328371428571	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=456464b06a5245e99c07f660d29106bc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10","main.cluster index_upperinput":"10"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=63&task=456464b06a5245e99c07f660d29106bc&show=true	N/A	N/A	N/A	 	0.5078	0.5078	0	N/A	N/A	150976.0646	10	10	63	 	10	458.8559	1	458.8559	150976.0646
