row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,Unnamed: 31
1,128.01950204326306,0.5023058,,,,,,,,,,,0.0,12507.768,7986.4775,0.0,0.0,11244.143999999998,0.0,0.0,0.0,10509.001,0.0,9614.51,11377.693000000001,0.0,0.0,7231.741,0.0,0.0,
2,216.9506187729773,0.50345474,,,,,,,,,,,0.0,27538.152000000002,112815.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77778.06,0.0,0.0,18405.332,0.0,0.0,
3,241.9995049832037,0.5031547000000001,,,,,,,,,,,0.0,98082.625,31190.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56021.965,78697.76,0.0,0.0,40172.3,0.0,0.0,
4,344.87527782568407,0.50698495,,,,,,,,,,,0.0,0.0,0.0,20456.834,0.0,0.0,18408.648,0.0,20869.14,0.0,30421.986,0.0,7974.356,6159.7919999999995,0.0,336.6319,0.0,0.0,
5,198.9400630160717,0.5065436,,,,,,,,,,,0.0,9369.18,0.0,0.0,0.0,0.0,46882.844000000005,64366.914000000004,0.0,20105.975,57315.062000000005,0.0,43629.445,41120.687999999995,0.0,9091.737,0.0,0.0,
6,200.9730881188011,0.5065696,,,,,,,,,,,0.0,18641.086,0.0,14153.428999999998,0.0,0.0,18885.66,28967.012000000002,0.0,52980.914000000004,16899.043,0.0,24593.371,29555.842,0.0,9919.336,0.0,0.0,
7,218.98367477308463,0.5065696,,,,,,,,,,,0.0,28976.007999999998,0.0,21031.785,0.0,0.0,26682.771,41674.734,0.0,77700.57,20841.326,0.0,36105.29,41201.316,0.0,17140.525,0.0,0.0,
8,239.96658620087643,0.5065436,,,,,,,,,,,0.0,24513.14,0.0,0.0,0.0,0.0,120589.36,168987.69,0.0,49655.887,133803.47,0.0,106649.16,98979.69,0.0,23419.65,0.0,0.0,
9,257.9771637161129,0.5073622999999999,,,,,,,,,,,25204.102000000003,8472.721,0.0,35730.42,0.0,0.0,35530.406,47289.5,39948.56,0.0,38427.33,0.0,31592.232000000004,31667.004,0.0,8547.625,0.0,25793.725,
10,458.8558601288173,0.5078451,,,,,,,,,,,6868.491999999999,0.0,0.0,19888.68,0.0,17640.84,17101.262,19759.008,18531.484,0.0,21661.635,23916.652000000002,0.0,0.0,0.0,1095.2506,0.0,4512.7609999999995,
11,265.01538270477226,0.50779015,,,,,,,,,,,14263.338,19815.541,0.0,13963.275,0.0,25778.487999999998,18117.152,29214.945,0.0,44187.89,13656.07,0.0,0.0,24781.535,0.0,9483.396,0.0,17554.738,
12,398.90596709474886,0.50792587,,,,,,,,,,,0.0,4233.8804,0.0,4590.1562,0.0,10575.313,5539.4326,0.0,0.0,5747.5566,0.0,0.0,0.0,0.0,17584.645,0.0,0.0,0.0,
13,234.96137893161782,0.5086476,,,,,,,,,,,11213.835,0.0,0.0,16178.271999999999,0.0,17504.17,16988.246,21453.707000000002,11183.883,5508.683000000001,17317.865,0.0,0.0,14566.616000000002,0.0,5219.387,0.0,12436.152,
14,244.99844017687096,0.50865114,,,,,,,,,,,0.0,2958.0862,0.0,0.0,0.0,4272.0947,0.0,0.0,0.0,8020.312,0.0,0.0,0.0,3367.4126,0.0,0.0,0.0,4161.2515,
15,286.95842112551287,0.50731975,,,,,,,,,,,0.0,6148.488,0.0,0.0,0.0,0.0,0.0,2784.2927,0.0,14021.983999999999,0.0,0.0,0.0,0.0,0.0,4192.003,0.0,5014.0947,
16,385.90198331889326,0.51265424,,,,,,,,,,,2765.6504,0.0,23976.01,9567.681,18105.736,0.0,0.0,6714.8584,8582.2295,0.0,0.0,10211.1875,0.0,0.0,0.0,0.0,0.0,0.0,
17,312.9201553020873,0.5095684,,,,,,,,,,,0.0,3696.7340000000004,0.0,0.0,13276.478000000001,0.0,0.0,0.0,0.0,5505.911999999999,0.0,9104.107,0.0,0.0,0.0,2461.7673,0.0,8197.655999999999,
18,369.92451856860947,0.5111148,,,,,,,,,,,8152.3335,1707.4102,0.0,0.0,32672.395,0.0,0.0,0.0,14450.991000000002,1159.9102,0.0,17999.701,0.0,0.0,0.0,1372.0201,0.0,5644.3516,
19,243.00092951378232,0.5109388,,,,,,,,,,,0.0,28974.36,0.0,0.0,44710.75,24327.027000000002,0.0,0.0,13775.128,38943.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27432.604,
20,362.8856989753315,0.5121196,,,,,,,,,,,2180.935,0.0,18778.88,0.0,0.0,0.0,0.0,0.0,6975.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.30994,
21,442.8781990751803,0.515339,,,,,,,,,,,0.0,2866.0552,0.0,0.0,26647.167999999998,17609.535,0.0,0.0,11251.261999999999,0.0,0.0,0.0,0.0,0.0,20369.426,0.0,0.0,0.0,
22,182.96258266678623,0.5139597,,,,,,,,,,,0.0,0.0,0.0,0.0,8925.177,5404.875,0.0,0.0,1952.9823,9546.087,0.0,3772.9692,0.0,0.0,12928.868999999999,0.0,0.0,0.0,
23,268.9480998816751,0.5146921,,,,,,,,,,,0.0,0.0,473.23082999999997,0.0,4564.6123,0.0,0.0,0.0,1448.3296,16398.28,0.0,2100.9834,0.0,0.0,13510.198,0.0,0.0,0.0,
24,474.83331718869886,0.5152579,,,,,,,,,,,0.0,0.0,0.0,9363.245,0.0,0.0,0.0,0.0,8188.911,0.0,0.0,10474.326,0.0,0.0,1175.3035,81.85132,0.0,0.0,
25,328.8978543823553,0.5163258,,,,,,,,,,,0.0,0.0,28825.612999999998,0.0,54628.21,0.0,0.0,0.0,23675.582000000002,0.0,0.0,0.0,0.0,0.0,23877.033,1052.0154,0.0,0.0,
26,346.9088901816555,0.51732326,,,,,,,,,,,0.0,0.0,0.0,15006.28,0.0,0.0,0.0,0.0,7827.302,0.0,0.0,0.0,0.0,0.0,8794.966,0.0,0.0,0.0,
27,214.9176951271146,0.52033174,,,,,,,,,,,42298.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4265.417,0.0,0.0,
28,232.92874564153362,0.52314645,,,,,,,,,,,16684.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
