ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf,jbn	Clematis alpina,Clematis chinensis,Clematis viticella,Clematis heracleifolia,Clematis vitalba,Clematis tangutica	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5269.4151363636365	7231.741	11244.143999999998	0.0	9614.51	0.0	0.0	7986.4775	0.0	11377.693	10509.001	5101.3857499999995	5471.0504	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5020	0.5020	0	N/A	N/A	57963.5665	6	1	-1	 	6	128.0195	1	128.0195	57963.5665
Clematis	jbuf,jbn	Clematis alpina,Clematis vitalba,Clematis tangutica	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18999.93472727273	18405.332	0.0	0.0	0.0	0.0	0.0	112815.89	0.0	77778.06	0.0	31765.658333333333	3681.0663999999997	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=228&task=de3948eda1e4488d8d4ae56f25cb4bd7&show=true	N/A	N/A	N/A	 	0.5033	0.5033	0	N/A	N/A	208999.282	3	2	228	 	3	216.9507	1	216.9507	208999.282
Clematis	jbuf,jbn	Clematis alpina,Clematis heracleifolia,Clematis vitalba,Clematis tangutica	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18734.799	40172.3	0.0	0.0	56021.965	0.0	0.0	31190.764	0.0	78697.76	0.0	18314.754	19238.853	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=59&task=de3948eda1e4488d8d4ae56f25cb4bd7&show=true	N/A	N/A	N/A	 	0.5030	0.5030	0	N/A	N/A	206082.789	4	3	59	 	4	241.9995	1	241.9995	206082.789
Clematis	jbuf,jbn	Clematis alpina,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3649.0779090909095	8547.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31592.232000000004	0.0	5265.372	1709.525	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=228&task=de3948eda1e4488d8d4ae56f25cb4bd7&show=true	N/A	N/A	N/A	 	0.5037	0.5037	0	N/A	N/A	40139.857	2	4	228	 	2	257.9771	1	257.9771	40139.857
Clematis	jbuf,jbn	Clematis alpina,Clematis chinensis,Clematis heracleifolia,Clematis vitalba,Clematis tangutica	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7531.424445454545	958.4759	17640.84	0.0	23916.652	0.0	0.0	30364.986	0.0	9964.715	0.0	9661.756833333333	4975.0255799999995	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=38&task=de3948eda1e4488d8d4ae56f25cb4bd7&show=true	N/A	N/A	N/A	 	0.5046	0.5046	0	N/A	N/A	82845.66889999999	5	5	38	 	5	458.8557	1	458.8557	82845.66889999999
Clematis	jbuf,jbn	Clematis alpina,Clematis viticella,Clematis koreana,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12472.188272727271	9091.737	0.0	0.0	0.0	64366.914	0.0	0.0	0.0	43629.445	20105.975	17999.393166666665	5839.542399999999	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5068	0.5068	0	N/A	N/A	137194.071	4	6	-1	 	4	198.9402	1	198.9402	137194.071
Clematis	jbuf,jbn	Clematis alpina,Clematis viticella,Clematis koreana,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10587.330272727273	9919.336	0.0	0.0	0.0	28967.012	0.0	0.0	0.0	24593.371	52980.914	8926.7305	12580.05	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=59&task=de3948eda1e4488d8d4ae56f25cb4bd7&show=true	N/A	N/A	N/A	 	0.5068	0.5068	0	N/A	N/A	116460.63299999999	4	7	59	 	4	200.9732	1	200.9732	116460.63299999999
Clematis	jbuf,jbn	Clematis alpina,Clematis viticella,Clematis koreana,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15692.829	17140.525	0.0	0.0	0.0	41674.734	0.0	0.0	0.0	36105.29	77700.57	12963.337333333333	18968.219	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=59&task=de3948eda1e4488d8d4ae56f25cb4bd7&show=true	N/A	N/A	N/A	 	0.5068	0.5068	0	N/A	N/A	172621.119	4	8	59	 	4	218.9838	1	218.9838	172621.119
Clematis	jbuf,jbn	Clematis alpina,Clematis viticella,Clematis koreana,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31701.126090909092	23419.65	0.0	0.0	0.0	168987.69	0.0	0.0	0.0	106649.16	49655.887	45939.475	14615.1074	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=228&task=de3948eda1e4488d8d4ae56f25cb4bd7&show=true	N/A	N/A	N/A	 	0.5068	0.5068	0	N/A	N/A	348712.387	4	9	228	 	4	239.9667	1	239.9667	348712.387
Clematis	jbuf,jbn	Clematis recta,Clematis alpina,Clematis chinensis,Clematis flammula,Clematis viticella,Clematis koreana	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12771.163181818181	9483.396	25778.488	14263.338	0.0	29214.945	8777.369	0.0	0.0	0.0	44187.89	11542.795166666667	14245.2048	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=de3948eda1e4488d8d4ae56f25cb4bd7&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10","main.cluster index_upperinput":"10"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=59&task=de3948eda1e4488d8d4ae56f25cb4bd7&show=true	N/A	N/A	N/A	 	0.5090	0.5090	0	N/A	N/A	140482.795	6	10	59	 	6	265.0156	1	265.0156	140482.795
