SpectrumID	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	UpdateWorkflowName	LibraryQualityString	#Scan#	SpectrumFile	LibraryName	MQScore	Organism	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	LibMZ	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	tags	MoleculeExplorerDatasets	MoleculeExplorerFiles	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway
CCMSLIB00006678925	TYROSINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037373	M+H	182.081	0.0	1	N/A	N/A	C1=C(C=CC(=C1)O)C[C@@H](C(=O)O)N	"""InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1751	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.989577	MONA	2961500.0	56.347	1.17323	9	0.000213623	182.081	182.081	1	spectra_filtered/specs_ms.mgf1751	1		0	0	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	N/A	N/A	N/A	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids
CCMSLIB00006679186	PHENYLALANINE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037363	M+H	166.086	0.0	1	N/A	N/A	C1=CC=C(C=C1)C[C@@H](C(=O)O)N	"""InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	3443	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.987175	MONA	35871500.0	95.12700000000001	1.8374599999999999	7	0.000305176	166.086	166.08599999999998	1	spectra_filtered/specs_ms.mgf3443	1		0	0	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT	N/A	N/A	N/A	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids
CCMSLIB00006679518	TRYPTOPHAN	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037105	M+H	205.097	0.0	1	N/A	N/A	C1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N	"""InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	4297	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.9867549999999999	MONA	1744500.0	121.065	5.35665	15	0.00109863	205.097	205.09799999999998	1	spectra_filtered/specs_ms.mgf4297	1		0	0	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	N/A	N/A	N/A	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids
CCMSLIB00006679518	TRYPTOPHAN	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037105	M+H	205.097	0.0	1	N/A	N/A	C1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N	"""InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	4369	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.9851059999999999	MONA	4521600.0	122.228	1.48796	16	0.000305176	205.097	205.097	1	spectra_filtered/specs_ms.mgf4369	1		0	0	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	N/A	N/A	N/A	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids
CCMSLIB00003139936	Spectral Match to Dopamine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by amelnik	M+H	154.09	153.079	1	51616	N/A	C1=CC(=C(C=C1CCN)O)O	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	1413	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.984452	GNPS-NIST14-MATCHES	431650000.0	49.331	24.6573	6	0.00379944	154.09	154.086	1	spectra_filtered/specs_ms.mgf1413	1		0	0	VYFYYTLLBUKUHU-UHFFFAOYSA-N	VYFYYTLLBUKUHU	N/A	N/A	N/A	Tyrosine alkaloids	Phenylethylamines	Alkaloids
CCMSLIB00003139936	Spectral Match to Dopamine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by amelnik	M+H	154.09	153.079	1	51616	N/A	C1=CC(=C(C=C1CCN)O)O	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	3127	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.983369	GNPS-NIST14-MATCHES	96197000.0	87.229	24.6573	7	0.00379944	154.09	154.086	1	spectra_filtered/specs_ms.mgf3127	1		0	0	VYFYYTLLBUKUHU-UHFFFAOYSA-N	VYFYYTLLBUKUHU	N/A	N/A	N/A	Tyrosine alkaloids	Phenylethylamines	Alkaloids
CCMSLIB00006678909	ARGININE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037126	M+H	175.119	0.0	1	N/A	N/A	C(C[C@@H](C(=O)O)N)CNC(=N)N	"""InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	676	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.982284	MONA	67453600.0	37.289	0.0	19	0.0	175.119	175.11900000000003	1	spectra_filtered/specs_ms.mgf676	1		0	0	ODKSFYDXXFIFQN-BYPYZUCNSA-N	ODKSFYDXXFIFQN	N/A	N/A	N/A	Small peptides	Aminoacids	Amino acids and Peptides
CCMSLIB00006679758	PANTOTHENIC ACID	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037518	M+H	220.118	0.0	1	N/A	N/A	CC(C)(CO)C(/C(=N/CCC(=O)O)/O)O	"""InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	3747	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.9821049999999999	MONA	2020300.0	105.117	0.48524700000000004	27	0.000106812	220.118	220.118	1	spectra_filtered/specs_ms.mgf3747	1		0	0	GHOKWGTUZJEAQD-UHFFFAOYSA-N	GHOKWGTUZJEAQD	N/A	N/A	N/A	Fatty Acids and Conjugates	Branched fatty acids	Fatty acids
CCMSLIB00006678909	ARGININE	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037126	M+H	175.119	0.0	1	N/A	N/A	C(C[C@@H](C(=O)O)N)CNC(=N)N	"""InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1"""	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	2881	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.98125	MONA	4415500.0	82.836	61.6908	19	0.0108032	175.119	175.108	1	spectra_filtered/specs_ms.mgf2881	1		0	0	ODKSFYDXXFIFQN-BYPYZUCNSA-N	ODKSFYDXXFIFQN	N/A	N/A	N/A	Small peptides	Aminoacids	Amino acids and Peptides
CCMSLIB00003137706	Spectral Match to Adenosine from NIST14	ESI	QqQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	268.104	0.0	1	58617	N/A	N/A	N/A	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	2125	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.9810559999999999	GNPS-NIST14-MATCHES	24951900.0	64.921	0.0	11	0.0	268.104	268.10400000000004	1	spectra_filtered/specs_ms.mgf2125	1		23	1092	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
