ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf,jbn	Clematis koreana,Clematis flammula,Clematis alpina,Clematis viticella,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3567.0253529411766	7396.445333333334	0.0	9083.865	0.0	7961.523	3327.1096666666667	0.0	0.0	0.0	11423.378	2742.6998	4744.633285714286	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=106&task=eefbcc3b04074f2daa04fc93c30b2d84&show=true	N/A	N/A	N/A	 	0.4954	0.4954	0	N/A	N/A	60639.431	6	6	106	 	6	244.9469	1	244.9469	60639.431
Clematis	jbuf,jbn	Clematis flammula,Clematis alpina,Clematis viticella,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3753.902	7500.122666666666	0.0	9323.105	0.0	0.0	6428.946	0.0	0.0	0.0	12706.023	1970.4454	6301.697142857142	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4964	0.4964	0	N/A	N/A	63816.333999999995	6	7	-1	 	6	272.9417	1	272.9417	63816.333999999995
Clematis	jbuf	Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	739.3698823529412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12569.288	0.0	1795.6125714285715	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14","main.cluster index_upperinput":"14"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=309&task=eefbcc3b04074f2daa04fc93c30b2d84&show=true	N/A	N/A	N/A	 	0.5002	0.5002	0	N/A	N/A	12569.288	1	14	309	 	1	400.9393	1	400.9393	12569.288
Clematis	jbuf,jbn	Clematis koreana,Clematis chinensis,Clematis flammula,Clematis alpina,Clematis heracleifolia,Clematis viticella,Clematis terniflora,Clematis recta	 	 	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9169.00155882353	5411.0960000000005	5263.693	9567.412	9168.072	18706.783	14080.810333333335	0.0	19227.297749999998	0.0	10973.059	9348.94645	8911.93742857143	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"34","main.cluster index_upperinput":"34"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5041	0.5041	0	N/A	N/A	155873.0265	10	34	-1	 	10	398.9060	1	398.9060	155873.0265
Clematis	jbuf,jbn	Clematis koreana,Clematis chinensis,Clematis alpina,Clematis heracleifolia,Clematis vitalba,Clematis viticella,Clematis terniflora,Clematis recta	 	 	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7939.336117647059	6835.3296666666665	5413.8535	0.0	10724.545	11525.182	10694.048	0.0	13595.8485	4485.496	13140.458	7023.0105	9248.372714285715	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"40","main.cluster index_upperinput":"40"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5061	0.5061	0	N/A	N/A	134968.714	10	40	-1	 	10	123.0407	1	123.0407	134968.714
Clematis	jbuf,jbn	Clematis koreana,Clematis chinensis,Clematis flammula,Clematis alpina,Clematis heracleifolia,Clematis vitalba,Clematis tangutica,Clematis viticella,Clematis terniflora,Clematis recta	 	 	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28403.79805882353	22283.136666666665	26731.3465	21469.809	24610.613	31018.012	32728.22366666667	21433.27	43012.185	23512.123	32787.473	28685.5478	28001.29842857143	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"43","main.cluster index_upperinput":"43"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5065	0.5065	0	N/A	N/A	482864.56700000004	17	43	-1	 	17	128.0195	1	128.0195	482864.56700000004
Clematis	jbuf,jbn	Clematis chinensis,Clematis alpina,Clematis vitalba,Clematis viticella,Clematis terniflora,Clematis recta	 	 	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6462.074735294118	11041.141	4041.5698	0.0	0.0	0.0	9374.025666666666	0.0	3833.39015	3962.1548	24935.541	3414.59645	10815.615142857143	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"44","main.cluster index_upperinput":"44"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=651&task=eefbcc3b04074f2daa04fc93c30b2d84&show=true	N/A	N/A	N/A	 	0.5065	0.5065	0	N/A	N/A	109855.27049999998	9	44	651	 	9	286.9586	1	286.9586	109855.27049999998
Clematis	jbuf,jbn	Clematis koreana,Clematis chinensis,Clematis flammula,Clematis alpina,Clematis heracleifolia,Clematis vitalba,Clematis terniflora,Clematis recta	 	 	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17059.213352941177	9457.288666666667	21431.421	14955.833	17839.252	25806.078	20853.517333333333	0.0	31500.3115	17304.7905	0.0	20064.2998	12766.232714285714	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"47","main.cluster index_upperinput":"47"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=106&task=eefbcc3b04074f2daa04fc93c30b2d84&show=true	N/A	N/A	N/A	 	0.5070	0.5070	0	N/A	N/A	290006.62700000004	14	47	106	 	14	353.9472	1	353.9472	290006.62700000004
Clematis	jbuf,jbn	Clematis koreana,Clematis heracleifolia,Clematis vitalba,Clematis tangutica,Clematis terniflora	 	 	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4934.190058823529	0.0	0.0	0.0	8585.56	8046.895	0.0	24956.385	15930.619	5215.5765	0.0	6486.4518	2716.6732857142856	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"48","main.cluster index_upperinput":"48"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=106&task=eefbcc3b04074f2daa04fc93c30b2d84&show=true	N/A	N/A	N/A	 	0.5073	0.5073	0	N/A	N/A	83881.231	5	48	106	 	5	218.9106	1	218.9106	83881.231
BK,Clematis	jbuf,jbn,nan	Clematis koreana,Clematis chinensis,BK,Clematis heracleifolia,Clematis vitalba,Clematis terniflora,Clematis recta	 	 	15.0	0.0	0.0	0.0	0.0	0.0	0.0	62991.22	2645.827517647059	0.0	3180.8982	0.0	6748.955	5744.2197	1980.066	0.0	6893.8517	3198.09765	0.0	3183.3917500000002	1877.8786142857143	62991.22	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=eefbcc3b04074f2daa04fc93c30b2d84&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"49","main.cluster index_upperinput":"49"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=106&task=eefbcc3b04074f2daa04fc93c30b2d84&show=true	N/A	N/A	N/A	 	0.5074	0.5074	0	N/A	N/A	171653.0808	9	49	106	 	9	271.9165	1	271.9165	171653.0808
