CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
9143	9154	1	0.9292	-17.026
6110	6965	2	0.9286	0.000
7442	7847	2	0.9753	-17.063
6530	7442	2	0.9696	-63.994
7208	7837	2	0.9487	-0.000
5195	5865	2	0.9633	0.000
5491	6157	2	0.9684	-69.022
3867	5740	2	0.9538	78.032
4331	4890	2	0.9609	-18.010
5021	6715	2	0.9101	12.000
6145	7847	2	0.9795	-83.073
4890	5900	2	0.9616	-84.021
7367	7369	2	0.935	-45.058
4625	4810	2	0.9674	-0.000
6110	8443	2	0.935	0.000
5905	7442	2	0.9713	-60.984
5728	5740	2	0.9548	-114.032
5403	6440	2	0.9813	0.000
6844	7369	2	0.8797	405.059
3867	6839	2	0.9618	30.011
6440	6913	2	0.9695	-0.000
6488	6530	2	0.9589	-2.016
5495	6169	2	0.9706	-14.016
4810	5728	2	0.9457	0.000
7018	7367	2	0.9379	0.001
6157	7442	2	0.9768	-48.984
5740	6392	2	0.9625	23.963
5491	7441	2	0.9668	-135.032
4397	4810	2	0.9541	-0.000
6209	6476	2	0.9698	-12.001
6844	7367	2	0.8729	450.117
7441	7442	2	0.9702	17.027
4331	6839	2	0.9443	-162.052
5495	6389	2	0.9603	-28.031
4625	7837	2	0.9443	0.000
5905	6392	2	0.9598	28.990
6913	7208	2	0.9633	0.001
6151	7837	2	0.9476	0.001
5900	6209	2	0.9562	-17.026
4890	7847	2	0.9642	-179.094
6151	6452	2	0.9617	0.000
6145	7442	2	0.9838	-66.010
6157	7441	2	0.9713	-66.010
5495	7847	2	0.9663	-118.041
4625	6151	2	0.9808	-0.001
6389	6392	2	0.9591	17.027
6157	6530	2	0.9651	15.010
5403	7435	2	0.9502	0.000
6902	7367	2	0.9183	450.116
6488	7191	2	0.9649	-63.994
4660	9207	2	0.8957	-18.011
3867	8537	2	0.9556	192.064
5403	6151	2	0.9848	-0.000
5491	7442	2	0.9682	-118.005
5195	8537	2	0.9511	0.000
4625	6913	2	0.9706	-0.000
5905	7847	2	0.9678	-78.046
5900	6145	2	0.9797	-12.000
4660	5021	2	0.951	0.000
6392	7441	2	0.9609	-107.001
5403	7208	2	0.9547	0.001
5491	6169	2	0.9611	-31.042
4940	5908	2	0.9516	-264.062
6169	6389	2	0.9643	-14.016
6440	7208	2	0.9471	0.001
6452	7837	2	0.9611	0.001
4890	5491	2	0.9679	-44.026
3867	5900	2	0.9629	90.032
4143	6110	2	0.941	-0.000
7441	7847	2	0.9783	-0.036
5491	6145	2	0.9723	-51.995
6145	7441	2	0.9708	-83.037
5279	7367	2	0.859	83.038
5905	6169	2	0.9577	25.979
5331	5742	2	0.9284	0.000
5491	5900	2	0.9625	-39.995
4625	7208	2	0.9518	0.000
6839	8537	2	0.9485	162.054
6151	7208	2	0.9512	0.001
6452	7208	2	0.9565	0.001
7018	7369	2	0.9051	-45.057
5491	7847	2	0.9747	-135.068
6902	7018	2	0.9103	450.115
4940	6389	2	0.9486	174.017
4810	6151	2	0.9565	-0.000
5495	6157	2	0.9664	-51.995
6151	7435	2	0.9527	0.001
5740	5742	2	0.9541	-17.027
4331	4810	2	0.9513	0.001
5900	6530	2	0.9805	-14.016
5905	6157	2	0.9786	-12.000
4625	5403	2	0.984	-0.000
4932	6693	2	0.8168	60.022
4810	6440	2	0.9545	0.000
4331	4397	2	0.9724	0.001
7132	7369	2	0.9269	0.001
4143	5728	2	0.943	-0.000
6902	7132	2	0.8854	405.058
4331	5728	2	0.9589	0.001
4143	4331	2	0.9612	-0.001
4625	6452	2	0.9592	-0.000
5021	6110	2	0.9322	-18.011
6169	7847	2	0.9748	-104.026
3867	7744	2	0.9535	-5.005
4331	5195	2	0.9508	0.001
6902	7369	2	0.8983	405.059
