row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1687161692_PMA_BK_ALC_01_20230619131304.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,Unnamed: 32
6,244.94690040040385,0.49536514,,,,,,,,,,,9083.865,11807.726,0.0,0.0,0.0,0.0,0.0,7961.523,0.0,9981.329,0.0,0.0,0.0,11423.378,0.0,0.0,10381.61,0.0,0.0,
7,272.9416551798171,0.49639308,,,,,,,,,,,9323.105,12119.018999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10088.134,0.0,0.0,0.0,12706.023000000001,0.0,0.0,10381.349,0.0,9198.704,
14,400.93934356780863,0.5002278,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12569.288,0.0,0.0,0.0,0.0,0.0,
34,398.9060270582357,0.5041296,,,,112.0,,,,,,,9567.412,0.0,0.0,10527.386,0.0,7711.7285,30742.867000000002,18706.783,0.0,28744.11,0.0,0.0,0.0,10973.059,0.0,9168.072,16233.288,0.0,13498.321000000002,
40,123.04071086174494,0.50606453,,,,112.0,,,,,,,0.0,8791.462,0.0,0.0,10827.707,0.0,27191.697,11525.181999999999,0.0,20955.182,0.0,0.0,0.0,13140.458,8970.992,10724.545,11714.527,0.0,11126.962,
43,128.01951650924627,0.5064846,,,,112.0,,,,,,,21469.808999999997,24161.142999999996,21433.27,23223.209,30239.484,20233.58,65790.79,31018.012000000002,18909.533,48278.508,0.0,0.0,22599.621,32787.473,24424.625,24610.612999999998,30113.166,12575.101,30996.63,
44,286.95855693256283,0.50648415,,,,112.0,,,,,,,0.0,15710.306999999999,0.0,0.0,8083.1396,0.0,7666.7803,0.0,0.0,17265.113,0.0,0.0,0.0,24935.541,7924.3096,0.0,10471.735,6941.380999999999,10856.964,
47,353.94716706723295,0.5069852,,,,112.0,,,,,,,14955.833,0.0,0.0,18848.922,24013.92,15326.663,47673.96,25806.077999999998,12313.803999999998,32432.93,0.0,0.0,15144.263,0.0,19465.318,17839.252,22238.5,6133.366,17813.818,
48,218.91061355826702,0.50731635,,,,112.0,,,,,,,0.0,0.0,24956.385,0.0,0.0,0.0,31861.237999999998,8046.895,0.0,0.0,0.0,0.0,10431.153,0.0,0.0,8585.56,0.0,0.0,0.0,
49,271.9165153308308,0.507369,,,,15.0,,,,,,,0.0,0.0,0.0,6361.7964,0.0,7019.6934,6768.01,5744.2197,5940.198,0.0,63682.793,62991.22,6396.1953,0.0,0.0,6748.955,0.0,0.0,0.0,
50,243.000932099907,0.5074055000000001,,,,112.0,,,,,,,32135.107000000004,48435.437999999995,17580.566000000003,32844.133,52587.758,25748.54,126056.16,55079.043,21950.574,94935.195,0.0,0.0,27088.137000000002,76944.695,41179.99,33307.66,53062.004,21869.697,53768.605,
51,241.9996744819753,0.5074082999999999,,,,112.0,,,,,,,120234.76,169653.22,68692.8,122635.55,192531.64,94539.914,437685.03,200129.88,76635.54,330680.2,0.0,0.0,101026.09,278836.75,151277.56,129619.24,191582.06,79442.11,190537.7,
52,243.99689403651996,0.5074154000000001,,,,112.0,,,,,,,30312.137000000002,44716.39,0.0,31752.906000000003,50011.043,23830.697,115778.64,52937.465,20220.582,87647.36,0.0,0.0,26518.693,75721.664,41152.324,32438.766,49338.16,20606.285,50243.734000000004,
53,184.02834776424012,0.50743306,,,,112.0,,,,,,,6329.7207,0.0,28122.13,11831.521999999999,12945.396,14462.415,0.0,0.0,11583.455,10067.101999999999,0.0,0.0,15509.192,0.0,7085.093000000001,14972.315,0.0,0.0,0.0,
55,220.9809365881525,0.5079296,,,,112.0,,,,,,,14337.935,18361.39,6327.029,0.0,21177.234,10842.21,53836.453,22601.992000000002,0.0,38153.96,0.0,0.0,11838.653,31344.455,17700.963,14678.001,22941.818,8059.9775,22646.031000000003,
57,218.9837993261,0.508051,,,,112.0,,,,,,,55453.562000000005,75319.89,30952.117000000002,56238.574,84548.96,46094.137,202574.62,88603.64,34675.914,157814.89,0.0,0.0,45629.87,127391.54,69138.66,57708.515999999996,89781.16,35172.785,88913.36,
58,312.92028090380137,0.50810856,,,,112.0,,,,,,,0.0,6939.105,0.0,15393.931999999999,21643.472999999998,12508.653999999999,44628.645,22178.897999999997,0.0,28947.021,0.0,0.0,13657.793,9229.163,17254.814,16020.8,19098.127,0.0,14237.5205,
59,458.85595129358774,0.50813276,,,,112.0,,,,,,,10789.431,0.0,67310.02,31394.843999999997,25744.132999999998,35619.58,121698.2,36817.113,29723.183999999997,15975.206,0.0,0.0,43849.105,0.0,16455.04,39494.113,12498.336000000001,0.0,7723.8,
61,156.01427868548134,0.508416,,,,112.0,,,,,,,11600.023000000001,12566.361,10198.440999999999,13113.951000000001,15935.186000000002,12255.22,42333.55,17484.436,9289.603000000001,26993.137000000002,0.0,0.0,0.0,17182.174,13960.491000000002,13357.438999999998,16293.448999999999,0.0,14801.806999999999,
62,200.9731624531939,0.5084131,,,,112.0,,,,,,,35203.613,43827.45,20480.857,36863.66,58244.41,27913.39,157981.36,59450.58,23377.862999999998,106985.85,0.0,0.0,34715.855,80953.984,45116.01,41063.15,60245.918,18311.389,55867.2,
64,182.96252344991814,0.50852484,,,,112.0,,,,,,,5336.6133,8453.739,0.0,0.0,10428.731,0.0,27396.58,10395.011,0.0,18871.916,0.0,0.0,0.0,15143.65,7654.191999999999,0.0,10884.225,3230.1372,9476.961,
65,265.01555390052766,0.5085503,,,,,,,,,,,23987.646,43841.133,0.0,0.0,43123.89,0.0,0.0,54907.246,0.0,76963.55,0.0,0.0,0.0,0.0,40211.133,0.0,0.0,18838.816000000003,0.0,
66,369.92484728128386,0.5085742,,,,112.0,,,,,,,12502.823,0.0,39255.65,26865.166,24560.777000000002,28586.06,97268.02,35071.31,0.0,18988.16,0.0,0.0,30964.045,0.0,15947.952,29190.93,16386.29,0.0,9743.1875,
67,357.3997389743019,0.50867146,,,,112.0,,,,,,,0.0,0.0,17397.56,0.0,0.0,0.0,19328.115,0.0,0.0,0.0,0.0,0.0,6320.044,0.0,0.0,0.0,0.0,0.0,0.0,
69,219.98470815706798,0.5088672000000001,,,,112.0,,,,,,,13536.8,19018.414,0.0,13470.533000000001,21370.533,9249.494,51177.18,20922.234,0.0,40256.918,0.0,0.0,11801.578000000001,31584.093999999997,16887.656000000003,14353.908000000001,22054.933999999997,0.0,23343.48,
74,129.97936582449006,0.5093231,,,,112.0,,,,,,,0.0,0.0,30333.69,13248.351,11197.48,14542.708999999999,45332.14,14880.332,11621.268,11013.635,0.0,0.0,16720.01,0.0,8715.225,15390.35,0.0,0.0,0.0,
