row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,
1,130.0864808214349,0.5484981,,,,,,,,,,,1877.2521,3365.8125,0,1208.2671,23765.691,3288.4307,2019.6621,0,7216.669,5165.622,1041.8379,2235.337,641.7684,4300.758,1917.6245,30806.086,0,2834.6519,
2,147.11285780305073,0.5477716,,,,,,,,,,,3246.7954,4635.792,0,5260.975,46502.867,3762.9067,3315.6099,2053.1924,5643.4844,7732.518,5315.9375,6143.704,1758.4928,9427.861,4767.3174,68577.445,0,7966.3027,
4,164.07415071493833,0.58107376,,,,,,,,,,,0,0,38703.695,10259.193,0,7144.375,5618.7905,0,0,0,3475.4546,3487.6516,0,2966.4167,2602.3684,0,0,0,
12,246.86186147124897,0.5299523,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287557.56,0,
14,259.89377207207633,0.5299523,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96448.47,0,
15,264.872633376644,0.5299523,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198795.92,0,
16,271.91675476519606,0.5207447,,,,,,,,,,,390.70483,982.8716,0,0,0,0,2407.525,0,0,0,0,0,0,0,1639.1954,0,66654.06,0,
17,285.89325687667355,0.5299523,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318434.6,0,
18,287.8885549029281,0.5299523,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2583342.5,0,
21,189.15985443687498,0.57633,,,,,,,,,,,19460.178,53253.14,11251.725,3923.287,2513.3918,4587.199,18315.877,12195.215,15179.037,21885.875,846.7014,19256.705,8096.3784,44270.98,4599.4023,6320.1914,0,12480.297,
