ID1,ID2,EdgeType,Score,Annotation
96,97,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
133,147,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
133,141,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9927
133,146,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
141,147,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
146,147,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0266
146,147,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
161,170,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=286.0659
161,171,MS1 annotation,5.000,[M+NH4]+ [2M+Na]+ dm/z=269.0392
161,166,MS1 annotation,5.000,[M-2H2O+H]+ [2M+Na]+ dm/z=322.0871
163,169,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0261
164,170,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9818
164,171,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
166,171,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0479
170,171,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0267
188,191,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
216,227,MS1 annotation,4.000,[M+NH4]+ [2M+H]+ dm/z=259.0584
221,227,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0265
222,227,MS1 annotation,4.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0475
254,255,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
269,270,MS1 annotation,2.000,[M-NH3+K]+ [M+H]+ dm/z=20.9294
269,270,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9294
298,300,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9741
298,299,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9295
298,307,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9664
299,300,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
299,307,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0369
300,307,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9923
338,339,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9740
338,341,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
339,341,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9299
342,343,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9739
342,377,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9812
343,377,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9552
364,375,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9750
364,369,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9296
364,369,MS1 annotation,3.000,[M+H]+ [M-NH3+K]+ dm/z=20.9296
366,368,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9290
369,375,MS1 annotation,3.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9546
369,375,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9546
373,374,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
377,387,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0268
377,387,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0268
388,392,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
388,390,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0269
389,392,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9742
389,390,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9561
390,392,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
390,392,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
427,428,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
