id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_clematis_10_species_crop2-10min_231127_orbi_siri_1	C37H34N3O6PS	[M + H]+	C37H34N3O6PS	Shikimates and Phenylpropanoids	0.40820735692977905	Flavonoids	0.2098865509033203	Quinazoline alkaloids	0.15673823654651642	Carbamate esters	0.6737609505653381	Amino acids and derivatives	0.818191409111023	Amino acids, peptides, and analogues	0.8168366551399231	Carboxylic acids and derivatives	0.9909788370132446	Organic acids and derivatives	0.9987597465515137	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Carbamic acids and derivatives; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Organophosphorus compounds; Carboxylic acid derivatives; Carbamate esters; Thioethers; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Isoindolines; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1
2_clematis_10_species_crop2-10min_231127_orbi_siri_2	C18H27NO13	[M + H]+	C18H27NO13	Amino acids and Peptides	0.6677916049957275	Amino acid glycosides	0.8602280020713806	Cyanogenic glycosides	0.7196564674377441	Cyanogenic glycosides	0.9808486700057983	Glycosyl compounds	0.996002733707428	Carbohydrates and carbohydrate conjugates	0.9996115565299988	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Disaccharides; Acetals; Secondary alcohols; Tertiary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Cyanogenic glycosides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2
3_clematis_10_species_crop2-10min_231127_orbi_siri_3	C15H29N7O7S	[M + Na]+	C15H29N7O7S	Amino acids and Peptides	0.7731561064720154	Small peptides	0.9852686524391174	Tripeptides	0.8904088139533997	Oligopeptides	0.841200590133667	Peptides	0.9951672554016113	Amino acids, peptides, and analogues	0.9996860027313232	Carboxylic acids and derivatives	0.9997252821922302	Organic acids and derivatives	0.9999972581863403	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Organic carbonic acids and derivatives; Monoalkylamines; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Alpha amino acids; Amines; Primary amines; Carboximidamides; Sulfenyl compounds; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	3
4_clematis_10_species_crop2-10min_231127_orbi_siri_4	C11H23N7O10	[M + Na]+	C11H23N7O10	Alkaloids	0.16062140464782715	Small peptides	0.23488947749137878	Aminoglycosides	0.16614720225334167	Alpha amino acids	0.6974620819091797	Amino acids and derivatives	0.7600131034851074	Amino acids, peptides, and analogues	0.8131188154220581	Carboxylic acids and derivatives	0.5884943604469299	Organic acids and derivatives	0.9986056685447693	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Orthocarboxylic acid derivatives; Secondary alcohols; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Ortho amides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Organic nitroso compounds; Organic N-nitroso compounds; Chemical entities	4
5_clematis_10_species_crop2-10min_231127_orbi_siri_5	C21H30O14	[M + H3N + H]+	C21H33NO14	Terpenoids	0.9939940571784973	Monoterpenoids	0.9981599450111389	Iridoids monoterpenoids	0.9979498982429504	Hexoses	0.6271712779998779	Monosaccharides	0.9888176918029785	Carbohydrates and carbohydrate conjugates	0.9999464750289917	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Epoxides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	5
7_clematis_10_species_crop2-10min_231127_orbi_siri_7	C24H37N5O13S	[M + H]+	C24H37N5O13S	Amino acids and Peptides	0.9920660853385925	Small peptides	0.9609076976776123	Tripeptides	0.9215599298477173	Oligopeptides	0.8369163274765015	Peptides	0.9843654632568359	Amino acids, peptides, and analogues	0.9963976740837097	Carboxylic acids and derivatives	0.9997254014015198	Organic acids and derivatives	0.9999725818634033	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Carboxylic acid esters; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	7
8_clematis_10_species_crop2-10min_231127_orbi_siri_8	C6H8B2O5	[M + K]+	C6H8B2O5	Fatty acids	0.09954682737588882	Phenolic acids (C6-C1)	0.1597900241613388	Simple phenolic acids	0.10314954817295074	Boronic acid derivatives	0.6894152760505676					Boronic acid derivatives	0.6894152760505676	Organic acids and derivatives	0.9995902180671692	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organometallic compounds; Boronic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Carbonyl compounds; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Alkylboranes; Organic oxygen compounds; Chemical entities	8
9_clematis_10_species_crop2-10min_231127_orbi_siri_9	C10H13N8O6P	[M + H]+	C10H13N8O6P	Carbohydrates	0.9531273245811462	Nucleosides	0.9299207925796509	Purine nucleos(t)ides	0.9453327655792236	6-aminopurines	0.9845046997070312	6-aminopurines	0.9845046997070312	Purines and purine derivatives	0.9992233514785767	Imidazopyrimidines	0.999924898147583	Organoheterocyclic compounds	0.9998915195465088	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azo compounds; Organic phosphonic acids and derivatives; Azoles; Aminopyrimidines and derivatives; Organic phosphonic acids; Diazines; Imidazopyrimidines; Azo imides; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Allyl-type 1,3-dipolar organic compounds; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9
10_clematis_10_species_crop2-10min_231127_orbi_siri_10	C13H20F2O6P2	[M + H3N + H]+	C13H23F2NO6P2	Shikimates and Phenylpropanoids	0.48253265023231506	Nicotinic acid alkaloids	0.2141161412000656	Pyridine alkaloids	0.18602916598320007	Phenol ethers	0.6512260437011719					Phenol ethers	0.6512260437011719	Benzenoids	0.9075467586517334	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Alkyl fluorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Phosphonic acid esters; Organofluorides; Organoiodides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Alkyl halides; Phosphonic acid diesters; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Phenoxy compounds; Chemical entities	10
11_clematis_10_species_crop2-10min_231127_orbi_siri_11	C32H41N3O13	[M + K]+	C32H41N3O13	Alkaloids	0.8172184228897095	Ornithine alkaloids	0.47328856587409973	Polyamines	0.5815823674201965	Hydroxycinnamic acids and derivatives	0.7931435108184814			Hydroxycinnamic acids and derivatives	0.7931435108184814	Cinnamic acids and derivatives	0.9767668843269348	Phenylpropanoids and polyketides	0.9922311902046204	Organic compounds; Styrenes; Phenols; Catechols; Catecholamines and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Benzenediols; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Cinnamic acid amides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; N-acyldopamines; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	11
