id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_clematis_10_species_crop2-10min_231127_orbi_siri_1	C37H34N3O6PS	[M + H]+	C37H34N3O6PS	Shikimates and Phenylpropanoids	0.40820735692977905	Flavonoids	0.2098865509033203	Quinazoline alkaloids	0.15673823654651642	Carbamate esters	0.6737609505653381	Amino acids and derivatives	0.818191409111023	Amino acids, peptides, and analogues	0.8168366551399231	Carboxylic acids and derivatives	0.9909788370132446	Organic acids and derivatives	0.9987597465515137	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Carbamic acids and derivatives; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Organophosphorus compounds; Carboxylic acid derivatives; Carbamate esters; Thioethers; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Isoindolines; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1
2_clematis_10_species_crop2-10min_231127_orbi_siri_2	C18H27NO13	[M + H]+	C18H27NO13	Amino acids and Peptides	0.6677916049957275	Amino acid glycosides	0.8602280020713806	Cyanogenic glycosides	0.7196564674377441	Cyanogenic glycosides	0.9808486700057983	Glycosyl compounds	0.996002733707428	Carbohydrates and carbohydrate conjugates	0.9996115565299988	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Disaccharides; Acetals; Secondary alcohols; Tertiary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Cyanogenic glycosides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2
3_clematis_10_species_crop2-10min_231127_orbi_siri_3	C19H21N11O3	[M + Na]+	C19H21N11O3	Alkaloids	0.9946994781494141	Pseudoalkaloids	0.6118521690368652	pteridine alkaloids	0.5607281923294067	Amino acids and derivatives	0.8713629841804504	Amino acids and derivatives	0.8713629841804504	Amino acids, peptides, and analogues	0.8707556128501892	Carboxylic acids and derivatives	0.9360885620117188	Organic acids and derivatives	0.9969526529312134	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Hydrazines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Imidolactams; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; 2-heteroaryl carboxamides; Chemical entities	3
4_clematis_10_species_crop2-10min_231127_orbi_siri_4	C11H23N7O10	[M + Na]+	C11H23N7O10	Alkaloids	0.16062140464782715	Small peptides	0.23488947749137878	Aminoglycosides	0.16614720225334167	Alpha amino acids	0.6974620819091797	Amino acids and derivatives	0.7600131034851074	Amino acids, peptides, and analogues	0.8131188154220581	Carboxylic acids and derivatives	0.5884943604469299	Organic acids and derivatives	0.9986056685447693	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Orthocarboxylic acid derivatives; Secondary alcohols; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Ortho amides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Organic nitroso compounds; Organic N-nitroso compounds; Chemical entities	4
5_clematis_10_species_crop2-10min_231127_orbi_siri_5	C21H30O14	[M + H3N + H]+	C21H33NO14	Terpenoids	0.9939940571784973	Monoterpenoids	0.9981599450111389	Iridoids monoterpenoids	0.9979498982429504	Hexoses	0.6271712779998779	Monosaccharides	0.9888176918029785	Carbohydrates and carbohydrate conjugates	0.9999464750289917	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Epoxides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	5
7_clematis_10_species_crop2-10min_231127_orbi_siri_7	C25H38F3N3O9S	[M + Na]+	C25H38F3N3O9S	Amino acids and Peptides	0.6978508234024048	Small peptides	0.3206641376018524	Dipeptides	0.11956179887056351	Alpha amino acids and derivatives	0.5963885188102722	Amino acids and derivatives	0.7955393195152283	Amino acids, peptides, and analogues	0.7988924384117126	Carboxylic acids and derivatives	0.9499260783195496	Organic acids and derivatives	0.9979251623153687	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Halobenzenes; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Alkyl fluorides; Aryl fluorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acid esters; Organofluorides; Secondary carboxylic acid amides; Tertiary alcohols; Carbonyl compounds; Benzenoids; Aryl halides; Alkyl halides; 2-halobenzoic acids and derivatives; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	7
9_clematis_10_species_crop2-10min_231127_orbi_siri_9	C10H13N8O6P	[M + H]+	C10H13N8O6P	Carbohydrates	0.9531273245811462	Nucleosides	0.9299207925796509	Purine nucleos(t)ides	0.9453327655792236	6-aminopurines	0.9845046997070312	6-aminopurines	0.9845046997070312	Purines and purine derivatives	0.9992233514785767	Imidazopyrimidines	0.999924898147583	Organoheterocyclic compounds	0.9998915195465088	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azo compounds; Organic phosphonic acids and derivatives; Azoles; Aminopyrimidines and derivatives; Organic phosphonic acids; Diazines; Imidazopyrimidines; Azo imides; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Allyl-type 1,3-dipolar organic compounds; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9
10_clematis_10_species_crop2-10min_231127_orbi_siri_10	C10H13N8O6P	[M + H3N + H]+	C10H16N9O6P	Carbohydrates	0.9945214986801147	Nucleosides	0.9877285957336426	Purine nucleos(t)ides	0.9899203777313232	Purine nucleotides	0.8469926118850708					Purine nucleotides	0.8469926118850708	Nucleosides, nucleotides, and analogues	0.8847979307174683	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Organic phosphoric acids and derivatives; Azo compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Pentoses; Purine nucleotides; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Imidazopyrimidines; Azo imides; Glycosyl compounds; Glycosylamines; Pentose phosphates; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	10
11_clematis_10_species_crop2-10min_231127_orbi_siri_11	C37H35N3O12	[M + H]+	C37H35N3O12	Alkaloids	0.835879385471344	Peptide alkaloids	0.26684725284576416	Simple amide alkaloids	0.1534493863582611	Alpha amino acids and derivatives	0.5584107637405396	Amino acids and derivatives	0.2020575851202011	Amino acids, peptides, and analogues	0.19064149260520935	Carboxylic acids and derivatives	0.9995267391204834	Organic acids and derivatives	0.9999501705169678	Organic compounds; Styrenes; Alpha amino acids and derivatives; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Benzenediols; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Cinnamic acid amides; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	11
12_clematis_10_species_crop2-10min_231127_orbi_siri_12	C21H33NO13	[M + H]+	C21H33NO13	Amino acids and Peptides	0.9287269115447998	Amino acid glycosides	0.9668065309524536	Cyanogenic glycosides	0.9430342316627502	Cyanogenic glycosides	0.6921314597129822	Glycosyl compounds	0.9999637603759766	Carbohydrates and carbohydrate conjugates	0.9999948740005493	Organooxygen compounds	0.9999998807907104	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Cyanogenic glycosides; Benzenoids; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	12
