confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	2	1	2	0.987589597010756	-408.8173771610926	0.014572864321608044	17.094572186979843	C21H42N3O8P	[M + Na]+	UNGRYQHVRPJDMA	InChI=1S/C21H42N3O8P/c1-15(24-31-19(2,3)4)10-12-22-16(25)11-13-23-18(27)17(26)21(8,9)14-30-33(28,29)32-20(5,6)7/h17,26H,10-14H2,1-9H3,(H,22,25)(H,23,27)(H,28,29)	null	CC(=NOC(C)(C)C)CCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OC(C)(C)C)O	0.300000012	129092724	PubChem:(129092724)	2	518.2611	181.8	646_clematis_10_species_crop2-10min_231127_orbi_siri_649	649
2	1	1	1	2	0.9752910571986396	-0.690092154606887	0.8954773869346734	19.951823847219938	C14H18N2O3	[M + H]+	WEQJQNWXCSUVMA	InChI=1S/C14H18N2O3/c15-11(9-10-5-2-1-3-6-10)13(17)16-8-4-7-12(16)14(18)19/h1-3,5-6,11-12H,4,7-9,15H2,(H,18,19)	Phenylalanylproline	C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)N)C(=O)O	0.864133	162656;4069131;7010715;7010716;7020641;7020642;7408534;7408535;11902972;21124120;21124121;44369313;61172613;69600282;102532462	HMDB:(11177);ZINC bio:(ZINC02392313 ZINC02560985 ZINC02566288 ZINC04899746);additional;MeSH:(162656 4069131 7020642);PubMed;COCONUT:(CNP0347186);PubChem:(162656 4069131 7010715 7010716 7020641 7020642 7408534 7408535 11902972 21124120 21124121 44369313 61172613 69600282 102532462);CHEBI:(74750);PubChem class - bio and metabolites;Training Set;PubChem class - drug;KEGG Mine	8642912366	263.13966	148.18	249_clematis_10_species_crop2-10min_231127_orbi_siri_252	252
3	1	1	1	1	0.9559780435951147	-211.92070083542473	0.9899497487437188	33.037514486035754	C28H38O11	[M + H]+	GSQAUPVJKBOZCN	InChI=1S/C28H38O11/c1-15-11-18(29)13-27(3,4)28(15,36)10-9-16(2)38-26-25(35)24(34)23(33)21(39-26)14-37-22(32)8-6-17-5-7-19(30)20(31)12-17/h5-10,12,15-16,21,23-26,30-31,33-36H,11,13-14H2,1-4H3	null	CC1CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)COC(=O)C=CC3=CC(=C(C=C3)O)O)O)O)O)O)(C)C	0.699999988	92135953;118530647;118530654;123609040;123823248	PubChem:(92135953 118530647 118530654 123609040 123823248);PubMed	66	551.249	222.75	1057_clematis_10_species_crop2-10min_231127_orbi_siri_1061	1061
4	1	2	1	3	0.9381372560679992	-5.809562676502867	0.06582914572864322	82.42483523932292	C22H43O9P	[M + H]+	JSKJPUCKVIJTKI	InChI=1S/C22H43O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-22(26)29-17-21(25)19-31-32(27,28)30-18-20(24)16-23/h7-8,20-21,23-25H,2-6,9-19H2,1H3,(H,27,28)	1-(9Z-hexadecenoyl)-glycero-3-phospho-(1''-sn-glycerol)	CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)O	3.29999995	52927436;138188744	EcoCyc Mine;PubChem:(52927436 138188744);YMDB Mine;CHEBI:(138795)	51539607586	483.27223	485.8	1611_clematis_10_species_crop2-10min_231127_orbi_siri_1622	1622
5	1	1	1	2	0.935658363813843	-97.6154409100337	0.9793969849246233	29.316312192388853	C44H78NO11P	[M + H]+	JCBBPKSECDQNGE	InChI=1S/C44H78NO11P/c1-6-8-9-10-11-12-13-14-15-16-17-18-26-33-43(49)53-37-42(38-55-57(51,52)54-36-35-45(3,4)5)56-44(50)34-27-32-41(48)30-23-20-19-22-29-40(47)31-25-21-24-28-39(46)7-2/h19-25,28-30,39-42,46-48H,6-18,26-27,31-38H2,1-5H3/p+1	null	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCC(C=CC=CC=CC(CC=CC=CC(CC)O)O)O	8.80000019	138183521;138183522	PubChem:(138183521 138183522)	2	828.53973	583.45	1779_clematis_10_species_crop2-10min_231127_orbi_siri_1791	1791
6	1	1	1	1	0.9311362064585679	-70.25290614324126	0.9999999999999999	68.80111974844064	C20H28O13	[M + H]+	VRHJKNOYDGRORA	InChI=1S/C20H28O13/c21-6-12(24)16(27)13(25)7-32-20-19(30)18(29)17(28)14(33-20)8-31-15(26)4-2-9-1-3-10(22)11(23)5-9/h1-5,12-14,16-25,27-30H,6-8H2	null	C1=CC(=C(C=C1C=CC(=O)OCC2C(C(C(C(O2)OCC(C(C(CO)O)O)O)O)O)O)O)O	-3.20000005	10005186;23815361	COCONUT:(CNP0230998);Natural Products:(UNPD156366);PubChem:(10005186 23815361);SuperNatural:(SN00032601 SN00032599 SN00032602 SN00394317 SN00032600);ZINC bio:(ZINC35454588 ZINC35454592 ZINC35454596 ZINC35454599)	3186690	477.16059	133.14	118_clematis_10_species_crop2-10min_231127_orbi_siri_120	120
7	1	1	1	1	0.9307298834391855	-17.53112710957556	0.9934673366834169	49.60854380947184	C11H22N2O4S	[M + H]+	ZNXZGRMVNNHPCA	InChI=1S/C11H22N2O4S/c1-11(2,7-14)9(16)10(17)13-4-3-8(15)12-5-6-18/h9,14,16,18H,3-7H2,1-2H3,(H,12,15)(H,13,17)	pantetheine	CC(C)(CO)C(C(=O)NCCC(=O)NCCS)O	-1.0	479;439322;90646841;92209449	HMDB:(3426);SuperNatural:(SN00275203);MeSH:(439322);Plantcyc:(CPD-511);PubMed;NORMAN:(NS00043525);COCONUT:(CNP0332663);Natural Products:(UNPD326);PubChem:(479 439322 90646841 92209449);YMDB Mine;CHEBI:(16753);PubChem class - bio and metabolites;KEGG:(C00831);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-511)	34447214958	279.13735	138.72	171_clematis_10_species_crop2-10min_231127_orbi_siri_174	174
8	1	1	1	1	0.9089964082768489	-21.829741936831688	0.9999999999999999	34.35857640370419	C20H38N6O5	[M + H]+	OLNJKAXRBXUBTB	InChI=1S/C20H38N6O5/c1-11(2)9-15(24-13(5)27)17(28)26-16(10-12(3)4)18(29)25-14(19(30)31)7-6-8-23-20(21)22/h11-12,14-16H,6-10H2,1-5H3,(H,24,27)(H,25,29)(H,26,28)(H,30,31)(H4,21,22,23)	Leupeptin acid	CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C	0.5	65306;189069;446545;13146026	NORMAN:(NS00059429);COCONUT:(CNP0377781);PubChem:(65306 189069 446545 13146026);PubChem class - bio and metabolites;MeSH:(189069);PubMed;KEGG Mine	8609071174	443.29824	178.45	612_clematis_10_species_crop2-10min_231127_orbi_siri_615	615
9	1	1	1	1	0.9025431479434163	-29.01996408414989	0.9999999999999999	78.5883569370736	C18H24O12	[M + H]+	WCVUIHQUPRXYKT	InChI=1S/C18H24O12/c1-8-16(9(19)3-4-27-8)30-17-15(25)14(24)13(23)10(29-17)7-28-12(22)6-18(2,26)5-11(20)21/h3-4,10,13-15,17,23-26H,5-7H2,1-2H3,(H,20,21)	Licoagroside B	CC1=C(C(=O)C=CO1)OC2C(C(C(C(O2)COC(=O)CC(C)(CC(=O)O)O)O)O)O	-2.4000001	637142;22297602;38356993;73880679	COCONUT:(CNP0025412 CNP0232682);HMDB:(36523);KNApSAcK:(19031);Natural Products:(UNPD178989);PubChem:(637142 22297602 38356993 73880679);SuperNatural:(SN00029471 SN00029470 SN00265222);CHEBI:(142266);ZINC bio:(ZINC31163718 ZINC31163722);additional;PubChem class - bio and metabolites;Training Set	20504634	433.13458	148.41	261_clematis_10_species_crop2-10min_231127_orbi_siri_264	264
10	1	3	1	3	0.8971434603629952	-349.77017333491375	0.06180904522613065	5.863496324042019	C28H28N10O5	[M + Na]+	WGYLPVFAPNQDTF	InChI=1S/C28H28N10O5/c1-5-8-43-28(42)33-17-7-6-16-12-30-38(20(16)9-17)27(41)22-11-19(14-36(22)3)31-25(39)21-10-18(13-35(21)2)32-26(40)24-34-23(29)15-37(24)4/h5-7,9-15H,1,8,29H2,2-4H3,(H,31,39)(H,32,40)(H,33,42)	null	CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)N3C4=C(C=CC(=C4)NC(=O)OCC=C)C=N3)C)NC(=O)C5=NC(=CN5C)N	1.20000005	132163554	PubChem:(132163554)	2	607.21508	247.96	1230_clematis_10_species_crop2-10min_231127_orbi_siri_1234	1234
