	feature_id_timar	feature_mz_timar	feature_rt_timar	candidate_structure_molecular_formula_timar	candidate_library_timar	candidate_count_similarity_peaks_matched_timar	candidate_score_similarity_timar	candidate_structure_exact_mass_timar	candidate_structure_xlogp_timar	candidate_structure_inchikey_no_stereo_timar	candidate_structure_smiles_no_stereo_timar	candidate_structure_tax_cla_chemontid_timar	candidate_structure_tax_cla_03cla_timar	candidate_structure_tax_cla_04dirpar_timar	candidate_structure_tax_npc_01pat_timar	candidate_structure_tax_npc_02sup_timar	candidate_structure_tax_npc_03cla_timar	candidate_structure_organism_occurrence_closest_timar	candidate_structure_organism_occurrence_reference_timar	candidate_structure_error_mz_timar	candidate_structure_error_rt_timar	rank_initial_timar	rank_final_timar	score_initial_timar	score_biological_timar	score_chemical_timar	score_final_timar	first_score_final_timar
0	1	332.2179742771778	1.9073031999999999	C20H29NO3|C20H29NO3|C20H29NO3	ISDB|ISDB|ISDB	24|46|59	0.00624115532264113|0.0321755670011044|0.0301066506654024	331.21474|331.21474|331.21474	1.0595|2.1511|3.6863	XNFQUGPVHYJHHZ|LGVJHWQZLCCTPA|SMVIBINEORXRIL	C=C1CC23CCC4C5(C)CNC6C2C(O)C1C(O)C3C64CC(O)C5|CC12CCC3NC(=O)C=C3C1CCC13CC(CCC12)C(O)(CO)C3|CC1CCC2(C)C(C(=O)O)=CCCC2C1(C)CCC1=CCNC1=O	0003779|0001551|0001757	Prenol lipids|Prenol lipids|Prenol lipids	Hetidine-type diterpenoid alkaloids|Diterpenoids|Colensane and clerodane diterpenoids	Alkaloids $ Terpenoids|Terpenoids|Terpenoids	Pseudoalkaloids|Diterpenoids|Diterpenoids	Terpenoid alkaloids|Norkaurane diterpenoids|Colensane and Clerodane diterpenoids	Ranunculaceae|Magnoliopsida|Magnoliopsida	10.1016/0031-9422(95)00186-B|10.1021/NP0680681|10.1021/NP000355W $ 10.1016/S0040-4039(00)00314-2	0.0040197879999937|0.00401978799993685|0.0040197879999937	||	14|4|6	1|2|3	0.00624115532264113|0.0321755670011044|0.0301066506654024	0.6|0.4|0.4	1|1|1	0.468546851574013|0.377091555366734|0.376401916588167	0.468546851574013
1	2	289.09258452010965	1.9190222	C12H16O8|C12H16O8|C12H16O8	ISDB|ISDB|ISDB	58|71|137	0.367735832929611|0.331230252981186|0.238490000367165	288.08452|288.08452|288.08452	-1.87308|-1.87308|-1.3391	YGSIRXHFAUFUEJ|SGVBQQQKSDCYTQ|RRYYNIJTMYUJDC	Cc1occc(=O)c1OC1OC(CO)C(O)C(O)C1O|Cc1cc(OC2OC(CO)C(O)C(O)C2O)cc(=O)o1|CC(=O)c1occc1OC1OC(CO)C(O)C(O)C1O	0002207|0002207|0002207	Organooxygen compounds|Organooxygen compounds|Organooxygen compounds	O-glycosyl compounds|O-glycosyl compounds|O-glycosyl compounds	Polyketides|Polyketides|	Cyclic polyketides|Cyclic polyketides|	4-pyrone derivatives|2-pyrone derivatives|	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/J.PHYTOCHEM.2008.05.012 $ 10.1021/NP060253R $ 10.1002/(SICI)1522-2675(19981111)81:11<2062::AID-HLCA2062>3.0.CO;2-8 $ 10.1016/S0031-9422(00)00407-6 $ 10.1021/NP010125X $ 10.1016/0031-9422(93)85193-U $ 10.1016/J.FITOTE.2004.05.007 $ 10.1248/CPB.32.4674 $ 10.1248/YAKUSHI1947.88.4_390|10.1002/(SICI)1522-2675(19981111)81:11<2062::AID-HLCA2062>3.0.CO;2-8|10.1055/S-2001-18352	-0.000806527999998252|-0.000806527999998252|-0.000806527999998252	||	1|3|6	1|2|3	0.367735832929611|0.331230252981186|0.238490000367165	0.4|0.4|0.4	1|1|1	0.488944977342903|0.476776450693428|0.445863033155421	0.488944977342903
2	3	298.0931159800558	1.9162375	C11H15N5O3S|C15H23N6O5S+|C11H15N5O3S	MassBank - 2023.11|MassBank - 2023.11|ISDB	10|25|182	0.221304595470428|0|0.0258866045624018	297.08956|399.14452|297.08956	-0.6093|-1.9222|-0.8684	WUUGFSXJNOTRMR|MEFKEPWMEQBLKI|QEAXNCGKRMPLRW	CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O|C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O|CC1(n2cnc3c(N)ncnc32)OC(CO)C(O)C1S	0004503|0004503|0002204	5'-deoxyribonucleosides|5'-deoxyribonucleosides|Organooxygen compounds	5'-deoxy-5'-thionucleosides|5'-deoxy-5'-thionucleosides|C-glycosyl compounds	Carbohydrates|Carbohydrates|Carbohydrates	Nucleosides|Nucleosides|Nucleosides	Purine nucleos(t)ides|Purine nucleos(t)ides|Purine nucleos(t)ides	Magnoliopsida|Magnoliopsida|Archaeplastida	10.3389/FMOLB.2021.683671 $ 10.3390/METABO4030599 $ 10.1038/S41598-019-38940-W $ 10.1016/J.FITOTE.2005.08.020 $ 10.1007/S11103-015-0312-3 $ 10.1016/S0168-9452(99)00188-0|10.1186/1752-0509-5-1 $ 10.1016/J.POSTHARVBIO.2013.11.004 $ 10.1104/PP.104.053793 $ 10.3390/METABO4030599 $ 10.1046/J.1432-1033.2003.03729.X $ 10.1080/00380768.2014.945390 $ 10.1104/PP.104.043588 $ 10.1016/S0031-9422(00)85670-8 $ 10.1073/PNAS.1831512100|10.1111/TPJ.12747	0.00369999999998072|0.0069000000000301|0.00373633999998901	||	1|7|3	1|2|3	0.221304595470428|0|0.0258866045624018	0.4|0.4|0.2	0.25|0.25|0.75	0.315509940231884|0.241741741741742|0.233353592912192	0.315509940231884
3	4	316.11837411198013	1.9178625	C17H17NO5|C17H17NO5|C17H17NO5	ISDB|ISDB|ISDB	36|21|41	0.0977549180388451|0.0757503286004067|0.0506146177649498	315.11067|315.11067|315.11067	1.8265|2.7427|3.38424	ODTCNJWUFHCFJB|MSZPXGZVFHVHSG|WGLVSECXMIRIPC	COc1cc(CC(NC(=O)c2ccccc2)C(=O)O)ccc1O|COC(=O)c1ccc(OC)cc1NC(=O)c1ccc(OC)cc1|COc1cc2c(c(OC)c1C)C(=O)Nc1ccc(O)c(C)c1O2	0004319|0004713|0002463	Carboxylic acids and derivatives|Benzene and substituted derivatives|Organooxygen compounds	Tyrosine and derivatives|Benzanilides|Diarylethers	Shikimates and Phenylpropanoids $ Amino acids and Peptides|Alkaloids|Polyketides	Phenylpropanoids (C6-C3)|Anthranilic acid alkaloids|Aromatic polyketides	notClassified|Anthranillic acid derivatives|Depsidones	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/J.PHYTOCHEM.2005.11.023|10.1094/PHYTO-81-728|10.1016/J.BMCL.2006.11.002	-0.000451355999985026|-0.000451355999985026|-0.000451355999985026	||	5|8|12	1|2|3	0.0977549180388451|0.0757503286004067|0.0506146177649498	0.4|0.4|0.4	1|0.25|0.25	0.398951339045981|0.266991851275211|0.258613280996725	0.398951339045981
4	5	435.15072094467615	1.9191041000000002	C18H26O12|C29H34O11|C29H34O11|C29H34O11|C29H34O11|C29H34O11|C29H34O11|C29H34O11|C18H26O12	ISDB|[1M+(H)1(Na)1]2+ - C6H8O4 (HRF)|[1M+(H)1(Na)1]2+ - C6H8O4 (HRF)|[1M+(H)1(Na)1]2+ - C6H8O4 (HRF)|[1M+(H)1(Na)1]2+ - C6H8O4 (HRF)|[1M+(H)1(Na)1]2+ - C6H8O4 (HRF)|[1M+(H)1(Na)1]2+ - C6H8O4 (HRF)|[1M+(H)1(Na)1]2+ - C6H8O4 (HRF)|ISDB	50||||||||80	0.0612956173717976||||||||0.105110123753548	434.14243|558.21011|558.21011|558.21011|558.21011|558.21011|558.21011|558.21011|434.14243	-2.9556|0.4273|0.4273|0.4273|0.4273|0.4273|0.7154|0.4273|-2.9556	VHABNKNNMSYNCL|RTXSNWYVOKAJIF|KFDOCCBDCCRFBI|ANQGAHXFJKEEEO|XBBPBGMDGPIGGW|IUMVSFAJKAOULC|GAMSURTVDXDTRP|KUKRGJUOYPWVJA|PGQMRTLJEMEERX	COc1cc(O)cc(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)c1|C=C1C(=O)OC2C3C(COC4OC(CO)C(O)C(O)C4OC(=O)Cc4ccc(O)cc4)=CCC3=C(C)CC(O)C12|C=C1C(=O)OC2C1CC(O)C(C)=C1CC=C(COC3OC(CO)C(O)C(OC(=O)Cc4ccc(O)cc4)C3O)C12|C=C1C(=O)OC2C1CC(O)C(C)=C1CC=C(COC3OC(COC(=O)Cc4ccc(O)cc4)C(O)C(O)C3O)C12|C=C1C(=O)OC2C1CC(O)C(C)=C1CC=C(COC3OC(CO)C(OC(=O)Cc4ccc(O)cc4)C(O)C3O)C12|C=C1C(=O)OC2C3C(COC4OC(COC(=O)Cc5ccc(O)cc5)C(O)C(O)C4O)=CCC3=C(C)CC(O)C12|CC1=C2C(=O)C=C(COC3OC(COC(=O)Cc4ccc(O)cc4)C(O)C(O)C3O)C2C2OC(=O)C(C)C2CC1|C=C1C(=O)OC2C3C(COC(=O)Cc4ccc(O)cc4)=CCC3=C(C)CC(OC3OC(CO)C(O)C(O)C3O)C12|COc1cc(OC2OC(CO)C(O)C(O)C2OC2OCC(O)(CO)C2O)ccc1O	0004165|0002207|0002207|0002207|0002207|0002207|0002207|0002207|0004165	Organooxygen compounds|Organooxygen compounds|Organooxygen compounds|Organooxygen compounds|Organooxygen compounds|Organooxygen compounds|Organooxygen compounds|Organooxygen compounds|Organooxygen compounds	Phenolic glycosides|O-glycosyl compounds|O-glycosyl compounds|O-glycosyl compounds|O-glycosyl compounds|O-glycosyl compounds|O-glycosyl compounds|O-glycosyl compounds|Phenolic glycosides	Polyketides|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|	Phloroglucinols|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|	Acyl phloroglucinols|Guaiane sesquiterpenoids|Guaiane sesquiterpenoids|Guaiane sesquiterpenoids|Guaiane sesquiterpenoids|Guaiane sesquiterpenoids|Guaiane sesquiterpenoids|Guaiane sesquiterpenoids|	Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/S0031-9422(02)00140-1 $ 10.1002/HLCA.200690121|10.1248/CPB.33.4906|10.1248/CPB.34.3769|10.1248/CPB.34.3769 $ 10.1002/CHIN.200535207 $ 10.1016/J.PHYTOCHEM.2005.01.004|10.1248/CPB.34.3769|10.1002/CHIN.200535207 $ 10.1016/J.PHYTOCHEM.2005.01.004|10.1002/CHIN.200535207 $ 10.1016/J.PHYTOCHEM.2005.01.004|10.1016/J.PHYTOCHEM.2005.01.004|10.1002/HLCA.200900081 $ 10.1016/S0031-9422(01)00466-6 $ 10.1021/NP0102051	-0.000997728000129428|-0.00268000000005486|-0.00268000000005486|-0.00268000000005486|-0.00268000000005486|-0.00268000000005486|-0.00268000000005486|-0.00268000000005486|-0.000997728000072584	||||||||	15|50|50|50|50|50|50|50|2	1|2|2|2|2|2|2|2|3	0.0612956173717976|0|0|0|0|0|0|0|0.105110123753548	0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4	1|1|1|1|1|1|1|1|0.75	0.386798238823632|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.359861532742674	0.386798238823632
5	6	457.1324713128483	1.91885	C20H24O12|C28H32O16|C20H24O12	ISDB|[1M+(H)1]1+ - C8H8O4 (RDA-3)|ISDB	11||23	0.138157740235329||0.123135842382908	456.12678|624.16903|456.12678	0.41012|-1.896|0.41012	HGQDVTBUGONPNS|CVLKSGMETVVYCI|WDRJBSQMNJKJGH	CC(=O)OCC1OC(Oc2cc(C)oc(=O)c2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O|COc1cc2ccc1OC1OC(COC(=O)c3ccc(c(OC)c3)OC3OC(COC2=O)C(O)C(O)C3O)C(O)C(O)C1O|CC(=O)OCC1OC(Oc2c(C)occc2=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	0002966|0001710|0002966	Carboxylic acids and derivatives|Tannins|Carboxylic acids and derivatives	Tetracarboxylic acids and derivatives|Hydrolyzable tannins|Tetracarboxylic acids and derivatives	|Shikimates and Phenylpropanoids|	|Phenolic acids (C6-C1)|	|Simple phenolic acids|	Ranunculaceae|Clematis|Magnoliopsida	10.1016/J.PHYTOCHEM.2009.11.011|10.1002/HLCA.200690269|10.1016/0031-9422(93)85193-U	0.00155220799985045|0.00157868715166387|0.00155220799985045	||	1|12|2	1|2|3	0.138157740235329|0|0.123135842382908	0.6|0.8|0.4	1|0.25|1	0.512519046544909|0.441941941941942|0.407411647160669	0.512519046544909
6	7	220.11859868230144	1.9287611	C9H17NO5|C16H13N|C16H13N	MassBank - 2023.11|MassBank - 2023.11|ISDB	41|9|21	0.70043283700943|0.0241715051233768|0.00520821893587709	219.11067|219.1048|219.1048	-1.0433|4.5834|4.089	GHOKWGTUZJEAQD|KEQFTVQCIQJIQW|BBCLXYJRPRRZQW	CC(C)(CO)C(O)C(=O)NCCC(=O)O|c1ccc(Nc2ccc3ccccc3c2)cc1|Nc1c(-c2ccccc2)ccc2ccccc12	0001661 $ 0001878|0000023|0002044	Organooxygen compounds $ Carboxylic acids and derivatives|Naphthalenes|Naphthalenes	Secondary alcohols $ Beta amino acids and derivatives|Naphthalenes|Phenylnaphthalenes	Amino acids and Peptides|Shikimates and Phenylpropanoids|Alkaloids	Small peptides|notClassified|notClassified	Dipeptides|notClassified|notClassified	Magnoliopsida|Ranunculaceae|Ranunculaceae	10.1007/S00299-017-2236-7 $ 10.3389/FMOLB.2021.683671 $ 10.1016/J.PLAPHY.2018.04.029 $ 10.3390/METABO4030599 $ 10.1074/JBC.RA118.003351 $ 10.1104/PP.109.148031 $ 10.1002/ELPS.201300646 $ 10.1080/09540100903203004|10.1007/BF00565574 $ 10.1021/NP50032A030 $ 10.1007/BF00574737 $ 10.1007/BF00575069 $ 10.1007/BF00565246|10.1007/BF00574737	-0.000699999999994816|-0.0064999999999884|-0.00652458399997613	||	1|10|12	1|2|3	0.70043283700943|0.0241715051233768|0.00520821893587709	0.4|0.6|0.6	1|0.666|0.666	0.599843978702843|0.419024135341426|0.412703039945593	0.599843978702843
7	8	202.107720336162	1.929252	C9H15NO4|C9H15NO4|C9H15NO4	ISDB|ISDB|ISDB	10|10|8	0.0355441346764565|0|0.0115525722503662	201.10011|201.10011|201.10011	0.3024|-0.6733|-0.4225	BRLJOWJJTKGZNJ|YMLXTGCTHGQQKS|KGVMXZGSVPGTNQ	CC(C)CC1(C(=O)O)CC(C(=O)O)N1|NC(CC1CCC(O)C2OC12)C(=O)O|CC(O)C(C)OC(=O)C1CCC(=O)N1	0004146|0004146|0000394	Carboxylic acids and derivatives|Carboxylic acids and derivatives|Carboxylic acids and derivatives	L-alpha-amino acids|L-alpha-amino acids|Alpha amino acid esters	Amino acids and Peptides $ Shikimates and Phenylpropanoids|Amino acids and Peptides $ Shikimates and Phenylpropanoids|Amino acids and Peptides	Small peptides|Small peptides|notClassified	Aminoacids|Aminoacids|notClassified	Eukaryota|Eukaryota|Eukaryota	10.1021/NP030394I $ 10.1021/NP058078M|10.3389/FBIOE.2021.662655 $ 10.1371/JOURNAL.PONE.0175573|10.1080/10286020.2012.682256	-0.000316040000001294|-0.000316040000001294|-0.000316040000001294	||	2|5|4	1|2|3	0.0355441346764565|0|0.0115525722503662	0.1|0.1|0.1	1|1|0.75	0.228064261108368|0.216216216216216|0.178525532091463	0.228064261108368
8	9	570.2029022524307	1.9293333	C23H31N5O12|C23H31N5O12|C29H31NO11	ISDB|ISDB|ISDB	195|218|127	0.0432811230421066|0.0245264079421759|0.0108744958415627	569.19692|569.19692|569.18971	-4.426|-4.1604|1.2063	BFXPEJKKPCBJOT|BISOEENGZHMDEO|UCEMIGLIQIYVAH	CC1CCCC(NC(=O)C2=CC(O)C(O)C(OC(C(N)=O)C3OC(n4ccc(O)nc4=O)C(O)C3O)O2)C(=O)N1|COC1C(O)C(n2ccc(O)nc2=O)OC1C(OC1OC(C(=O)NC2CCCCNC2=O)=CC(O)C1O)C(N)=O|COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(NC(C)=O)C(O)C(C)O1	0001189|0001189|0002106	Carboxylic acids and derivatives|Carboxylic acids and derivatives|Anthracyclines	N-acyl-alpha amino acids and derivatives|N-acyl-alpha amino acids and derivatives|Anthracyclines	Alkaloids $ Carbohydrates|Carbohydrates|Polyketides	notClassified|Nucleosides|Polycyclic aromatic polyketides	notClassified|Pyrimidine nucleos(t)ides|Anthracyclines	||	||	0.00129743199988752|0.00129743200000121|-0.00591318800013596	||	1|2|3	1|2|3	0.0432811230421066|0.0245264079421759|0.0108744958415627	0|0|0	1|1|0.25	0.180593207180202|0.174341635480225|0.0451663734887291	0.180593207180202
9	10	368.09744642647837	1.9444427	C16H17NO9|C16H17NO9|C19H17N3O3S	ISDB|ISDB|ISDB	78|130|147	0.331786572933197|0.32829961180687|0.0191056355834007	367.09033|367.09033|367.09906	-1.1827|-1.1827|3.2982	GRKTWUMXBYWXNZ|MYFHOUJDPFBJLH|TZNWZBKFXRXPNE	O=C(O)c1cc(O)nc2c(OC3OC(CO)C(O)C(O)C3O)cccc12|O=C(O)c1cc(O)c2cccc(OC3OC(CO)C(O)C(O)C3O)c2n1|CC(=NNC(S)=NCc1ccccc1)c1c(O)ccc2ccc(=O)oc12	0004165|0004165|0002909	Organooxygen compounds|Organooxygen compounds|Coumarins and derivatives	Phenolic glycosides|Phenolic glycosides|7-hydroxycoumarins	Shikimates and Phenylpropanoids||Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)||Coumarins	Simple phenolic acids||Simple coumarins	Magnoliopsida|Eukaryota|Magnoliopsida	10.1271/BBB1961.52.3231 $ 10.1080/00021369.1989.10869701|10.1071/C97154|10.1016/J.EJMECH.2008.06.003	0.000207123999985015|0.000207123999985015|0.00893840399993451	||	1|2|3	1|2|3	0.331786572933197|0.32829961180687|0.0191056355834007	0.4|0.1|0.4	1|1|0.5	0.476961890677432|0.32564942015184|0.28965182847775	0.476961890677432
