ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf,jbn	Clematis heracleifolia,Clematis terniflora,Clematis flammula,Clematis alpina,Clematis chinensis	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	534.75009551	5306.2783	6.1525397	6.4141164	8.437816999999999	0.0	0.0	0.0	20.218182	0.0	0.0	5.464139683333333	1328.67902925	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9073	1.9073	0	N/A	N/A	5347.5009551	5	1	-1	 	5	332.2180	1	332.2180	5347.5009551
Clematis	jbn	Clematis terniflora,Clematis flammula,Clematis koreana	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1277.6341604	0.0	0.0	12.542484	0.0	115.12912	0.0	0.0	12648.67	0.0	0.0	2129.390267333333	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=7e00c9f3f5c74ebc957adfa3c747f301&show=true	InChI=1S/C12H16O8/c1-5-11(6(14)2-3-18-5)20-12-10(17)9(16)8(15)7(4-13)19-12/h2-3,7-10,12-13,15-17H,4H2,1H3/t7-,8-,9+,10-,12+/m1/s1	NCGC00385684-01_C12H16O8_4H-Pyran-4-one, 3-(beta-D-glucopyranosyloxy)-2-methyl-	0.861397	 	1.9190	1.9190	0	CC/1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)/C(=O)/C=C\O1	CCMSLIB00000853843	12776.341604	3	2	3	 	3	289.0926	1	289.0926	12776.341604
Clematis	jbuf,jbn	Clematis heracleifolia,Clematis terniflora,Clematis koreana,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1202.61234334	0.0	0.0	0.0	5.0473514	1230.1978	0.0	0.0	10764.526000000002	26.352282	0.0	2003.5126803333335	1.26183785	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=7e00c9f3f5c74ebc957adfa3c747f301&show=true	N/A	N/A	N/A	 	1.9162	1.9162	0	N/A	N/A	12026.123433400002	4	3	5	 	4	298.0931	1	298.0931	12026.123433400002
Clematis	jbuf,jbn	Clematis terniflora,Clematis viticella,Clematis alpina,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	392.81426700000003	241.96811	0.0	0.0	0.0	0.0	0.0	0.0	2966.5664	122.37136	597.2368	514.8229600000001	209.8012275	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9179	1.9179	0	N/A	N/A	3928.14267	4	4	-1	 	4	316.1184	1	316.1184	3928.14267
Clematis	jbuf,jbn	Clematis tangutica,Clematis terniflora,Clematis viticella,Clematis koreana	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	533.6561786000001	0.0	0.0	0.0	0.0	61.871353000000006	0.0	31.901493	5201.127	0.0	41.66194	882.4833076666667	10.415485	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=7e00c9f3f5c74ebc957adfa3c747f301&show=true	N/A	N/A	N/A	 	1.9191	1.9191	0	N/A	N/A	5336.561786000001	4	5	3	 	4	435.1507	1	435.1507	5336.561786000001
Clematis	jbn	Clematis terniflora	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390.54823999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3905.4824	0.0	0.0	650.9137333333333	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9188	1.9188	0	N/A	N/A	3905.4824	1	6	-1	 	1	457.1325	1	457.1325	3905.4824
Clematis	jbuf,jbn	Clematis tangutica,Clematis terniflora,Clematis recta,Clematis flammula,Clematis viticella,Clematis koreana,Clematis alpina,Clematis chinensis,Clematis vitalba	 	 	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8974.430882999999	287.49533	16899.225	3878.7039	0.0	26133.424	5655.816	15944.984	6407.262	7177.651	7359.7476	12740.208316666667	3325.7647325	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	This Node is a Singleton	"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1"	pantothenic acid CollisionEnergy:205060	0.852814	 	1.9288	1.9288	0	CC(C)(CO)C(O)C(O)=NCCC(=O)O	CCMSLIB00010123443	89744.30883000002	9	7	-1	 	9	220.1186	1	220.1186	89744.30883000002
Clematis,BK	nan,jbuf,jbn	Clematis tangutica,Clematis terniflora,Clematis recta,Clematis flammula,Clematis viticella,Clematis koreana,Clematis alpina,BK,Clematis chinensis	 	 	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5622101000000002	1245.4421165	7.9615649999999984	2741.0935	434.28275	0.0	4332.707	751.74915	2596.9585	707.4216	0.0	882.2471	1802.077225	410.48945375	1.5622101000000002	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9293	1.9293	0	N/A	N/A	12455.983375100002	9	8	-1	 	9	202.1077	1	202.1077	12455.983375100002
Clematis	jbuf,jbn	Clematis flammula,Clematis viticella,Clematis alpina,Clematis chinensis	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	746.8859301	4.136831	183.15717	6751.985	0.0	0.0	0.0	0.0	0.0	0.0	529.5803	1155.8570283333333	133.42928275	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	This Node is a Singleton	N/A	N/A	N/A	 	1.9293	1.9293	0	N/A	N/A	7468.8593009999995	4	9	-1	 	4	570.2029	1	570.2029	7468.8593009999995
Clematis	jbuf,jbn	Clematis heracleifolia,Clematis tangutica,Clematis recta,Clematis koreana,Clematis alpina,Clematis chinensis,Clematis vitalba	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1120.905381	1365.332	3667.26	0.0	76.67028	73.41199	737.03394	5153.9453	0.0	135.4003	0.0	1505.0029316666667	544.759055	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7e00c9f3f5c74ebc957adfa3c747f301&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10","main.cluster index_upperinput":"10"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=7e00c9f3f5c74ebc957adfa3c747f301&show=true	N/A	N/A	N/A	 	1.9444	1.9444	0	N/A	N/A	11209.05381	7	10	5	 	7	368.0974	1	368.0974	11209.05381
