CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
25	97	1	0.8159	49.979
421	422	2	0.8339	-27.995
422	491	2	0.8635	-15.994
423	491	2	0.8301	-14.992
460	465	2	0.9066	-27.995
421	460	2	0.9014	0.001
459	460	2	0.8654	15.995
423	463	2	0.801	-149.049
459	508	2	0.8478	-14.015
422	495	2	0.8495	-2.015
422	423	2	0.9147	-1.002
465	508	2	0.8798	-2.015
459	495	2	0.8597	-14.016
421	465	2	0.8515	-27.994
421	459	2	0.8113	-15.994
459	491	2	0.8179	-27.995
451	537	2	0.7447	-2.215
451	465	2	0.8781	-2.215
423	465	2	0.9306	1.003
491	508	2	0.8227	13.979
421	495	2	0.8213	-30.010
461	469	2	0.8373	-150.053
422	424	2	0.8737	-18.010
421	508	2	0.8322	-30.009
424	508	2	0.8798	15.996
461	463	2	0.8641	14.017
423	451	2	0.8315	3.218
461	464	2	0.8707	-18.010
466	508	2	0.9032	15.996
421	466	2	0.8742	-46.005
465	495	2	0.8596	-2.016
458	508	2	0.8264	-42.047
424	495	2	0.8699	15.995
458	495	2	0.819	-42.047
491	495	2	0.8176	13.979
460	495	2	0.8754	-30.010
458	494	2	0.7727	-10.021
421	491	2	0.8116	-43.989
442	463	2	0.7878	180.064
421	458	2	0.8151	12.037
464	469	2	0.86	-132.043
442	464	2	0.8387	148.037
424	464	2	0.8786	-164.068
466	491	2	0.8913	2.016
466	495	2	0.8875	15.995
422	451	2	0.8645	2.216
463	464	2	0.865	-32.027
422	466	2	0.8813	-18.010
464	466	2	0.8923	164.068
458	460	2	0.8532	-12.036
421	424	2	0.8615	-46.005
460	466	2	0.929	-46.006
460	491	2	0.8586	-43.990
422	460	2	0.8946	27.995
442	469	2	0.8889	15.994
424	461	2	0.8456	-146.058
422	508	2	0.8607	-2.015
463	469	2	0.8207	-164.069
424	491	2	0.8819	2.016
422	465	2	0.9727	0.000
424	466	2	0.9767	0.000
424	460	2	0.9172	46.006
442	461	2	0.7969	166.047
460	508	2	0.8819	-30.010
459	494	2	0.7853	18.011
465	491	2	0.8773	-15.995
465	466	2	0.897	-18.011
424	465	2	0.8842	18.011
461	466	2	0.8614	146.058
495	508	2	0.9508	0.000
133	187	3	0.9374	-0.001
284	329	3	0.9162	15.995
39	109	3	0.9218	192.062
364	385	3	0.8254	145.967
144	284	3	0.9515	-14.015
119	137	3	0.7452	-15.994
380	630	3	0.79	-106.171
375	409	3	0.8868	176.032
371	393	3	0.876	30.010
261	409	3	0.8676	-0.002
145	278	3	0.9382	0.000
259	329	3	0.9131	162.055
89	192	3	0.8266	162.052
45	122	3	0.7744	9.022
312	381	3	0.9178	162.052
39	98	3	0.9205	148.073
59	137	3	0.7881	72.021
314	317	3	0.807	163.055
329	341	3	0.9218	-15.995
39	99	3	0.952	162.053
359	363	3	0.8197	15.995
59	133	3	0.8113	-0.036
393	411	3	0.8516	-14.016
117	192	3	0.8329	0.001
317	332	3	0.877	-176.032
206	295	3	0.9395	146.057
212	225	3	0.9275	-29.974
314	381	3	0.809	163.055
56	57	3	0.9624	40.979
295	341	3	0.97	15.995
39	212	3	0.9229	178.047
105	142	3	0.9466	15.995
261	381	3	0.8546	-15.997
144	341	3	0.9257	-14.016
99	225	3	0.9602	-13.980
133	192	3	0.7592	174.053
65	119	3	0.8226	46.005
99	148	3	0.9541	15.994
225	295	3	0.9564	29.974
39	49	3	0.9445	15.995
286	385	3	0.8213	189.919
371	409	3	0.8453	162.052
148	341	3	0.9534	15.995
39	206	3	0.9095	31.990
54	56	3	0.775	-352.078
79	192	3	0.822	0.001
375	393	3	0.8394	43.990
117	218	3	0.7724	13.981
225	312	3	0.9103	176.032
98	295	3	0.9183	29.974
148	225	3	0.9456	-29.974
54	57	3	0.7824	-311.100
99	109	3	0.9646	30.009
212	341	3	0.9192	15.995
59	187	3	0.8081	-0.038
330	335	3	0.9276	-13.979
212	284	3	0.9156	15.996
48	59	3	0.791	18.011
224	335	3	0.8715	176.031
98	212	3	0.934	29.974
65	89	3	0.7468	-30.046
142	329	3	0.8834	178.047
82	94	3	0.906	220.095
98	278	3	0.9298	15.995
117	119	3	0.7434	-86.000
48	68	3	0.7419	59.016
144	145	3	0.9445	-43.989
99	212	3	0.9566	15.994
246	278	3	0.9431	-15.995
122	238	3	0.8171	3.959
68	117	3	0.7929	133.010
105	148	3	0.9394	162.052
224	278	3	0.897	13.979
317	381	3	0.9794	0.000
317	409	3	0.9198	15.995
109	295	3	0.9095	-14.015
144	209	3	0.9297	-43.990
261	359	3	0.8808	-0.002
286	363	3	0.7452	352.063
49	142	3	0.9307	15.995
187	192	3	0.7703	174.054
48	119	3	0.7679	106.026
65	192	3	0.8323	132.006
246	341	3	0.9163	13.979
2	89	3	0.7694	-51.994
142	259	3	0.9116	15.993
49	209	3	0.8877	148.073
94	131	3	0.8204	-58.043
98	109	3	0.9482	43.989
59	192	3	0.7731	174.016
359	411	3	0.8662	-146.058
48	187	3	0.7542	17.973
359	409	3	0.9329	-0.001
5	122	3	0.8905	308.111
59	68	3	0.8183	41.005
117	133	3	0.8126	-174.052
363	409	3	0.7885	-15.996
145	284	3	0.9236	29.974
332	381	3	0.8764	176.032
99	105	3	0.9286	-146.058
355	364	3	0.873	-14.017
99	206	3	0.917	-130.063
312	332	3	0.9543	-13.979
418	630	3	0.8336	-60.129
148	212	3	0.9268	0.000
109	148	3	0.9327	-14.015
335	371	3	0.8527	13.979
209	224	3	0.9025	-13.978
117	187	3	0.8276	-174.053
98	145	3	0.9431	15.995
49	144	3	0.9157	192.063
2	5	3	0.8628	-146.058
49	259	3	0.8953	31.988
2	44	3	0.8151	-9.005
144	246	3	0.925	-27.995
82	122	3	0.844	468.147
198	284	3	0.9341	0.001
59	65	3	0.8575	42.010
5	364	3	0.8388	-144.021
198	295	3	0.9429	-15.994
68	119	3	0.7953	47.010
65	137	3	0.8358	30.011
98	105	3	0.909	-132.078
137	187	3	0.7525	-72.058
359	371	3	0.8588	-162.053
341	411	3	0.9149	162.053
49	145	3	0.9207	148.073
359	381	3	0.9043	-15.996
48	133	3	0.7587	17.974
109	225	3	0.9304	-43.990
48	89	3	0.7538	29.975
198	329	3	0.958	15.996
5	82	3	0.9092	-160.036
261	363	3	0.7888	15.993
117	137	3	0.7747	-101.994
2	122	3	0.8427	162.052
109	212	3	0.9237	-14.015
53	54	3	0.9316	-17.027
329	330	3	0.8774	130.063
44	45	3	0.8233	162.035
103	381	3	0.8194	-2.017
98	148	3	0.9422	29.974
144	278	3	0.9109	-43.989
59	117	3	0.7786	174.015
371	411	3	0.898	15.995
65	68	3	0.9146	-1.005
409	411	3	0.8957	-146.057
98	225	3	0.9484	-0.000
99	295	3	0.9461	15.994
148	198	3	0.9635	15.995
105	109	3	0.9089	176.067
224	330	3	0.895	190.011
286	364	3	0.8731	43.952
5	94	3	0.9166	60.058
170	418	3	0.763	-30.084
225	332	3	0.9279	162.053
99	312	3	0.9103	162.052
142	198	3	0.9233	162.052
145	198	3	0.9323	29.973
198	341	3	0.959	0.001
206	259	3	0.938	15.993
145	224	3	0.9069	-13.979
312	317	3	0.9221	162.052
109	144	3	0.9641	15.996
2	94	3	0.8459	-86.000
359	393	3	0.8615	-132.043
82	131	3	0.8838	162.052
341	364	3	0.9351	15.994
371	375	3	0.8731	-13.979
284	341	3	0.927	-0.001
53	218	3	0.771	23.017
94	122	3	0.8846	248.052
148	206	3	0.949	-146.057
225	278	3	0.9257	15.996
98	99	3	0.9532	13.980
105	206	3	0.9382	15.995
48	65	3	0.7777	60.021
375	411	3	0.9402	29.974
212	295	3	0.9107	-0.000
224	286	3	0.8825	15.995
145	246	3	0.9671	15.995
103	317	3	0.8261	-2.017
142	209	3	0.893	132.078
209	335	3	0.8913	162.053
148	295	3	0.9608	0.000
145	209	3	0.9124	-0.000
381	409	3	0.9132	15.995
317	359	3	0.9035	15.996
246	330	3	0.8962	160.037
68	192	3	0.8031	133.011
312	371	3	0.9003	15.995
59	119	3	0.8294	88.015
144	279	3	0.9162	15.996
355	385	3	0.7986	131.950
363	385	3	0.7766	-162.144
295	312	3	0.9241	146.058
109	206	3	0.8859	-160.072
198	259	3	0.9222	-146.059
209	246	3	0.9218	15.995
144	198	3	0.9346	-14.016
284	364	3	0.9573	15.993
246	284	3	0.9134	13.980
2	82	3	0.8197	-306.095
355	363	3	0.7735	294.094
39	105	3	0.9534	15.995
366	418	3	0.7921	-32.063
286	355	3	0.8621	57.969
278	329	3	0.8912	45.969
332	375	3	0.9427	15.995
246	329	3	0.9279	29.974
209	284	3	0.9322	29.975
198	212	3	0.931	-15.994
224	246	3	0.9154	29.974
122	418	3	0.8127	-314.206
261	317	3	0.8527	-15.997
418	615	3	0.7915	-238.172
65	117	3	0.829	132.005
68	137	3	0.796	31.016
145	225	3	0.9117	-15.996
433	512	4	0.8122	46.042
176	462	4	0.7299	-28.031
413	552	4	0.7862	-27.996
425	504	4	0.707	10.020
415	523	4	0.7063	24.036
331	351	4	0.7075	42.046
566	602	4	0.8801	-2.016
425	525	4	0.714	40.031
171	552	4	0.7294	-40.068
504	506	4	0.7801	-0.036
188	413	4	0.7507	-14.051
412	445	4	0.772	-26.016
378	410	4	0.7271	-248.053
186	425	4	0.7054	-12.036
176	425	4	0.7823	-26.015
415	462	4	0.7244	0.000
377	506	4	0.7903	1.980
552	586	4	0.7107	-104.083
462	525	4	0.7209	42.047
563	586	4	0.8433	-0.000
378	600	4	0.7313	-52.068
470	511	4	0.7026	12.001
448	552	4	0.7076	-70.042
511	600	4	0.72	-126.105
164	350	4	0.7512	-0.000
523	552	4	0.7375	-70.042
600	602	4	0.7412	-15.995
413	448	4	0.7938	42.046
351	525	4	0.7155	-28.031
523	600	4	0.7711	-84.094
287	352	4	0.7093	26.016
331	445	4	0.8148	14.015
287	351	4	0.7055	30.011
448	523	4	0.8499	0.000
164	506	4	0.7369	-0.036
412	525	4	0.794	-26.016
331	425	4	0.7315	-26.016
561	566	4	0.7463	-2.016
378	413	4	0.7309	-10.020
350	525	4	0.7501	30.010
176	415	4	0.8335	-28.031
188	426	4	0.7705	-12.036
377	378	4	0.7101	-18.011
171	188	4	0.7516	1.979
171	426	4	0.743	-10.057
415	445	4	0.7342	42.047
426	448	4	0.7033	40.031
413	554	4	0.7275	-132.079
340	415	4	0.7102	-26.016
378	414	4	0.703	-28.031
350	504	4	0.7481	-0.000
377	504	4	0.7483	2.016
415	426	4	0.7563	-15.995
176	340	4	0.7738	-2.016
445	525	4	0.9214	-0.000
290	523	4	0.7381	1.979
552	554	4	0.7234	-104.083
429	512	4	0.7013	-103.026
171	180	4	0.703	2.052
350	506	4	0.7507	-0.036
554	563	4	0.8124	0.000
511	525	4	0.8205	-24.000
176	445	4	0.8788	14.016
586	600	4	0.7587	90.031
164	377	4	0.7552	-2.016
350	377	4	0.7741	-2.016
290	448	4	0.7272	1.979
331	511	4	0.7787	38.015
566	577	4	0.7263	0.036
554	600	4	0.7971	90.031
176	350	4	0.7329	-15.995
176	511	4	0.7661	38.016
445	511	4	0.835	24.000
188	378	4	0.7335	-4.031
331	415	4	0.7588	-28.032
