row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,230605_ED_Blank_ALC_nr8cent.mzML Peak area,230605_ED_dbgi_001140_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001142_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001144_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001150_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001152_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001153_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001156_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001160_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001161_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001162_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001173_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001175_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001182_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001185_01_03_nr8cent.mzML Peak area,230605_ED_dbgi_001186_01_03_nr8cent.mzML Peak area,230605_ED_test_miels_dbgi_001188_01_03_nr8cent.mzML Peak area,230605_EDdbgi_001146_01_03_nr8cent.mzML Peak area,
1,208.1341143819682,1.9027177,,,,,,,,,,,956.51685,0,879.84344,774.85645,742.0605,0,838.4286,0,694.1301,708.213,736.2577,763.15857,826.85406,609.1244,633.11707,675.20306,781.9894,827.5863,
2,643.1514482311578,1.8958666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1278.4679,0,0,0,0,0,0,0,0,
3,428.15595244730986,1.8961333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7115.59,0,0,0,0,0,
4,206.1393658237047,1.9008952,,,,,,,,,,,987.49677,0,1063.3872,838.96155,1027.9678,0,1082.9553,0,891.3767,918.3962,1063.811,0,1068.2539,785.0663,873.008,901.88513,1107.0531,1143.8392,
5,439.218643866369,1.9075167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2928.8245,0,0,0,0,0,0,
6,298.0930274309475,1.9191166,,,,,,,,,,,0,0,1641.3934,10530.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,220.11865749306702,1.9275723,,,,,,,,,,,0,1156.1431,26016.598,6245.3345,14708.807,3774.923,16781.066,0,0,6963.1016,5527.4673,1891.7594,7119.152,186.68796,2484.8442,4138.994,4444.6094,15808.672,
8,570.2028153198327,1.9277285,,,,,,,,,,,0,198.35909,0,0,751.4512,6506.5327,0,0,0,0,970.68066,337.17334,538.11395,0,0,0,1605.9683,0,
9,575.1582868530053,1.9283417,,,,,,,,,,,0,0,0,0,251.13437,3578.8516,0,0,0,0,570.5967,215.31155,216.46396,0,0,0,1174.8127,0,
10,307.0953734204004,1.9430083,,,,,,,,,,,0,0,0,0,0,0,0,2127.3557,0,0,0,0,0,1117.8597,0,0,0,0,
11,337.15115827256994,1.9537833,,,,,,,,,,,0,0,3150.9587,1882.1215,0,0,0,0,0,1038.6693,0,0,0,0,0,3397.0254,0,0,
12,330.2021743211259,1.9542917,,,,,,,,,,,0,0,0,0,0,0,0,1353.8856,0,0,0,0,0,3030.3843,0,0,0,0,
13,326.20721271688524,1.9769499,,,,,,,,,,,0,0,0,0,0,0,0,3378.018,0,0,0,0,0,248.4589,0,0,0,0,
14,381.11793894737684,1.965,,,,,,,,,,,0,0,588.58704,0,0,0,0,0,2636.9167,278.6988,0,0,0,0,0,0,0,0,
15,86.09710773890771,1.9825749,,,,,,,,,,,0,0,0,0,0,0,0,4401.3438,0,0,0,0,0,8786.474,0,0,0,0,
16,229.15503850216913,1.9879583,,,,,,,,,,,0,0,0,469.7057,178.59453,0,191.07318,32014.273,0,592.05176,165.90591,0,0,46634.785,1690.9786,0,0,0,
17,408.1499464127554,1.9894501,,,,,,,,,,,0,0,0,0,0,1566.5471,0,187.31787,3034.1729,0,7845.0073,1402.1034,1825.1608,894.1467,0,0,9795.639,0,
18,413.1055250075396,1.9837003,,,,,,,,,,,0,0,0,0,181.22134,1738.37,0,795.48596,3900.971,0,8270.278,2170.4148,2636.4563,1772.1964,0,0,11760.689,0,
19,370.03457658561933,2.0058517,,,,,,,,,,,0,194.0926,540.4647,1884.1044,0,491.41434,0,17737.879,13663.191,1213.1284,0,533.7767,1310.158,4195.8184,0,0,0,569.7074,
20,253.11919624037023,2.0138667,,,,,,,,,,,0,0,0,0,0,0,0,3698.2803,0,0,0,0,190.53436,6248.875,0,0,0,0,
21,137.0603883112787,2.0250716,,,,,,,,,,,0,0,0,2096.1206,0,494.68048,0,26145.174,11862.883,798.40594,352.18707,446.61874,5044.2964,12982.145,0,0,0,676.43994,
22,618.0151684748158,2.0238876,,,,,,,,,,,0,0,0,2154.117,0,0,0,0,0,10996.21,0,0,0,0,2344.8066,6673.0327,0,0,
23,334.14980854988687,2.0213766,,,,,,,,,,,0,0,0,0,0,0,0,7382.848,1914.8318,185.1107,0,0,428.98328,1827.2914,0,0,0,0,
24,339.1051571363469,2.0379999,,,,,,,,,,,0,0,0,0,0,0,0,7564.698,2186.4363,0,0,0,241.30057,2393.0803,0,0,0,220.9344,
25,686.1494298754056,2.020811,,,,,,,,,,,0,0,0,0,0,0,0,5964.108,1490.1283,0,0,0,0,1608.4069,0,0,0,0,
26,249.00901557274747,2.02179,,,,,,,,,,,0,174.018,193.34592,0,0,458.60947,0,7726.312,4485.6133,743.01227,0,506.9215,1238.5406,4245.7207,0,0,0,621.6094,
27,259.04345524751466,2.0467415,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4235.2964,0,0,0,0,0,168.6239,0,0,
28,348.17655524753707,2.0507917,,,,,,,,,,,0,0,0,0,0,0,0,4544.0244,0,0,0,0,0,8461.02,0,0,0,0,
29,84.0814990730088,2.0508666,,,,,,,,,,,0,0,3934.0974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,130.08724227994867,2.0508666,,,,,,,,,,,0,0,43567.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,300.2178998778092,2.0508666,,,,,,,,,,,0,0,52005.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,219.0510171648071,2.0561166,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4490.9565,0,0,0,0,0,0,0,0,
33,487.1444093588358,2.0953534,,,,,,,,,,,0,0,0,1487.2747,748.1301,1120.1288,1093.0763,0,0,0,0,0,662.4138,0,0,0,0,0,
34,123.04474705678578,2.0724437,,,,,,,,,,,0,0,0,0,0,748.7036,0,18414.201,3009.1614,0,181.78958,697.3398,425.23886,11988.225,0,0,0,1415.855,
35,120.081535160744,2.0677419,,,,,,,,,,,0,0,0,0,0,0,0,1382.0758,0,0,0,0,0,7909.0664,0,0,0,0,
36,617.2771745011564,2.0677419,,,,,,,,,,,0,0,0,0,0,0,0,2777.6743,0,0,0,0,0,6388.3267,0,0,0,0,
37,558.0669460454849,2.09556,,,,,,,,,,,0,181.40744,0,1878.4275,400.92548,0,530.8639,0,0,0,0,0,181.9481,0,0,0,0,0,
38,178.05074889162793,2.0665457,,,,,,,,,,,0,0,7189.389,0,0,675.91516,0,182.44608,631.20593,186.1759,0,0,2023.2045,273.72504,0,859.5094,0,0,
39,264.1596237522041,2.0866141,,,,,,,,,,,299.9941,0,348.5698,0,362.80035,565.18567,346.0132,188.73108,368.85196,237.43643,200.05542,367.1842,188.63513,0,0,151.17871,0,547.96124,
40,151.03958050344946,2.0839095,,,,,,,,,,,0,0,0,210.54749,0,0,0,3462.603,1528.718,0,0,172.34659,384.807,3252.3057,0,0,0,2660.3582,
41,307.0453702510925,2.0919445,,,,,,,,,,,0,0,0,0,0,0,0,3135.1545,860.20636,0,0,0,0,1786.7395,0,0,0,0,
42,325.0565397913914,2.1096125,,,,,,,,,,,0,0,0,0,0,0,0,5155.2827,221.02722,0,0,168.7698,0,1369.4241,0,0,0,0,
43,343.0671269115728,2.0955973,,,,35,,,,,,,0,0,0,0,0,2148.096,0,21710.994,8759.314,0,0,2151.5037,714.3372,16398.834,0,0,0,0,
44,261.1313382940323,2.0975149,,,,,,,,,,,4205.3086,1607.117,2931.8071,3200.6462,2223.887,2394.0906,3532.5554,1536.0286,3348.0571,2149.673,2556.8123,2774.4402,3282.555,2410.1384,2855.8713,3242.1824,1847.5107,1814.9331,
45,239.149362854193,2.0975149,,,,,,,,,,,5291.2515,2748.7507,3920.643,3631.2795,2963.6926,3060.2346,4060.2559,3125.0303,4705.229,2262.44,3274.2722,3240.43,3638.898,3571.4485,2537.606,2925.2195,1840.2375,2645.051,
46,235.0606233681262,2.1002576,,,,,,,,,,,0,0,2893.1304,3616.8628,2122.719,602.3271,698.8112,169.431,2100.3872,1905.9362,489.21814,0,0,188.91591,0,6201.1426,193.54895,619.9598,
47,424.9798152936659,2.0955722,,,,,,,,,,,0,0,0,0,0,184.52673,0,4059.69,1793.3416,0,0,366.47018,182.67603,3503.707,0,0,0,0,
48,206.04543733278751,2.084803,,,,,,,,,,,0,660.3035,56332.184,0,0,7263.1377,234.90555,1759.9819,5075.8813,0,219.59418,0,16544.512,3343.9924,0,2442.168,0,0,
49,789.2079886617424,2.09675,,,,,,,,,,,0,0,0,0,0,30673.676,0,2473.1538,8927.955,0,17339.332,13587.743,0,11546.966,0,0,6262.5967,25377.807,
50,362.1919457909122,2.1129918,,,,,,,,,,,0,0,0,0,0,0,0,949.0583,0,0,0,0,0,3062.1924,0,0,0,0,
51,474.17402011413765,2.1333807,,,,,,,,,,,0,0,0,286.0349,0,0,0,0,0,2245.611,1455.096,0,0,0,1589.5413,2667.7034,1058.8646,0,
52,298.09766472610437,2.140594,,,,,,,,,,,0,23395.719,19307.795,22376.342,26639.977,15769.59,38858.445,11482.719,19963.49,34630.13,32712.693,22921.406,17066.766,14843.384,32975.426,23392.31,29047.082,29860.861,
53,136.06260754139424,2.140594,,,,,,,,,,,0,5303.761,4524.3604,5002.896,6316.49,3689.1362,9186.817,2577.447,4633.663,8281.174,7567.7017,5438.068,4091.0076,4003.4336,7716.1147,5779.6846,6823.475,6936.9,
54,378.20298914785593,2.1428916,,,,,,,,,,,0,0,0,0,0,0,0,1090.4254,0,0,0,0,0,2014.4529,0,0,0,0,
55,448.1939568830576,2.1486902,,,,,,,,,,,0,607.8524,14233.245,172.84943,10826.894,0,8899.094,0,0,973.0935,757.7008,355.40018,180.01541,0,0,1381.6042,1851.7805,7187.9478,
56,166.08682822331718,2.1829135,,,,,,,,,,,0,633.34033,4398.0894,0,1223.5616,183.00415,845.95105,2150.2705,212.4424,0,168.67271,0,0,10402.699,0,0,841.9422,2680.7622,
57,371.0611107024727,2.1315374,,,,35,,,,,,,0,0,0,0,0,4419.668,0,41923.33,14571.366,0,7027.1997,4823.276,2736.0364,29275.514,0,0,7581.8184,0,
58,295.08141722974494,2.1488702,,,,,,,,,,,0,167.25157,754.95447,1338.1024,586.0211,263.13037,0,0,970.5933,599.86255,0,0,0,262.03278,0,1897.8418,0,665.7717,
59,160.0399832657022,2.1337779,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1629.5483,0,0,562.1913,0,0,11512.58,0,0,
60,277.11879708224114,2.1655416,,,,,,,,,,,0,0,0,0,0,0,0,2884.206,0,0,0,0,0,4978.918,0,0,0,0,
61,353.0505922076051,2.1702023,,,,35,,,,,,,0,0,0,0,0,3201.5579,0,25880.842,9755.878,0,10300.67,3282.6128,1704.8387,19335.264,0,0,11457.518,0,
62,170.06052269407976,2.1787522,,,,,,,,,,,0,778.47235,3471.8716,1330.8171,877.13525,199.826,1194.4535,1403.8418,1437.3881,306.94962,1261.4261,0,818.8974,2169.1829,2455.2236,0,387.70642,2430.8936,
63,293.1611023168775,2.180089,,,,,,,,,,,0,0,0,0,211.88434,0,221.68848,0,0,0,0,47397.8,0,0,0,0,0,0,
64,188.07146386365585,2.1791697,,,,17,1,[M+H]+,,1,65,187.0641,0,49495.34,167959.58,72203.14,58147.0,24115.473,66911.17,76821.77,93061.805,24389.834,68683.65,16650.057,44332.484,108714.69,116022.57,18516.477,27388.201,127840.49,
65,205.09784254239136,2.1791697,,,,17,1,[M+NH4]+,,2,65;64,187.0641,0,7036.319,23072.95,11483.247,10429.107,3358.2483,10310.692,10500.678,13875.148,3083.6497,10116.319,2193.3792,5879.9985,15207.275,15246.347,2634.386,4264.971,21554.023,
66,146.0609123142129,2.1791697,,,,17,,,,,,,0,6926.698,28660.799,10778.486,8168.4976,3217.64,10224.082,11092.426,13839.971,3604.3494,10150.413,2273.2124,6200.49,16201.226,18411.379,2633.5007,4062.3289,19855.729,
67,408.01400217581056,2.18881,,,,,,,,,,,0,0,0,0,5304.7866,0,4302.635,0,0,0,194.65997,0,0,0,0,0,169.11731,5918.7246,
68,516.1977438880522,2.1809876,,,,,,,,,,,0,0,0,4528.741,783.5238,0,739.6426,0,0,0,0,0,0,0,876.79285,0,0,0,
69,277.16641738795556,2.1911001,,,,,,,,,,,0,0,0,0,0,0,594.62823,0,0,0,0,114658.71,0,0,0,0,0,0,
70,132.04502724609648,2.2051215,,,,,,,,,,,0,845.7438,0,24126.574,2136.017,0,1560.9924,0,0,686.1022,0,0,0,0,1276.8286,0,0,201.11469,
71,334.0898300413262,2.2026112,,,,,,,,,,,0,0,0,5433.878,324.48462,0,0,0,0,0,0,0,0,0,186.27159,0,0,0,
72,365.01989666793867,2.1923833,,,,,,,,,,,0,0,0,3892.5361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,312.21715179355897,2.2006166,,,,,,,,,,,0,0,10534.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,449.0404962938049,2.2029333,,,,,,,,,,,0,0,0,0,3389.7922,0,2848.1584,0,0,0,0,0,0,0,0,0,0,4247.9355,
75,223.13350383856147,2.2116,,,,,,,,,,,0,0,3652.3538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,333.0221159696704,2.2123017,,,,,,,,,,,0,0,0,167.06862,879.95667,0,179.17365,1984.6217,1073.4078,2157.8142,0,0,417.8319,1061.6316,169.14822,1844.0876,0,0,
