ATTRIBUTE_genus	ATTRIBUTE_localisation	ATTRIBUTE_species	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:BK	GNPSGROUP:Clematis	GNPSGROUP:Clematis alpina	GNPSGROUP:Clematis chinensis	GNPSGROUP:Clematis flammula	GNPSGROUP:Clematis heracleifolia	GNPSGROUP:Clematis koreana	GNPSGROUP:Clematis recta	GNPSGROUP:Clematis tangutica	GNPSGROUP:Clematis terniflora	GNPSGROUP:Clematis vitalba	GNPSGROUP:Clematis viticella	GNPSGROUP:Euonymus	GNPSGROUP:Euonymus alatus	GNPSGROUP:Euonymus europaeus	GNPSGROUP:Euonymus fortunei	GNPSGROUP:Lonicera	GNPSGROUP:Lonicera alpigena	GNPSGROUP:Lonicera caerulea	GNPSGROUP:Lonicera caprifolium	GNPSGROUP:Lonicera caucasica	GNPSGROUP:Lonicera etrusca	GNPSGROUP:Lonicera implexa	GNPSGROUP:Lonicera japonica	GNPSGROUP:Lonicera kamtschatica	GNPSGROUP:Lonicera nigra	GNPSGROUP:Lonicera periclymenum	GNPSGROUP:Lonicera tatarica	GNPSGROUP:Lonicera xylosteum	GNPSGROUP:jbn	GNPSGROUP:jbuf	GNPSGROUP:nan	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Clematis	jbuf	Clematis alpina	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	425.39652941176473	2410.5803333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.617947368421	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5032	0.5032	0	N/A	N/A	7231.741	1	1	-1	 	1	128.0193	1	128.0193	7231.741
Clematis	jbuf	Clematis alpina	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2363.0764705882357	13390.766666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2114.3315789473686	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5032	0.5032	0	N/A	N/A	40172.3	1	2	186	 	1	241.9993	1	241.9993	40172.3
Euonymus,Clematis	jbuf	Clematis alpina,Clematis viticella,Euonymus fortunei	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1717.5124705882351	3030.5789999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20105.975	13545.16125	0.0	0.0	54180.645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4388.334578947368	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5053	0.5053	0	N/A	N/A	111527.16	4	3	238	 	4	198.9399	1	198.9399	111527.16
Clematis	jbuf	Clematis alpina	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1082.666588235294	6135.1106666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	968.7016842105262	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5056	0.5056	0	N/A	N/A	74095.305	2	4	238	 	2	216.9505	1	216.9505	74095.305
Clematis	jbn	Clematis chinensis,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2310.4581176470588	0.0	9204.324	0.0	0.0	0.0	6956.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2182.0993333333336	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5060	0.5060	0	N/A	N/A	39277.788	2	5	238	 	2	344.8755	1	344.8755	39277.788
Clematis	jbuf,jbn	Clematis alpina,Clematis recta	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2852.7167647058823	2849.2083333333335	0.0	0.0	0.0	0.0	13316.186666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2219.3644444444444	449.875	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5062	0.5062	0	N/A	N/A	70408.984	3	6	238	 	3	257.9769	1	257.9769	70408.984
Euonymus,Clematis	jbuf	Clematis alpina,Clematis viticella,Euonymus fortunei	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4298.561000000001	7806.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49655.887	31576.1075	0.0	0.0	126304.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10493.68247368421	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5064	0.5064	0	N/A	N/A	199379.967	3	7	238	 	3	239.9664	1	239.9664	199379.967
Clematis	jbuf	Clematis alpina,Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3700.0147058823527	3306.445333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52980.914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3310.5394736842104	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5072	0.5072	0	N/A	N/A	62900.25	2	8	186	 	2	200.9731	1	200.9731	62900.25
Clematis	jbuf	Clematis alpina,Clematis viticella	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5578.887941176471	5713.508333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77700.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4991.636578947368	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=186&task=e9bcaeea27bd468fa980daae8e4b9d7e&show=true	N/A	N/A	N/A	 	0.5072	0.5072	0	N/A	N/A	94841.095	2	9	186	 	2	218.9838	1	218.9838	94841.095
 	 	 	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=e9bcaeea27bd468fa980daae8e4b9d7e&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10","main.cluster index_upperinput":"10"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5080	0.5080	0	N/A	N/A	8812.068000000001	1	10	-1	 	1	143.9968	1	143.9968	8812.068000000001
