CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2111	2672	1	0.7471	-26.014
2014	2673	4	0.9483	-14.015
2771	4081	4	0.9719	0.000
2014	2771	4	0.9318	-42.011
2014	4081	4	0.9273	-42.010
2014	3777	4	0.9373	0.000
2266	2771	4	0.9222	-14.016
2673	3777	4	0.9294	14.015
102	117	5	0.833	182.080
93	238	5	0.7694	81.039
62	86	5	0.7799	-162.053
75	110	5	0.7948	-164.066
62	93	5	0.8779	298.074
134	139	5	0.8907	342.116
59	83	5	0.763	18.011
82	85	5	0.8516	18.010
85	126	5	0.8594	-162.053
129	136	5	0.9263	342.114
93	139	5	0.8485	-442.116
75	85	5	0.7928	180.065
75	126	5	0.822	18.013
59	62	5	0.8684	-180.063
86	134	5	0.7619	-324.106
47	59	5	0.7236	-15.978
85	110	5	0.7154	-344.132
75	82	5	0.7315	162.056
47	85	5	0.847	-162.053
103	139	5	0.9013	182.082
47	82	5	0.846	-180.063
62	139	5	0.7387	-144.042
86	103	5	0.7822	-164.071
130	132	5	0.9188	-342.115
62	238	5	0.7549	379.112
103	134	5	0.9416	-160.034
73	117	5	0.7892	-362.097
110	133	5	0.9326	-160.037
110	126	5	0.889	182.079
86	139	5	0.9117	18.011
82	126	5	0.7261	-144.043
130	134	5	0.9492	342.116
86	93	5	0.8489	460.127
59	93	5	0.8588	118.011
75	133	5	0.7654	-324.103
85	117	5	0.7744	-17.993
126	133	5	0.8908	-342.116
133	136	5	0.9119	-342.116
158	494	6	0.8679	-33.026
352	354	6	0.9222	12.001
150	189	6	0.9142	78.032
184	189	6	0.8928	-27.995
197	494	6	0.9537	-48.000
159	188	6	0.9852	48.021
163	197	6	0.8764	1.980
188	312	6	0.9851	18.011
314	352	6	0.8587	-49.020
159	175	6	0.9568	78.032
400	405	6	0.8438	-78.031
388	503	6	0.9732	-33.984
156	158	6	0.8734	-27.011
175	188	6	0.9495	-30.011
158	197	6	0.8726	14.975
150	158	6	0.8686	0.984
150	163	6	0.8678	13.978
156	163	6	0.923	-14.016
314	503	6	0.865	-33.026
159	312	6	0.9933	66.032
156	405	6	0.8502	-26.051
197	405	6	0.8882	-14.015
388	405	6	0.9014	-66.030
494	503	6	0.9563	66.032
399	400	6	0.9296	60.021
156	197	6	0.926	-12.036
400	655	6	0.8408	193.047
352	503	6	0.8736	15.995
175	312	6	0.9546	-12.000
156	184	6	0.9325	78.033
197	198	6	0.8611	78.032
156	494	6	0.8615	-60.036
150	156	6	0.8806	27.994
158	314	6	0.9588	66.032
159	163	6	0.9254	27.994
399	405	6	0.8471	-18.010
4383	4660	7	0.825	-42.047
3735	3912	7	0.8263	14.017
3728	3861	7	0.8327	-47.039
3877	4386	7	0.9796	0.000
3763	3805	7	0.8132	-1.032
3916	3996	7	0.8259	-221.090
3728	3912	7	0.8356	15.994
4347	4386	7	0.9493	-0.000
3974	4466	7	0.9119	206.043
3916	4292	7	0.8794	132.043
4299	4387	7	0.8556	-132.043
4031	4468	7	0.9673	-0.000
4384	4385	7	0.8734	-27.995
3996	4288	7	0.8271	221.090
3858	4105	7	0.8562	132.044
3733	3910	7	0.8241	-18.010
3716	3733	7	0.8493	18.010
3695	4387	7	0.8462	-132.043
4129	4466	7	0.9235	162.052
3916	4288	7	0.9494	0.000
4383	4468	7	0.855	-42.047
3695	4347	7	0.9361	0.000
3877	4384	7	0.8829	46.006
4468	5131	7	0.8766	13.979
4031	5131	7	0.8647	13.979
3730	3910	7	0.8274	-164.244
3716	4290	7	0.8874	0.000
3733	4387	7	0.8736	14.016
3602	4105	7	0.8592	176.033
3858	3917	7	0.8508	-42.010
3882	4294	7	0.9521	0.000
3858	3861	7	0.8863	132.043
3917	3996	7	0.8479	-146.058
3699	4346	7	0.8647	-27.995
3913	4352	7	0.8903	30.011
3716	4292	7	0.8368	-162.052
3699	4386	7	0.8503	-46.005
3763	3861	7	0.8335	277.068
3886	4384	7	0.92	-0.000
4294	4384	7	0.8853	27.995
3910	4290	7	0.8515	0.000
4305	4352	7	0.8942	15.995
4028	4129	7	0.8633	-162.052
3700	3912	7	0.9204	0.000
3892	4129	7	0.7326	29.975
4660	4984	7	0.8976	-0.000
3694	3882	7	0.9763	-0.000
3735	3913	7	0.8305	-15.994
3700	3728	7	0.8468	-15.993
3860	4344	7	0.8067	0.000
3602	3974	7	0.8336	15.995
3695	3716	7	0.8854	-164.069
3699	4294	7	0.8561	-27.995
3892	4061	7	0.8199	-42.010
3602	3763	7	0.8211	-101.036
3861	4105	7	0.9284	0.000
4299	4386	7	0.953	-0.000
3695	4386	7	0.9514	-0.000
3729	3860	7	0.9203	-0.000
4022	4466	7	0.7346	326.596
3729	4383	7	0.9128	-0.000
3728	4305	7	0.8933	-0.001
4468	4660	7	0.9164	0.000
4660	5131	7	0.8543	13.978
3700	4291	7	0.9361	0.000
3900	4984	7	0.8727	-0.000
3877	4347	7	0.9603	0.001
3730	4299	7	0.9248	-0.175
3877	4299	7	0.9606	0.000
3861	4305	7	0.8518	47.038
3699	3886	7	0.909	0.000
3733	4290	7	0.8171	-18.009
3716	4347	7	0.8464	164.069
3694	4468	7	0.8544	-2.016
4294	4468	7	0.8464	-2.016
3730	3877	7	0.9605	-0.176
3916	3918	7	0.8081	-204.064
3900	4660	7	0.9005	0.000
3729	4031	7	0.8302	-42.047
3716	3730	7	0.8745	164.244
3695	3877	7	0.9639	-0.000
3728	3913	7	0.8251	-14.017
3700	3916	7	0.8883	-162.053
3877	4387	7	0.8661	-132.042
4031	4660	7	0.9114	0.000
3913	3916	7	0.8532	-132.042
3763	4305	7	0.8494	324.106
4292	4305	7	0.8834	14.016
4294	4387	7	0.849	-150.053
4346	4384	7	0.8835	27.995
4346	4387	7	0.8631	-150.053
4022	4127	7	0.7986	161.535
3912	3916	7	0.8805	-162.053
3694	4385	7	0.9736	-0.000
3700	3913	7	0.8937	-30.011
