CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
16281	19202	4	0.9122	-28.030
19661	19881	4	0.9199	0.000
19376	19661	4	0.921	448.230
12667	16281	4	0.9326	-14.018
15192	19531	4	0.905	-28.032
13907	16436	4	0.9243	-33.984
17247	18483	4	0.9207	-2.017
15526	19881	4	0.8466	18.010
9547	18813	4	0.8849	-42.047
12667	16298	4	0.9671	-14.016
11020	14663	4	0.8631	7.969
15703	17515	4	0.9539	-14.016
20682	20817	4	0.9187	-0.000
18731	19376	4	0.9333	-448.230
10053	18483	4	0.8817	-42.048
18483	18803	4	0.8945	0.000
19409	19661	4	0.9704	-0.000
10053	11020	4	0.888	-21.985
17919	19993	4	0.9654	-14.016
17515	19531	4	0.9216	-14.016
19376	19409	4	0.9259	448.230
17247	18457	4	0.9223	-2.016
9786	13529	4	0.9277	-26.017
13238	13529	4	0.9225	21.986
12283	15192	4	0.9286	-14.016
14120	16989	4	0.9031	-151.100
18731	19070	4	0.8925	0.000
19409	19881	4	0.9147	-0.000
9786	19742	4	0.9664	-56.063
13945	17919	4	0.9075	-16.031
18731	19661	4	0.9518	-0.000
16281	17919	4	0.9257	-14.013
14120	16305	4	0.9455	-0.000
10722	20682	4	0.9058	-42.083
16281	19993	4	0.9243	-28.030
13598	15815	4	0.8407	179.078
12283	19531	4	0.9258	-42.048
20157	20817	4	0.9008	-2.016
12283	13214	4	0.9239	-33.985
12738	16305	4	0.94	0.000
18813	19322	4	0.8555	-0.000
20606	20863	4	0.8476	402.190
9547	11273	4	0.9041	-21.985
15703	19531	4	0.927	-28.032
14663	18813	4	0.8551	-28.030
13154	18194	4	0.8829	-28.032
17919	19202	4	0.9139	-14.016
13945	14663	4	0.884	-0.001
12667	19993	4	0.964	-42.047
13214	13907	4	0.9353	21.984
18731	19409	4	0.9596	-0.000
10722	20817	4	0.9061	-42.083
13238	19742	4	0.9223	-8.061
16298	17919	4	0.9571	-14.016
17247	18803	4	0.89	-2.017
14120	16298	4	0.9221	-119.131
13154	19202	4	0.8798	-42.048
18553	20682	4	0.8914	-28.031
12738	14120	4	0.9363	0.000
16281	16298	4	0.9465	0.002
13238	15703	4	0.9249	19.971
10722	18553	4	0.8826	-14.052
16023	16262	4	0.8779	180.063
15703	16436	4	0.9432	-31.968
13598	15522	4	0.8564	179.079
9547	14663	4	0.9062	-14.017
15865	16352	4	0.8605	0.000
10053	11057	4	0.8859	-21.984
13529	16436	4	0.9272	-33.983
13214	16436	4	0.9402	-11.999
15522	15526	4	0.853	-17.026
17247	19322	4	0.8801	-2.016
13214	19742	4	0.9237	-8.063
14135	15865	4	0.9224	162.053
20183	20641	4	0.9465	0.000
20183	20863	4	0.9078	0.000
16305	18685	4	0.884	0.000
18553	20157	4	0.8734	-26.016
9786	13238	4	0.9291	-48.003
15865	16262	4	0.8712	197.090
19376	19881	4	0.8567	448.230
16298	19993	4	0.9518	-28.032
9786	13214	4	0.9369	-48.001
10887	16769	4	0.9086	-42.046
14359	16023	4	0.8445	0.000
9786	12283	4	0.9738	-14.016
13238	17515	4	0.9086	5.955
19070	19409	4	0.9167	-0.000
18457	18483	4	0.95	-0.001
13907	20039	4	0.9006	-42.047
11057	13214	4	0.9177	-14.016
12283	15703	4	0.9738	-14.016
16436	19742	4	0.9355	3.937
13907	13945	4	0.9002	0.000
10574	14663	4	0.8857	-14.017
12667	17919	4	0.965	-28.031
9547	16989	4	0.905	-48.000
16989	19993	4	0.9271	3.937
9786	16436	4	0.935	-60.000
16023	16352	4	0.8835	-17.026
12738	19993	4	0.9126	-147.163
12283	17515	4	0.9508	-28.031
9547	13945	4	0.9205	-14.016
17870	19202	4	0.9146	-14.016
12667	20817	4	0.9423	-56.063
15192	17515	4	0.9236	-14.016
16989	17088	4	0.902	-30.011
12738	19478	4	0.8998	0.000
13529	15703	4	0.9263	-2.015
10053	14663	4	0.8852	-14.017
13598	15526	4	0.8934	162.052
12667	20157	4	0.9085	-54.047
18731	19881	4	0.8891	-0.000
9674	10053	4	0.8762	162.053
18457	18813	4	0.8789	0.000
10722	16314	4	0.8777	16.990
9547	10574	4	0.9565	0.000
13214	13238	4	0.9585	-0.002
18457	19322	4	0.9024	0.000
13238	13907	4	0.9137	21.986
17515	19742	4	0.9573	-14.016
10574	13945	4	0.9239	-14.016
18731	19475	4	0.9545	-0.000
14359	17147	4	0.8456	0.000
13214	13527	4	0.9252	0.000
10574	11273	4	0.9064	-21.985
15114	15526	4	0.8556	0.000
19475	20641	4	0.8489	46.042
19202	20817	4	0.913	-14.015
16436	17515	4	0.9151	17.952
13945	16298	4	0.9195	-2.016
19070	19661	4	0.9009	-0.000
9786	17515	4	0.9547	-42.047
17247	18813	4	0.8703	-2.016
14663	18803	4	0.8789	-28.031
13874	14135	4	0.9661	-0.000
16989	17870	4	0.9194	17.953
19475	19881	4	0.9364	0.000
13598	15865	4	0.8571	294.095
18457	18803	4	0.894	-0.000
12667	17870	4	0.9731	-28.031
18553	20817	4	0.9105	-28.031
18483	19322	4	0.8882	0.001
16298	20817	4	0.9253	-42.047
15522	15815	4	0.8534	-0.000
17870	19993	4	0.9596	-14.016
13529	20039	4	0.9077	-42.046
16989	17919	4	0.9034	17.953
16298	17870	4	0.9645	-14.016
19202	20682	4	0.8841	-14.015
12667	16989	4	0.9238	-45.984
13945	17870	4	0.9194	-16.031
18803	19322	4	0.9071	0.001
11273	14663	4	0.8583	7.968
14135	16023	4	0.8977	179.080
12283	19742	4	0.9677	-42.047
20183	20606	4	0.8744	-402.190
19531	19742	4	0.9278	0.000
17247	17494	4	0.8547	-0.000
13238	13527	4	0.921	0.002
19993	20682	4	0.919	-14.015
16436	16769	4	0.9369	-30.011
19070	19376	4	0.8551	-448.230
15703	19742	4	0.9737	-28.032
13945	16989	4	0.9118	-33.984
11020	11057	4	0.9616	0.001
9786	15703	4	0.9784	-28.032
17494	18803	4	0.856	-2.016
19070	19881	4	0.8763	-0.000
17247	19661	4	0.8476	-28.032
18803	18813	4	0.9268	0.001
13598	13874	4	0.8812	132.042
10887	16436	4	0.9411	-12.035
15192	19742	4	0.9311	-28.031
14135	15526	4	0.8649	30.011
19661	20463	4	0.849	46.042
14135	14359	4	0.8429	179.080
19202	19993	4	0.9148	0.000
13874	15865	4	0.9147	162.053
17870	20817	4	0.9363	-28.031
13874	15526	4	0.8675	30.010
13874	16023	4	0.8891	179.079
20463	20641	4	0.9643	0.000
10887	19742	4	0.9328	-8.099
13529	13907	4	0.9739	0.001
17494	18813	4	0.873	-2.015
20641	20863	4	0.9342	0.000
10887	17515	4	0.9135	5.917
12283	13238	4	0.9206	-33.987
10574	16989	4	0.8981	-48.000
20463	20863	4	0.9254	0.000
15865	16023	4	0.9298	17.027
12283	16436	4	0.9256	-45.984
19409	19475	4	0.9778	-0.000
13214	15703	4	0.9362	19.969
17919	20817	4	0.9359	-28.032
13598	14135	4	0.9019	132.042
10887	15703	4	0.9301	19.933
9786	13907	4	0.9209	-26.016
20641	21412	4	0.8475	-14.016
12667	20682	4	0.9086	-56.063
19993	20817	4	0.9521	-14.016
16281	19531	4	0.9331	-28.030
20183	20463	4	0.9521	-0.000
13214	13529	4	0.9441	21.984
16281	17870	4	0.9198	-14.014
20606	20641	4	0.8691	402.190
16769	17088	4	0.8982	-0.001
19475	20463	4	0.8765	46.042
16305	19478	4	0.8838	0.000
12667	19202	4	0.921	-42.047
19409	20463	4	0.8752	46.042
17870	17919	4	0.9622	0.000
10053	18457	4	0.8767	-42.047
19409	20641	4	0.8525	46.042
19070	19475	4	0.9126	-0.000
20463	20606	4	0.8709	-402.190
12738	18685	4	0.8879	0.000
18553	19202	4	0.8768	-14.016
9786	15192	4	0.9207	-28.032
10887	12283	4	0.919	33.949
19376	19475	4	0.9185	448.230
16298	19531	4	0.9257	-28.032
14359	15865	4	0.8487	-17.027
19475	19661	4	0.9661	0.000
25223	25308	5	0.7874	-0.000
25292	25308	5	0.7795	2.014
25223	25656	5	0.8679	-2.015
25292	27565	5	0.7899	-0.038
25841	26971	5	0.9012	-0.001
25479	27565	5	0.7822	-2.051
25236	27579	5	0.8182	25.974
25614	26789	5	0.9341	-0.106
26048	27565	5	0.7778	3.996
25614	25841	5	0.9412	-0.105
27565	27579	5	0.7641	26.013
