row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001139_01_01.mzML Peak area,1685365277_ALC_dbgi_001145_01_01.mzML Peak area,1685365277_ALC_dbgi_001143_01_01.mzML Peak area,1685365277_ALC_dbgi_001141_01_01.mzML Peak area,1685365277_ALC_dbgi_001151_01_01.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001148_01_02.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001157_01_01.mzML Peak area,1685365277_ALC_dbgi_001149_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001158_01_01.mzML Peak area,1685365277_ALC_dbgi_001147_01_01.mzML Peak area,1685365277_ALC_dbgi_001178_01_01.mzML Peak area,1685365277_ALC_dbgi_001159_01_01.mzML Peak area,1685365277_ALC_dbgi_001177_01_02.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001163_01_01.mzML Peak area,1685365277_ALC_dbgi_001176_01_01.mzML Peak area,1685365277_ALC_dbgi_001169_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001184_01_01.mzML Peak area,1685365277_ALC_dbgi_001166_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,1685365277_ALC_dbgi_001187_01_01.mzML Peak area,1685365277_ALC_dbgi_001174_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001183_01_01.mzML Peak area,Unnamed: 52
2,272.9415238422224,0.49386066,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10615.249,0.0,0.0,0.0,9323.105,0.0,6449.004,12119.018999999998,0.0,10088.134,0.0,10953.222,10331.033000000001,0.0,0.0,10381.349,12706.023000000001,13391.303,10656.036,0.0,13833.02,0.0,0.0,8841.013,9454.243,0.0,0.0,5138.6577,0.0,9198.704,8883.894,11995.83,0.0,0.0,
5,244.9467862236692,0.49726355,,,,,,,,,,,0.0,0.0,0.0,7961.523,0.0,12971.93,11795.683,0.0,7500.3994,9083.865,0.0,8518.984,11807.726,0.0,9981.329,0.0,10584.563,0.0,0.0,0.0,10381.61,11423.378,12285.617,11082.583999999999,0.0,12977.513,9317.689,0.0,8878.565,9931.876,10436.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,271.9165023342196,0.50152344,,,,,,,,,,,6768.01,0.0,7019.6934,5744.2197,0.0,0.0,0.0,0.0,0.0,0.0,6361.7964,6753.6377,0.0,0.0,0.0,0.0,0.0,0.0,5940.198,62991.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6748.955,0.0,5179.9844,0.0,0.0,0.0,6396.1953,0.0,
22,400.9386764443936,0.50371754,,,,539.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12569.288,8741.601999999999,13439.6875,0.0,19280.055,0.0,0.0,0.0,5416.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,398.90585177451004,0.50722164,,,,539.0,,,,,,,30742.867000000002,0.0,7711.7285,18706.783,0.0,38255.008,26847.635,29444.422000000002,0.0,9567.412,10527.386,16029.645,0.0,0.0,28744.11,0.0,16812.916,23315.84,0.0,0.0,16233.288,10973.059,8527.142,52099.437999999995,15415.173999999999,28268.686,31086.006,0.0,0.0,15253.338,13752.662,9168.072,0.0,37247.56,13498.321000000002,20256.182,27786.145,0.0,42126.203,
43,128.0194860083371,0.50727797,,,,539.0,,,,,,,65790.79,21433.27,20233.58,31018.012000000002,29286.517999999996,62626.3,44496.832,47548.066,16228.865,21469.808999999997,23223.209,35214.906,24161.142999999996,24424.625,48278.508,30239.484,29028.83,42825.203,18909.533,0.0,30113.166,32787.473,26662.865,82037.164,34369.137,55601.0,52744.645,12575.101,21750.707000000002,33502.18,30793.277000000002,24610.612999999998,22405.162,70370.625,30996.63,38959.816,47084.566,22599.621,71973.164,
47,265.0154731436316,0.50758946,,,,223.0,,,,,,,0.0,0.0,0.0,54907.246,0.0,0.0,79112.21,0.0,19091.713,23987.646,0.0,49876.51,43841.133,40211.133,76963.55,43123.89,53383.15,0.0,0.0,0.0,0.0,0.0,45074.08,174381.52,0.0,128575.63,101987.86,18838.816000000003,29935.004,0.0,50963.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,286.95845631421645,0.5076776,,,,539.0,,,,,,,7666.7803,0.0,0.0,0.0,0.0,18736.592,16186.115,22750.38,0.0,0.0,0.0,0.0,15710.306999999999,7924.3096,17265.113,8083.1396,10811.07,14343.138,0.0,0.0,10471.735,24935.541,16908.148,28464.514,0.0,35739.625,18868.402,6941.380999999999,0.0,13170.438,18535.967,0.0,0.0,15918.893,10856.964,12771.471000000001,20303.096,0.0,19845.797,
50,243.99683486668002,0.507714,,,,539.0,,,,,,,115778.64,0.0,23830.697,52937.465,40020.76,118387.445,85822.125,93644.85,22095.658,30312.137000000002,31752.906000000003,54134.004,44716.39,41152.324,87647.36,50011.043,54081.703,72569.836,20220.582,0.0,49338.16,75721.664,49888.87,187071.55,48106.19,133408.56,103391.3,20606.285,36784.562000000005,53373.633,60696.06,32438.766,30586.166,130932.12,50243.734000000004,69043.54,94546.45,26518.693,144121.1,
52,330.93091098205656,0.50791514,,,,539.0,,,,,,,38417.215,0.0,0.0,23263.382999999998,17103.072,35665.074,27727.76,26316.07,9644.886999999999,13622.875,14618.934,21552.322,8484.77,16471.855,27124.584,19544.748,0.0,24480.248,10898.447,0.0,17609.15,0.0,9520.446,47687.9,21686.621,22426.625,31432.697,0.0,0.0,16401.396,15486.31,15096.905,15010.715,37046.547,15218.13,22950.1,25779.468999999997,12999.888,40077.777,
54,241.99962690713392,0.50797534,,,,539.0,,,,,,,437685.03,68692.8,94539.914,200129.88,144064.53,446533.75,321525.56,362276.0,87434.66,120234.76,122635.55,201209.66,169653.22,151277.56,330680.2,192531.64,204632.4,282715.66,76635.54,0.0,191582.06,278836.75,189093.88,687136.06,182836.14,485419.03,378444.62,79442.11,137288.98,201285.62,227156.81,129619.24,121330.11,483053.25,190537.7,261957.78,352767.6,101026.09,531300.94,
56,143.99691941958184,0.5082594,,,,539.0,,,,,,,88191.24,68722.44,31927.686,32045.865,45748.605,35415.19,22608.271,18994.822,13349.583999999999,17218.527,30114.516,40067.293,0.0,19796.25,24797.312,24866.112999999998,18658.441000000003,24507.66,29460.637000000002,0.0,19472.566000000003,0.0,4660.7534,37722.426,43601.085999999996,12305.7295,26192.362999999998,0.0,12514.832,13572.793,8364.581,36744.875,26648.803,44751.824,15741.016000000001,22792.5,18232.852,42372.723,42588.72,
57,218.9837577636037,0.5082628,,,,539.0,,,,,,,202574.62,30952.117000000002,46094.137,88603.64,65575.78,196457.12,144645.22,164035.9,39818.246,55453.562000000005,56238.574,95182.6,75319.89,69138.66,157814.89,84548.96,89038.08,132181.64,34675.914,0.0,89781.16,127391.54,88333.07,313901.03,80689.734,217404.25,181381.06,35172.785,63393.79,95574.77,107890.74,57708.515999999996,52806.875,222382.92,88913.36,122336.695,160112.4,45629.87,257256.3,
58,200.97312855998786,0.50830984,,,,539.0,,,,,,,157981.36,20480.857,27913.39,59450.58,43939.26,146452.4,98863.73,113065.37,25379.426,35203.613,36863.66,66445.266,43827.45,45116.01,106985.85,58244.41,60227.555,91298.15,23377.862999999998,0.0,60245.918,80953.984,51642.812000000005,232819.75,58967.45,158039.69,136290.3,18311.389,39892.45,59868.96,70267.336,41063.15,33808.258,169130.5,55867.2,91440.98,116321.47,34715.855,197943.0,
61,182.96246611513317,0.50847244,,,,539.0,,,,,,,27396.58,0.0,0.0,10395.011,7390.443,27445.123,18836.023,18617.834,0.0,5336.6133,0.0,12378.868999999999,8453.739,7654.191999999999,18871.916,10428.731,0.0,15133.033000000001,0.0,0.0,10884.225,15143.65,8924.466999999999,41727.71,10890.008999999998,26865.762000000002,24395.6,3230.1372,0.0,10898.568000000001,12701.287,0.0,0.0,32983.047,9476.961,15473.265,20305.318,0.0,35261.73,
62,123.04069415262664,0.5085221,,,,539.0,,,,,,,27191.697,0.0,0.0,11525.181999999999,9530.995,23530.625,0.0,19070.283,0.0,0.0,0.0,14151.636,8791.462,8970.992,20955.182,10827.707,0.0,15562.223999999998,0.0,0.0,11714.527,13140.458,0.0,35190.48,13611.024,25021.129,20106.08,0.0,0.0,10394.1045,10510.127,10724.545,8738.564,30657.68,11126.962,16457.467,17437.691000000003,0.0,27803.281000000003,
63,129.97931535255162,0.50855374,,,,539.0,,,,,,,45332.14,30333.69,14542.708999999999,14880.332,20294.957,18054.133,0.0,0.0,4373.358,0.0,13248.351,16366.026000000002,0.0,8715.225,11013.635,11197.48,0.0,10289.481,11621.268,0.0,0.0,0.0,0.0,0.0,22089.91,0.0,10974.423999999999,0.0,4701.082,5224.2925,0.0,15390.35,10063.32,23194.0,0.0,8563.55,9589.67,16720.01,19724.664,
67,312.92025970928614,0.50873417,,,,539.0,,,,,,,44628.645,0.0,12508.653999999999,22178.897999999997,19268.9,39049.9,29353.734,25811.049,9443.341999999999,0.0,15393.931999999999,22214.053,6939.105,17254.814,28947.021,21643.472999999998,0.0,23969.152000000002,0.0,0.0,19098.127,9229.163,7002.156999999999,54799.777,22194.379,24356.507999999998,34337.883,0.0,0.0,15331.61,13333.368999999999,16020.8,15024.505,45931.11,14237.5205,23974.021,26908.02,13657.793,49738.74,
68,353.9470743061641,0.5087763,,,,539.0,,,,,,,47673.96,0.0,15326.663,25806.077999999998,20791.43,43005.31,34966.5,32953.312000000005,11383.591,14955.833,18848.922,24305.46,0.0,19465.318,32432.93,24013.92,0.0,29136.26,12313.803999999998,0.0,22238.5,0.0,9611.082,62127.44,23217.867000000002,25785.379,31985.28,6133.366,14597.143999999998,16575.723,13935.431,17839.252,16087.413999999999,47279.246,17813.818,23713.629,31762.57,15144.263,47247.297,
69,243.00087123236386,0.5088058,,,,539.0,,,,,,,126056.16,17580.566000000003,25748.54,55079.043,40740.832,124716.66,90338.484,100358.12,23687.197,32135.107000000004,32844.133,54280.664000000004,48435.437999999995,41179.99,94935.195,52587.758,56378.965,77448.9,21950.574,0.0,53062.004,76944.695,53143.402,197667.45,49861.457,134404.84,107509.484,21869.697,38311.133,57519.32,64573.668,33307.66,32950.137,139422.16,53768.605,71830.83,99815.16,27088.137000000002,149896.23,
72,268.94786047645874,0.50884646,,,,539.0,,,,,,,0.0,0.0,0.0,0.0,0.0,25769.9,19316.713,23876.213,0.0,0.0,0.0,0.0,15014.624,0.0,22327.85,0.0,12433.059,17383.879,0.0,0.0,11140.688999999998,27084.75,16284.108999999999,36787.84,0.0,42622.465,22854.222999999998,0.0,0.0,13563.288999999999,18868.393,0.0,0.0,21781.074,12393.148000000001,16634.146,24064.414,0.0,25098.09,
76,442.87827047629753,0.5089848,,,,539.0,,,,,,,77709.46,18547.34,24634.137000000002,36309.96,36182.92,44020.203,30243.79,24825.426,11450.056,14962.889,28623.281000000003,37274.0,0.0,20704.297,30542.652000000002,28269.865,23241.652000000002,29128.11,18798.861,0.0,20561.043,0.0,0.0,63984.008,39265.508,14387.975,34932.742,0.0,0.0,13234.903,0.0,27947.647999999997,23773.379,57355.57,13820.49,25776.218999999997,25707.19,25332.676,58461.723,
77,219.9846548373592,0.5090082,,,,539.0,,,,,,,51177.18,0.0,9249.494,20922.234,15807.32,50811.535,37451.395,42500.6,10239.799,13536.8,13470.533000000001,25049.531000000003,19018.414,16887.656000000003,40256.918,21370.533,0.0,35400.22,0.0,0.0,22054.933999999997,31584.093999999997,23337.012000000002,80251.18,21403.152000000002,55331.98,49080.88,0.0,15674.576000000001,25508.176,27099.246,14353.908000000001,0.0,58345.29,23343.48,29089.621,42657.844000000005,11801.578000000001,65654.625,
83,357.3997475833008,0.5094505,,,,539.0,,,,,,,19328.115,17397.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5874.4619999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6320.044,0.0,
84,156.01422839289512,0.5094754,,,,539.0,,,,,,,42333.55,10198.440999999999,12255.22,17484.436,16526.188000000002,38975.492,25873.611,27349.855,8555.674,11600.023000000001,13113.951000000001,20094.467,12566.361,13960.491000000002,26993.137000000002,15935.186000000002,15727.9795,27928.57,9289.603000000001,0.0,16293.448999999999,17182.174,13421.331,53519.926,18942.24,31056.277000000002,28770.467,0.0,12822.338,16939.996,17179.191000000003,13357.438999999998,0.0,39597.715,14801.806999999999,21298.717,25131.527000000002,0.0,40485.53,
88,220.98090094899337,0.5096672999999999,,,,539.0,,,,,,,53836.453,6327.029,10842.21,22601.992000000002,15345.706,50645.155999999995,36138.59,42622.34,9752.559000000001,14337.935,0.0,23783.772999999997,18361.39,17700.963,38153.96,21177.234,23632.885,34787.293,0.0,0.0,22941.818,31344.455,22941.709,83580.46,20403.43,56746.52,46301.875,8059.9775,16251.532,23074.375,27644.242000000002,14678.001,14117.319,57662.73,22646.031000000003,32439.057,41813.047,11838.653,68660.914,
90,217.95178057547957,0.5097105,,,,539.0,,,,,,,105914.4,36868.223,23414.83,34545.82,41555.09,50996.348,34127.004,28644.602000000003,11305.418,14381.293,26003.994,39516.746,0.0,20425.234,30805.014,28521.586,21919.229,32229.701,20755.365,0.0,22272.757999999998,7456.5815,0.0,73457.31,42005.23,20666.266,37367.82,0.0,12137.085,15355.798999999999,10750.749,30297.336,22290.772999999997,67394.625,16282.018,28887.83,31171.562,29811.36,67905.08,
93,218.91062117544655,0.50999933,,,,539.0,,,,,,,31861.237999999998,24956.385,0.0,8046.895,12833.533000000001,0.0,0.0,0.0,0.0,0.0,0.0,9680.158000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11655.301000000001,0.0,0.0,0.0,0.0,0.0,0.0,8585.56,0.0,11354.178999999998,0.0,0.0,0.0,10431.153,0.0,
94,328.89791426767545,0.5100812,,,,539.0,,,,,,,160399.4,68954.86,42564.78,58763.765999999996,72633.875,55371.094000000005,38483.594,28288.932,16721.814,21920.129,43870.742,63463.25,3913.5240000000003,30534.943,37044.844,42811.977,28579.242000000002,35590.562000000005,38837.125,0.0,29732.713,0.0,0.0,78792.13,71289.76,14079.416000000001,41872.797,0.0,16482.232,14602.45,8896.607,51287.254,37261.668,84733.48,17994.914,35832.223,29540.117000000002,57662.848,82810.02,
98,257.9771750224012,0.51019734,,,,539.0,,,,,,,272533.66,99259.52,75168.375,103494.586,117862.25,137217.06,96343.2,83873.08,36315.418,52624.023,78306.91,108557.625,22414.41,64403.953,92998.53,84649.06,68378.99,91805.9,63540.76,0.0,69262.05,25843.975,21661.428,186820.27,118700.5,67185.61,100620.61,0.0,44549.145,49799.953,34166.03,89046.05,74603.31,171763.12,53402.793,84450.02,86771.25,85234.83,178821.34,
99,423.95496166865416,0.5102188,,,,539.0,,,,,,,0.0,0.0,0.0,0.0,0.0,13125.399,0.0,12736.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12682.088,0.0,23505.777000000002,0.0,25137.527000000002,0.0,0.0,0.0,0.0,7835.004,0.0,0.0,10994.348,0.0,7099.3564,12453.601,0.0,13470.294,
101,198.94012277001468,0.5102770000000001,,,,539.0,,,,,,,414664.28,148492.84,83985.19,129923.72,149794.42,197247.95,124513.39,105571.72,42216.402,59153.25,97379.95,159245.83,22762.908,81969.58,130217.555,112740.77,88225.62,122466.25,79283.766,0.0,85908.82,29683.166,23659.0,288516.16,173503.03,90118.164,156187.12,15872.226999999999,50299.117,62821.992,46929.848,122020.875,91944.82,277924.1,65329.15,124669.26,119183.92,120338.21,293511.0,
103,202.9704209197401,0.51031536,,,,539.0,,,,,,,38714.664,0.0,0.0,13562.898000000001,10156.466999999999,36066.56,22797.472999999998,26523.443,0.0,7893.585999999999,8238.303,16048.4375,10655.114,9846.023000000001,25440.03,13140.812,0.0,20102.67,4257.505999999999,0.0,15008.221000000001,19517.275,11345.707,58798.92,15303.195,40046.91,33546.004,0.0,9277.223,14213.747,16493.592,10270.778,0.0,44767.65,11733.258999999998,20150.457,29773.283,7633.135,53108.05,
104,369.9247035697782,0.5103163,,,,539.0,,,,,,,97268.02,39255.65,28586.06,35071.31,45680.2,34902.57,23646.656000000003,16182.817,8959.802,12502.823,26865.166,35302.727,0.0,15947.952,18988.16,24560.777000000002,16699.523,20114.705,0.0,0.0,16386.29,0.0,0.0,45116.195,40394.574,6672.8843,20104.355,0.0,8757.184000000001,8462.021,0.0,29190.93,24342.87,48709.676,9743.1875,18722.775,15757.087,30964.045,40910.473,
107,201.974029799814,0.51043355,,,,539.0,,,,,,,38048.78,4481.442,0.0,12897.586000000001,10664.055,36513.95,24447.621,25811.615,0.0,8114.204000000001,7619.846,15331.14,11117.962,10021.526,27204.42,13631.891000000001,0.0,20833.7,0.0,0.0,12865.511999999999,18564.389,12410.101,56157.402,13077.957,37453.47,34108.81,0.0,0.0,13855.895,16893.967,9019.263,0.0,43631.027,11805.358999999999,20549.652,27714.254,7741.9883,47952.46,
108,244.99833213569823,0.5104545,,,,539.0,,,,,,,17076.582,0.0,0.0,0.0,5389.4473,18381.855,12153.947,14530.457,0.0,0.0,0.0,7845.5645,6739.015,0.0,12687.344,0.0,7351.5986,0.0,0.0,0.0,0.0,11511.49,7309.411999999999,29980.424,0.0,20340.086,14933.7705,0.0,0.0,7951.27,0.0,4952.1055,0.0,19273.268,7217.2007,8982.712,13979.41,0.0,21078.193,
109,239.96665739672713,0.5104603,,,,539.0,,,,,,,1080858.9,362054.66,236067.12,352832.03,410255.47,501375.6,332439.38,294633.16,110136.93,148949.66,255232.53,381517.84,63084.523,205299.8,314180.3,284763.94,213454.48,299627.56,202181.33,0.0,215062.56,76870.08,58040.18,733519.06,422318.44,221587.39,358084.1,42373.46,127374.625,145904.81,107463.16,292962.7,234186.61,663258.0,160536.77,276351.25,299495.38,281760.0,656615.9,
