ID1,ID2,EdgeType,Score,Annotation
149,153,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
165,196,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
191,195,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
191,195,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
229,256,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9545
229,255,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9812
236,252,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9293
243,247,MS1 annotation,5.000,[M-2H2O+H]+ [2M+Na]+ dm/z=322.0871
243,256,MS1 annotation,5.000,[M+NH4]+ [2M+Na]+ dm/z=269.0392
243,255,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=286.0659
247,256,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0479
255,256,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0267
268,289,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
297,300,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
338,351,MS1 annotation,3.000,[M+NH4]+ [2M+H]+ dm/z=259.0584
345,351,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
365,368,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9294
385,386,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
415,416,MS1 annotation,2.000,[M-NH3+K]+ [M+H]+ dm/z=20.9294
415,416,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9294
433,437,MS1 annotation,3.000,[2M+2H]+2 [M+K]+ dm/z=37.9562
437,438,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
437,438,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
450,459,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9293
521,530,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9741
521,540,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
521,534,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9923
530,540,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9296
530,534,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9664
534,540,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0368
534,540,MS1 annotation,4.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0368
553,567,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9295
574,583,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9289
588,591,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9291
591,597,MS1 annotation,3.000,[M-H2O+NH4]+ [M+K]+ dm/z=38.9396
602,603,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9740
602,607,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
603,607,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9299
611,614,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9732
612,690,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9812
612,613,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9739
613,690,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9552
652,658,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9740
653,664,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9296
653,686,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9750
653,664,MS1 annotation,3.000,[M+H]+ [M-NH3+K]+ dm/z=20.9296
662,676,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9290
664,686,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9546
664,686,MS1 annotation,3.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9546
683,685,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
683,685,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
690,713,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0268
690,713,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0268
718,721,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0270
718,720,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9291
718,722,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9549
720,721,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9561
720,722,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9742
721,722,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
721,722,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
818,819,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
818,819,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
820,839,MS1 annotation,5.000,[M+H]+ [2M+NH4]+ dm/z=359.1217
821,828,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
821,839,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0265
825,839,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=364.0771
828,839,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9819
840,845,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9548
840,853,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
845,853,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9815
862,874,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9816
862,879,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0267
862,877,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9558
862,874,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9816
862,879,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
862,877,MS1 annotation,4.000,[M+K]+ [2M+2H]+2 dm/z=37.9558
867,875,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
867,875,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
874,879,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
874,877,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9742
877,879,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9291
906,922,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
906,910,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
906,910,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9553
910,922,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
962,972,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9729
993,998,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
993,998,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9554
1058,1059,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
1058,1060,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9556
1059,1060,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9736
1071,1080,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9288
1071,1087,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9737
1071,1080,MS1 annotation,3.000,[M+H]+ [M-NH3+K]+ dm/z=20.9288
1080,1087,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
1080,1087,MS1 annotation,3.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9552
1160,1163,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
1181,1226,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9544
1201,1311,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
1201,1312,MS1 annotation,4.000,[2M+Na]+ [M+NH4]+ dm/z=349.0653
1201,1310,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0266
1202,1203,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
1202,1203,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9553
1209,1213,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9815
1222,1234,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
1222,1234,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9555
1230,1241,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
1230,1240,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
1240,1241,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
1240,1241,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9817
1275,1278,MS1 annotation,3.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9555
1275,1277,MS1 annotation,3.000,[M-NH3+K]+ [M+H]+ dm/z=20.9294
1275,1278,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
1275,1277,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9294
1277,1278,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9738
1285,1292,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0264
1287,1298,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
1287,1301,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
1291,1363,MS1 annotation,3.000,[3M+Na]+ [M-H2O+H]+ dm/z=328.0774
1291,1356,MS1 annotation,3.000,[3M+K]+ [M-H2O+H]+ dm/z=344.0515
1298,1301,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
1310,1311,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9817
1310,1312,MS1 annotation,4.000,[2M+Na]+ [M+H]+ dm/z=366.0919
1352,1373,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
1356,1363,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9741
1356,1366,MS1 annotation,3.000,[M+H]+ [M+K]+ dm/z=37.9558
1363,1366,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9817
1373,1378,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9561
1373,1378,MS1 annotation,4.000,[M+K]+ [2M+2H]+2 dm/z=37.9561
1374,1378,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9293
1415,1560,MS1 annotation,3.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0034
1415,1559,MS1 annotation,2.000,[M+NH4]+ [3M-NH3+K]+ dm/z=238.0666
1454,1459,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
1454,1574,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
1459,1574,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0262
1507,1633,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
1556,1560,MS1 annotation,3.000,[M-2H2O+H]+ [2M+Na]+ dm/z=408.1969
1575,1576,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9733
1593,1644,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0369
1624,1657,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
1624,1657,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9561
1625,1626,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9558
1625,1626,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
1647,1650,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
1684,1690,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9921
1690,1726,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
1691,1697,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
1746,1844,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0276
1783,1786,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
1783,1786,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9551
1802,1854,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
1802,1907,MS1 annotation,3.000,[2M+Na]+ [M+H]+ dm/z=412.1346
1810,1815,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
1833,1839,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
1833,1839,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
1870,1871,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9739
1872,1965,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0372
1929,1931,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
1929,1930,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
1929,1931,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
1929,1930,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
1930,1931,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
1930,1931,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9553
1944,1955,MS1 annotation,2.000,[M+NH4]+ [2M+Na]+ dm/z=409.0871
1945,1948,MS1 annotation,2.000,[M-H2O+H]+ [2M+NH4]+ dm/z=439.1693
1990,1991,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1990,1994,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
1990,1991,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
1990,1994,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
1991,1994,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
1991,1994,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9555
1996,1998,MS1 annotation,2.000,[M+NH4]+ [2M+Na]+ dm/z=343.0555
2043,2044,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9551
2043,2044,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
2108,2109,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9924
2108,2109,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9924
2110,2153,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
2127,2141,MS1 annotation,2.000,[M+NH4]+ [M+2H]+2 dm/z=491.1059
2127,2141,MS1 annotation,2.000,[2M+NH4]+ [M+H]+ dm/z=491.1059
2164,2205,MS1 annotation,5.000,[2M+NH4]+ [M+H]+ dm/z=405.1633
2178,2213,MS1 annotation,5.000,[M+NH4]+ [2M-H2O+H]+ dm/z=353.1005
2185,2205,MS1 annotation,5.000,[2M+NH4]+ [M-H2O+H]+ dm/z=423.1738
2185,2213,MS1 annotation,5.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0370
2195,2211,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9547
2195,2211,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9547
2197,2198,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9553
2197,2198,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
2259,2373,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9924
2261,2373,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9743
2287,2323,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9813
2304,2355,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
2322,2333,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9742
2322,2338,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9294
2333,2338,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
2395,2401,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
2395,2401,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9554
2441,2467,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
2441,2467,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9557
2496,2497,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
2508,2522,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
2508,2522,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9552
2539,2546,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
2539,2546,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9553
2541,2590,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9537
2545,2555,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0372
2593,2632,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
2606,2620,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9854
2609,2616,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
2622,2623,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
2676,2677,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9554
