ID1,ID2,EdgeType,Score,Annotation
81,87,MS1 annotation,3.000,[M+ACN+Na]+ [2M+NH4]+ dm/z=129.9580
91,128,MS1 annotation,4.000,[M+Na]+ [2M+K]+ dm/z=225.9274
91,156,MS1 annotation,4.000,[M+ACN+Na]+ [2M+K]+ dm/z=184.9008
91,133,MS1 annotation,4.000,[M-H2O+Na]+ [2M+K]+ dm/z=243.9381
216,233,MS1 annotation,4.000,[2M+Na]+ [M+K]+ dm/z=263.8653
216,235,MS1 annotation,4.000,[2M+ACN+Na]+ [M+K]+ dm/z=304.8924
221,233,MS1 annotation,4.000,[2M+Na]+ [M+ACN+K]+ dm/z=222.8388
228,231,MS1 annotation,2.000,[M+H]+ [M-2H2O+NH4]+ dm/z=18.9979
229,283,MS1 annotation,2.000,[M+Na]+ [2M-3H2O+K]+ dm/z=201.8448
306,317,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9773
380,403,MS1 annotation,2.000,[M+K]+ [M+H]+ dm/z=37.9559
506,547,MS1 annotation,3.000,[M+K]+ [2M+Na]+ dm/z=166.0918
547,548,MS1 annotation,3.000,[2M-2H2O+Na]+ [M+K]+ dm/z=130.0825
572,615,MS1 annotation,2.000,[M-3H2O+H]+ [M+NH4]+ dm/z=71.0665
1062,1109,MS1 annotation,2.000,[M+ACN+H]+ [M+Na]+ dm/z=19.0419
1497,1627,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0488
1497,1510,MS1 annotation,5.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0031
1509,1627,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0274
1509,1510,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9818
1509,1627,MS1 annotation,5.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0274
1509,1510,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
1510,1627,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9543
1561,1679,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0269
1709,1717,MS1 annotation,2.000,[M+K]+ [M-H2O+NH4]+ dm/z=38.9481
1951,2104,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9918
1951,2036,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
1951,2087,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9744
2036,2104,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0368
2036,2087,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9294
2050,2133,MS1 annotation,2.000,[M+NH4]+ [2M+Na]+ dm/z=281.0400
2087,2104,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9662
2091,2119,MS1 annotation,2.000,[2M+NH4]+ [M+H]+ dm/z=293.1114
2437,2468,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9774
2490,2492,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
2535,2564,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9776
2605,2643,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9295
2605,2642,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
